,지역,법정동코드,사고위치
1,서울특별시 종로구1,11110001,"[[127.0168137, 37.57307474], [127.01677917, 37.57279693], [127.01667694, 37.57252981], [127.01651091, 37.57228362], [127.01628748, 37.57206783], [127.01601522, 37.57189074], [127.01570461, 37.57175915], [127.01536757, 37.57167812], [127.01501707, 37.57165076], [127.01466656, 37.57167812], [127.01432952, 37.57175915], [127.01401891, 37.57189074], [127.01374666, 37.57206783], [127.01352322, 37.57228362], [127.0133572, 37.57252981], [127.01325496, 37.57279693], [127.01322044, 37.57307474], [127.01325496, 37.57335254], [127.0133572, 37.57361966], [127.01352322, 37.57386584], [127.01374666, 37.57408163], [127.01401891, 37.57425871], [127.01432952, 37.5743903], [127.01466656, 37.57447133], [127.01501707, 37.57449869], [127.01536757, 37.57447133], [127.01570461, 37.5743903], [127.01601522, 37.57425871], [127.01628748, 37.57408163], [127.01651091, 37.57386584], [127.01667694, 37.57361966], [127.01677917, 37.57335254], [127.0168137, 37.57307474]]"
2,서울특별시 광진구1,11215001,"[[127.07292728, 37.54129396], [127.07289276, 37.54101603], [127.07279052, 37.54074879], [127.0726245, 37.5405025], [127.07240106, 37.54028662], [127.07212881, 37.54010946], [127.07181819, 37.53997781], [127.07148116, 37.53989674], [127.07113065, 37.53986937], [127.07078015, 37.53989674], [127.07044311, 37.53997781], [127.0701325, 37.54010946], [127.06986024, 37.54028662], [127.06963681, 37.5405025], [127.06947078, 37.54074879], [127.06936855, 37.54101603], [127.06933402, 37.54129396], [127.06936855, 37.54157188], [127.06947078, 37.54183911], [127.06963681, 37.5420854], [127.06986024, 37.54230127], [127.0701325, 37.54247844], [127.07044311, 37.54261008], [127.07078015, 37.54269114], [127.07113065, 37.54271852], [127.07148116, 37.54269114], [127.07181819, 37.54261008], [127.07212881, 37.54247844], [127.07240106, 37.54230127], [127.0726245, 37.5420854], [127.07279052, 37.54183911], [127.07289276, 37.54157188], [127.07292728, 37.54129396]]"
3,서울특별시 강남구1,11680001,"[[127.0354219, 37.49995372], [127.03538738, 37.49967565], [127.03528514, 37.49940826], [127.03511911, 37.49916183], [127.03489568, 37.49894583], [127.03462342, 37.49876857], [127.03431281, 37.49863685], [127.03397577, 37.49855574], [127.03362527, 37.49852835], [127.03327476, 37.49855574], [127.03293773, 37.49863685], [127.03262711, 37.49876857], [127.03235486, 37.49894583], [127.03213142, 37.49916183], [127.0319654, 37.49940826], [127.03186316, 37.49967565], [127.03182864, 37.49995372], [127.03186316, 37.5002318], [127.0319654, 37.50049919], [127.03213142, 37.50074561], [127.03235486, 37.5009616], [127.03262711, 37.50113886], [127.03293773, 37.50127058], [127.03327476, 37.50135169], [127.03362527, 37.50137907], [127.03397577, 37.50135169], [127.03431281, 37.50127058], [127.03462342, 37.50113886], [127.03489568, 37.5009616], [127.03511911, 37.50074561], [127.03528514, 37.50049919], [127.03538738, 37.5002318], [127.0354219, 37.49995372]]"
4,서울특별시 강서구1,11500001,"[[126.83404835, 37.55924816], [126.83401383, 37.55897031], [126.83391159, 37.55870313], [126.83374556, 37.5584569], [126.83352213, 37.55824107], [126.83324987, 37.55806395], [126.83293926, 37.55793233], [126.83260222, 37.55785129], [126.83225172, 37.55782392], [126.83190121, 37.55785129], [126.83156418, 37.55793233], [126.83125356, 37.55806395], [126.83098131, 37.55824107], [126.83075787, 37.5584569], [126.83059185, 37.55870313], [126.83048961, 37.55897031], [126.83045509, 37.55924816], [126.83048961, 37.55952602], [126.83059185, 37.55979319], [126.83075787, 37.56003942], [126.83098131, 37.56025524], [126.83125356, 37.56043236], [126.83156418, 37.56056397], [126.83190121, 37.56064502], [126.83225172, 37.56067238], [126.83260222, 37.56064502], [126.83293926, 37.56056397], [126.83324987, 37.56043236], [126.83352213, 37.56025524], [126.83374556, 37.56003942], [126.83391159, 37.55979319], [126.83401383, 37.55952602], [126.83404835, 37.55924816]]"
5,서울특별시 관악구1,11620001,"[[126.95002348, 37.46688152], [126.94998896, 37.46660332], [126.94988672, 37.46633581], [126.94972069, 37.46608927], [126.94949726, 37.46587318], [126.949225, 37.46569584], [126.94891439, 37.46556406], [126.94857735, 37.46548291], [126.94822685, 37.46545551], [126.94787634, 37.46548291], [126.94753931, 37.46556406], [126.94722869, 37.46569584], [126.94695644, 37.46587318], [126.94673301, 37.46608927], [126.94656698, 37.46633581], [126.94646474, 37.46660332], [126.94643022, 37.46688152], [126.94646474, 37.46715971], [126.94656698, 37.46742722], [126.94673301, 37.46767375], [126.94695644, 37.46788984], [126.94722869, 37.46806718], [126.94753931, 37.46819895], [126.94787634, 37.4682801], [126.94822685, 37.4683075], [126.94857735, 37.4682801], [126.94891439, 37.46819895], [126.949225, 37.46806718], [126.94949726, 37.46788984], [126.94972069, 37.46767375], [126.94988672, 37.46742722], [126.94998896, 37.46715971], [126.95002348, 37.46688152]]"
6,서울특별시 노원구1,11350001,"[[127.05992879, 37.66122577], [127.05989427, 37.6609483], [127.05979203, 37.66068148], [127.059626, 37.66043559], [127.05940257, 37.66022006], [127.05913032, 37.66004318], [127.0588197, 37.65991174], [127.05848267, 37.6598308], [127.05813216, 37.65980348], [127.05778166, 37.6598308], [127.05744462, 37.65991174], [127.05713401, 37.66004318], [127.05686175, 37.66022006], [127.05663832, 37.66043559], [127.05647229, 37.66068148], [127.05637005, 37.6609483], [127.05633553, 37.66122577], [127.05637005, 37.66150324], [127.05647229, 37.66177005], [127.05663832, 37.66201594], [127.05686175, 37.66223147], [127.05713401, 37.66240834], [127.05744462, 37.66253977], [127.05778166, 37.66262071], [127.05813216, 37.66264803], [127.05848267, 37.66262071], [127.0588197, 37.66253977], [127.05913032, 37.66240834], [127.05940257, 37.66223147], [127.059626, 37.66201594], [127.05979203, 37.66177005], [127.05989427, 37.66150324], [127.05992879, 37.66122577]]"
7,서울특별시 도봉구1,11320001,"[[127.03753547, 37.65547438], [127.03750095, 37.65519688], [127.03739871, 37.65493005], [127.03723268, 37.65468414], [127.03700925, 37.65446859], [127.03673699, 37.6542917], [127.03642638, 37.65416025], [127.03608934, 37.65407931], [127.03573884, 37.65405198], [127.03538833, 37.65407931], [127.0350513, 37.65416025], [127.03474069, 37.6542917], [127.03446843, 37.65446859], [127.034245, 37.65468414], [127.03407897, 37.65493005], [127.03397673, 37.65519688], [127.03394221, 37.65547438], [127.03397673, 37.65575187], [127.03407897, 37.6560187], [127.034245, 37.65626461], [127.03446843, 37.65648015], [127.03474069, 37.65665704], [127.0350513, 37.65678848], [127.03538833, 37.65686942], [127.03573884, 37.65689675], [127.03608934, 37.65686942], [127.03642638, 37.65678848], [127.03673699, 37.65665704], [127.03700925, 37.65648015], [127.03723268, 37.65626461], [127.03739871, 37.6560187], [127.03750095, 37.65575187], [127.03753547, 37.65547438]]"
8,서울특별시 동대문구1,11230001,"[[127.07161658, 37.56057813], [127.07158206, 37.56030028], [127.07147982, 37.5600331], [127.07131379, 37.55978688], [127.07109036, 37.55957105], [127.07081811, 37.55939393], [127.07050749, 37.55926232], [127.07017046, 37.55918127], [127.06981995, 37.55915391], [127.06946945, 37.55918127], [127.06913241, 37.55926232], [127.0688218, 37.55939393], [127.06854954, 37.55957105], [127.06832611, 37.55978688], [127.06816008, 37.5600331], [127.06805784, 37.56030028], [127.06802332, 37.56057813], [127.06805784, 37.56085597], [127.06816008, 37.56112314], [127.06832611, 37.56136937], [127.06854954, 37.56158518], [127.0688218, 37.5617623], [127.06913241, 37.56189391], [127.06946945, 37.56197495], [127.06981995, 37.56200232], [127.07017046, 37.56197495], [127.07050749, 37.56189391], [127.07081811, 37.5617623], [127.07109036, 37.56158518], [127.07131379, 37.56136937], [127.07147982, 37.56112314], [127.07158206, 37.56085597], [127.07161658, 37.56057813]]"
9,서울특별시 동작구1,11590001,"[[126.9068623, 37.48507781], [126.90682778, 37.48479968], [126.90672554, 37.48453224], [126.90655951, 37.48428576], [126.90633608, 37.48406972], [126.90606382, 37.48389242], [126.90575321, 37.48376068], [126.90541618, 37.48367955], [126.90506567, 37.48365215], [126.90471516, 37.48367955], [126.90437813, 37.48376068], [126.90406752, 37.48389242], [126.90379526, 37.48406972], [126.90357183, 37.48428576], [126.9034058, 37.48453224], [126.90330356, 37.48479968], [126.90326904, 37.48507781], [126.90330356, 37.48535594], [126.9034058, 37.48562338], [126.90357183, 37.48586986], [126.90379526, 37.48608589], [126.90406752, 37.48626319], [126.90437813, 37.48639493], [126.90471516, 37.48647606], [126.90506567, 37.48650345], [126.90541618, 37.48647606], [126.90575321, 37.48639493], [126.90606382, 37.48626319], [126.90633608, 37.48608589], [126.90655951, 37.48586986], [126.90672554, 37.48562338], [126.90682778, 37.48535594], [126.9068623, 37.48507781]]"
10,서울특별시 서초구1,11650001,"[[127.02140548, 37.51622068], [127.02137096, 37.51594267], [127.02126872, 37.51567534], [127.02110269, 37.51542896], [127.02087926, 37.51521301], [127.02060701, 37.51503579], [127.02029639, 37.51490409], [127.01995936, 37.514823], [127.01960885, 37.51479562], [127.01925835, 37.514823], [127.01892131, 37.51490409], [127.0186107, 37.51503579], [127.01833844, 37.51521301], [127.01811501, 37.51542896], [127.01794898, 37.51567534], [127.01784674, 37.51594267], [127.01781222, 37.51622068], [127.01784674, 37.5164987], [127.01794898, 37.51676603], [127.01811501, 37.5170124], [127.01833844, 37.51722834], [127.0186107, 37.51740556], [127.01892131, 37.51753725], [127.01925835, 37.51761834], [127.01960885, 37.51764572], [127.01995936, 37.51761834], [127.02029639, 37.51753725], [127.02060701, 37.51740556], [127.02087926, 37.51722834], [127.02110269, 37.5170124], [127.02126872, 37.51676603], [127.02137096, 37.5164987], [127.02140548, 37.51622068]]"
