도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
"['광장앞지하차도', '광장로']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,yes,,,"[175320385, 175320419, 175320429]",,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5464465,127.0980438,,,,516647748,,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,,,,516647752,,,,
자양로,주도로,37.536546,127.0835437,37.5363987,127.0835873,,,,1193259435,,3,True,
아차산로,2차로,37.536546,127.0835437,37.5365545,127.0836672,,,,1199529109,50,3,True,
자양로,주도로,37.545022,127.0852593,37.5448925,127.0852032,,,,218839804,,6,,
광나루로,2차로,37.545022,127.0852593,37.5450431,127.0856335,,,,516647746,,,True,
자양로,주도로,37.545022,127.0852593,37.5451285,127.0853145,,,,1206937730,,,,
천호대로,주도로,37.544993,127.1042608,37.5448879,127.1046267,,,,175320269,,,True,
아차산로,2차로,37.544993,127.1042608,37.5448287,127.1040968,,,,516647743,,,,
아차산로,주도로,37.544993,127.1042608,37.5451366,127.1043841,,,,1149812473,,,,
광나루로,2차로,37.5482763,127.0675055,37.5482744,127.0677615,,,,218837465,,,True,
동일로,주도로,37.5482763,127.0675055,37.5483735,127.0675663,,,,175357595,,3,True,
뚝섬로,2차로,37.5331998,127.0756803,37.5330228,127.0762812,,,,37400301,,,,
자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,,,,37401581,30,4,,
뚝섬로,2차로,37.5331998,127.0756803,37.5334543,127.0747931,,,,482173984,,,,
자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,,,,516723466,,,,
자양번영로,3차로,37.5380336,127.0771393,37.5379207,127.0770962,,,,37401581,30,4,,
아차산로,2차로,37.5380336,127.0771393,37.5380027,127.0772607,,,,516723474,50,3,True,
,3차로,37.5380336,127.0771393,37.538158,127.0771247,,,,516723477,,,,
아차산로,2차로,37.5401059,127.0941004,37.5403492,127.0945026,,,,516725213,,,,
아차산로,2차로,37.5401059,127.0941004,37.5395727,127.0931743,,,,1221350594,,4,,
구의로,3차로,37.5446885,127.09067,37.5446143,127.0906488,,,,516647756,,,,
광나루로43길,2차로,37.5446885,127.09067,37.5447441,127.0907094,,,,976906317,,,,
광나루로,2차로,37.5446885,127.09067,37.5443758,127.09167,,,,516647747,,,True,
군자로,주거지 도로,37.5480112,127.0704657,37.5479225,127.0704482,,,,37400386,,,,
군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,,,,175357606,,,,
광나루로,2차로,37.5480112,127.0704657,37.5476959,127.0723769,,,,218870944,,,True,
군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,,,,37399478,,,,
면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,,,,1149812479,,,,
군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,,,,175357606,,,,
긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,,,,381407814,,,,
긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,,,,417065473,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,,,,516648939,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5610455,127.0958009,,,,37399188,,,,
긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,,,,238270322,,,,
면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,,,,175357616,,,,
면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,,,,218790203,,,,
긴고랑로,2차로,37.56316,127.07976,37.5634038,127.0790976,,,,218790208,,,,
긴고랑로,2차로,37.56316,127.07976,37.5629354,127.080427,,,,516648937,,,,
능동로,2차로,37.5692556,127.0861341,37.5687939,127.0858809,,,,201080324,,,,
용마산로,주도로,37.5692556,127.0861341,37.5693301,127.0861351,,,,520484569,,,,
용마산로,주도로,37.5692556,127.0861341,37.5683984,127.0861049,,,,516721541,,,,
긴고랑로,2차로,37.5622984,127.0823188,37.5619565,127.0829482,,,,393712976,,,,
능동로,2차로,37.5622984,127.0823188,37.5615258,127.0818962,,,,516648936,,,,
긴고랑로,2차로,37.5622984,127.0823188,37.5625249,127.0816462,,,,516648937,,,,
능동로,2차로,37.5622984,127.0823188,37.5628886,127.0826404,,,,516721539,,,,
자양로15길,주거지 도로,37.536232,127.0836367,37.5361651,127.0835573,,,,174699420,,,,
자양로,주도로,37.536232,127.0836367,37.535948,127.0837207,,,,1193259435,,3,True,
자양로,주도로,37.54023,127.08326,37.5407841,127.0834917,,,,1206937739,,6,,
,서비스 도로,37.54023,127.08326,37.5402667,127.0831411,,,,1276677095,,,,
자양로,주도로,37.54023,127.08326,37.5396198,127.0832181,,,,1206937739,,6,,
자양로,주도로,37.5413994,127.0837515,37.5411813,127.0836592,,,,1206937737,,6,,
자양로,주도로,37.5413994,127.0837515,37.5414536,127.0837746,,,,1206937737,,6,,
,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,,,,1206937738,,,,
자양로28길,주거지 도로,37.5425244,127.0842191,37.542491,127.0843378,,,,175320402,30,1,True,
자양로,주도로,37.5425244,127.0842191,37.5421022,127.0840533,,,,1206937737,,6,,
자양로,주도로,37.5425244,127.0842191,37.5426191,127.0842585,,,,1206937737,,6,,
자양로,주거지 도로,37.54359,127.08468,37.5436153,127.0845598,,,,175320305,,,,
자양로,주도로,37.54359,127.08468,37.5434714,127.0846301,,,,1206937734,,6,,
,주도로,37.54359,127.08468,37.5442893,127.0849783,,,,1303803455,,,,
자양로32길,주거지 도로,37.5444287,127.0850361,37.5444083,127.0851662,,,,175320459,,,,
자양로,주도로,37.5444287,127.0850361,37.5442893,127.0849783,,,,218839804,,6,,
자양로,주도로,37.5444287,127.0850361,37.544553,127.0850798,,,,218839804,,6,,
자양로,주도로,37.546813,127.0871807,37.5465803,127.0869209,,,,37928434,50,,,
자양로35길,주거지 도로,37.546813,127.0871807,37.5468701,127.087095,,,,193242045,,,,
자양로,주도로,37.546813,127.0871807,37.5475093,127.0879981,,,,"[37928434, 1206937725]",50,5,,
자양로39길,주거지 도로,37.5485615,127.0891638,37.5486296,127.0890741,,,,175320396,30,1,,
자양로40길,주거지 도로,37.5485615,127.0891638,37.5484815,127.0892728,,,,175320433,30,1,,
자양로,주도로,37.5485615,127.0891638,37.5484895,127.0890861,,,,1206937723,50,5,,
자양로,주도로,37.5485615,127.0891638,37.5490791,127.089777,,,,"[1206937720, 1206937721]",50,5,,
자양로41길,주거지 도로,37.5495481,127.0902943,37.5496178,127.0901911,,,,175320404,30,,,
자양로42길,주거지 도로,37.5495481,127.0902943,37.5494713,127.0903786,,,,175320428,30,,,
자양로,주도로,37.5495481,127.0902943,37.5490791,127.089777,,,,1206937720,50,5,,
자양로,주도로,37.5495481,127.0902943,37.5499081,127.0906948,,,,1206937727,50,5,,
천호대로,주도로,37.5500176,127.0908197,37.5498977,127.0909677,,,,175320267,,5,True,
자양로,주도로,37.5500176,127.0908197,37.550186,127.0909511,,,,1149812475,,4,,
자양로,주도로,37.5500176,127.0908197,37.5499081,127.0906948,,,,1206937727,50,5,,
천호대로132길,주거지 도로,37.5506271,127.0902166,37.5505657,127.0901448,,,,175320436,,,,
천호대로,주도로,37.5506271,127.0902166,37.5501733,127.0906147,,,,944420331,,5,True,
천호대로127길,주거지 도로,37.5533477,127.0887981,37.5534137,127.0889358,,,,381407768,,,,
