도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부,시작점_고도,종료점_고도,고도의_차이
"['광장앞지하차도', '광장로']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,yes,,,"[175320385, 175320419, 175320429]",,,,,39.83039855957031,21.12525939941406,18.705139160156254
워커힐로,주거지 도로,37.5455088,127.0977724,37.5464465,127.0980438,,,,516647748,,,,,39.83039855957031,49.78534698486328,9.954948425292969
워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,,,,516647752,,,,,39.83039855957031,30.9041576385498,8.926240921020511
자양로,주도로,37.536546,127.0835437,37.5363987,127.0835873,,,,1193259435,,3,True,,16.22031211853027,16.21841430664062,0.0018978118896484375
아차산로,2차로,37.536546,127.0835437,37.5365545,127.0836672,,,,1199529109,50.0,3,True,,16.22031211853027,16.27426719665527,0.053955078125
자양로,주도로,37.545022,127.0852593,37.5448925,127.0852032,,,,218839804,,6,,,21.66516494750977,21.48965263366699,0.17551231384278054
광나루로,2차로,37.545022,127.0852593,37.5450431,127.0856335,,,,516647746,,,True,,21.66516494750977,21.34939384460449,0.31577110290528054
자양로,주도로,37.545022,127.0852593,37.5451285,127.0853145,,,,1206937730,,,,,21.66516494750977,21.75747680664062,0.09231185913085227
천호대로,주도로,37.544993,127.1042608,37.5448879,127.1046267,,,,175320269,,,True,,16.18956756591797,16.34496307373047,0.1553955078125
아차산로,2차로,37.544993,127.1042608,37.5448287,127.1040968,,,,516647743,,,,,16.18956756591797,15.96547985076904,0.22408771514892933
아차산로,주도로,37.544993,127.1042608,37.5451366,127.1043841,,,,1149812473,,,,,16.18956756591797,16.25669860839844,0.0671310424804723
광나루로,2차로,37.5482763,127.0675055,37.5482744,127.0677615,,,,218837465,,,True,,11.52144336700439,11.70373439788818,0.18229103088379084
동일로,주도로,37.5482763,127.0675055,37.5483735,127.0675663,,,,175357595,,3,True,,11.52144336700439,11.61407566070557,0.09263229370118076
뚝섬로,2차로,37.5331998,127.0756803,37.5330228,127.0762812,,,,37400301,,,,,15.15959644317627,16.45175361633301,1.2921571731567418
자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,,,,37401581,30.0,4,,,15.15959644317627,15.78329467773438,0.6236982345581108
뚝섬로,2차로,37.5331998,127.0756803,37.5334543,127.0747931,,,,482173984,,,,,15.15959644317627,13.82678985595703,1.33280658721924
자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,,,,516723466,,,,,15.15959644317627,14.77540969848633,0.38418674468993963
자양번영로,3차로,37.5380336,127.0771393,37.5379207,127.0770962,,,,37401581,30.0,4,,,18.76070594787598,18.48805046081543,0.2726554870605504
아차산로,2차로,37.5380336,127.0771393,37.5380027,127.0772607,,,,516723474,50.0,3,True,,18.76070594787598,18.95920181274414,0.1984958648681605
,3차로,37.5380336,127.0771393,37.538158,127.0771247,,,,516723477,,,,,18.76070594787598,18.89164161682129,0.13093566894530895
아차산로,2차로,37.5401059,127.0941004,37.5403492,127.0945026,,,,516725213,,,,,16.89882469177246,16.21907234191895,0.6797523498535121
아차산로,2차로,37.5401059,127.0941004,37.5395727,127.0931743,,,,1221350594,,4,,,16.89882469177246,18.20189666748047,1.3030719757080078
구의로,3차로,37.5446885,127.09067,37.5446143,127.0906488,,,,516647756,,,,,24.63214492797852,24.47662734985352,0.155517578125
광나루로43길,2차로,37.5446885,127.09067,37.5447441,127.0907094,,,,976906317,,,,,24.63214492797852,24.71284294128418,0.08069801330566051
광나루로,2차로,37.5446885,127.09067,37.5443758,127.09167,,,,516647747,,,True,,24.63214492797852,22.84584808349609,1.786296844482429
군자로,주거지 도로,37.5480112,127.0704657,37.5479225,127.0704482,,,,37400386,,,,,13.94673538208008,13.95233631134033,0.0056009292602503535
군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,,,,175357606,,,,,13.94673538208008,13.94578266143799,0.0009527206420898438
광나루로,2차로,37.5480112,127.0704657,37.5476959,127.0723769,,,,218870944,,,True,,13.94673538208008,14.18828105926514,0.24154567718506037
군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,,,,37399478,,,,,16.05854606628418,16.11652374267578,0.05797767639160156
면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,,,,1149812479,,,,,16.05854606628418,16.02910232543945,0.029443740844730115
군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,,,,175357606,,,,,16.05854606628418,15.87260627746582,0.18593978881835938
긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,,,,381407814,,,,,41.08017730712891,48.41543579101562,7.3352584838867045
긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,,,,417065473,,,,,41.08017730712891,49.37260055541992,8.292423248291009
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,,,,516648939,,,,,41.08017730712891,39.24346160888672,1.8367156982421946
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5610455,127.0958009,,,,37399188,,,,,41.08017730712891,47.48832321166992,6.4081459045410085
긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,,,,238270322,,,,,41.08017730712891,47.52799224853516,6.44781494140625
면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,,,,175357616,,,,,15.52191257476807,17.59653091430664,2.0746183395385707
면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,,,,218790203,,,,,15.52191257476807,17.55953979492188,2.0376272201538086
긴고랑로,2차로,37.56316,127.07976,37.5634038,127.0790976,,,,218790208,,,,,15.52191257476807,15.89190578460693,0.3699932098388601
긴고랑로,2차로,37.56316,127.07976,37.5629354,127.080427,,,,516648937,,,,,15.52191257476807,14.64857006072998,0.8733425140380895
능동로,2차로,37.5692556,127.0861341,37.5687939,127.0858809,,,,201080324,,,,,35.20948791503906,31.99382781982422,3.2156600952148438
용마산로,주도로,37.5692556,127.0861341,37.5693301,127.0861351,,,,520484569,,,,,35.20948791503906,35.65571594238281,0.44622802734375
용마산로,주도로,37.5692556,127.0861341,37.5683984,127.0861049,,,,516721541,,,,,35.20948791503906,31.57700347900391,3.6324844360351527
긴고랑로,2차로,37.5622984,127.0823188,37.5619565,127.0829482,,,,393712976,,,,,15.58108043670654,15.90922451019287,0.3281440734863299
능동로,2차로,37.5622984,127.0823188,37.5615258,127.0818962,,,,516648936,,,,,15.58108043670654,17.39458465576172,1.8135042190551793
긴고랑로,2차로,37.5622984,127.0823188,37.5625249,127.0816462,,,,516648937,,,,,15.58108043670654,15.13067722320557,0.45040321350096946
능동로,2차로,37.5622984,127.0823188,37.5628886,127.0826404,,,,516721539,,,,,15.58108043670654,15.77791690826416,0.19683647155762074
자양로15길,주거지 도로,37.536232,127.0836367,37.5361651,127.0835573,,,,174699420,,,,,16.08351898193359,16.10623168945312,0.02271270751953125
자양로,주도로,37.536232,127.0836367,37.535948,127.0837207,,,,1193259435,,3,True,,16.08351898193359,15.71996116638184,0.3635578155517507
자양로,주도로,37.54023,127.08326,37.5407841,127.0834917,,,,1206937739,,6,,,17.26415634155273,17.7551212310791,0.49096488952637074
,서비스 도로,37.54023,127.08326,37.5402667,127.0831411,,,,1276677095,,,,,17.26415634155273,17.58193397521973,0.3177776336669993
자양로,주도로,37.54023,127.08326,37.5396198,127.0832181,,,,1206937739,,6,,,17.26415634155273,17.59187698364258,0.32772064208985086
자양로,주도로,37.5413994,127.0837515,37.5411813,127.0836592,,,,1206937737,,6,,,18.52116012573242,17.8056468963623,0.7155132293701172
자양로,주도로,37.5413994,127.0837515,37.5414536,127.0837746,,,,1206937737,,6,,,18.52116012573242,18.81293296813965,0.2917728424072301
,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,,,,1206937738,,,,,18.52116012573242,24.13931846618652,5.618158340454102
자양로28길,주거지 도로,37.5425244,127.0842191,37.542491,127.0843378,,,,175320402,30.0,1,True,,21.65168762207031,21.49490928649902,0.15677833557128906
자양로,주도로,37.5425244,127.0842191,37.5421022,127.0840533,,,,1206937737,,6,,,21.65168762207031,21.04027557373047,0.6114120483398402
자양로,주도로,37.5425244,127.0842191,37.5426191,127.0842585,,,,1206937737,,6,,,21.65168762207031,21.70548439025879,0.053796768188480115
자양로,주거지 도로,37.54359,127.08468,37.5436153,127.0845598,,,,175320305,,,,,21.9696044921875,22.06327056884766,0.0936660766601598
자양로,주도로,37.54359,127.08468,37.5434714,127.0846301,,,,1206937734,,6,,,21.9696044921875,21.93683624267578,0.03276824951171875
,주도로,37.54359,127.08468,37.5442893,127.0849783,,,,1303803455,,,,,21.9696044921875,21.9649658203125,0.004638671875
자양로32길,주거지 도로,37.5444287,127.0850361,37.5444083,127.0851662,,,,175320459,,,,,21.93979835510254,21.86308479309082,0.07671356201171875
자양로,주도로,37.5444287,127.0850361,37.5442893,127.0849783,,,,218839804,,6,,,21.93979835510254,21.9649658203125,0.025167465209960938
