사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도,발생년도,발생월
2013120100100284.8,2013년 12월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,원동기,남,41-50세,경상,2014,12
2013120100100312.0,2013년 12월,일요일,서울특별시 광진구 자양동,중상사고,0,1,0,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,51-60세,상해없음,2014,12
2013120100100340.0,2013년 12월,일요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,원동기,남,13-20세,중상,2014,12
2013120100100439.2,2013년 12월,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,20세 이하,상해없음,보행자,남,13-20세,경상,2014,12
2013120100100476.8,2013년 12월,일요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,41-50세,상해없음,승용,남,21-30세,경상,2014,12
2013120200100502.0,2013년 12월,월요일,서울특별시 광진구 자양동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,31-40세,경상,2014,12
2013120300100044.8,2013년 12월,화요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,보행자,남,51-60세,중상,2014,12
2013120300100064.0,2013년 12월,화요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 횡단보도상,승용,남,21-30세,상해없음,보행자,여,13-20세,경상,2014,12
2013120300100092.0,2013년 12월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,보행자,여,21-30세,경상,2014,12
2013120300100362.0,2013년 12월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,41-50세,경상,2014,12
2013120300100515.2,2013년 12월,화요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,원동기,남,41-50세,상해없음,원동기,남,41-50세,부상신고,2014,12
2013120400100016.8,2013년 12월,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,원동기,남,41-50세,경상,2014,12
2013120400100064.8,2013년 12월,수요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,51-60세,경상,2014,12
2013120400100162.0,2013년 12월,수요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,여,51-60세,경상,2014,12
