사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2014010100100026,2014년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,2,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,31-40세,상해없음,승용,남,31-40세,경상
2.01401E+15,2014년 1월,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,4,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,여,21-30세,부상신고
2014010100100084,2014년 1월,수요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,이륜,남,51-60세,중상
2014010100100263,2014년 1월,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,31-40세,중상
2014010200100067,2014년 1월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,21-30세,경상
2014010200100132,2014년 1월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51-60세,상해없음,자전거,남,21-30세,중상
2014010200100266,2014년 1월,목요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로부근,승합,남,65세 이상,상해없음,이륜,남,31-40세,중상
2014010200100289,2014년 1월,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,보행자,남,51-60세,경상
2014010200100421,2014년 1월,목요일,서울특별시 광진구 군자동,중상사고,0,1,0,1,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,남,51-60세,부상신고
2014010300100001,2014년 1월,금요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,21-30세,상해없음,승용,남,65세 이상,경상
2014010300100053,2014년 1월,금요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,기타,맑음,교차로 - 교차로부근,화물,남,51-60세,상해없음,보행자,여,65세 이상,중상
