도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
"['광장로', '광장앞지하차도']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,yes,,,"[175320385, 175320419, 175320429]",,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5464465,127.0980438,37.54597765,127.0979081,,,,516647748,,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749024999999,,,,516647752,,,,
자양로,주도로,37.536546,127.0835437,37.5363987,127.0835873,37.53647235,127.0835655,,,,1193259435,,3,True,
아차산로,2차로,37.536546,127.0835437,37.5365545,127.0836672,37.536550250000005,127.08360545,,,,1199529109,50,3,True,
자양로,주도로,37.545022,127.0852593,37.5448925,127.0852032,37.54495725,127.08523124999999,,,,218839804,,6,,
광나루로,2차로,37.545022,127.0852593,37.5450431,127.0856335,37.54503255,127.0854464,,,,516647746,,,True,
자양로,주도로,37.545022,127.0852593,37.5451285,127.0853145,37.54507525,127.0852869,,,,1206937730,,,,
천호대로,주도로,37.544993,127.1042608,37.5448879,127.1046267,37.54494045,127.10444375,,,,175320269,,,True,
아차산로,2차로,37.544993,127.1042608,37.5448287,127.1040968,37.544910849999994,127.1041788,,,,516647743,,,,
아차산로,주도로,37.544993,127.1042608,37.5451366,127.1043841,37.5450648,127.10432245000001,,,,1149812473,,,,
광나루로,2차로,37.5482763,127.0675055,37.5482744,127.0677615,37.54827535,127.0676335,,,,218837465,,,True,
동일로,주도로,37.5482763,127.0675055,37.5483735,127.0675663,37.5483249,127.0675359,,,,175357595,,3,True,
뚝섬로,2차로,37.5331998,127.0756803,37.5330228,127.0762812,37.5331113,127.07598075,,,,37400301,,,,
자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,,,,37401581,30,4,,
뚝섬로,2차로,37.5331998,127.0756803,37.5334543,127.0747931,37.53332705,127.0752367,,,,482173984,,,,
자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,,,,516723466,,,,
자양번영로,3차로,37.5380336,127.0771393,37.5379207,127.0770962,37.53797715,127.07711775,,,,37401581,30,4,,
아차산로,2차로,37.5380336,127.0771393,37.5380027,127.0772607,37.53801815,127.0772,,,,516723474,50,3,True,
,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,,,,516723477,,,,
아차산로,2차로,37.5401059,127.0941004,37.5403492,127.0945026,37.54022755,127.0943015,,,,516725213,,,,
아차산로,2차로,37.5401059,127.0941004,37.5395727,127.0931743,37.5398393,127.09363735,,,,1221350594,,4,,
구의로,3차로,37.5446885,127.09067,37.5446143,127.0906488,37.5446514,127.09065939999999,,,,516647756,,,,
광나루로43길,2차로,37.5446885,127.09067,37.5447441,127.0907094,37.544716300000005,127.0906897,,,,976906317,,,,
광나루로,2차로,37.5446885,127.09067,37.5443758,127.09167,37.544532149999995,127.09117,,,,516647747,,,True,
군자로,주거지 도로,37.5480112,127.0704657,37.5479225,127.0704482,37.547966849999995,127.07045695,,,,37400386,,,,
군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.07047829999999,,,,175357606,,,,
광나루로,2차로,37.5480112,127.0704657,37.5476959,127.0723769,37.54785355,127.0714213,,,,218870944,,,True,
군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.07507240000001,,,,37399478,,,,
면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,,,,1149812479,,,,
군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,,,,175357606,,,,
긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,,,,381407814,,,,
긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,,,,417065473,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,,,,516648939,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5610455,127.0958009,37.5605757,127.0953317,,,,37399188,,,,
긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,,,,238270322,,,,
면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,37.563473200000004,127.07992825,,,,175357616,,,,
면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,,,,218790203,,,,
긴고랑로,2차로,37.56316,127.07976,37.5634038,127.0790976,37.56328190000001,127.07942879999999,,,,218790208,,,,
긴고랑로,2차로,37.56316,127.07976,37.5629354,127.080427,37.5630477,127.0800935,,,,516648937,,,,
능동로,2차로,37.5692556,127.0861341,37.5687939,127.0858809,37.56902475,127.0860075,,,,201080324,,,,
용마산로,주도로,37.5692556,127.0861341,37.5693301,127.0861351,37.56929285,127.08613460000001,,,,520484569,,,,
용마산로,주도로,37.5692556,127.0861341,37.5683984,127.0861049,37.568827,127.0861195,,,,516721541,,,,
긴고랑로,2차로,37.5622984,127.0823188,37.5619565,127.0829482,37.562127450000006,127.0826335,,,,393712976,,,,
능동로,2차로,37.5622984,127.0823188,37.5615258,127.0818962,37.5619121,127.0821075,,,,516648936,,,,
긴고랑로,2차로,37.5622984,127.0823188,37.5625249,127.0816462,37.56241165,127.0819825,,,,516648937,,,,
능동로,2차로,37.5622984,127.0823188,37.5628886,127.0826404,37.562593500000006,127.0824796,,,,516721539,,,,
자양로15길,주거지 도로,37.536232,127.0836367,37.5361651,127.0835573,37.536198549999995,127.083597,,,,174699420,,,,
자양로,주도로,37.536232,127.0836367,37.535948,127.0837207,37.53609,127.08367870000001,,,,1193259435,,3,True,
자양로,주도로,37.54023,127.08326,37.5407841,127.0834917,37.54050705,127.08337585,,,,1206937739,,6,,
,서비스 도로,37.54023,127.08326,37.5402667,127.0831411,37.54024835,127.08320055,,,,1276677095,,,,
자양로,주도로,37.54023,127.08326,37.5396198,127.0832181,37.5399249,127.08323905,,,,1206937739,,6,,
자양로,주도로,37.5413994,127.0837515,37.5411813,127.0836592,37.54129035,127.08370535,,,,1206937737,,6,,
자양로,주도로,37.5413994,127.0837515,37.5414536,127.0837746,37.5414265,127.08376305,,,,1206937737,,6,,
,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.08324759999999,,,,1206937738,,,,
자양로28길,주거지 도로,37.5425244,127.0842191,37.542491,127.0843378,37.5425077,127.08427845,,,,175320402,30,1,True,
자양로,주도로,37.5425244,127.0842191,37.5421022,127.0840533,37.5423133,127.08413619999999,,,,1206937737,,6,,
