,도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,시작점_고도,종료점_고도,고도의_차이,경사각,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
0,"['광장로', '광장앞지하차도']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,39.83039855957031,21.12525939941406,18.705139160156257,2.6782658226070084,yes,,,"[175320385, 175320419, 175320429]",,,,
1,워커힐로,주거지 도로,37.5455088,127.0977724,37.5464465,127.0980438,37.54597765,127.0979081,39.83039855957031,49.78534698486328,9.954948425292969,5.316423431292289,,,,516647748,,,,
2,워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749025,39.83039855957031,30.9041576385498,8.926240921020511,2.8865456526156823,,,,516647752,,,,
3,자양로,주도로,37.536546,127.0835437,37.5363987,127.0835873,37.53647235,127.0835655,16.22031211853027,16.21841430664062,0.0018978118896484,0.006463135037223168,,,,1193259435,,3,True,
4,아차산로,2차로,37.536546,127.0835437,37.5365545,127.0836672,37.536550250000005,127.08360545,16.22031211853027,16.27426719665527,0.053955078125,0.2828237174694705,,,,1199529109,50.0,3,True,
5,자양로,주도로,37.545022,127.0852593,37.5448925,127.0852032,37.54495725,127.08523125,21.66516494750977,21.48965263366699,0.1755123138427805,0.6604498992906838,,,,218839804,,6,,
6,광나루로,2차로,37.545022,127.0852593,37.5450431,127.0856335,37.54503255,127.0854464,21.66516494750977,21.34939384460449,0.3157711029052805,0.5470072197600545,,,,516647746,,,True,
7,자양로,주도로,37.545022,127.0852593,37.5451285,127.0853145,37.54507525,127.0852869,21.66516494750977,21.75747680664062,0.0923118591308522,0.4130973329282822,,,,1206937730,,,,
8,천호대로,주도로,37.544993,127.1042608,37.5448879,127.1046267,37.54494045,127.10444375,16.18956756591797,16.34496307373047,0.1553955078125,0.25949444082191914,,,,175320269,,,True,
9,아차산로,2차로,37.544993,127.1042608,37.5448287,127.1040968,37.544910849999994,127.1041788,16.18956756591797,15.96547985076904,0.2240877151489293,0.5510570984138289,,,,516647743,,,,
10,아차산로,주도로,37.544993,127.1042608,37.5451366,127.1043841,37.5450648,127.10432245,16.18956756591797,16.25669860839844,0.0671310424804723,0.1991188007176386,,,,1149812473,,,,
11,광나루로,2차로,37.5482763,127.0675055,37.5482744,127.0677615,37.54827535,127.0676335,11.52144336700439,11.70373439788818,0.1822910308837908,0.4627526298228387,,,,218837465,,,True,
12,동일로,주도로,37.5482763,127.0675055,37.5483735,127.0675663,37.5483249,127.0675359,11.52144336700439,11.61407566070557,0.0926322937011807,0.4399214326032712,,,,175357595,,3,True,
13,뚝섬로,2차로,37.5331998,127.0756803,37.5330228,127.0762812,37.5331113,127.07598075,15.15959644317627,16.45175361633301,1.2921571731567418,1.3095896040689639,,,,37400301,,,,
14,자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,15.15959644317627,15.78329467773438,0.6236982345581108,0.5079544975974131,,,,37401581,30.0,4,,
15,뚝섬로,2차로,37.5331998,127.0756803,37.5334543,127.0747931,37.53332705,127.0752367,15.15959644317627,13.82678985595703,1.33280658721924,0.9178466556763262,,,,482173984,,,,
16,자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,15.15959644317627,14.77540969848633,0.3841867446899396,0.3211000200619302,,,,516723466,,,,
17,자양번영로,3차로,37.5380336,127.0771393,37.5379207,127.0770962,37.53797715,127.07711775,18.76070594787598,18.48805046081543,0.2726554870605504,1.1908493887469385,,,,37401581,30.0,4,,
18,아차산로,2차로,37.5380336,127.0771393,37.5380027,127.0772607,37.53801815,127.0772,18.76070594787598,18.95920181274414,0.1984958648681605,1.0115447394281525,,,,516723474,50.0,3,True,
19,,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,18.76070594787598,18.89164161682129,0.1309356689453089,0.5399951186545148,,,,516723477,,,,
20,아차산로,2차로,37.5401059,127.0941004,37.5403492,127.0945026,37.54022755,127.0943015,16.89882469177246,16.21907234191895,0.6797523498535121,0.8731215730500613,,,,516725213,,,,
21,아차산로,2차로,37.5401059,127.0941004,37.5395727,127.0931743,37.5398393,127.09363735,16.89882469177246,18.20189666748047,1.3030719757080078,0.7398402146640947,,,,1221350594,,4,,
22,구의로,3차로,37.5446885,127.09067,37.5446143,127.0906488,37.5446514,127.0906594,24.63214492797852,24.47662734985352,0.155517578125,1.0531666206055827,,,,516647756,,,,
23,광나루로43길,2차로,37.5446885,127.09067,37.5447441,127.0907094,37.544716300000005,127.0906897,24.63214492797852,24.71284294128418,0.0806980133056605,0.6519747962090661,,,,976906317,,,,
24,광나루로,2차로,37.5446885,127.09067,37.5443758,127.09167,37.544532149999995,127.09117,24.63214492797852,22.84584808349609,1.786296844482429,1.0797917957355672,,,,516647747,,,True,
25,군자로,주거지 도로,37.5480112,127.0704657,37.5479225,127.0704482,37.547966849999995,127.07045695,13.94673538208008,13.95233631134033,0.0056009292602503,0.0321458430980112,,,,37400386,,,,
26,군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.0704783,13.94673538208008,13.94578266143799,0.0009527206420898,0.0062857688179408745,,,,175357606,,,,
27,광나루로,2차로,37.5480112,127.0704657,37.5476959,127.0723769,37.54785355,127.0714213,13.94673538208008,14.18828105926514,0.2415456771850603,0.08041524821817078,,,,218870944,,,True,
28,군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.0750724,16.05854606628418,16.11652374267578,0.0579776763916015,0.3233031209309044,,,,37399478,,,,
29,면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,16.05854606628418,16.02910232543945,0.0294437408447301,0.15305415586492882,,,,1149812479,,,,
30,군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,16.05854606628418,15.87260627746582,0.1859397888183593,0.40041912936204205,,,,175357606,,,,
31,긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,41.08017730712891,48.41543579101562,7.335258483886704,12.405812291870058,,,,381407814,,,,
32,긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,41.08017730712891,49.37260055541992,8.292423248291009,4.417062415032384,,,,417065473,,,,
33,긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,41.08017730712891,39.24346160888672,1.8367156982421944,2.411307433481277,,,,516648939,,,,
34,긴고랑로,주거지 도로,37.5601059,127.0948625,37.5610455,127.0958009,37.5605757,127.0953317,41.08017730712891,47.48832321166992,6.4081459045410085,2.7531360344288687,,,,37399188,,,,
35,긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,41.08017730712891,47.52799224853516,6.44781494140625,2.975337268075054,,,,238270322,,,,
36,면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,37.5634732,127.07992825,15.52191257476807,17.59653091430664,2.0746183395385707,1.5697500641282207,,,,175357616,,,,
37,면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,15.52191257476807,17.55953979492188,2.0376272201538086,2.0092976166713656,,,,218790203,,,,
38,긴고랑로,2차로,37.56316,127.07976,37.5634038,127.0790976,37.56328190000001,127.0794288,15.52191257476807,15.89190578460693,0.3699932098388601,0.32931720247446006,,,,218790208,,,,
39,긴고랑로,2차로,37.56316,127.07976,37.5629354,127.080427,37.5630477,127.0800935,15.52191257476807,14.64857006072998,0.8733425140380895,0.7833306603207416,,,,516648937,,,,
40,능동로,2차로,37.5692556,127.0861341,37.5687939,127.0858809,37.56902475,127.0860075,35.20948791503906,31.99382781982422,3.215660095214844,3.287682692394816,,,,201080324,,,,
41,용마산로,주도로,37.5692556,127.0861341,37.5693301,127.0861351,37.56929285,127.0861346,35.20948791503906,35.65571594238281,0.44622802734375,3.083146667063708,,,,520484569,,,,
42,용마산로,주도로,37.5692556,127.0861341,37.5683984,127.0861049,37.568827,127.0861195,35.20948791503906,31.57700347900391,3.6324844360351527,2.181679997579166,,,,516721541,,,,
43,긴고랑로,2차로,37.5622984,127.0823188,37.5619565,127.0829482,37.562127450000006,127.0826335,15.58108043670654,15.90922451019287,0.3281440734863299,0.2795544922573804,,,,393712976,,,,
44,능동로,2차로,37.5622984,127.0823188,37.5615258,127.0818962,37.5619121,127.0821075,15.58108043670654,17.39458465576172,1.8135042190551791,1.1095290933569575,,,,516648936,,,,
45,긴고랑로,2차로,37.5622984,127.0823188,37.5625249,127.0816462,37.56241165,127.0819825,15.58108043670654,15.13067722320557,0.4504032135009694,0.4006301441054419,,,,516648937,,,,
46,능동로,2차로,37.5622984,127.0823188,37.5628886,127.0826404,37.562593500000006,127.0824796,15.58108043670654,15.77791690826416,0.1968364715576207,0.15775987125333138,,,,516721539,,,,
47,자양로15길,주거지 도로,37.536232,127.0836367,37.5361651,127.0835573,37.536198549999995,127.083597,16.08351898193359,16.10623168945312,0.0227127075195312,0.12739140503024493,,,,174699420,,,,
48,자양로,주도로,37.536232,127.0836367,37.535948,127.0837207,37.53609,127.0836787,16.08351898193359,15.71996116638184,0.3635578155517507,0.6421648082861318,,,,1193259435,,3,True,
49,자양로,주도로,37.54023,127.08326,37.5407841,127.0834917,37.54050705,127.08337585,17.26415634155273,17.7551212310791,0.4909648895263707,0.43335400377794525,,,,1206937739,,6,,
50,,서비스 도로,37.54023,127.08326,37.5402667,127.0831411,37.54024835,127.08320055,17.26415634155273,17.58193397521973,0.3177776336669993,1.618055108324283,,,,1276677095,,,,
51,자양로,주도로,37.54023,127.08326,37.5396198,127.0832181,37.5399249,127.08323905,17.26415634155273,17.59187698364258,0.3277206420898508,0.27632686161246345,,,,1206937739,,6,,
52,자양로,주도로,37.5413994,127.0837515,37.5411813,127.0836592,37.54129035,127.08370535,18.52116012573242,17.8056468963623,0.7155132293701172,1.6021995026274956,,,,1206937737,,6,,
53,자양로,주도로,37.5413994,127.0837515,37.5414536,127.0837746,37.5414265,127.08376305,18.52116012573242,18.81293296813965,0.2917728424072301,2.6260130911104342,,,,1206937737,,6,,
54,,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.0832476,18.52116012573242,24.13931846618652,5.618158340454102,3.127026126818438,,,,1206937738,,,,
55,자양로28길,주거지 도로,37.5425244,127.0842191,37.542491,127.0843378,37.5425077,127.08427845,21.65168762207031,21.49490928649902,0.156778335571289,0.8088497961791639,,,,175320402,30.0,1,True,
56,자양로,주도로,37.5425244,127.0842191,37.5421022,127.0840533,37.5423133,127.0841362,21.65168762207031,21.04027557373047,0.6114120483398402,0.7124206472001297,,,,1206937737,,6,,
57,자양로,주도로,37.5425244,127.0842191,37.5426191,127.0842585,37.54257175,127.0842388,21.65168762207031,21.70548439025879,0.0537967681884801,0.2779770106913654,,,,1206937737,,6,,
58,자양로,주거지 도로,37.54359,127.08468,37.5436153,127.0845598,37.54360265,127.0846199,21.9696044921875,22.06327056884766,0.0936660766601598,0.4894460022133224,,,,175320305,,,,
59,자양로,주도로,37.54359,127.08468,37.5434714,127.0846301,37.543530700000005,127.08465505,21.9696044921875,21.93683624267578,0.0327682495117187,0.13504907048679599,,,,1206937734,,6,,
60,,주도로,37.54359,127.08468,37.5442893,127.0849783,37.54393965,127.08482915,21.9696044921875,21.9649658203125,0.004638671875,0.0032377887154743687,,,,1303803455,,,,
61,자양로32길,주거지 도로,37.5444287,127.0850361,37.5444083,127.0851662,37.5444185,127.08510115,21.93979835510254,21.86308479309082,0.0767135620117187,0.375913036342266,,,,175320459,,,,
62,자양로,주도로,37.5444287,127.0850361,37.5442893,127.0849783,37.544359,127.0850072,21.93979835510254,21.9649658203125,0.0251674652099609,0.08837478663689133,,,,218839804,,6,,
63,자양로,주도로,37.5444287,127.0850361,37.544553,127.0850798,37.54449085,127.08505795,21.93979835510254,21.91192817687988,0.0278701782226598,0.11129002767125155,,,,218839804,,6,,
64,자양로,주도로,37.546813,127.0871807,37.5465803,127.0869209,37.54669665,127.0870508,23.23833656311035,23.39659690856934,0.1582603454589879,0.2624012174153593,,,,37928434,50.0,,,
65,자양로35길,주거지 도로,37.546813,127.0871807,37.5468701,127.087095,37.54684155,127.08713785,23.23833656311035,23.44297027587891,0.2046337127685582,1.1878562815029117,,,,193242045,,,,
66,자양로,주도로,37.546813,127.0871807,37.5475093,127.0879981,37.54716115,127.0875894,23.23833656311035,23.62503433227539,0.386697769165039,0.2094700959056421,,,,"[37928434, 1206937725]",50.0,5,,
67,자양로39길,주거지 도로,37.5485615,127.0891638,37.5486296,127.0890741,37.54859555,127.08911895,24.74227714538574,24.71826362609863,0.0240135192871093,0.12566435207167612,,,,175320396,30.0,1,,
68,자양로40길,주거지 도로,37.5485615,127.0891638,37.5484815,127.0892728,37.5485215,127.0892183,24.74227714538574,25.22198486328125,0.4797077178955113,2.0980154701217026,,,,175320433,30.0,1,,
69,자양로,주도로,37.5485615,127.0891638,37.5484895,127.0890861,37.5485255,127.08912495,24.74227714538574,24.5289249420166,0.213352203369137,1.1600100649621625,,,,1206937723,50.0,5,,
70,자양로,주도로,37.5485615,127.0891638,37.5490791,127.089777,37.5488203,127.0894704,24.74227714538574,25.82676696777344,1.0844898223877024,0.7868745391245738,,,,"[1206937720, 1206937721]",50.0,5,,
71,자양로41길,주거지 도로,37.5495481,127.0902943,37.5496178,127.0901911,37.54958295,127.0902427,27.33036041259766,27.16450881958008,0.1658515930175781,0.7950428623794012,,,,175320404,30.0,,,
72,자양로42길,주거지 도로,37.5495481,127.0902943,37.5494713,127.0903786,37.5495097,127.09033645,27.33036041259766,27.8121223449707,0.4817619323730397,2.436796951010709,,,,175320428,30.0,,,
73,자양로,주도로,37.5495481,127.0902943,37.5490791,127.089777,37.549313600000005,127.09003565,27.33036041259766,25.82676696777344,1.5035934448242188,1.243340353856617,,,,1206937720,50.0,5,,
74,자양로,주도로,37.5495481,127.0902943,37.5499081,127.0906948,37.5497281,127.09049455,27.33036041259766,27.85179710388184,0.5214366912841797,0.5597093639054499,,,,1206937727,50.0,5,,
75,천호대로,주도로,37.5500176,127.0908197,37.5498977,127.0909677,37.54995765,127.0908937,28.12388038635254,28.7352294921875,0.6113491058349609,1.8770572038842388,,,,175320267,,5,True,
76,자양로,주도로,37.5500176,127.0908197,37.550186,127.0909511,37.55010179999999,127.0908854,28.12388038635254,28.41224098205566,0.2883605957031214,0.7503138200819659,,,,1149812475,,4,,
77,자양로,주도로,37.5500176,127.0908197,37.5499081,127.0906948,37.54996285,127.09075725,28.12388038635254,27.85179710388184,0.2720832824706996,0.9495379661547358,,,,1206937727,50.0,5,,
78,천호대로132길,주거지 도로,37.5506271,127.0902166,37.5505657,127.0901448,37.5505964,127.0901807,29.13616180419922,29.17619895935059,0.0400371551513707,0.24639353602881212,,,,175320436,,,,
79,천호대로,주도로,37.5506271,127.0902166,37.5501733,127.0906147,37.5504002,127.09041565,29.13616180419922,28.44393730163574,0.6922245025634801,0.645244817400614,,,,944420331,,5,True,
80,천호대로127길,주거지 도로,37.5533477,127.0887981,37.5534137,127.0889358,37.553380700000005,127.08886695,33.53630828857422,33.62704467773438,0.0907363891601633,0.3665006641321093,,,,381407768,,,,
81,천호대로,주도로,37.5533477,127.0887981,37.553393,127.0887556,37.55337035,127.08877685,33.53630828857422,33.29473495483398,0.2415733337402414,2.203730786217003,,,,944420333,,5,True,
82,천호대로122길,주거지 도로,37.5536011,127.0882185,37.55348,127.0881393,37.55354055,127.0881789,32.31446838378906,32.27239608764648,0.0420722961425852,0.15892327578194199,,,,417136975,,,,
