도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
"['광장로', '광장앞지하차도']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,430.54218504196183,yes,,,"[175320385, 175320419, 175320429]",,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5464465,127.0980438,37.54597765,127.0979081,107.0436670194231,,,,516647748,,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749024999999,177.20334168537653,,,,516647752,,,,
자양로,주도로,37.536546,127.0835437,37.5363987,127.0835873,37.53647235,127.0835655,16.82415176319795,,,,1193259435,,3,True,
아차산로,2차로,37.536546,127.0835437,37.5365545,127.0836672,37.536550250000005,127.08360545,10.93040409075591,,,,1199529109,50,3,True,
자양로,주도로,37.545022,127.0852593,37.5448925,127.0852032,37.54495725,127.08523124999999,15.225505605644733,,,,218839804,,6,,
광나루로,2차로,37.545022,127.0852593,37.5450431,127.0856335,37.54503255,127.0854464,33.07420213711553,,,,516647746,,,True,
자양로,주도로,37.545022,127.0852593,37.5451285,127.0853145,37.54507525,127.0852869,12.936488255203717,,,,1206937730,,,,
천호대로,주도로,37.544993,127.1042608,37.5448879,127.1046267,37.54494045,127.10444375,34.310786872677305,,,,175320269,,,True,
아차산로,2차로,37.544993,127.1042608,37.5448287,127.1040968,37.544910849999994,127.1041788,23.298679223398143,,,,516647743,,,,
아차산로,주도로,37.544993,127.1042608,37.5451366,127.1043841,37.5450648,127.10432245000001,19.316686035266994,,,,1149812473,,,,
광나루로,2차로,37.5482763,127.0675055,37.5482744,127.0677615,37.54827535,127.0676335,22.569929789013,,,,218837465,,,True,
동일로,주도로,37.5482763,127.0675055,37.5483735,127.0675663,37.5483249,127.0675359,12.064296793083159,,,,175357595,,3,True,
뚝섬로,2차로,37.5331998,127.0756803,37.5330228,127.0762812,37.5331113,127.07598075,56.52332893977492,,,,37400301,,,,
자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,70.3495902668054,,,,37401581,30,4,,
뚝섬로,2차로,37.5331998,127.0756803,37.5334543,127.0747931,37.53332705,127.0752367,83.19229293589724,,,,482173984,,,,
자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,68.55209680436543,,,,516723466,,,,
자양번영로,3차로,37.5380336,127.0771393,37.5379207,127.0770962,37.53797715,127.07711775,13.116504343809762,,,,37401581,30,4,,
아차산로,2차로,37.5380336,127.0771393,37.5380027,127.0772607,37.53801815,127.0772,11.242023495838744,,,,516723474,50,3,True,
,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,13.892439824331609,,,,516723477,,,,
아차산로,2차로,37.5401059,127.0941004,37.5403492,127.0945026,37.54022755,127.0943015,44.60315968108188,,,,516725213,,,,
아차산로,2차로,37.5401059,127.0941004,37.5395727,127.0931743,37.5398393,127.09363735,100.92560727917721,,,,1221350594,,4,,
구의로,3차로,37.5446885,127.09067,37.5446143,127.0906488,37.5446514,127.09065939999999,8.459734411547153,,,,516647756,,,,
광나루로43길,2차로,37.5446885,127.09067,37.5447441,127.0907094,37.544716300000005,127.0906897,7.091474349537028,,,,976906317,,,,
광나루로,2차로,37.5446885,127.09067,37.5443758,127.09167,37.544532149999995,127.09117,94.77452157124955,,,,516647747,,,True,
군자로,주거지 도로,37.5480112,127.0704657,37.5479225,127.0704482,37.547966849999995,127.07045695,9.982940147089161,,,,37400386,,,,
군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.07047829999999,8.684211958948088,,,,175357606,,,,
광나루로,2차로,37.5480112,127.0704657,37.5476959,127.0723769,37.54785355,127.0714213,172.21070970367376,,,,218870944,,,True,
군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.07507240000001,10.274709349783574,,,,37399478,,,,
면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,11.022245324602155,,,,1149812479,,,,
군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,26.60598491549704,,,,175357606,,,,
긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,33.34658603550324,,,,381407814,,,,
긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,107.35186804155555,,,,417065473,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,43.61702999121711,,,,516648939,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5610455,127.0958009,37.5605757,127.0953317,139.05633875745127,,,,37399188,,,,
긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,144.03940273989323,,,,238270322,,,,
면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,37.563473200000004,127.07992825,75.70459977924126,,,,175357616,,,,
면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,58.079868439412216,,,,218790203,,,,
긴고랑로,2차로,37.56316,127.07976,37.5634038,127.0790976,37.56328190000001,127.07942879999999,64.37211818013917,,,,218790208,,,,
긴고랑로,2차로,37.56316,127.07976,37.5629354,127.080427,37.5630477,127.0800935,63.87569850962474,,,,516648937,,,,
능동로,2차로,37.5692556,127.0861341,37.5687939,127.0858809,37.56902475,127.0860075,55.9791722687481,,,,201080324,,,,
용마산로,주도로,37.5692556,127.0861341,37.5693301,127.0861351,37.56929285,127.08613460000001,8.284502566123912,,,,520484569,,,,
용마산로,주도로,37.5692556,127.0861341,37.5683984,127.0861049,37.568827,127.0861195,95.9455356288531,,,,516721541,,,,
긴고랑로,2차로,37.5622984,127.0823188,37.5619565,127.0829482,37.562127450000006,127.0826335,67.2539643186805,,,,393712976,,,,
능동로,2차로,37.5622984,127.0823188,37.5615258,127.0818962,37.5619121,127.0821075,93.6372886932545,,,,516648936,,,,
긴고랑로,2차로,37.5622984,127.0823188,37.5625249,127.0816462,37.56241165,127.0819825,64.41307392685044,,,,516648937,,,,
능동로,2차로,37.5622984,127.0823188,37.5628886,127.0826404,37.562593500000006,127.0824796,71.4876756423037,,,,516721539,,,,
자양로15길,주거지 도로,37.536232,127.0836367,37.5361651,127.0835573,37.536198549999995,127.083597,10.215304367014728,,,,174699420,,,,
자양로,주도로,37.536232,127.0836367,37.535948,127.0837207,37.53609,127.08367870000001,32.4363560213656,,,,1193259435,,3,True,
자양로,주도로,37.54023,127.08326,37.5407841,127.0834917,37.54050705,127.08337585,64.91164070230101,,,,1206937739,,6,,
,서비스 도로,37.54023,127.08326,37.5402667,127.0831411,37.54024835,127.08320055,11.249618362726006,,,,1276677095,,,,
자양로,주도로,37.54023,127.08326,37.5396198,127.0832181,37.5399249,127.08323905,68.81756198231757,,,,1206937739,,6,,
자양로,주도로,37.5413994,127.0837515,37.5411813,127.0836592,37.54129035,127.08370535,25.58062195376622,,,,1206937737,,6,,
자양로,주도로,37.5413994,127.0837515,37.5414536,127.0837746,37.5414265,127.08376305,6.361609100022769,,,,1206937737,,6,,
,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.08324759999999,108.39728123958076,,,,1206937738,,,,
자양로28길,주거지 도로,37.5425244,127.0842191,37.542491,127.0843378,37.5425077,127.08427845,11.104846586327813,,,,175320402,30,1,True,
자양로,주도로,37.5425244,127.0842191,37.5421022,127.0840533,37.5423133,127.08413619999999,49.169790572256915,,,,1206937737,,6,,
자양로,주도로,37.5425244,127.0842191,37.5426191,127.0842585,37.54257175,127.08423880000001,11.088355583980624,,,,1206937737,,6,,
자양로,주거지 도로,37.54359,127.08468,37.5436153,127.0845598,37.54360265,127.0846199,10.964535190802914,,,,175320305,,,,
자양로,주도로,37.54359,127.08468,37.5434714,127.0846301,37.543530700000005,127.08465505000001,13.90221767246571,,,,1206937734,,6,,
,주도로,37.54359,127.08468,37.5442893,127.0849783,37.54393965,127.08482915,82.08586770335117,,,,1303803455,,,,
자양로32길,주거지 도로,37.5444287,127.0850361,37.5444083,127.0851662,37.5444185,127.08510115,11.69234916451289,,,,175320459,,,,
자양로,주도로,37.5444287,127.0850361,37.5442893,127.0849783,37.544359,127.0850072,16.316762800022655,,,,218839804,,6,,
자양로,주도로,37.5444287,127.0850361,37.544553,127.0850798,37.54449085,127.08505794999999,14.34848986403235,,,,218839804,,6,,
자양로,주도로,37.546813,127.0871807,37.5465803,127.0869209,37.54669665,127.0870508,34.55623934190799,,,,37928434,50,,,
자양로35길,주거지 도로,37.546813,127.0871807,37.5468701,127.087095,37.546841549999996,127.08713785,9.869026218914486,,,,193242045,,,,
자양로,주도로,37.546813,127.0871807,37.5475093,127.0879981,37.54716115,127.0875894,105.77239365480003,,,,"[37928434, 1206937725]",50,5,,
자양로39길,주거지 도로,37.5485615,127.0891638,37.5486296,127.0890741,37.54859555,127.08911895,10.948793521747442,,,,175320396,30,1,,
자양로40길,주거지 도로,37.5485615,127.0891638,37.5484815,127.0892728,37.5485215,127.0892183,13.094746651913253,,,,175320433,30,1,,
자양로,주도로,37.5485615,127.0891638,37.5484895,127.0890861,37.5485255,127.08912495,10.536570466670662,,,,1206937723,50,5,,
자양로,주도로,37.5485615,127.0891638,37.5490791,127.089777,37.5488203,127.0894704,78.98959073309462,,,,"[1206937720, 1206937721]",50,5,,
자양로41길,주거지 도로,37.5495481,127.0902943,37.5496178,127.0901911,37.54958295,127.0902427,11.951556667854572,,,,175320404,30,,,
자양로42길,주거지 도로,37.5495481,127.0902943,37.5494713,127.0903786,37.5495097,127.09033645,11.320729686669264,,,,175320428,30,,,
자양로,주도로,37.5495481,127.0902943,37.5490791,127.089777,37.549313600000005,127.09003565,69.27801923369019,,,,1206937720,50,5,,
자양로,주도로,37.5495481,127.0902943,37.5499081,127.0906948,37.5497281,127.09049454999999,53.37629753796299,,,,1206937727,50,5,,
천호대로,주도로,37.5500176,127.0908197,37.5498977,127.0909677,37.549957649999996,127.0908937,18.65432797940624,,,,175320267,,5,True,
자양로,주도로,37.5500176,127.0908197,37.550186,127.0909511,37.55010179999999,127.09088539999999,22.018685447672063,,,,1149812475,,4,,
자양로,주도로,37.5500176,127.0908197,37.5499081,127.0906948,37.54996285,127.09075725,16.41621411513208,,,,1206937727,50,5,,
천호대로132길,주거지 도로,37.5506271,127.0902166,37.5505657,127.0901448,37.5505964,127.0901807,9.310102653075871,,,,175320436,,,,
천호대로,주도로,37.5506271,127.0902166,37.5501733,127.0906147,37.5504002,127.09041565000001,61.775959912676186,,,,944420331,,5,True,
천호대로127길,주거지 도로,37.5533477,127.0887981,37.5534137,127.0889358,37.553380700000005,127.08886695000001,14.184827186005457,,,,381407768,,,,
천호대로,주도로,37.5533477,127.0887981,37.553393,127.0887556,37.55337035,127.08877685,6.277684241505344,,,,944420333,,5,True,
천호대로122길,주거지 도로,37.5536011,127.0882185,37.55348,127.0881393,37.55354055,127.0881789,15.168087964667354,,,,417136975,,,,
천호대로,주도로,37.5536011,127.0882185,37.5534728,127.0884141,37.55353695,127.0883163,22.40658728895898,,,,944420332,,5,True,
천호대로,주도로,37.5556426,127.0830546,37.5551387,127.0843509,37.55539065,127.08370275,127.26865984413513,,,,175320268,,5,True,
천호대로114길,주거지 도로,37.5556426,127.0830546,37.5555633,127.0830062,37.55560295,127.0830304,9.795727170977896,,,,175320458,,,,
군자로,3차로,37.557395,127.0786804,37.5573055,127.07862,37.55735025,127.0786502,11.286661690895825,,,,37399478,,,,
천호대로,주도로,37.557395,127.0786804,37.5570888,127.0794562,37.5572419,127.07906829999999,76.39332400628281,,,,1149812478,,5,True,
천호대로,주도로,37.5580747,127.0769544,37.5580132,127.0771187,37.55804395,127.07703655,16.01611339530023,,,,1149812478,,5,True,
면목로,3차로,37.5580747,127.0769544,37.5579482,127.0768805,37.558011449999995,127.07691745,15.501346504526605,,,,1149812479,,,,
면목로,3차로,37.5580747,127.0769544,37.5582076,127.0770318,37.55814115,127.07699310000001,16.27676422995455,,,,1149812480,,,,
동일로,주도로,37.563293,127.0760044,37.5637286,127.076252,37.5635108,127.0761282,53.12613556999466,,,,218790207,,,True,
동일로,주거지 도로,37.563293,127.0760044,37.5632661,127.0760945,37.563279550000004,127.07604945,8.486232145377322,,,,380764186,,,,
동일로,주도로,37.5673628,127.0782525,37.5679131,127.0785682,37.56763795,127.07841035000001,67.21992920167494,,,,175357599,,,,
동일로74길,주거지 도로,37.5673628,127.0782525,37.567316,127.0783846,37.567339399999994,127.07831855,12.753003602787881,,,,380722335,,,,
동일로,주도로,37.5673628,127.0782525,37.5661328,127.0774882,37.5667478,127.07787035000001,153.62757138913298,,,,1060930647,,,True,
,서비스 도로,37.5518293,127.1096747,37.5519147,127.1095343,37.551872,127.1096045,15.60021411805397,,,parking_aisle,241755317,,,,
아차산로,주도로,37.5518293,127.1096747,37.5508616,127.1089575,37.55134545,127.1093161,125.94093546138294,,,,37394464,,,True,
아차산로,주도로,37.5493016,127.1079949,37.5482083,127.1072098,37.54875495,127.10760235000001,140.0021040844524,,,,516647750,,,,
,서비스 도로,37.5493016,127.1079949,37.5500523,127.107746,37.54967695,127.10787045000001,96.27368081614895,,,parking_aisle,516647751,,,,
아차산로,주도로,37.5493016,127.1079949,37.5503666,127.1087805,37.5498341,127.1083877,139.4022622099882,,,,1210106653,,,True,
아차산로,주도로,37.5461477,127.105331,37.5467434,127.1058268,37.54644555,127.10557890000001,79.36135252933038,,,,516647742,,,,
아차산로,주도로,37.5461477,127.105331,37.5457441,127.1049887,37.5459459,127.10515985,54.08125250225751,,,,975333464,,,,
,2차로,37.5461477,127.105331,37.5466618,127.1061289,37.54640475,127.10572995000001,92.01176651122621,,,,37399456,,,True,
동일로26길,주거지 도로,37.5455937,127.0659888,37.545567,127.0660686,37.545580349999994,127.0660287,7.636196904227966,,,,255631684,,,,
동일로,주도로,37.5455937,127.0659888,37.5456852,127.0660422,37.545639449999996,127.06601549999999,11.21078876740048,,,,1135326939,,,True,
동일로30길,주거지 도로,37.547704,127.0671768,37.5476803,127.0672799,37.54769215,127.06722835,9.463687701437042,,,,381409375,,,,
동일로,주도로,37.547704,127.0671768,37.5477488,127.0672018,37.5477264,127.0671893,5.4473312403008745,,,,1135326939,,,True,
동일로,주도로,37.549618,127.0682889,37.5501372,127.0685767,37.5498776,127.0684328,63.06165605127219,,,,175357595,,3,True,
동일로32길,주거지 도로,37.549618,127.0682889,37.5495818,127.0683853,37.549599900000004,127.06833710000001,9.403544834574403,,,,381467389,,,,
동일로,주도로,37.553056,127.0702078,37.5531665,127.0702709,37.55311125,127.07023935000001,13.487531569826938,,,,175357595,,3,True,
동일로42길,주거지 도로,37.553056,127.0702078,37.5530263,127.0702808,37.55304115,127.07024430000001,7.2331927452158125,,,,381467429,,,,
강변북로,간선도로,37.5420651,127.1050696,37.538201,127.1001839,37.54013305,127.10262675,610.1961043465545,,,,172203038,,,True,
자양번영로,3차로,37.529737,127.0746347,37.530543,127.0748984,37.53014,127.07476654999999,92.59074781937784,,,,37398869,,,,
