도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
"['광장앞지하차도', '광장로']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,430.54218504196183,yes,,,"[175320385, 175320419, 175320429]",,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.546539,127.0980531,37.5460239,127.09791275,117.36183974184226,,,,516647748,,,,
워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749024999999,177.20334168537653,,,,516647752,,,,
자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,70.3495902668054,,,,37401581,30,4,,
자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,68.55209680436543,,,,516723466,,,,
,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,13.892439824331609,,,,516723477,,,,
자양번영로,3차로,37.5380336,127.0771393,37.5373994,127.0769243,37.5377165,127.0770318,73.03133474145415,,,,37401581,30,4,,
구의로,3차로,37.5446885,127.09067,37.5439096,127.0904748,37.54429905,127.0905724,88.30643765024925,,,,516647756,,,,
군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.07047829999999,8.684211958948088,,,,175357606,,,,
군자로,주거지 도로,37.5480112,127.0704657,37.5474811,127.0703611,37.547746149999995,127.0704134,59.661490990463015,,,,37400386,,,,
군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.07507240000001,10.274709349783574,,,,37399478,,,,
면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,11.022245324602155,,,,1149812479,,,,
군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,26.60598491549704,,,,175357606,,,,
긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,33.34658603550324,,,,381407814,,,,
긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,107.35186804155555,,,,417065473,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,43.61702999121711,,,,516648939,,,,
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5620939,127.0960892,37.5610999,127.09547585,259.3622358782486,,,,37399188,,,,
긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,144.03940273989323,,,,238270322,,,,
면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,37.563473200000004,127.07992825,75.70459977924126,,,,175357616,,,,
면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,58.079868439412216,,,,218790203,,,,
자양로15길,주거지 도로,37.536232,127.0836367,37.5359673,127.0831829,37.53609965,127.0834098,49.883642337169434,,,,174699420,,,,
,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.08324759999999,108.39728123958076,,,,1206937738,,,,
자양로28길,주거지 도로,37.5425244,127.0842191,37.5423055,127.0850319,37.542414949999994,127.0846255,75.68415927484246,,,,175320402,30,1,True,
자양로,주거지 도로,37.54359,127.08468,37.5437685,127.0838934,37.54367925,127.0842867,72.13768812008632,,,,175320305,,,,
자양로32길,주거지 도로,37.5444287,127.0850361,37.54428,127.0867504,37.54435435,127.08589325,152.08938019922988,,,,175320459,,,,
자양로35길,주거지 도로,37.546813,127.0871807,37.5471237,127.0867403,37.54696835,127.0869605,51.97668034932426,,,,193242045,,,,
자양로39길,주거지 도로,37.5485615,127.0891638,37.5489365,127.0886515,37.548749,127.08890765,61.471932188182855,,,,175320396,30,1,,
자양로40길,주거지 도로,37.5485615,127.0891638,37.5481493,127.0897315,37.5483554,127.08944765,67.86515636025018,,,,175320433,30,1,,
자양로41길,주거지 도로,37.5495481,127.0902943,37.5500668,127.0895613,37.54980745,127.0899278,86.61983650134609,,,,175320404,30,,,
자양로42길,주거지 도로,37.5495481,127.0902943,37.5491494,127.0908483,37.54934875,127.0905713,66.0548415926319,,,,175320428,30,,,
천호대로132길,주거지 도로,37.5506271,127.0902166,37.5500668,127.0895613,37.550346950000005,127.08988895,84.96434894526595,,,,175320436,,,,
