,도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,시작점_고도,종료점_고도,고도의_차이,경사각,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
0,"['광장로', '광장앞지하차도']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,39.83039855957031,21.12525939941406,18.705139160156257,2.6782658226070084,yes,,,"[175320385, 175320419, 175320429]",,,,
1,워커힐로,주거지 도로,37.5455088,127.0977724,37.5464465,127.0980438,37.54597765,127.0979081,39.83039855957031,49.78534698486328,9.954948425292969,5.316423431292289,,,,516647748,,,,
2,워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749025,39.83039855957031,30.9041576385498,8.926240921020511,2.8865456526156823,,,,516647752,,,,
3,아차산로,2차로,37.536546,127.0835437,37.5365545,127.0836672,37.536550250000005,127.08360545,16.22031211853027,16.27426719665527,0.053955078125,0.2828237174694705,,,,1199529109,50.0,3,True,
4,자양로,주도로,37.536546,127.0835437,37.5363103,127.0836135,37.53642815,127.0835786,16.22031211853027,16.15033721923828,0.0699748992919886,0.14892357185791857,,,,1193259435,,3,True,
5,광나루로,2차로,37.545022,127.0852593,37.544975,127.0870503,37.544998500000005,127.0861548,21.66516494750977,22.64843559265137,0.9832706451416016,0.3565882885150371,,,,516647746,,,True,
6,자양로,주도로,37.545022,127.0852593,37.5451285,127.0853145,37.54507525,127.0852869,21.66516494750977,21.75747680664062,0.0923118591308522,0.4130973329282822,,,,1206937730,,,,
7,천호대로,주도로,37.544993,127.1042608,37.5448879,127.1046267,37.54494045,127.10444375,16.18956756591797,16.34496307373047,0.1553955078125,0.25949444082191914,,,,175320269,,,True,
8,아차산로,2차로,37.544993,127.1042608,37.5448287,127.1040968,37.544910849999994,127.1041788,16.18956756591797,15.96547985076904,0.2240877151489293,0.5510570984138289,,,,516647743,,,,
9,아차산로,주도로,37.544993,127.1042608,37.5451366,127.1043841,37.5450648,127.10432245,16.18956756591797,16.25669860839844,0.0671310424804723,0.1991188007176386,,,,1149812473,,,,
10,동일로,주도로,37.5482763,127.0675055,37.5483735,127.0675663,37.5483249,127.0675359,11.52144336700439,11.61407566070557,0.0926322937011807,0.4399214326032712,,,,175357595,,3,True,
11,광나루로,2차로,37.5482763,127.0675055,37.5481693,127.0688027,37.5482228,127.0681541,11.52144336700439,13.12685871124268,1.60541534423829,0.7999562450940234,,,,218837465,,,True,
12,뚝섬로,2차로,37.5331998,127.0756803,37.5330228,127.0762812,37.5331113,127.07598075,15.15959644317627,16.45175361633301,1.2921571731567418,1.3095896040689639,,,,37400301,,,,
13,자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,15.15959644317627,15.78329467773438,0.6236982345581108,0.5079544975974131,,,,37401581,30.0,4,,
14,뚝섬로,2차로,37.5331998,127.0756803,37.5334543,127.0747931,37.53332705,127.0752367,15.15959644317627,13.82678985595703,1.33280658721924,0.9178466556763262,,,,482173984,,,,
15,자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,15.15959644317627,14.77540969848633,0.3841867446899396,0.3211000200619302,,,,516723466,,,,
16,자양번영로,3차로,37.5380336,127.0771393,37.5373994,127.0769243,37.5377165,127.0770318,18.76070594787598,17.14471054077148,1.6159954071044993,1.26773917658457,,,,37401581,30.0,4,,
17,아차산로,2차로,37.5380336,127.0771393,37.5376324,127.0787038,37.537833,127.07792155,18.76070594787598,23.36366081237793,4.60295486450195,1.8184716012067181,,,,516723474,50.0,3,True,
18,아차산로,주거지 도로,37.5380336,127.0771393,37.5385253,127.0772548,37.538279450000005,127.07719705,18.76070594787598,19.45823097229004,0.697525024414059,0.7185691381362536,,,,"[516723477, 175320262]",,,,
19,아차산로,2차로,37.5401059,127.0941004,37.5403492,127.0945026,37.54022755,127.0943015,16.89882469177246,16.21907234191895,0.6797523498535121,0.8731215730500613,,,,516725213,,,,
20,아차산로,2차로,37.5401059,127.0941004,37.5395727,127.0931743,37.5398393,127.09363735,16.89882469177246,18.20189666748047,1.3030719757080078,0.7398402146640947,,,,1221350594,,4,,
21,광나루로43길,2차로,37.5446885,127.09067,37.5447441,127.0907094,37.544716300000005,127.0906897,24.63214492797852,24.71284294128418,0.0806980133056605,0.6519747962090661,,,,976906317,,,,
22,광나루로,2차로,37.5446885,127.09067,37.5443758,127.09167,37.544532149999995,127.09117,24.63214492797852,22.84584808349609,1.786296844482429,1.0797917957355672,,,,516647747,,,True,
23,구의로,3차로,37.5446885,127.09067,37.5439096,127.0904748,37.54429905,127.0905724,24.63214492797852,23.3469123840332,1.2852325439453196,0.8338697900356089,,,,516647756,,,,
24,군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.0704783,13.94673538208008,13.94578266143799,0.0009527206420898,0.0062857688179408745,,,,175357606,,,,
25,군자로,주거지 도로,37.5480112,127.0704657,37.5474811,127.0703611,37.547746149999995,127.0704134,13.94673538208008,14.09012413024902,0.1433887481689399,0.13770299319076637,,,,37400386,,,,
26,광나루로,2차로,37.5480112,127.0704657,37.5476959,127.0723769,37.54785355,127.0714213,13.94673538208008,14.18828105926514,0.2415456771850603,0.08041524821817078,,,,218870944,,,True,
27,군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.0750724,16.05854606628418,16.11652374267578,0.0579776763916015,0.3233031209309044,,,,37399478,,,,
28,면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,16.05854606628418,16.02910232543945,0.0294437408447301,0.15305415586492882,,,,1149812479,,,,
29,군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,16.05854606628418,15.87260627746582,0.1859397888183593,0.40041912936204205,,,,175357606,,,,
30,긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,41.08017730712891,48.41543579101562,7.335258483886704,12.405812291870058,,,,381407814,,,,
31,긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,41.08017730712891,49.37260055541992,8.292423248291009,4.417062415032384,,,,417065473,,,,
32,긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,41.08017730712891,39.24346160888672,1.8367156982421944,2.411307433481277,,,,516648939,,,,
33,긴고랑로,주거지 도로,37.5601059,127.0948625,37.5610455,127.0958009,37.5605757,127.0953317,41.08017730712891,47.48832321166992,6.4081459045410085,2.7531360344288687,,,,37399188,,,,
34,긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,41.08017730712891,47.52799224853516,6.44781494140625,2.975337268075054,,,,238270322,,,,
35,면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,37.5634732,127.07992825,15.52191257476807,17.59653091430664,2.0746183395385707,1.5697500641282207,,,,175357616,,,,
36,면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,15.52191257476807,17.55953979492188,2.0376272201538086,2.0092976166713656,,,,218790203,,,,
37,긴고랑로,2차로,37.56316,127.07976,37.5634038,127.0790976,37.56328190000001,127.0794288,15.52191257476807,15.89190578460693,0.3699932098388601,0.32931720247446006,,,,218790208,,,,
38,긴고랑로,2차로,37.56316,127.07976,37.5629354,127.080427,37.5630477,127.0800935,15.52191257476807,14.64857006072998,0.8733425140380895,0.7833306603207416,,,,516648937,,,,
39,능동로,2차로,37.5692556,127.0861341,37.5687939,127.0858809,37.56902475,127.0860075,35.20948791503906,31.99382781982422,3.215660095214844,3.287682692394816,,,,201080324,,,,
40,용마산로,주도로,37.5692556,127.0861341,37.5693301,127.0861351,37.56929285,127.0861346,35.20948791503906,35.65571594238281,0.44622802734375,3.083146667063708,,,,520484569,,,,
41,용마산로,주도로,37.5692556,127.0861341,37.5683984,127.0861049,37.568827,127.0861195,35.20948791503906,31.57700347900391,3.6324844360351527,2.181679997579166,,,,516721541,,,,
42,긴고랑로,2차로,37.5622984,127.0823188,37.5619565,127.0829482,37.562127450000006,127.0826335,15.58108043670654,15.90922451019287,0.3281440734863299,0.2795544922573804,,,,393712976,,,,
43,능동로,2차로,37.5622984,127.0823188,37.5615258,127.0818962,37.5619121,127.0821075,15.58108043670654,17.39458465576172,1.8135042190551791,1.1095290933569575,,,,516648936,,,,
44,긴고랑로,2차로,37.5622984,127.0823188,37.5625249,127.0816462,37.56241165,127.0819825,15.58108043670654,15.13067722320557,0.4504032135009694,0.4006301441054419,,,,516648937,,,,
45,능동로,2차로,37.5622984,127.0823188,37.5628886,127.0826404,37.562593500000006,127.0824796,15.58108043670654,15.77791690826416,0.1968364715576207,0.15775987125333138,,,,516721539,,,,
46,자양로15길,주거지 도로,37.536232,127.0836367,37.5359673,127.0831829,37.53609965,127.0834098,16.08351898193359,16.56797790527344,0.4844589233398508,0.5587872084723416,,,,174699420,,,,
47,자양로,주도로,37.536232,127.0836367,37.535948,127.0837207,37.53609,127.0836787,16.08351898193359,15.71996116638184,0.3635578155517507,0.6421648082861318,,,,1193259435,,3,True,
48,,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.0832476,18.52116012573242,24.13931846618652,5.618158340454102,3.127026126818438,,,,1206937738,,,,
49,자양로28길,주거지 도로,37.5425244,127.0842191,37.5423055,127.0850319,37.542414949999994,127.0846255,21.65168762207031,20.93257331848145,0.7191143035888601,0.5443898289116479,,,,175320402,30.0,1,True,
50,자양로32길,주거지 도로,37.5444287,127.0850361,37.54428,127.0867504,37.54435435,127.08589325,21.93979835510254,22.57787895202637,0.6380805969238317,0.24045394329893252,,,,175320459,,,,
51,자양로,주도로,37.546813,127.0871807,37.5465803,127.0869209,37.54669665,127.0870508,23.23833656311035,23.39659690856934,0.1582603454589879,0.2624012174153593,,,,37928434,50.0,,,
52,자양로,주도로,37.546813,127.0871807,37.547563,127.0880614,37.547188,127.08762105,23.23833656311035,23.94073295593262,0.7023963928222692,0.35318692881556674,,,,"[37928434, 1206937725]",50.0,5,,
53,자양로35길,주거지 도로,37.546813,127.0871807,37.5471237,127.0867403,37.54696835,127.0869605,23.23833656311035,25.10017395019531,1.8618373870849576,2.0516889498587902,,,,193242045,,,,
54,자양로39길,주거지 도로,37.5485615,127.0891638,37.5489365,127.0886515,37.548749,127.08890765,24.74227714538574,25.95552825927734,1.2132511138916016,1.1307231737795151,,,,175320396,30.0,1,,
55,자양로40길,주거지 도로,37.5485615,127.0891638,37.5481493,127.0897315,37.5483554,127.08944765,24.74227714538574,27.60931587219238,2.8670387268066406,2.4190969667723046,,,,175320433,30.0,1,,
56,자양로,주도로,37.5485615,127.0891638,37.5495481,127.0902943,37.5490548,127.08972905,24.74227714538574,27.33036041259766,2.588083267211921,1.000371807149505,,,,"[1206937720, 1206937721]",50.0,5,,
57,자양로,주도로,37.5485615,127.0891638,37.547563,127.0880614,37.54806225,127.0886126,24.74227714538574,23.94073295593262,0.8015441894531179,0.3112360118547656,,,,"[1206937723, 1206937724]",50.0,5,,
58,자양로41길,주거지 도로,37.5495481,127.0902943,37.5500668,127.0895613,37.54980745,127.0899278,27.33036041259766,29.11361503601074,1.7832546234130788,1.179441641466449,,,,175320404,30.0,,,
59,자양로42길,주거지 도로,37.5495481,127.0902943,37.5491494,127.0908483,37.54934875,127.0905713,27.33036041259766,29.8924560546875,2.56209564208984,2.224416498183734,,,,175320428,30.0,,,
60,자양로,주도로,37.5495481,127.0902943,37.5485615,127.0891638,37.5490548,127.08972905,27.33036041259766,24.74227714538574,2.588083267211921,1.000371807149505,,,,"[1206937720, 1206937721]",50.0,5,,
61,자양로,주도로,37.5495481,127.0902943,37.5500176,127.0908197,37.54978285,127.090557,27.33036041259766,28.12388038635254,0.7935199737548793,0.6514177367526081,,,,1206937727,50.0,5,,
62,자양로,주도로,37.5500176,127.0908197,37.550186,127.0909511,37.55010179999999,127.0908854,28.12388038635254,28.41224098205566,0.2883605957031214,0.7503138200819659,,,,1149812475,,4,,
63,천호대로,주도로,37.5500176,127.0908197,37.5492881,127.0919276,37.54965285,127.09137365,28.12388038635254,32.55463409423828,4.430753707885742,1.9987070394936464,,,,175320267,,5,True,
64,자양로,주도로,37.5500176,127.0908197,37.5495481,127.0902943,37.54978285,127.090557,28.12388038635254,27.33036041259766,0.7935199737548793,0.6514177367526081,,,,1206937727,50.0,5,,
65,천호대로132길,주거지 도로,37.5506271,127.0902166,37.5500668,127.0895613,37.550346950000005,127.08988895,29.13616180419922,29.11361503601074,0.0225467681884801,0.015204453043699055,,,,175320436,,,,
66,천호대로,주도로,37.5506271,127.0902166,37.5500176,127.0908197,37.55032235,127.09051815,29.13616180419922,28.12388038635254,1.0122814178466797,0.6732884367921627,,,,944420331,,5,True,
67,천호대로,주도로,37.5533477,127.0887981,37.553393,127.0887556,37.55337035,127.08877685,33.53630828857422,33.29473495483398,0.2415733337402414,2.203730786217003,,,,944420333,,5,True,
68,천호대로127길,주거지 도로,37.5533477,127.0887981,37.5536919,127.0898116,37.5535198,127.08930485,33.53630828857422,35.11449432373047,1.57818603515625,0.9302347694569942,,,,381407768,,,,
69,천호대로122길,주거지 도로,37.5536011,127.0882185,37.553069,127.0878705,37.55333505,127.0880445,32.31446838378906,30.59161186218262,1.7228565216064418,1.4807931280489743,,,,417136975,,,,
70,천호대로,주도로,37.5536011,127.0882185,37.5534728,127.0884141,37.55353695,127.0883163,32.31446838378906,33.06740570068359,0.7529373168945241,1.9269339372370857,,,,944420332,,5,True,
71,천호대로,주도로,37.5556426,127.0830546,37.5551387,127.0843509,37.55539065,127.08370275,18.03408241271973,21.54841423034668,3.5143318176269496,1.5817367011899703,,,,175320268,,5,True,
72,천호대로114길,주거지 도로,37.5556426,127.0830546,37.5550773,127.0827101,37.55535995,127.08288235,18.03408241271973,19.13874816894531,1.1046657562255788,0.9065683681347998,,,,175320458,,,,
73,천호대로,주도로,37.557395,127.0786804,37.5570888,127.0794562,37.5572419,127.0790683,14.86245155334473,14.79995918273926,0.0624923706054705,0.04686997710103747,,,,1149812478,,5,True,
74,군자로,3차로,37.557395,127.0786804,37.5568273,127.0782204,37.55711115,127.0784504,14.86245155334473,15.52370452880859,0.6612529754638601,0.5049671033055755,,,,37399478,,,,
75,면목로,3차로,37.5580747,127.0769544,37.5579482,127.0768805,37.558011449999995,127.07691745,14.46041297912598,14.73758220672607,0.2771692276000905,1.0243598722328482,,,,1149812479,,,,
76,면목로,3차로,37.5580747,127.0769544,37.5582076,127.0770318,37.55814115,127.0769931,14.46041297912598,14.25701999664307,0.2033929824829101,0.7159266591183538,,,,1149812480,,,,
77,천호대로,주도로,37.5580747,127.0769544,37.557395,127.0786804,37.55773485,127.0778174,14.46041297912598,14.86245155334473,0.40203857421875,0.135593898139324,,,,1149812478,,5,True,
78,동일로,주도로,37.563293,127.0760044,37.5637286,127.076252,37.5635108,127.0761282,14.25532150268555,14.06499481201172,0.1903266906738299,0.2052640332075583,,,,218790207,,,True,
79,동일로,주거지 도로,37.563293,127.0760044,37.5630542,127.076684,37.5631736,127.0763442,14.25532150268555,15.07285594940186,0.8175344467163104,0.7148460439694053,,,,380764186,,,,
80,동일로,주도로,37.5673628,127.0782525,37.5679131,127.0785682,37.56763795,127.07841035,14.38374519348145,14.35261726379395,0.0311279296875,0.026532330653011908,,,,175357599,,,,
81,동일로74길,주거지 도로,37.5673628,127.0782525,37.5671028,127.0789829,37.5672328,127.0786177,14.38374519348145,17.44588088989258,3.062135696411131,2.4846110532044303,,,,380722335,,,,
