도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부,시작점_고도,종료점_고도,고도의_차이
"['광장로', '광장앞지하차도']",3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,yes,,,"[175320385, 175320419, 175320429]",,,,,39.83039855957031,21.12525939941406,18.705139160156254
워커힐로,주거지 도로,37.5455088,127.0977724,37.546539,127.0980531,37.5460239,127.09791275,,,,516647748,,,,,39.83039855957031,50.53133392333984,10.700935363769524
워커힐로,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749025,,,,516647752,,,,,39.83039855957031,30.9041576385498,8.926240921020511
자양번영로,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,,,,37401581,30.0,4.0,,,15.15959644317627,15.78329467773438,0.6236982345581108
자양번영로,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,,,,516723466,,,,,15.15959644317627,14.77540969848633,0.38418674468993963
,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,,,,516723477,,,,,18.76070594787598,18.89164161682129,0.13093566894530895
자양번영로,3차로,37.5380336,127.0771393,37.5373994,127.0769243,37.5377165,127.0770318,,,,37401581,30.0,4.0,,,18.76070594787598,17.14471054077148,1.6159954071044993
구의로,3차로,37.5446885,127.09067,37.5439096,127.0904748,37.54429905,127.0905724,,,,516647756,,,,,24.63214492797852,23.3469123840332,1.2852325439453196
군자로,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.0704783,,,,175357606,,,,,13.94673538208008,13.94578266143799,0.0009527206420898438
군자로,주거지 도로,37.5480112,127.0704657,37.5474811,127.0703611,37.547746149999995,127.0704134,,,,37400386,,,,,13.94673538208008,14.09012413024902,0.14338874816893998
군자로,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.0750724,,,,37399478,,,,,16.05854606628418,16.11652374267578,0.05797767639160156
면목로,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,,,,1149812479,,,,,16.05854606628418,16.02910232543945,0.029443740844730115
군자로,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,,,,175357606,,,,,16.05854606628418,15.87260627746582,0.18593978881835938
긴고랑로46길,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,,,,381407814,,,,,41.08017730712891,48.41543579101562,7.3352584838867045
긴고랑로44길,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,,,,417065473,,,,,41.08017730712891,49.37260055541992,8.292423248291009
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,,,,516648939,,,,,41.08017730712891,39.24346160888672,1.8367156982421946
긴고랑로,주거지 도로,37.5601059,127.0948625,37.5620939,127.0960892,37.5610999,127.09547585,,,,37399188,,,,,41.08017730712891,52.28463745117188,11.204460144042969
긴고랑로45길,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,,,,238270322,,,,,41.08017730712891,47.52799224853516,6.44781494140625
면목로,3차로,37.56316,127.07976,37.5637864,127.0800965,37.5634732,127.07992825,,,,175357616,,,,,15.52191257476807,17.59653091430664,2.0746183395385707
면목로,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,,,,218790203,,,,,15.52191257476807,17.55953979492188,2.0376272201538086
자양로15길,주거지 도로,37.536232,127.0836367,37.5359673,127.0831829,37.53609965,127.0834098,,,,174699420,,,,,16.08351898193359,16.56797790527344,0.48445892333985086
,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.0832476,,,,1206937738,,,,,18.52116012573242,24.13931846618652,5.618158340454102
자양로28길,주거지 도로,37.5425244,127.0842191,37.5423055,127.0850319,37.542414949999994,127.0846255,,,,175320402,30.0,1.0,True,,21.65168762207031,20.93257331848145,0.7191143035888601
자양로,주거지 도로,37.54359,127.08468,37.5437685,127.0838934,37.54367925,127.0842867,,,,175320305,,,,,21.9696044921875,22.92889976501465,0.9592952728271484
자양로32길,주거지 도로,37.5444287,127.0850361,37.54428,127.0867504,37.54435435,127.08589325,,,,175320459,,,,,21.93979835510254,22.57787895202637,0.6380805969238317
자양로35길,주거지 도로,37.546813,127.0871807,37.5471237,127.0867403,37.54696835,127.0869605,,,,193242045,,,,,23.23833656311035,25.10017395019531,1.8618373870849574
자양로39길,주거지 도로,37.5485615,127.0891638,37.5489365,127.0886515,37.548749,127.08890765,,,,175320396,30.0,1.0,,,24.74227714538574,25.95552825927734,1.2132511138916016
자양로40길,주거지 도로,37.5485615,127.0891638,37.5481493,127.0897315,37.5483554,127.08944765,,,,175320433,30.0,1.0,,,24.74227714538574,27.60931587219238,2.8670387268066406
자양로41길,주거지 도로,37.5495481,127.0902943,37.5500668,127.0895613,37.54980745,127.0899278,,,,175320404,30.0,,,,27.33036041259766,29.11361503601074,1.7832546234130788
자양로42길,주거지 도로,37.5495481,127.0902943,37.5491494,127.0908483,37.54934875,127.0905713,,,,175320428,30.0,,,,27.33036041259766,29.8924560546875,2.56209564208984
천호대로132길,주거지 도로,37.5506271,127.0902166,37.5500668,127.0895613,37.550346950000005,127.08988895,,,,175320436,,,,,29.13616180419922,29.11361503601074,0.022546768188480115
천호대로127길,주거지 도로,37.5533477,127.0887981,37.5536919,127.0898116,37.5535198,127.08930485,,,,381407768,,,,,33.53630828857422,35.11449432373047,1.57818603515625
천호대로122길,주거지 도로,37.5536011,127.0882185,37.553069,127.0878705,37.55333505,127.0880445,,,,417136975,,,,,32.31446838378906,30.59161186218262,1.7228565216064418
천호대로114길,주거지 도로,37.5556426,127.0830546,37.5550773,127.0827101,37.55535995,127.08288235,,,,175320458,,,,,18.03408241271973,19.13874816894531,1.1046657562255788
군자로,3차로,37.557395,127.0786804,37.5568273,127.0782204,37.55711115,127.0784504,,,,37399478,,,,,14.86245155334473,15.52370452880859,0.6612529754638601
면목로,3차로,37.5580747,127.0769544,37.5582076,127.0770318,37.55814115,127.0769931,,,,1149812480,,,,,14.46041297912598,14.25701999664307,0.20339298248291016
면목로,3차로,37.5580747,127.0769544,37.5576172,127.076699,37.55784595,127.0768267,,,,1149812479,,,,,14.46041297912598,14.81845664978027,0.35804367065428977
동일로,주거지 도로,37.563293,127.0760044,37.5630542,127.076684,37.5631736,127.0763442,,,,380764186,,,,,14.25532150268555,15.07285594940186,0.8175344467163104
동일로74길,주거지 도로,37.5673628,127.0782525,37.5671028,127.0789829,37.5672328,127.0786177,,,,380722335,,,,,14.38374519348145,17.44588088989258,3.062135696411131
동일로26길,주거지 도로,37.5455937,127.0659888,37.5453519,127.0667118,37.5454728,127.0663503,,,,255631684,,,,,10.84312534332275,13.2146053314209,2.37147998809815
동일로30길,주거지 도로,37.547704,127.0671768,37.5476284,127.067994,37.5476662,127.0675854,,,,381409375,,,,,11.73221874237061,12.33743667602539,0.6052179336547798
동일로32길,주거지 도로,37.549618,127.0682889,37.5494469,127.0687685,37.54953245,127.0685287,,,,381467389,,,,,11.89680957794189,12.28364562988281,0.3868360519409215
동일로42길,주거지 도로,37.553056,127.0702078,37.5520835,127.07093,37.55256975,127.0705689,,,,381467429,,,,,16.62256813049316,14.77401161193848,1.8485565185546804
자양번영로4길,주거지 도로,37.5316065,127.0752045,37.5314716,127.0759258,37.531539050000006,127.07556515,,,,85960678,,,,,13.81517314910889,15.13011455535889,1.31494140625
자양번영로3길,주거지 도로,37.5316065,127.0752045,37.5317376,127.0744774,37.53167205,127.07484095,,,,172058978,,,,,13.81517314910889,14.95196151733398,1.1367883682250906
자양번영로,3차로,37.5316065,127.0752045,37.532309,127.0754276,37.53195775,127.07531605,,,,516723466,,,,,13.81517314910889,14.47717571258545,0.662002563476559
자양번영로,3차로,37.5316065,127.0752045,37.531107,127.0750607,37.53135675,127.0751326,,,,516723466,,,,,13.81517314910889,13.74664211273193,0.06853103637696023
자양번영로,3차로,37.532597,127.0755173,37.5331998,127.0756803,37.5328984,127.0755988,,,,516723466,,,,,14.77540969848633,15.15959644317627,0.38418674468993963
자양번영로,3차로,37.532597,127.0755173,37.532309,127.0754276,37.532453,127.07547245,,,,516723466,,,,,14.77540969848633,14.47717571258545,0.2982339859008807
뚝섬로67길,주거지 도로,37.53431,127.09109,37.5351906,127.0907255,37.5347503,127.09090775,,,,174699477,,,,,18.26291847229004,19.55079650878906,1.2878780364990199
구의강변로,3차로,37.5344847,127.0917181,37.5338736,127.0916212,37.53417915,127.09166965,,,,37399363,,,,,17.23524284362793,18.18302345275879,0.9477806091308594
뚝섬로,3차로,37.5344847,127.0917181,37.53441,127.09268,37.53444735,127.09219905,,,,174699441,,,,,17.23524284362793,17.38601875305176,0.15077590942383168
구의강변로3길,주거지 도로,37.53552,127.09211,37.535693,127.0916754,37.5356065,127.0918927,,,,174699396,,,,,17.90701103210449,18.44364547729492,0.5366344451904297
구의강변로5길,주거지 도로,37.537641,127.0934284,37.5384199,127.0926533,37.53803045,127.09304085,,,,175320391,,,,,16.81145858764648,18.5491828918457,1.7377243041992188
광나루로54길,주거지 도로,37.5380704,127.0936773,37.5376689,127.0947171,37.537869650000005,127.0941972,,,,175320355,30.0,2.0,,,16.51873016357422,18.94391441345215,2.4251842498779297
아차산로62길,주거지 도로,37.5389714,127.0939848,37.5390227,127.09366,37.53899705,127.0938224,,,,175320394,,,,,16.84341812133789,16.83357429504395,0.00984382629394176
긴고랑로42길,주거지 도로,37.558874,127.0930525,37.5586685,127.0930614,37.55877125000001,127.09305695,,,,417065476,,,,,32.98133087158203,32.86771774291992,0.11361312866210938
긴고랑로,주거지 도로,37.558874,127.0930525,37.5587676,127.0925978,37.55882080000001,127.09282515,,,,516648939,,,,,32.98133087158203,30.97271728515625,2.0086135864257812
긴고랑로,주거지 도로,37.558874,127.0930525,37.5591508,127.0940708,37.5590124,127.09356165,,,,516648939,,,,,32.98133087158203,37.12801742553711,4.146686553955078
긴고랑로41길,주거지 도로,37.5587676,127.0925978,37.5591859,127.0926917,37.55897675,127.09264475,,,,380760320,,,,,30.97271728515625,38.78641128540039,7.813694000244141
긴고랑로,주거지 도로,37.5587676,127.0925978,37.558874,127.0930525,37.55882080000001,127.09282515,,,,516648939,,,,,30.97271728515625,32.98133087158203,2.0086135864257812
긴고랑로,주거지 도로,37.5587676,127.0925978,37.5586107,127.0916167,37.558689150000006,127.09210725,,,,516648939,,,,,30.97271728515625,29.42763900756836,1.5450782775878906
영화사로3길,주거지 도로,37.5586107,127.0916167,37.5582083,127.0915819,37.5584095,127.0915993,,,,238270701,,,,,29.42763900756836,30.58610534667969,1.1584663391113317
긴고랑로,주거지 도로,37.5586107,127.0916167,37.5593524,127.0917397,37.55898155,127.0916782,,,,380760323,,,,,29.42763900756836,38.00132751464844,8.573688507080078
긴고랑로,주거지 도로,37.5586107,127.0916167,37.5588053,127.0907337,37.558708,127.0911752,,,,516648939,,,,,29.42763900756836,30.03769874572754,0.6100597381591797
