,시설_구분,시설_이름,시설_위치,위도,경도
0,학교,선화예술중학교,"37.54992721317203, 127.0872728484992",37.54992721317203,127.0872728484992
1,학교,자양중학교,"37.5355505392486, 127.074606675947",37.5355505392486,127.074606675947
2,학교,용곡중학교,"37.5661168883261, 127.088935243662",37.5661168883261,127.088935243662
3,학교,양진중학교,"37.5450730890035, 127.0981665329",37.5450730890035,127.0981665329
4,학교,신양중학교,"37.5335136376514, 127.063363038023",37.5335136376514,127.063363038023
5,학교,대원국제중학교,"37.563885631132, 127.089453247136",37.563885631132,127.089453247136
6,학교,동국대학교사범대학부속여자중학교,"37.5424939226997, 127.087341127698",37.5424939226997,127.087341127698
7,학교,구의중학교,"37.5428059919186, 127.079217019013",37.5428059919186,127.079217019013
8,학교,광진중학교,"37.5320190144575, 127.089587144011",37.5320190144575,127.089587144011
9,학교,광장중학교,"37.5472972737522, 127.101808707054",37.5472972737522,127.101808707054
10,학교,광양중학교,"37.5305298330056, 127.085711597685",37.5305298330056,127.085711597685
11,학교,광남중학교,"37.54045812903372, 127.10141469495024",37.54045812903372,127.10141469495024
12,학교,건국대학교사범대학부속중학교,"37.5411638987574, 127.082537416626",37.5411638987574,127.082537416626
13,학교,세종초등학교,"37.5530165928479, 127.072867690484",37.5530165928479,127.072867690484
14,학교,성동초등학교,"37.5331471248437, 127.089511558448",37.5331471248437,127.089511558448
15,학교,서울중마초등학교,"37.5661087807112, 127.080124566887",37.5661087807112,127.080124566887
16,학교,서울중광초등학교,"37.56522319533774, 127.08260357000786",37.56522319533774,127.08260357000786
17,학교,서울장안초등학교,"37.550169835637, 127.072222139803",37.550169835637,127.072222139803
18,학교,서울자양초등학교,"37.5370213034069, 127.0796182230381",37.5370213034069,127.0796182230381
19,학교,서울용마초등학교,"37.558260799708094, 127.08443728277568",37.558260799708094,127.08443728277568
20,학교,서울용곡초등학교,"37.56707851619092, 127.088582099365",37.56707851619092,127.088582099365
21,학교,서울양진초등학교,"37.5442656969341, 127.098283156877",37.5442656969341,127.098283156877
22,학교,서울양남초등학교,"37.5310603433806, 127.089595048283",37.5310603433806,127.089595048283
23,학교,서울신자초등학교,"37.5302664634064, 127.075560799657",37.5302664634064,127.075560799657
24,학교,서울신양초등학교,"37.5348401338256, 127.069378799177",37.5348401338256,127.069378799177
25,학교,서울성자초등학교,"37.5313425773203, 127.083133006516",37.5313425773203,127.083133006516
26,학교,서울동자초등학교,"37.534791245939466, 127.07276170310146",37.534791245939466,127.07276170310146
27,학교,서울동의초등학교,"37.5534118494145, 127.099218635728",37.5534118494145,127.099218635728
28,학교,서울구의초등학교,"37.5430467719964, 127.080235665021",37.5430467719964,127.080235665021
29,학교,서울구남초등학교,"37.5371886827339, 127.092281670625",37.5371886827339,127.092281670625
30,학교,서울광진초등학교,"37.5475832631735, 127.091443509336",37.5475832631735,127.091443509336
31,학교,서울광장초등학교,"37.5486422227941, 127.101041027731",37.5486422227941,127.101041027731
32,학교,서울광남초등학교,"37.5409587835975, 127.10071383432",37.5409587835975,127.10071383432
33,학교,경복초등학교,"37.549817625179, 127.086820061474",37.549817625179,127.086820061474
34,학교,재한몽골학교,"37.5455379512071, 127.098230511135",37.5455379512071,127.098230511135
35,학교,한국켄트외국인학교,"37.5471779950192, 127.08641754224064",37.5471779950192,127.08641754224064
36,학교,동국대학교사범대학부속여자고등학교,"37.5432654113521, 127.08702519396182",37.5432654113521,127.08702519396182
37,학교,서울광진학교,"37.53719190988926, 127.09160845753242",37.53719190988926,127.09160845753242
38,학교,선화예술고등학교,"37.54992721317203, 127.0872728484992",37.54992721317203,127.0872728484992
39,학교,대원외국어고등학교,"37.5636624479222, 127.089104368169",37.5636624479222,127.089104368169
40,학교,대원여자고등학교,"37.5624620790373, 127.089424380914",37.5624620790373,127.089424380914
41,학교,대원고등학교,"37.5631647765463, 127.089529351024",37.5631647765463,127.089529351024
42,학교,건국대학교사범대학부속고등학교,"37.5400013311353, 127.080327447515",37.5400013311353,127.080327447515
43,학교,자양고등학교,"37.5356668433293, 127.073045412406",37.5356668433293,127.073045412406
44,학교,광양고등학교,"37.5294561744657, 127.085248782225",37.5294561744657,127.085248782225
45,학교,광남고등학교,"37.5413869612066, 127.101529105077",37.5413869612066,127.101529105077
46,아동센터,새움터지역아동센터,"37.5340883, 127.0838816",37.5340883,127.0838816
47,아동센터,경희지역아동센터,"37.5656584, 127.0804219",37.5656584,127.0804219
48,아동센터,꿈나래지역아동센터,"37.5582613, 127.0887356",37.5582613,127.0887356
49,아동센터,새날지역아동센터,"37.540443, 127.065546",37.540443,127.065546
50,아동센터,새빛지역아동센터,"37.5372369, 127.079412",37.5372369,127.079412
51,아동센터,신양하늘꿈지역아동센터,"37.5364204, 127.0614142",37.5364204,127.0614142
52,아동센터,어린이나라지역아동센터,"37.5396185, 127.0864968",37.5396185,127.0864968
53,아동센터,중곡지역아동센터,"37.55587086, 127.0908057",37.55587086,127.0908057
54,아동센터,진성지역아동센터,"37.5671157, 127.0869694",37.5671157,127.0869694
55,아동센터,한사랑지역아동센터,"37.5550907, 127.0726711",37.5550907,127.0726711
56,아동센터,해피엘지역아동센터,"37.5309681, 127.0752338",37.5309681,127.0752338
57,아동센터,행복한지역아동센터,"37.5465957, 127.0887757",37.5465957,127.0887757
58,아동센터,희망샘지역아동센터,"37.5590183, 127.0902758",37.5590183,127.0902758
59,어린이집,새벽어린이집,"37.55565806589273, 127.09252399795639",37.55565806589273,127.09252399795639
60,어린이집,자양롯데캐슬어린이집,"37.537409430909, 127.0636107298",37.537409430909,127.0636107298
61,어린이집,광진그랜드파크어린이집,"37.54464768699811, 127.080471615751",37.54464768699811,127.080471615751
62,어린이집,자양도담어린이집,"37.536210214209, 127.07989795845",37.536210214209,127.07989795845
63,어린이집,중곡하나어린이집,"37.568118555283, 127.081942327316",37.568118555283,127.081942327316
64,어린이집,샘물어린이집,"37.5298057185816, 127.085310272706",37.5298057185816,127.085310272706
65,어린이집,아이와나무어린이집,"37.55525216417907, 127.08719983689525",37.55525216417907,127.08719983689525
66,어린이집,우리아이어린이집,"37.5401522905439, 127.090837000429",37.5401522905439,127.090837000429
67,어린이집,KB구의 어린이집,"37.54517482005871, 127.08798246529096",37.54517482005871,127.08798246529096
68,어린이집,사랑모아어린이집,"37.53957251623644, 127.09704253736427",37.53957251623644,127.09704253736427
69,어린이집,행복마루어린이집,"37.527882421047394, 127.08357377385525",37.527882421047394,127.08357377385525
70,어린이집,물고기어린이집,"37.5330157011766, 127.070739307881",37.5330157011766,127.070739307881
71,어린이집,하늘땅별땅어린이집,"37.5560835364942, 127.072952162241",37.5560835364942,127.072952162241
72,어린이집,군자동 꿈모음어린이집,"37.55077133085779, 127.07135133994919",37.55077133085779,127.07135133994919
73,어린이집,자양1동 봄뜰어린이집,"37.5336205284308, 127.082818742028",37.5336205284308,127.082818742028
74,어린이집,인정어린이집,"37.5530865329897, 127.07045497917",37.5530865329897,127.07045497917
75,어린이집,능동주민센터어린이집,"37.5537684397283, 127.080550455986",37.5537684397283,127.080550455986
76,어린이집,구의1동 아이터어린이집,"37.5438552062308, 127.083785097406",37.5438552062308,127.083785097406
77,어린이집,한가람어린이집,"37.53010355989397, 127.07668293482065",37.53010355989397,127.07668293482065
78,어린이집,광진구육아종합지원센터(꾸미팡팡공동육아방 1호점),"37.5522878761659, 127.087207699978",37.5522878761659,127.087207699978
79,어린이집,강변에코비어린이집,"37.5346549908696, 127.092382639063",37.5346549908696,127.092382639063
80,어린이집,사랑숲어린이집,"37.5577612214679, 127.095629906753",37.5577612214679,127.095629906753
81,어린이집,군자티움아이어린이집,"37.5513569407392, 127.069910148701",37.5513569407392,127.069910148701
82,어린이집,수호천사어린이집,"37.5627325700875, 127.084263498106",37.5627325700875,127.084263498106
83,어린이집,이삭어린이집,"37.53104358759904, 127.07193669171741",37.53104358759904,127.07193669171741
84,어린이집,상상놀이터어린이집,"37.532065516615624, 127.08642951848586",37.532065516615624,127.08642951848586
85,어린이집,향기나무어린이집,"37.544015864528, 127.10384557935048",37.544015864528,127.10384557935048
86,어린이집,다예린어린이집,"37.547550976306, 127.104307655195",37.547550976306,127.104307655195
87,어린이집,대공원어린이집,"37.55450544320583, 127.08316778367136",37.55450544320583,127.08316778367136
88,어린이집,늘평화어린이집,"37.5659517022864, 127.083171452417",37.5659517022864,127.083171452417
89,어린이집,푸르내어린이집,"37.5583714792707, 127.089523615644",37.5583714792707,127.089523615644
90,어린이집,예랑어린이집,"37.55330567892, 127.092373968586",37.55330567892,127.092373968586
91,어린이집,지안어린이집,"37.53050451695196, 127.08331648744323",37.53050451695196,127.08331648744323
92,어린이집,꼬마사랑어린이집,"37.5627869171747, 127.078622447281",37.5627869171747,127.078622447281
93,어린이집,키즈랜드어린이집,"37.5617440557538, 127.085683961393",37.5617440557538,127.085683961393
94,어린이집,서울숲어린이집,"37.53571375175872, 127.06525552756102",37.53571375175872,127.06525552756102
95,어린이집,대서울어린이집,"37.5317161303837, 127.0742091379956",37.5317161303837,127.0742091379956
96,어린이집,진성어린이집,"37.5671637293396, 127.086668139645",37.5671637293396,127.086668139645
97,어린이집,젬마어린이집,"37.5447406856515, 127.068754293183",37.5447406856515,127.068754293183
98,어린이집,EQ어린이집,"37.54488690617704, 127.0683085874254",37.54488690617704,127.0683085874254
99,어린이집,사랑어린이집,"37.5362265199756, 127.071317113684",37.5362265199756,127.071317113684
100,어린이집,즐거운산들어린이집,"37.552736702514174, 127.09631608195586",37.552736702514174,127.09631608195586
101,어린이집,광진구청직장어린이집,"37.538572710714, 127.082412360774",37.538572710714,127.082412360774
102,어린이집,자양민들레어린이집,"37.5288219108422, 127.080039412962",37.5288219108422,127.080039412962
103,어린이집,아이스쿨어린이집,"37.5570067214011, 127.083012117563",37.5570067214011,127.083012117563
104,어린이집,꿈꾸는어린이집,"37.5638386782665, 127.084703905686",37.5638386782665,127.084703905686
105,어린이집,예일어린이집,"37.5522141014496, 127.09182035938",37.5522141014496,127.09182035938
106,어린이집,구의미소어린이집,"37.55217852384825, 127.09238276257089",37.55217852384825,127.09238276257089
107,어린이집,조은어린이집,"37.5338260769139, 127.08264699554067",37.5338260769139,127.08264699554067
108,어린이집,파크빌어린이집,"37.544310829188774, 127.10242700630491",37.544310829188774,127.10242700630491
109,어린이집,군자어린이집,"37.55456822158303, 127.07268812602848",37.55456822158303,127.07268812602848
110,어린이집,대원어린이집,"37.5556040292353, 127.088977071807",37.5556040292353,127.088977071807
111,어린이집,아이들세상어린이집,"37.559083013741905, 127.08498939147833",37.559083013741905,127.08498939147833
112,어린이집,능동어린이집,"37.553551228481, 127.081962589568",37.553551228481,127.081962589568
113,어린이집,솔로몬어린이집,"37.56656251225519, 127.08066836557187",37.56656251225519,127.08066836557187
114,어린이집,한국중앙어린이집,"37.568592240163255, 127.08483153703246",37.568592240163255,127.08483153703246
115,어린이집,효지어린이집,"37.53606999166626, 127.07384912834941",37.53606999166626,127.07384912834941
116,어린이집,키즈용맹어린이집,"37.556947087709396, 127.09176052473923",37.556947087709396,127.09176052473923
117,어린이집,용곡어린이집,"37.5617690169282, 127.086050702535",37.5617690169282,127.086050702535
118,어린이집,한울어린이집,"37.5572178251297, 127.08516269584",37.5572178251297,127.08516269584
119,어린이집,한라어린이집,"37.535054251550655, 127.06992208159487",37.535054251550655,127.06992208159487
120,어린이집,해오름어린이집,"37.5537329855446, 127.094357247146",37.5537329855446,127.094357247146
121,어린이집,구의3동어린이집,"37.5393380059055, 127.095135673377",37.5393380059055,127.095135673377
122,어린이집,영화어린이집,"37.55405460857095, 127.09772110105227",37.55405460857095,127.09772110105227
123,어린이집,화송어린이집,"37.546193501696, 127.068054039523",37.546193501696,127.068054039523
124,어린이집,사랑의어린이집,"37.5577612214679, 127.095629906753",37.5577612214679,127.095629906753
