,구분,시설명,시설_위치
0,아동센터,새움터지역아동센터,"37.5340883, 127.0838816"
1,아동센터,경희지역아동센터,"37.5656584, 127.0804219"
2,아동센터,꿈나래지역아동센터,"37.5582613, 127.0887356"
3,아동센터,새날지역아동센터,"37.540443, 127.065546"
4,아동센터,새빛지역아동센터,"37.5372369, 127.079412"
5,아동센터,신양하늘꿈지역아동센터,"37.5364204, 127.0614142"
6,아동센터,어린이나라지역아동센터,"37.5396185, 127.0864968"
7,아동센터,중곡지역아동센터,"37.55587086, 127.0908057"
8,아동센터,진성지역아동센터,"37.5671157, 127.0869694"
9,아동센터,한사랑지역아동센터,"37.5550907, 127.0726711"
10,아동센터,해피엘지역아동센터,"37.5309681, 127.0752338"
11,아동센터,행복한지역아동센터,"37.5465957, 127.0887757"
12,아동센터,희망샘지역아동센터,"37.5590183, 127.0902758"
