열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.53783281955265,126.84479039416853,1.5252496074603168,151.8629240695015,37.5386200099459,126.844506405165,37.5370456291594,126.845074383172,150,1,화곡동,강서구 화곡동 산 164-3,0,강서구
2,,37.5533316416507,126.8667202746575,1.5776993298405573,125.45091954014192,37.5527475612581,126.866113761234,37.5539157220433,126.867326788081,100,1,염창동,강서구 염창동 284-21,0,강서구
3,,37.5484476052291,126.842432091513,5.920674190518634,190.79317694918785,37.5480598853556,126.842214164232,37.5488353251026,126.842650018794,100,1,화곡동,강서구 화곡동 77-101,0,강서구
4,,37.53994113371675,126.8458387186985,2.274977776827873,85.00834324119924,37.5396179910442,126.845287099771,37.5402642763893,126.846390337626,110,1,화곡동,"강서구 까치산로4길 75-21 (화곡동, 황제파크빌)",1,강서구
5,,37.541528311708646,126.8509087976135,2.53951558551056,74.84531261313921,37.5415338084022,126.850409728816,37.5415228150151,126.851407866411,120,1,화곡동,강서구 초록마을로 75,1,강서구
6,,37.5360283087192,126.85116861130852,8.274351247654684,243.74589062248825,37.5354278225285,126.850763618082,37.5366287949099,126.851573604535,180,1,화곡동,강서구 강서로18아길 21 (화곡동),1,강서구
7,,37.5321600433292,126.8502802980925,1.3626639447115363,108.69064773826976,37.5321536325698,126.851442182229,37.5321664540886,126.849118413956,200,1,화곡동,"강서구 강서로12길 68 (화곡동, 신성그린빌)",1,강서구
8,,37.53637484204515,126.852144975306,5.169566292632947,228.21336569954937,37.5366772077314,126.851453461854,37.5360724763589,126.852836488758,150,1,화곡동,강서구 곰달래로35길 135,1,강서구
9,,37.5369015056292,126.85073516545752,8.748733846128355,241.20139648240456,37.537119714995,126.850190445409,37.5366832962634,126.851279885506,120,1,화곡동,강서구 곰달래로35길 163,1,강서구
10,,37.537754944061,126.850673673211,5.538850433034051,70.92397773674256,37.5371845064544,126.849985069579,37.5383253816676,126.851362276843,200,1,화곡동,강서구 초록마을로 122,1,강서구
11,,37.5355159414925,126.854447270971,13.090394326516009,141.86018290782516,37.535359014014,126.85388412315,37.535672868971,126.855010418792,115,1,화곡동,강서구 등촌로13아길 90,1,강서구
12,,37.580257926283096,126.8101374830765,4.31298977532259,204.4116974970675,37.5792208098893,126.80997947064,37.5812950426769,126.810295495513,160,1,방화동,강서구 금낭화로 222,1,강서구
13,,37.5516209006706,126.855826907269,4.703135393006121,215.99846404598543,37.5524787500046,126.853990017801,37.5507630513366,126.857663796737,300,1,화곡동,강서구 화곡로58길 92,1,강서구
