열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.47223548503905,126.90048914196,0.2951837887782342,158.25609407381577,37.4725054519002,126.900517950373,37.4719655181779,126.900460333547,150,1,독산동,금천구 독산동 160-6,0,금천구
2,,37.45401595830885,126.9135449903395,0.1728099208436447,246.29214791500857,37.4529169509952,126.916628488878,37.4551149656225,126.910461491801,620,1,시흥동,금천구 시흥동 218-10,0,금천구
3,,37.47511847724315,126.905860042055,2.7788683815194015,218.56455624649635,37.4761326486694,126.905910321726,37.4741043058169,126.905809762384,70,1,독산동,금천구 독산로54길 288 (독산동),1,금천구
4,,37.47092259643395,126.9065249253995,8.020566073718138,189.3126201840797,37.4705381901964,126.906594248951,37.4713070026715,126.906455601848,320,1,독산동,금천구 독산로80가길 29,1,금천구
5,,37.47092259643395,126.9065249253995,8.020566073718138,189.3126201840797,37.4705381901964,126.906594248951,37.4713070026715,126.906455601848,85,1,독산동,금천구 독산로80가길 29,1,금천구
6,,37.44650256296355,126.9041727985275,0.9116291779986264,132.61581450096764,37.4450057546914,126.904452088247,37.4479993712357,126.903893508808,75,1,시흥동,금천구 시흥대로38길 61 (시흥동),1,금천구
7,,37.46523672209299,126.8948891176455,0.4448889753516614,93.84345470554884,37.465243820979,126.895171531123,37.465229623207,126.894606704168,80,1,독산동,금천구 범안로16길 24-7,1,금천구
8,,37.452690149915895,126.9174437671565,13.924262673460484,160.5851658436194,37.4522125872144,126.918245309403,37.4531677126174,126.91664222491,320,1,시흥동,금천구 탑골로 84,1,금천구
9,,37.464116718803055,126.9064109923425,2.916037505139817,147.2293498226607,37.4630970659477,126.905641926283,37.4651363716584,126.907180058402,280,1,독산동,"금천구 독산로58라길 22 (독산동, 한신빌)",1,금천구
10,,37.47017039888085,126.906652978328,0.3124411886086811,188.4501080403197,37.4690436050849,126.906836437885,37.4712971926768,126.906469518771,250,1,독산동,금천구 독산로78다길 52,1,금천구
11,,37.4657554870425,126.8945946623745,0.4093482418532342,93.71871165866584,37.4657964727402,126.894936657729,37.4657145013448,126.89425266702,228,1,독산동,금천구 범안로16길 8-7 (독산동),1,금천구
12,,37.47206041165085,126.9023707665235,0.3053305343185299,141.2848744056525,37.4722828406414,126.902388508293,37.4718379826603,126.902353024754,200,1,독산동,금천구 독산로85길 7-8,1,금천구
13,,37.4594553392123,126.907558829961,1.1955384111904466,99.8732020349376,37.4592077246084,126.907998476535,37.4597029538162,126.907119183387,180,1,시흥동,금천구 독산로36길 36,1,금천구
14,,37.47612758693265,126.9016854582515,1.312539477755997,173.50084767021954,37.4759838434274,126.901862971117,37.4762713304379,126.901507945386,165,1,독산동,금천구 시흥대로150길 50-18,1,금천구
15,,37.46471305516785,126.8943851994365,0.8115331150935611,112.50682715953864,37.464664525537,126.894827466097,37.4647615847987,126.893942932776,195,1,독산동,금천구 벚꽃로10길 77,1,금천구
