열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.47833894406055,127.0042391283915,2.8035246272360417,296.25626450226594,37.4781929040213,127.003860322761,37.4784849840998,127.004617934022,85,1,방배동,서초구 방배동 1036-4,0,서초구
2,,37.497546144454546,127.01814001580148,0.9482531830182814,171.5634711543538,37.4963601653172,127.0206782251,37.4987321235919,127.015601806503,420,1,서초동,서초구 서초동 1686-10,0,서초구
3,,37.47982501827845,126.988796221153,5.104940695223786,224.80714145852707,37.4789324883088,126.989374143499,37.4807175482481,126.988218298807,420,1,방배동,서초구 방배동 산 75-6,0,서초구
4,,37.4848632002368,126.9975871013435,10.126183082445069,146.1155478789613,37.4844390832049,126.996981924928,37.4852873172687,126.998192277759,137,1,방배동,서초구 방배동 169-18,0,서초구
5,,37.51136819684605,127.019454308149,1.66889666854244,229.46468715214132,37.5112726677744,127.019318046251,37.5114637259177,127.019590570047,70,1,잠원동,서초구 잠원동 97,0,서초구
6,,37.5003285323411,127.017118900837,1.7092640637337768,145.0620481651599,37.5002038451468,127.018590174775,37.5004532195354,127.015647626899,180,1,서초동,서초구 고무래로 90-6,1,서초구
7,,37.493111650066695,127.0183710234025,0.1502888176419063,155.96293514714034,37.4933625596371,127.018795301601,37.4928607404963,127.017946745204,100,1,서초동,서초구 사임당로17길 101,1,서초구
8,,37.50169574655715,127.0165601815565,0.0833366961143901,161.4123298838032,37.5024388979462,127.014619457733,37.5009525951681,127.01850090538,380,1,반포동,서초구 고무래로 71,1,서초구
9,,37.495377823728845,127.015158785258,2.3179715064652533,261.63348631497536,37.4956085984217,127.014949572458,37.495147049036,127.015367998058,62,1,서초동,서초구 서초대로53길 12,1,서초구
10,,37.48699045801235,127.028829289793,0.4075192764698103,193.59687120562043,37.4870103195509,127.028483359749,37.4869705964738,127.029175219837,9,1,서초동,서초구 효령로72길 57,1,서초구
11,,37.4844172324242,127.036168497381,0.360813959038438,80.36677433388046,37.4845270215352,127.036164479926,37.4843074433132,127.036172514836,25,1,양재동,서초구 남부순환로 2610 (양재동),1,서초구
12,,37.507530303348304,127.020368240792,1.548521736844732,259.1353442790991,37.5080330585335,127.02013934791,37.5070275481631,127.020597133674,100,1,반포동,서초구 사평대로53길 77,1,서초구
13,,37.496027636502845,126.9978385782195,4.926557988064424,215.62252793921056,37.4968694056335,126.998034810601,37.4951858673722,126.997642345838,220,1,반포동,서초구 서래로 7,1,서초구
14,,37.485114381757654,126.99695193782,8.639143254244303,117.9333858075004,37.4852873172687,126.998192277759,37.4849414462466,126.995711597881,240,1,방배동,서초구 방배로18길 24-10,1,서초구
15,,37.494019060992755,127.02128612026,1.1461955162646522,216.3806435833495,37.4933119004012,127.021565172107,37.4947262215843,127.021007068413,190,1,서초동,서초구 서초대로64길 31,1,서초구
16,,37.49443499441755,127.02112368006352,1.3321739534993136,240.393920231356,37.4933119004012,127.021565172107,37.4955580884339,127.02068218802,280,1,서초동,서초구 서초대로64길 31,1,서초구
17,,37.47985125988061,126.9918184131505,3.8565285708506,192.51509927367292,37.479599381272,126.991146359906,37.4801031384892,126.992490466395,400,1,방배동,서초구 효령로 69,1,서초구
18,,37.4786856585646,127.0051790530105,0.0278599537918822,283.19726516119465,37.4789301165027,127.005885340041,37.4784412006265,127.00447276598,240,1,방배동,서초구 명달로 5-121,1,서초구
19,,37.5082247862391,127.020690371314,1.7044224829588583,195.0769803548335,37.508954953671,127.020215374681,37.5074946188072,127.021165367947,210,1,반포동,서초구 사평대로55길 97-6 (반포동),1,서초구
