열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.61341051900145,126.977763022816,5.044559044910811,642.3497041009762,37.6115743281972,126.97860912062,37.6152467098057,126.976916925012,150,1,평창동,종로구 평창동 463,0,종로구
2,,37.57677449738645,127.006820359603,9.467531923640276,177.27638216118115,37.5763258807211,127.006240762469,37.5772231140518,127.007399956737,175,1,이화동,종로구 이화동 9-5,0,종로구
3,,37.60831595516175,126.97123566934452,15.8631004418161,273.0092704781784,37.6077545125345,126.971457409234,37.608877397789,126.971013929455,200,1,평창동,종로구 평창동 산 6-6,0,종로구
4,,37.59054285513685,126.9933131239945,11.724226647768818,219.44534011353568,37.5899259224481,126.993697413249,37.5911597878256,126.99292883474,160,1,명륜3가,종로구 명륜길 88,1,종로구
5,,37.6085046831177,126.9621876481205,15.333527153634677,346.146765000678,37.6081571945018,126.961978304696,37.6088521717336,126.962396991545,100,1,평창동,종로구 평창4길 3,1,종로구
6,,37.606462765554355,126.9637807299295,8.851412895640365,261.61094257560364,37.6078965614435,126.962331672772,37.6050289696652,126.965229787087,530,1,평창동,종로구 평창3길 3 (평창동),1,종로구
7,,37.60277373102125,126.9568596006075,7.143736119138223,208.1049736108214,37.6010324031386,126.956657274744,37.6045150589039,126.957061926471,550,1,홍지동,종로구 홍지문2길 20,1,종로구
8,,37.57987408181945,127.016532954927,6.751263837332579,223.9319844115556,37.5796115467616,127.015785652155,37.5801366168773,127.017280257699,200,1,숭인동,종로구 동망산길 65,1,종로구
9,,37.59092776723375,126.992698157907,7.855389750784038,297.965940731296,37.5911310619203,126.993196733417,37.5907244725472,126.992199582397,80,1,명륜3가,종로구 명륜길 99-2 (명륜3가),1,종로구
10,,37.60955180368855,126.97127396786748,9.704954260255702,375.5918894978587,37.6080293812741,126.972114171475,37.611074226103,126.97043376426,130,1,평창동,종로구 평창21길 7 (평창동),1,종로구
11,,37.60052798757821,126.9570397551905,9.461556530256177,192.45245658857533,37.6000235720178,126.957422235637,37.6010324031386,126.956657274744,130,1,홍지동,종로구 홍지문길 16 (홍지동),1,종로구
12,,37.58331357708,126.987146807751,1.2265626728625276,250.5898988396152,37.5834416442373,126.985408757535,37.5831855099227,126.988884857967,355,1,계동,종로구 창덕궁7길 17,1,종로구
13,,37.60539992479125,126.957446921739,10.043141322963775,207.81846629525353,37.6062399217122,126.957832848779,37.6045599278703,126.957060994699,190,1,구기동,종로구 홍지문길 79,1,종로구
14,,37.61136560187175,126.9753165979465,7.859327073218745,420.36031967137706,37.6100641847087,126.975395459262,37.6126670190348,126.975237736631,210,1,평창동,종로구 평창31길 12,1,종로구
