열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.5599768462789,127.0187343805265,0.8895427996148317,146.99557170376266,37.5599713242202,127.018046356659,37.5599823683376,127.019422404394,305,1,신당동,중구 신당동 852-2,0,중구
2,,37.5642720859959,127.024152002105,6.967619521335446,72.80052117493925,37.5652019304225,127.023852244339,37.5633422415693,127.024451759871,105,1,신당동,중구 신당동 170-34,0,중구
3,,37.5492893234713,127.01196592188752,5.23418069566677,151.91804282377694,37.5503044782966,127.012857760279,37.548274168646,127.011074083496,155,1,신당동,중구 신당동 844-8,0,중구
4,,37.5563137148706,126.977440610471,5.474918832542787,221.1039770976088,37.5563235808747,126.977912602445,37.5563038488665,126.976968618497,128,1,남창동,중구 남창동 205-47,0,중구
5,,37.56331218906895,127.009944343135,1.0205018032937143,275.07629568041546,37.5633809525712,127.009736883703,37.5632434255667,127.010151802567,67,1,광희동2가,중구 광희동2가 105-7,0,중구
6,,37.5616098257624,127.020563934495,4.3978486764589055,152.04479743311995,37.5618070623454,127.020515659702,37.5614125891794,127.020612209288,42,1,신당동,중구 신당동 61-9,0,중구
7,,37.5621706117047,127.022505582396,3.1807092963511567,146.16666203784706,37.5621658198618,127.022119794906,37.5621754035476,127.022891369886,100,1,신당동,중구 신당동 80-714,0,중구
8,,37.5539462191997,127.005276036534,3.845370243342558,159.33691719991435,37.5541889879484,127.005390809133,37.553703450451,127.005161263935,70,1,신당동,중구 신당동 432-1831,0,중구
9,,37.557879969482,126.9841126584995,7.5781964180579235,163.41539003389062,37.5584656791715,126.983899874492,37.5572942597925,126.984325442507,140,1,남산동1가,중구 남산동1가 15-2,0,중구
10,,37.55342824596395,127.013183431562,9.77699193537408,239.1329282375923,37.553809583223,127.012467130706,37.5530469087049,127.013899732418,150,1,신당동,중구 신당동 349-202,0,중구
11,,37.55831061505625,126.963618920256,7.734170665982345,160.4567967744953,37.5589328823815,126.963744471295,37.557688347731,126.963493369217,170,1,중림동,중구 중림동 396-20,0,중구
12,,37.55555634806215,127.0069851263745,10.338947099687449,164.31929279568652,37.5555755613758,127.006612164821,37.5555371347485,127.007358087928,123,1,신당동,중구 동호로17길 57-16,1,중구
13,,37.55166810837015,127.004861003638,13.68683824289299,277.56610733476526,37.5519010077818,127.005070605241,37.5514352089585,127.004651402035,70,1,신당동,중구 동호로11라길 39,1,중구
14,,37.5529439223422,126.96306784603,7.825399721471526,85.71015973542076,37.5528188643198,126.963069435531,37.5530689803646,126.963066256529,60,1,만리동2가,중구 만리재로21길 9,1,중구
15,,37.5586236620777,127.00235172920448,10.64342753462719,319.47012513835483,37.5587340771334,127.002459478286,37.558513247022,127.002243980123,50,1,장충동2가,중구 동호로25가길 7,1,중구
