,설치구간,연장(m)
44,노원구 월계역 2번출구,30
45,노원구 수락산로,195
46,노원구 염불사,635
47,노원구 상계동 1274-1275,230
48,연세로2마길 33일대,135
49,통일로 348(서부수도사업소),100
50,정원여자중학교 일대(홍은동 265-286),400
51,홍은동 466(논골작은도서관),30
52,통일로39길 일대 외 1개소,370
53,"모래내로28길, 통일로28나길",200
54,경기대로9길,270
55,통일로19길,145
56,"명지대3길,증가로12가길(연가초),홍연2길",400
57,"연세로4길일대,문화촌길 일대",656
58,외국어학교 진입로,185
59,"서대문12번 마을버스노선, 연희로2길(마스터필딩옆)",455
60,"홍제삼성래미안apt후문,홍제역3번출구,연희로41다길",275
61,"서강로16길, 18길, 20길(노고산동 109-118 외 2개소)",75
62,마포대로11길(마포대로11길 84),135
63,독막로(독막로 109-111),110
64,성암로7길(성암로7길28),40
65,신수로(신수로25-30 일대),45
66,삼개로(삼개로33),230
67,큰우물로2길(용강동 502-1),197
68,백범로25길(백범로25길 99),105
69,새창로8길(도화동 357-2),230
70,독막로28길(독막로28길 7),60
71,금낭화로 167(방화개화아파트 주변),160
72,우현로 26(우장산SK뷰아파트 주변),100
73,공항대로61길(염창초등학교 주변),100
74,등촌로13아길(신성빌라 주변),115
75,화곡로58길 86,300
76,초록마을로 128(태창아파트),200
77,곰달래로35길 163,120
78,곰달래로35길 135,150
79,강서로12길 39(신정초교),200
80,강서로18아길 33(안골공원 주변),180
81,초록마을로34길 55(까치산공원 주변),150
82,초록마을로 71,120
83,까치산로4길 72,110
84,고척동 160-2 주변,260
85,고척로45길 42-3 주변,125
86,가리봉동 131-43 주변,100
