,도로명,시작 지점,끝 지점,연장(m)
0,명륜길,명륜길 74,명륜9길 1,160
1,사직로1길,행촌동 174-5,행촌동171-35,75
2,사직로1다길,행촌동 201-172,행촌동171-120,95
3,평창길,평창동 435-2,평창동 448,150
4,평창30길,평창동 66-28,평창동464-14,210
5,홍지문길,구기동 54-13,구기동40-1,190
6,백석동길,창의문로 132,창의문로 12-1,105
7,창덕궁길,창덕궁길 190,창덕궁5길 40,355
8,율곡로19길,율곡로19길 24,율곡로 19길 68-2,175
9,홍지문길,홍지문길 2,홍지문2길 2,130
10,평창20길,평창동 148-16,평창동 139-5,130
11,성균관로 13길,국제고 일대명륜1가 7-69,명륜3가 1-1003,275
12,명륜10길,명륜9길 3-2,명륜10길 16,80
13,동망산길,숭인동 7-8,숭인동 24-3,200
14,홍지문길,홍지문2길 2,구기동 41-4,550
15,평창21길,평창문화로 99,평창21길 9-14,200
16,평창길,평창길 52,평창문화로 33,530
17,평창4길,평창4길 1,평창4길 9-1,100
18,신흥로1차,신흥로93,신흥로1차123,555
19,효창원로86가길,효창원로86가길26,효창원로86가길33,120
20,신흥로2차,신흥로56,신흥로2차87,660
21,효창원로,효창원로220,효창원로228,300
22,장문로,서빙고로417,장문로141,200
23,한남동812,독서당로101,독서당로103,180
24,신흥로3가길,신흥로5길69,신흥로3가길 38,230
25,소월로38길,소월로38길 30,소월로38길4,324
26,독서당로29길,독서당로129,독서당로29길5-6,225
27,두텁바위로5길,두텁바위로5길9,두텁바위로5길26,90
28,백범로45길,백범로45길5,백범로45길8,40
29,효창원로86라길,효창원로86길 67,효창원로86라길14,70
30,삼개로,청암동187,산천동202,660
31,응봉파출소 ~ 청우빌라,독서당로 373,독서당로59길 25-4,350
32,두산 아파트~ 한진타운아파트 사이 도로,행당동6길 97,행당로6길 74,240
33,신성교회 앞 고갯길,행당로8길 36,행당로8길 41-2,80
34,상봉로16길,망우동 521-6,상봉로16길521-32,100
35,백련사길,가좌로2길 50,홍은동 산 23-1,155
36,정원단지 일대,연희로39길 12,연희로39길 75,300
37,효창목4길,효창목4길 3,효창목길 30,260
38,마포대로24길,아현동 605-3,마포대로24길378-53,130
39,와우산로30길,와우산로30길 3,와우산로30길36,135
40,고산길,고산길136,고산길160,130
41,"신촌로20길, 고산2길",노고산동31-39,노고산동12-64,160
42,"신촌로26길, 고산2길",대흥동811,노고산동4-72,145
43,신수로,신수동97-28,신수로91-15,120
44,월드컵북로30길,성산동144-6,월드컵북로30길147-5,85
45,숭문6길,숭문6길22,백범로25길84,80
46,환일길 일대,아현동762,환일길 일대762-9,140
47,마포대로4가길,마포대로8,마포대로4나길50,65
48,마포대로7길,공덕동 342-30,마포대로7길328-1,100
49,환일길,만리재로 133,환일길 64,130
50,월드컵북로43길,월드컵북로43길 11,월드컵북로43길32,140
51,토정로11길,토정로11길 19,토정로11길39,100
52,대흥로24길,염리동 10-132,대흥로24길10-28,150
53,백범로25길,백범로25길 45,마포대로11길 118,170
54,손기정로,손기정로 32,손기정로56,110
55,서초대로65길,서초동 1680-5,서초동1685,420
56,사평대로53길,반포동 719-1,반포동726-23,100
57,사평대로55길,반포동 720,반포동725-5,210
58,효령로33길,방배동 906-16,방배동167-4,137
59,명달로1길,방배동 1006-1,방배동999,240
60,효령로20길,방배동 980-59,방배동979-44,400
61,윈터길,원지동 380-2,윈터길377-3,157
62,서초대로64길,서초동1635-6,서초동1679-1,280
63,명달로,방배동 1002-5,명달로1007-4,445
64,서초대로64길,서초동 1635-6,서초동1636-1,190
65,방배로18길,방배동 167-4,방배동905-1,240
66,도구로,방배동 980-56,방배동971-8,420
67,방배로20길,방배동 329,방배동902-5,290
68,서래로,반포동 97-8,반포동98-5,220
69,신반포로47길,잠원동 39-10,잠원동38-16,70
70,강남대로 146길,강남대로 590,강남대로 146길 9,70
71,논현로 145길,논현로 145길 62,논현로 145길 46,180
72,남부순환로 355길 ,남부순환로 355길 33,남부순환로 355길 29,55
73,도곡로 2길,도곡로 2길 25,도곡로 2길 33,80
74,봉은사로 11길,봉은사로 131,강남대로 118길 66,100
75,압구정로 71길,압구정로 71길 20,선릉로 190길 64,130
76,봉은사로 109길,영동대로 118길 75,봉은사로 109길 66,75
77,봉은사로 7길,봉은사로 129,봉은사로 7길 13,100
78,언주로 136길,언주로 136길 7,언주로 136길13,60
79,선릉로 120길,선릉로 126길 22,선릉로 120길 34,105
80,강남대로 100길,강남대로 438,봉은사로 18길 76,130
81,도곡로 83길,도곡로 83길 8,삼성로 64길 32,30
82,언주로 116길,언주로 116길 26,봉은사로 43길 39,155
83,선릉로 120길,봉은사로 57길 59,선릉로 120길 24,100
84,학동로 45길,학동로 317,학동로 45길 7,60
85,도산대로 96길,도산대로 96길 39,도산대로 92길 26,200
86,영동대로 65길,영동대로 65길 16,도곡로 93길 12,100
87,광평로 42길,광평로 238,광평로42길 20,130
88,테헤란로 44길,테헤란로 44길 7,선릉로 85길 27,100
89,영동대로 128길,영동대로128길 56,영동대로122길 45,90
90,학동로 46길,학동로 320,언주로130길 35,60
91,강남대로 102길,강남대로 106길 29,봉은사로 16길 23,260
92,테헤란로 5길,테헤란로 5길 49,강남대로 98길 27,130
93,봉은사로 25길,논현로 641,논현로 123길 19,170
94,봉은사로 18길,봉은사로 146,봉은사로 18길 4,55
95,언주로 85길,언주로 85길 24,테헤란로 38길 12,50
96,삼성로 147길,도산대로 66길 43,삼성로 147길 36,285
97,도산대로 8길,도산대로 122,강남대로 146길 28,205
98,강남대로 140길,강남대로 584,학동로 3길 39,120
99,영동대로 141길,영동대로 141길 14,영동대로 735,120
100,삼성로 112길,삼성로 612,삼성로 112길 19,150
101,영동대로 118길,영동대로 118길 43,영동대로 128길 32-11,145
102,봉은사로 25길,논현로 117길 8,논현로 119길 5,90
103,논현로 135길,논현로 713,도산대로 26길 55,60
104,논현로 123길,논현로 653,논현로 123길 8,60
105,언주로 126길,언주로 634,학동로 42길 34,70
106,학동로 30길,학동로 30길 18,학동로 30길 33,130
107,도산대로 92길,삼성로 742,도산대로 92길740,100
108,삼성로 147길,도산대로 70길 43,도산대로 70길 25,60
109,압구정로 75길,압구정로 75길 40,선릉로 190길 84,55
110,봉은사로 18길,강남대로 110길 57,봉은사로 18길 31,100
111,논현로 105길,봉은사로 134,봉은사로 16길 16,80
112,논현로 97길,논현로 97길 14,논현로 529,100
113,테헤란로 19길,논현로 99길 29,논현로 97길 29,60
114,강남대로 42길,남부순환로 351길 8,강남대로 42길 11,30
115,학동로 18길,학동로 18길 67,학동로 18길 69,50
116,선릉로 133길,학동로 47길 20,선릉로 133길 16,100
117,도산대로 72길,도산대로 70길 23,도산대로 72길 36,40
118,선릉로 108길,선릉로 108길 65,봉은사로 68길 8,70
119,헌릉로 622길,헌릉로 622길 10,헌릉로 618길 7,30
120,도산대로 23길,도산대로 163,도산대로 23길 8,70
121,자곡로,자곡로 100,자곡로 101,90
122,봉은사로 21길,논현동 206,봉은사로 21길193-18,140
