,시작 지점,끝 지점,연장(m)
0,중림로 2-1 , 중림로4길 32,182
1,퇴계로6가길32 , 소월로 39-1,128
2,퇴계로68길 24-1 , 신당동229-56,67
3,필동로8길 16 , 필동로8가길 56,330
4,퇴계로6길 27 ,퇴계로6길 27 47,120
5,동호로15길 40,동호로15길 130-2,40
6,동호로11나길 81 , 동호로11나길 60,140
7,동호로17길 133 , 동호로17길 131-18,65
8,퇴계로88다길 37, 다산로36가길 38,42
9,퇴계로90길 73,퇴계로88가길 48-26,100
10,동호로5길 19,다산로 32,150
11,동호로25가길 21 , 동호로25길 46,200
12,동호로25가길 3 ,동호로25가길 9,50
13,만리재로21길 9 ,만리재로21길13,60
14,동호로11라길 33 ,동호로11라길 47,70
15,동호로17길 65 ,동호로17가길 18,123
16,동호로11마길 24 ,동호로11자길 33,200
17,중림로2길 3 ,중림로2길 31,170
18,만리재로37길 43 ,만리재로37길 64,130
19,필동로8길 63 ,필동로8길 61-7,65
20,동호로17다길 2 ,동호로17다길 2-13,80
21,동호로17다길 12 ,동호로17다길 2-13,70
22,동호로15길 103 , 동호로15길 97-42,128
23,동호로11바길 23 ,동호로11바길 33,40
24,동호로17가길 2 ,동호로17가길18,92
25,동호로8길 17 ,동호로8길 50,150
26,다산로 58 , 다산로4길 10,60
27,다산로44길 95 ,다산로44길 119,140
28,소공로6가길 2 ,소공로6가길 29,140
29,대사관로 12길 4-8 , 이태원로 222,470
30,소월로 20길 6,소월로 20길 12,130
31,회나무로 90 , 회나무로 44길 2,100
32,효창원로15길 42 , 효창원로 35,435
33,효창원로266,효창원로104가길1,64
34,회나무로21길1,회나무로41길 5,860
35,효창원로154,효창원로72길20,80
36,장문로66-1,장문로60,110
37,녹사평대로46길 46,녹사평대로46길 92,390
38,산천동 200 , 산천동 6-82,345
39,금호산길 30,금호산길 40,160
40,난계로 61-19 , 난계로 63,310
41,독서당로 384 , 독서당로62길 10,320
42,금호산길 10-1,금호산길 40,340
43,금호로 111 , 금호로 117,165
44,매봉18길 109 ,금호동2가 1-4,270
45,독서당로 251-24 , 독서당로 253,500
46,독서당로 384 , 독서당로62길 14,230
47,독서당로 168 , 한림말길 20,130
48,금호동1가 634,독서당로55길 25-2,80
49,금호로 141-1 , 금호산14길 7-1,61
50,독서당로59다길 6 , 독서당로59길 84,70
51,하왕십리동 1050-2 , 왕십리로31길 16,50
52,난계로 100,하왕십리동 1062,100
53,독서당로 224 , 한림말3길 10,460
54,독서당로39길 34 , 독서당로39길 48,295
55,매봉길 49-35 , 매봉길 50,278
56,행당로1길 13 , 난계로 63,76
57,금호동3가 701 , 장터5가길 36,160
58,금호동2가 산 9-1 , 금호로13길 20,229
59,독서당로46길35, 금호로1길 27,348
60,독서당로 257, 매봉길 2,187
61,금호로1길 27,금호로1길 38,237
62,독서당로59나길 39 , 독서당로59길 45,260
63,마조로42 ,사근동길43,170
64,행당로95, 왕십리로21길 57,210
65,왕십리로31나길 23,왕십리로31가길 22,220
66,왕십리 풍림아이원,무학봉길 46-26,50
67,하왕십리동 1050-2,왕십리로31길 16,70
68,매봉길49-35, 매봉길 50,67
69,한림말3길14, 독서당로 222,60
70,독서당로218, 한림말길 41-5,170
71,금호로 176-1 , 금호로16길 6,30
72,매봉18길 109,금호동2가 1-4,90
73,금호산8길 13 , 무수막길 59,60
74,무수막18길 1 , 금호로 141-1,30
75,독서당로63길 63 , 독서당로57가길 24,40
77,동호로 99 , 매봉길 16,50
78,구의동 34-8 ,구의동  81-3,150
79,구의동 23-26 ,구의동  23-30,40
80,중곡3동 194-19 ,중곡3동 608-6,55
81,중곡동 176-144 ,중곡동 176-42,50
82,중곡동 297-6 ,중곡동 176-110,30
83,중곡동 289-2 ,중곡동 287-2,30
84,중곡동 289-10 ,중곡동 294-1,60
85,중곡동 21-11 ,중곡동 271-1,70
86,구의동 143-1 ,구의동 21-32,450
87,구의동 556-6 ,구의동 549-3,60
88,구의동 558-11 ,구의동 551-2,30
89,구의동 22-34 ,구의동 22-27,240
90,구의동 549-3 ,중곡동 104-11,30
91,중곡동 70-12 ,중곡동 69-5,270
92,중곡동 168-1 ,중곡동  169-11,100
93,중곡동 605-1 ,중곡동  599-2,200
94,중곡동 36-2 ,중곡동  35-2,100
95,구의동 43-11 ,구의동  36-20,125
96,구의동 77-47 ,구의동  614-3,40
97,자양동 609-17 ,자양동  609-16,40
98,자양동 659-20 ,자양동  659-32,100
99,자양동 610 ,자양동  611-5,100
100,능동 320-56 ,능동  320-58,130
101,광장동 121 ,광장동  148-4,150
102,광장동 244-24 ,광장동  241-1,70
103,구의동 57-30 ,구의동  57-120,130
104,중곡동 71 ,중곡동  72-10,100
105,화양동 132-34 ,화양동  132-63,80
106,구의동 662 ,구의동  23-29,70
107,중곡동 150-323 ,중곡동  150-300,110
108,구의동 254-36 ,구의동  254-44,55
109,전농동 42-4 ,전농동  3-89,150
110,제기동 146-41 ,제기동  158-7,90
111,휘경동 43-230 ,휘경동 43-203,200
112,답십리동 294-129 ,답십리동 483-1,40
113,전농동 204-108 ,전농동 196-5,90
114,답십리동 990 ,답십리동 4-73,60
115,전농동 산32-20 ,전농동  43-5,80
116,이문동 264-375 ,이문동  264-248,230
117,이문동 264-377 ,이문동  264-355,60
118,용마공원로10가길 7,용마공원로10가길 17,110
119,면목로56길 85,사가정로 357,140
120,면목로54길 81,사가정로 349,15
121,면목로22길 14,답십리로87길 17,310
122,면목로30길 13,면목로30길 33,256
123,용마산로40길 28,용마산로40길 8,280
124,용마산로45길 48,용마산로45길 60,130
125,용마산로99길 9,봉우재로64길 65,159
126,봉우재로64길 59,용마산로101길 19,112
127,겸재로48길 31,겸재로42길 42,323
128,용마산로94길 84,용마산로94길 64-120,217
129,면목로30나길 17,면목로34길 28,277
130,봉우재로58길 44,봉우재로58길 26,67
131,면목로22길 32,답십리로87길 12,85
132,사가정로72길 26,용마산로62길 43,412
133,봉우재로71길 74,봉우재로71길 3-79,75
134,동일로140길 88,동일로144길 84,268
135,상봉중앙로8길 27,상봉중앙로8길 35,45
136,봉우재로65길 30 ,봉우재로65길 45,60
137,봉우재로65길 8 , 봉우재로 221,170
138,용마산로 329 , 면목로44바길 2,300
139,용마산로 304 , 용마산로58길 50,200
140,용마산로118길 119 ,용마산로118길 125,150
141,용마산로 388 , 용마산로86길 9-14,50
142,봉화산로 153 , 봉화산로45길 9-31,250
143,성북로4길 21 , 성북로 12,250
144,보국문로 160 , 솔샘로25가길 8,180
145,길음로15가길 3 , 길음로 103,110
146,장위로 4 , 장위로 31,343
147,장위로15길 94-1 , 장위로15길 113,256
148,오패산로16가길 99 , 오패산로16가길 76,90
149,장위로10길 2 , 장위로10길 28,90
150,오패산로16길 37 , 오패산로 69,270
151,보국문로28길 10 , 보국문로28길 32,120
152,서경로 153 , 보국문로16길 98,50
153,보국문로14길 9 , 보국문로16길 2,50
154,정릉로9나길 30-6 , 정릉로9길 48,193
155,정릉로10길 114 , 북악산로 537-14,180
156,북악산로 762-12 , 아리랑로5길 147,240
157,동소문로34길 24 , 정릉로 364,170
158,화랑로18길 59-4 , 화랑로18길 74,140
159,성북로4길 52-1 , 아리랑로5길 25,250
160,북악산로 825 , 북악산로 825-44,55
161,정릉로 236 , 정릉로24길 58,80
162,정릉로12길 12 , 정릉로12길 44-5,170
163,아리랑로12길 3 , 아리랑로16길 20,170
164,아리랑로6가길 30 , 아리랑로6나길 11,90
165,정릉로52길 46 , 정릉로52길 14,40
166,종암로21길 127 , 종암로25길 30,210
167,종암로23길 52 , 종암로25길 14,95
168,장위로6길 2 , 장위로10길 24-22,100
169,성북로4길 21 , 성북로8길 71,185
170,동부센트레빌 , 개운초교,195
171,동소문로3길 54 , 성북로2길 47,170
172,동소문로32길 4 , 북악산로 902,300
