,구분,시설명,시설_위치,위도,경도
0,지역아동센터,테스트지역아동센터,"37.566476952235696, 126.97767463729524",37.566476952235696,126.97767463729524
1,지역아동센터,유스비전스쿨 청소년전용지역아동센터,"37.51132, 126.92313",37.51132,126.92313
2,지역아동센터,꿈나무들의둥지지역아동센터,"37.54423, 126.86637",37.54423,126.86637
3,지역아동센터,송천동지역아동센터,"37.61515, 127.02509",37.61515,127.02509
4,지역아동센터,들꽃청소년지역아동센터,"37.54553, 127.12642",37.54553,127.12642
5,지역아동센터,꿈꾸는땅지역아동센터,"37.57272, 127.1767",37.57272,127.1767
6,지역아동센터,천호지역아동센터,"37.54341, 127.13211",37.54341,127.13211
7,지역아동센터,힘찬지역아동센터,"37.58207, 127.07419",37.58207,127.07419
8,지역아동센터,푸른공부방지역아동센터,"37.52361, 126.89828",37.52361,126.89828
9,지역아동센터,한별지역아동센터,"37.46922, 126.90664",37.46922,126.90664
10,지역아동센터,친구네지역아동센터,"37.57439, 127.01052",37.57439,127.01052
11,지역아동센터,함사람지역아동센터,"37.45486, 126.9032",37.45486,126.9032
12,지역아동센터,돌산공부방지역아동센터,"37.61885, 127.02267",37.61885,127.02267
13,지역아동센터,상도푸른지역아동센터,"37.49831, 126.94571",37.49831,126.94571
14,지역아동센터,늘품지역아동센터,"37.64431, 127.0103",37.64431,127.0103
15,지역아동센터,으뜸지역아동센터,"37.64658, 127.01478",37.64658,127.01478
16,지역아동센터,서초지역아동센터,"37.48062, 126.98461",37.48062,126.98461
17,지역아동센터,하나복지지역아동센터,"37.48262, 126.98381",37.48262,126.98381
18,지역아동센터,위더스틴즈지역아동센터,"37.50393, 126.94135",37.50393,126.94135
19,지역아동센터,위더스지역아동센터,"37.50418, 126.93973",37.50418,126.93973
20,지역아동센터,해밀지역아동센터,"37.50133, 127.14212",37.50133,127.14212
21,지역아동센터,화곡지역아동센터,"37.53274, 126.8591",37.53274,126.8591
22,지역아동센터,경향지역아동센터,"37.55719, 126.8517",37.55719,126.8517
23,지역아동센터,큰미래지역아동센터,"37.56308, 126.8106",37.56308,126.8106
24,지역아동센터,아름드리지역아동센터,"37.51901, 126.87608",37.51901,126.87608
25,지역아동센터,조이스터디,"37.56944, 127.03526",37.56944,127.03526
26,지역아동센터,위캔지역아동센터,"37.54235, 126.84863",37.54235,126.84863
27,지역아동센터,꿈나무공부방 지역아동센터,"37.4637, 126.91644",37.4637,126.91644
28,지역아동센터,구립고덕2동청소년지역아동센터,"37.55879, 127.16996",37.55879,127.16996
29,지역아동센터,보물섬지역아동센터,"37.60968, 126.90667",37.60968,126.90667
30,지역아동센터,서울지역아동센터,"37.58975, 127.08578",37.58975,127.08578
31,지역아동센터,나누리지역아동센터,"37.4531, 126.90892",37.4531,126.90892
32,지역아동센터,금천미래지역아동센터,"37.4752, 126.8973",37.4752,126.8973
33,지역아동센터,참좋은 지역아동센터,"37.47621, 126.91711",37.47621,126.91711
34,지역아동센터,민영지역아동센터,"37.47628, 126.91817",37.47628,126.91817
35,지역아동센터,양지 지역아동센터,"37.48404, 126.93726",37.48404,126.93726
36,지역아동센터,물댄동산목동지역아동센터,"37.50778, 126.86453",37.50778,126.86453
37,지역아동센터,마고네지역아동센터,"37.59263, 127.00669",37.59263,127.00669
38,지역아동센터,관악청소년 지역아동센터,"37.47451, 126.91385",37.47451,126.91385
39,지역아동센터,물댄동산난곡 지역아동센터,"37.47753, 126.91517",37.47753,126.91517
40,지역아동센터,암사지역아동센터,"37.55602, 127.13775",37.55602,127.13775
41,지역아동센터,발음지역아동센터,"37.55092, 126.83419",37.55092,126.83419
42,지역아동센터,마을속작은학교,"37.64425, 127.01805",37.64425,127.01805
43,지역아동센터,금나래지역아동센터,"37.46756, 126.89402",37.46756,126.89402
44,지역아동센터,독산1동지역아동센터,"37.46264, 126.88962",37.46264,126.88962
45,지역아동센터,주원지역아동센터,"37.58661, 126.94752",37.58661,126.94752
46,지역아동센터,참사랑지역아동센터,"37.58195729680787, 127.09059702864094",37.58195729680787,127.09059702864094
47,지역아동센터,참이랑지역아동센터,"37.60117, 127.08762",37.60117,127.08762
48,지역아동센터,행복한지역아동센터,"37.60274, 126.9155",37.60274,126.9155
49,지역아동센터,공립벧엘지역아동센터,"37.60438, 126.91664",37.60438,126.91664
50,지역아동센터,꿈이있는푸른학교지역아동센터,"37.58729, 126.91971",37.58729,126.91971
51,지역아동센터,이레지역아동센터,"37.60227, 126.91558",37.60227,126.91558
52,지역아동센터,은광지역아동센터,"37.60631, 126.93064",37.60631,126.93064
53,지역아동센터,동방지역아동센터,"37.6006, 126.90999",37.6006,126.90999
54,지역아동센터,생명나무 지역아동센터,"37.54105, 126.95806",37.54105,126.95806
55,지역아동센터,신일지역아동센터,"37.56564, 126.9591",37.56564,126.9591
56,지역아동센터,쪼물왕국지역아동센터,"37.53890408449032, 126.89558480033271",37.53890408449032,126.89558480033271
57,지역아동센터,성산교회부설 한우리 지역아동센터,"37.4733, 126.96435",37.4733,126.96435
58,지역아동센터,행복한지역아동센터,"37.54665, 127.08881",37.54665,127.08881
59,지역아동센터,은천지역아동센터,"37.48838, 126.92102",37.48838,126.92102
60,지역아동센터,밝은미래지역아동센터,"37.55103, 127.12963",37.55103,127.12963
61,지역아동센터,구립노원청소년지역아동센터,"37.66017, 127.0759",37.66017,127.0759
62,지역아동센터,광동 지역아동센터,"37.47926, 126.96081",37.47926,126.96081
63,지역아동센터,보라매 지역아동센터,"37.49091, 126.92893",37.49091,126.92893
64,지역아동센터,꿈둥지지역아동센터,"37.47963, 126.94439",37.47963,126.94439
65,지역아동센터,비전교실 지역아동센터,"37.48459, 126.9607",37.48459,126.9607
66,지역아동센터,꿈마을 지역아동센터,"37.48579, 126.94709",37.48579,126.94709
67,지역아동센터,꿈꾸는지역아동센터,"37.50043, 127.13702",37.50043,127.13702
68,지역아동센터,솔바람지역아동센터,"37.49632, 127.15448",37.49632,127.15448
69,지역아동센터,겨레얼학교지역아동센터,"37.53395, 126.82525",37.53395,126.82525
70,지역아동센터,다니엘청소년지역아동센터,"37.53311, 126.83215",37.53311,126.83215
71,지역아동센터,사무엘지역아동센터,"37.5332, 126.82887",37.5332,126.82887
72,지역아동센터,선유지역아동센터,"37.5227, 126.88877",37.5227,126.88877
73,지역아동센터,비젼학교지역아동센터,"37.49211, 127.08342",37.49211,127.08342
74,지역아동센터,선한지역아동센터,"37.50945, 126.96001",37.50945,126.96001
75,지역아동센터,솔나무지역아동센터,"37.50946, 126.9319",37.50946,126.9319
76,지역아동센터,아름다운안암지역아동센터,"37.58257, 127.03114",37.58257,127.03114
77,지역아동센터,우리지역아동센터,"37.62961, 127.03877",37.62961,127.03877
78,지역아동센터,우신지역아동센터,"37.49528, 126.82835",37.49528,126.82835
79,지역아동센터,점프지역아동센터,"37.47394, 127.04449",37.47394,127.04449
80,지역아동센터,비전트리지역아동센터,"37.60885989233055, 127.04760824292046",37.60885989233055,127.04760824292046
81,지역아동센터,송파희망세상지역아동센터,"37.49256, 127.14733",37.49256,127.14733
82,지역아동센터,함께꿈꾸는지역아동센터,"37.55894, 126.84405",37.55894,126.84405
83,지역아동센터,민들레학교지역아동센터,"37.52654, 126.90969",37.52654,126.90969
84,지역아동센터,신대방동구립지역아동센터,"37.48651, 126.90937",37.48651,126.90937
85,지역아동센터,해피아트지역아동센터,"37.58793, 127.05956",37.58793,127.05956
86,지역아동센터,배움터지역아동센터,"37.54012, 127.13649",37.54012,127.13649
