,학교구분,학교명,학교_위치,위도,경도
0,각종학교(중),성원중학교,"37.5509798002896, 127.087095159462",37.5509798002896,127.087095159462
1,초등학교,성원중학교,"37.5676883077439, 127.028005141452",37.5676883077439,127.028005141452
2,중학교,성원중학교,"37.5545540364985, 127.041963387397",37.5545540364985,127.041963387397
3,중학교,성원중학교,"37.5619188387132, 127.042324044658",37.5619188387132,127.042324044658
4,중학교,성원중학교,"37.5357298982053, 127.074368913785",37.5357298982053,127.074368913785
5,중학교,성원중학교,"37.5658339893237, 127.089275266763",37.5658339893237,127.089275266763
6,중학교,성원중학교,"37.5416703705205, 127.012983234555",37.5416703705205,127.012983234555
7,중학교,성원중학교,"37.5449782076528, 127.098714317037",37.5449782076528,127.098714317037
8,중학교,성원중학교,"37.5336522682692, 127.063425269386",37.5336522682692,127.063425269386
9,중학교,성원중학교,"37.5394518246786, 127.051383529488",37.5394518246786,127.051383529488
