id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,오패산로,0,3차로,37.6116,127.03507,37.611808,127.0349724,37.611704,127.0350212,24.674701726294835,미아동,6m미만,소로,강북구
2,솔매로,0,주거지 도로,37.624876,127.0184306,37.6248533,127.0195415,37.62486465,127.01898605,97.90834391843248,미아동,6m미만,소로,강북구
3,삼양로54길,0,주거지 도로,37.624876,127.0184306,37.6243234,127.0193752,37.624599700000005,127.0189029,103.44503143237988,미아동,6m미만,소로,강북구
4,솔매로,0,주거지 도로,37.624876,127.0184306,37.6251163,127.0175713,37.62499615,127.01800095,80.73079967779549,미아동,6m미만,소로,강북구
5,오현로32길,0,3차로,37.62875,127.03939,37.62864,127.03962,37.62869499999999,127.039505,23.66155152920135,번동,폭6-8m,소로3류,강북구
6,오현로,0,3차로,37.62875,127.03939,37.6285558,127.0391519,37.6286529,127.03927095,30.0993501259625,번동,폭6-8m,소로3류,강북구
7,오현로31길,0,3차로,37.62875,127.03939,37.6291942,127.0390812,37.6289721,127.0392356,56.8968114368326,번동,6m미만,소로,강북구
8,한천로115길,0,3차로,37.631423,127.0372154,37.63204,127.03789,37.6317315,127.0375527,90.75494893601297,번동,폭20-25m,중로1류,강북구
9,오현로31길,0,3차로,37.631423,127.0372154,37.63204,127.03601,37.6317315,127.0366127,126.52069198449816,번동,6m미만,소로,강북구
10,오현로31길,0,3차로,37.631423,127.0372154,37.62989,127.03874,37.6306565,127.0379777,217.69590407041773,번동,6m미만,소로,강북구
11,오현로31길,0,주거지 도로,37.6331657,127.0099087,37.6328717,127.01002,37.6330187,127.00996435,34.128945556885306,수유동,6m미만,소로,강북구
12,화계사길,0,주거지 도로,37.6331657,127.0099087,37.6335198,127.0113074,37.63334275,127.01060805,129.38684844705665,수유동,폭6-8m,소로3류,강북구
13,화계사길,0,주거지 도로,37.6331657,127.0099087,37.6329271,127.0074607,37.6330464,127.0086847,217.7239356969774,수유동,폭6-8m,소로3류,강북구
14,화계사길,0,주거지 도로,37.6337989,127.0134669,37.6337868,127.0133287,37.633792850000006,127.0133978,12.243859911288563,수유동,폭6-8m,소로3류,강북구
15,오패산로,0,3차로,37.6350297,127.0283557,37.6358679,127.0282368,37.6354488,127.02829625,94.206227396822,번동,6m미만,소로,강북구
16,덕릉로36길,0,3차로,37.6350297,127.0283557,37.6339881,127.0285616,37.6345089,127.02845865,120.33437030068868,번동,폭6-8m,소로3류,강북구
17,"['오패산로', '오패산터널']",0,3차로,37.6350297,127.0283557,37.6264229,127.0293875,37.6307263,127.0288716,961.5470719139412,미아동,,,강북구
18,덕릉로36길,0,3차로,37.6350297,127.0283557,37.6339727,127.0283913,37.6345012,127.0283735,119.04826426304672,번동,폭6-8m,소로3류,강북구
19,오현로31길,0,3차로,37.6355095,127.0339407,37.63464,127.03357,37.63507475,127.03375535,115.04231124167838,번동,6m미만,소로,강북구
20,삼각산로,0,3차로,37.6408,127.01693,37.6408273,127.0172986,37.64081365,127.0171143,32.59701908436456,수유동,6m미만,소로,강북구
21,삼각산로,0,3차로,37.6408,127.01693,37.6407919,127.0168205,37.64079595,127.01687525,9.683494970704327,수유동,6m미만,소로,강북구
22,4.19로,0,3차로,37.64732,127.01046,37.6476638,127.0118604,37.6474919,127.0111602,129.08572812312642,수유동,6m미만,소로,강북구
23,4.19로,0,3차로,37.64732,127.01046,37.6470096,127.0092705,37.6471648,127.00986525,110.81690310858532,수유동,6m미만,소로,강북구
24,4.19로,0,3차로,37.6482494,127.0142764,37.6481379,127.0138166,37.64819365,127.0140465,42.33758740437572,수유동,6m미만,소로,강북구
25,한천로,0,3차로,37.6482494,127.0142764,37.6481754,127.0147882,37.6482124,127.0145323,45.80483131084158,수유동,6m미만,소로,강북구
