id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,"['답십리로1길', '왕산로40길']",0,주거지 도로,37.5801195,127.0450075,37.5790825,127.0438289,37.579601,127.0444182,211.7636667827394,전농동,,,동대문구
2,"['답십리로1길', '왕산로40길']",0,,37.5801195,127.0450075,37.5793008,127.0423958,37.57971015,127.04370165,247.53759266401195,청량리동,,,동대문구
3,장한로,0,3차로,37.5723444,127.0716753,37.5729225,127.07182,37.57263345,127.07174765,65.58845737867638,장안동,,,동대문구
4,장한로,0,3차로,37.5723444,127.0716753,37.5718178,127.0714216,37.5720811,127.07154845,62.98391155603508,장안동,,,동대문구
5,답십리로15길,0,주거지 도로,37.5768958,127.0459023,37.5775158,127.0470129,37.5772058,127.0464576,120.21244810244232,전농동,폭6-8m,소로3류,동대문구
6,사가정로,0,주거지 도로,37.5789261,127.0722546,37.5801437,127.0726149,37.5795349,127.07243475,139.14721699136553,장안동,6m미만,소로,동대문구
7,제기로2길,0,주거지 도로,37.5864291,127.0328387,37.5856522,127.0337194,37.58604065,127.03327905,127.40500759387211,제기동,6m미만,소로,동대문구
8,신이문로,0,3차로,37.6029799,127.0620569,37.603,127.0624871,37.60298995,127.062272,37.968807928750834,이문동,6m미만,소로,동대문구
9,천호대로17길,0,주거지 도로,37.5780269,127.0321978,37.5775302,127.0322531,37.57777855,127.03222545,55.4451814871604,용두동,폭6-8m,소로3류,동대문구
10,왕산로26길,0,주거지 도로,37.5781189,127.0364523,37.577599,127.0364551,37.57785895,127.0364537,57.81085197998503,용두동,6m미만,소로,동대문구
11,왕산로36길,0,주거지 도로,37.5795872,127.0435884,37.5790825,127.0438289,37.579334849999995,127.04370865,59.98868164293678,전농동,6m미만,소로,동대문구
12,경희대로,0,3차로,37.5916104,127.0522541,37.5926082,127.0525222,37.5921093,127.05238815,113.43716926549374,회기동,폭10-12m,소로1류,동대문구
13,경희대로1길,0,주거지 도로,37.5916104,127.0522541,37.5916775,127.0517108,37.591643950000005,127.05198245,48.44738795127136,회기동,폭6-8m,소로3류,동대문구
14,경희대로,0,3차로,37.5926082,127.0525222,37.5928989,127.0525935,37.59275355,127.05255785,32.92919203932643,회기동,폭10-12m,소로1류,동대문구
15,경희대로,0,3차로,37.5926082,127.0525222,37.5916104,127.0522541,37.5921093,127.05238815,113.43716926549374,회기동,폭10-12m,소로1류,동대문구
16,경희대로4길,0,주거지 도로,37.5926082,127.0525222,37.592446,127.0529508,37.5925271,127.0527365,41.848874443890736,회기동,6m미만,소로,동대문구
17,경희대로3길,0,주거지 도로,37.5926082,127.0525222,37.5926893,127.0519798,37.59264875,127.052251,48.632866360769945,회기동,폭6-8m,소로3류,동대문구
18,경희대로,0,3차로,37.5931834,127.0526491,37.5928989,127.0525935,37.593041150000005,127.0526213,32.01204502117539,회기동,폭10-12m,소로1류,동대문구
19,경희대로,0,3차로,37.5931834,127.0526491,37.5938317,127.0526746,37.59350755,127.05266185,72.34235981495245,회기동,폭10-12m,소로1류,동대문구
