id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,강남대로95길,0,주거지 도로,37.5139422,127.0199955,37.5138161,127.0193557,37.51387915,127.0196756,58.146680679290235,잠원동,6m미만,소로,서초구
2,바우뫼로12길,0,3차로,37.4675247,127.0347686,37.4706628,127.0318144,37.46909375,127.0332915,435.6636989189411,양재동,폭20-25m,중로1류,서초구
3,매헌로16길,0,주거지 도로,37.4675247,127.0347686,37.467029,127.035412,37.46727685,127.0350903,82.96729530236709,양재동,폭15-20m,중로2류,서초구
4,매헌로14길,0,주거지 도로,37.4675247,127.0347686,37.4657106,127.0349768,37.46661765,127.0348727,202.6551017860409,양재동,폭6-8m,소로3류,서초구
5,동산로,0,3차로,37.4685748,127.0398113,37.4686621,127.0399672,37.46861845,127.03988925,16.838558084987497,양재동,폭10-12m,소로1류,서초구
6,바우뫼로,0,주거지 도로,37.46912,127.0243,37.4701382,127.0252014,37.4696291,127.0247507,138.37227464432422,우면동,폭20-25m,중로1류,서초구
7,바우뫼로,0,주거지 도로,37.46912,127.0243,37.4686982,127.0239852,37.4689091,127.0241426,54.51293526213306,우면동,폭20-25m,중로1류,서초구
8,바우뫼로2길,0,주거지 도로,37.46912,127.0243,37.4688735,127.0246497,37.46899675,127.02447485,41.27670325451889,우면동,6m미만,소로,서초구
9,바우뫼로1길,0,주거지 도로,37.46912,127.0243,37.4704011,127.0229418,37.46976055,127.0236209,188.36434487193856,우면동,폭15-20m,중로2류,서초구
10,마방로,0,3차로,37.4736968,127.0385593,37.4737104,127.0387794,37.4737036,127.03866935,19.4821766817168,양재동,폭15-20m,중로2류,서초구
11,양재천우안로,0,3차로,37.4736968,127.0385593,37.4706628,127.0318144,37.4721798,127.03518685,711.3397550125984,양재동,,,서초구
12,양재천로,0,3차로,37.4755357,127.0385739,37.4753479,127.0380146,37.4754418,127.03829425,54.9788064419779,양재동,폭6-8m,소로3류,서초구
13,서운로,0,3차로,37.4885147,127.0282365,37.4919997,127.0265779,37.4902572,127.0274072,414.2604049869304,서초동,폭20-25m,중로1류,서초구
14,서운로,0,3차로,37.4885147,127.0282365,37.4879776,127.0284942,37.48824615,127.02836535,63.90460013182894,서초동,폭20-25m,중로1류,서초구
15,동광로,0,3차로,37.4927747,126.9904803,37.4924719,126.9896809,37.4926233,126.9900806,78.15245793613187,방배동,폭6-8m,소로3류,서초구
16,동광로,0,3차로,37.4927747,126.9904803,37.493036,126.9910849,37.49290535,126.9907826,60.74107110226774,방배동,폭6-8m,소로3류,서초구
17,주흥길,0,주거지 도로,37.5034452,127.0211197,37.5040719,127.020835,37.50375855,127.02097735,74.09074238202656,반포동,6m미만,소로,서초구
18,서운로,0,3차로,37.5034452,127.0211197,37.5021744,127.0217224,37.5028098,127.02142105,150.99705556562185,서초동,폭20-25m,중로1류,서초구
19,헌릉IC2교,0,,37.4654826,127.0902712,37.4623845,127.0869007,37.46393355,127.08858595,468.10496566974024,내곡동,,,서초구
20,헌릉IC1교,0,,37.4654826,127.0902712,37.4629841,127.0889346,37.46423335,127.0896029,646.3390928088745,내곡동,,,서초구
21,양재대로2길,0,3차로,37.4574453,127.0150044,37.4565987,127.0151745,37.457022,127.01508945,95.3275823256857,우면동,폭15-20m,중로2류,서초구
22,바우뫼로,0,3차로,37.4737864,127.0307069,37.4733636,127.029969,37.473575,127.03033795,80.31592510842921,양재동,폭20-25m,중로1류,서초구
23,비우뫼로15길,0,3차로,37.4737864,127.0307069,37.4740026,127.0304993,37.4738945,127.0306031,30.225340807016305,양재동,,,서초구
24,바우뫼로,0,3차로,37.4737864,127.0307069,37.4746683,127.0324325,37.47422735,127.0315697,181.882472403622,양재동,폭20-25m,중로1류,서초구
