센터명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,센터 전화번호,홈페이지주소,운영여부,운영시간,데이터기준일자,면적(제곱미터)
새움터지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 자양로71-7,서울특별시 광진구 자양동 628-23,37.5340883,127.0838816,02-458-1813,https://www.ion.or.kr/26402,Y,12:00:00 - 19:30:00,2025-01-10,95.69
경희지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 긴고랑로7길 54,서울특별시 광진구 중곡동 192-59,37.5656584,127.0804219,02-463-7032,https://www.ion.or.kr/kh4637032,Y,10:00:00 - 19:00:00,2025-01-10,95.94
꿈나래지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 영화사로9,서울특별시 광진구 중곡동 78-30,37.5582613,127.0887356,02-494-1898,http://www.hjy.kr/dnr1206,Y,10:00:00 - 19:00:00,2025-01-10,97.6
새날지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 아차산로26길 22,서울특별시 광진구 자양동 13-42,37.540443,127.065546,02-498-0404,http://www.educen.net,Y,09:00:00 - 22:00:00,2025-01-10,231
새빛지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 아차산로330,서울특별시 광진구 자양동 222-11,37.5372369,127.079412,070-7734-2115,http://www.saebitedu.kr,Y,08:30:00 - 20:00:00,2025-01-10,132.5
신양하늘꿈지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 동일로44-10,서울특별시 광진구 자양동 236-26,37.5364204,127.0614142,02-463-4114,https://www.ion.or.kr/26417,Y,11:00:00 - 20:00:00,2025-01-10,110.94
어린이나라지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 자양로22길 58,서울특별시 광진구 구의동 242-8,37.5396185,127.0864968,02-446-5642,http://happylog.naver.com/kidsnara,Y,09:30:00 - 21:30:00,2025-01-10,126.08
중곡지역아동센터,서울특별시,광진구,11215,"서울특별시 광진구 자양로53길 69, 3층",서울특별시 광진구 중곡동 97-1,37.55587086,127.0908057,02-457-7179,,Y,10:00:00 - 19:00:00,2025-01-10,98.24
진성지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 용마산로26길 10,서울특별시 광진구 중곡동 18-45,37.5671157,127.0869694,02-3437-7293,http://www.hjy.kr/jscc,Y,10:30:00 - 20:30:00,2025-01-10,136.78
한사랑지역아동센터,서울특별시,광진구,11215,"서울특별시 광진구 동일로 282, 302호",서울특별시 광진구 군자동 194-2,37.5550907,127.0726711,02-499-0971,http://www.hjy.kr/hano153,Y,10:00:00 - 22:00:00,2025-01-10,123
해피엘지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 자양번영로16,서울특별시 광진구 자양동 600-32,37.5309681,127.0752338,070-7734-2118,http://www.happyeledu.kr,Y,10:00:00 - 20:00:00,2025-01-10,132
행복한지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 광나루로37길 43,서울특별시 광진구 구의동 65-2,37.5465957,127.0887757,02-454-8891,https://www.ion.or.kr/26424,Y,10:30:00 - 20:30:00,2025-01-10,86.63
희망샘지역아동센터,서울특별시,광진구,11215,서울특별시 광진구 긴고랑로137,서울특별시 광진구 중곡동 63-19,37.5590183,127.0902758,070-4138-0060,https://www.ion.or.kr/26428,Y,12:00:00 - 21:00:00,2025-01-10,187.2
