열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.57328329194735,127.0609362513845,3.34416577201552,162.88113075724695,37.5735347545493,127.06085874425,37.5730318293454,127.061013758519,15,1,답십리동,동대문구 답십리동 75-52,0,동대문구
2,,37.584188784179545,127.0316532807495,0.94078723648657,134.35205117790795,37.5843373803526,127.031401775824,37.5840401880065,127.031904785675,90,1,제기동,동대문구 제기동 147-1,0,동대문구
3,,37.5782385005418,127.06363407314,1.0821960810964728,177.6565260763983,37.5780669496403,127.062216395337,37.5784100514433,127.065051750943,150,1,전농동,동대문구 전농동 3-122,0,동대문구
4,,37.5983607277188,127.05532547089352,4.50913414615301,235.15544513217196,37.5982483917311,127.054326908898,37.5984730637065,127.056324032889,230,1,이문동,동대문구 이문동 264-204,0,동대문구
5,,37.58886643804545,127.05712951413348,0.0899891446874499,217.4501077891166,37.5888074156773,127.057423964452,37.5889254604136,127.056835063815,40,1,휘경동,동대문구 휘경동 319-53,0,동대문구
6,,37.5869321394429,127.05019992987953,3.2660063456346404,98.6633599349698,37.5868931669239,127.050316634557,37.5869711119619,127.050083225202,20,1,청량리동,동대문구 제기로33길 29,1,동대문구
7,,37.5906956353282,127.04632505625948,6.450782185470594,189.97872092222931,37.5916812463359,127.045596430584,37.5897100243205,127.047053681935,160,1,청량리동,동대문구 회기로 90,1,동대문구
8,,37.59895361795735,127.0543784927535,4.390835311821135,339.3547483614483,37.598914563676,127.05397940935,37.5989926722387,127.054777576157,60,1,이문동,동대문구 천장산로9길 60,1,동대문구
9,,37.5795459019444,127.06319328595252,9.368624972162548,86.8115924229763,37.5806921980698,127.064358844049,37.578399605819,127.062027727856,80,1,전농동,동대문구 사가정로 191-1 (전농동),1,동대문구
10,,37.56961274205355,127.06150382464,2.1183875331810373,111.86360683968128,37.5693117654531,127.060205006732,37.569913718654,127.062802642548,60,1,답십리동,동대문구 한천로11길 10-1,1,동대문구
11,,37.5803005199415,127.054746557887,0.5025958386126698,149.8556862947873,37.580104265719,127.054590635913,37.580496774164,127.054902479861,90,1,전농동,동대문구 전농로23길 17,1,동대문구
12,,37.5697384435109,127.052732663019,0.2439154183637609,165.7046136946904,37.5690487768803,127.053639774037,37.5704281101415,127.051825552001,40,1,답십리동,동대문구 사가정로2길 56,1,동대문구
13,,37.58617335133145,127.067177811764,1.3302394048766426,226.7936995485669,37.5860146719888,127.067203313457,37.5863320306741,127.067152310071,200,1,휘경동,동대문구 한천로49길 32,1,동대문구
