열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.558516051986246,126.94200374722352,1.222175850045653,295.044006665853,37.5585237234143,126.941479840385,37.5585083805582,126.942527654062,135,1,대현동,서대문구 대현동 110-67,0,서대문구
2,,37.58741780228115,126.932428417178,12.12066774484856,302.43207515103575,37.5873546445981,126.932038255594,37.5874809599642,126.932818578762,50,1,홍은동,서대문구 홍은동 265-44,0,서대문구
3,,37.59077512827865,126.934025956078,5.577177322768887,154.39492178947802,37.5906499036778,126.933888552652,37.5909003528795,126.934163359504,30,1,홍은동,서대문구 홍은동 466-2,0,서대문구
4,,37.559940968888554,126.928139548001,0.9733948484543852,238.04575306849048,37.5608814112071,126.928183803671,37.55900052657,126.928095292331,455,1,창천동,서대문구 창천동 375,0,서대문구
5,,37.58204359551205,126.922392143758,2.7418355795700995,201.54337138708823,37.5816191892695,126.920894825255,37.5824680017546,126.923889462261,400,1,남가좌동,서대문구 남가좌동 5-26,0,서대문구
6,,37.59077558488565,126.9529612026385,9.649954203966123,487.4893833243344,37.5918307675351,126.952020925753,37.5897204022362,126.953901479524,100,1,홍제동,서대문구 문화촌길 113-5 (홍제동),1,서대문구
7,,37.5588246327151,126.9407099914595,2.3728972817999083,322.53616404566696,37.558701233458,126.940784334301,37.5589480319722,126.940635648618,65,1,창천동,서대문구 신촌역로 41-6,1,서대문구
8,,37.5836819192681,126.926246800797,8.138797221176267,136.71944378539916,37.5835018401915,126.925933426565,37.5838619983447,126.926560175029,140,1,홍은동,"서대문구 가좌로 122-20 (홍은동, 동원빌라)",1,서대문구
9,,37.5640239864632,126.952175891524,13.77268297350501,160.82754105906596,37.5638746270498,126.951349783446,37.5641733458766,126.953001999602,411,1,북아현동,서대문구 북아현로19길 20-7 (북아현동),1,서대문구
10,,37.579014530057606,126.930220847069,6.787006323391453,95.97613820383916,37.5795484794099,126.92964564329,37.5784805807053,126.930796050848,180,1,홍은동,서대문구 명지길 19 (홍은동),1,서대문구
11,,37.577544685194,126.9373586082515,8.80353225118386,192.529347201976,37.5775360791539,126.936421829378,37.5775532912341,126.938295387125,120,1,연희동,서대문구 연희로36길 32 (연희동),1,서대문구
12,,37.60369044700805,126.949385268463,4.966757948683427,172.02623105514402,37.6051843890956,126.949934463872,37.6021965049205,126.948836073054,70,1,홍은동,서대문구 홍은중앙로 151,1,서대문구
13,,37.57728174146981,126.906284018342,0.9135663413081956,112.82143810014172,37.5775387561196,126.905894492772,37.57702472682,126.906673543912,80,1,북가좌동,서대문구 수색로8길 72 (북가좌동),1,서대문구
14,,37.558663741556,126.946124677797,10.611348201881269,291.9344832170786,37.5586536023804,126.945920737962,37.5586738807316,126.946328617632,70,1,대현동,서대문구 이화여대2다길 27 (대현동),1,서대문구
15,,37.569506597074195,126.925277570531,7.306690290736986,355.53278530990394,37.5694054245622,126.925932785368,37.5696077695862,126.924622355694,50,1,연희동,서대문구 연희로11마길 63 (연희동),1,서대문구
16,,37.59505731134765,126.933536458218,11.336667346830822,260.96246059259363,37.5946394214899,126.934078651232,37.5954752012054,126.932994265204,60,1,홍은동,서대문구 연희로41라길 13,1,서대문구
17,,37.5933083842142,126.933287320286,11.570171704404604,125.23419696551788,37.5935087861292,126.931890441324,37.5931079822992,126.934684199248,275,1,홍은동,"서대문구 연희로41가길 91-3 (홍은동, 스위스파인빌)",1,서대문구
18,,37.5920213861065,126.9496178457355,7.753903232996845,259.15307928260034,37.5926237376811,126.947386041512,37.5914190345319,126.951849649959,656,1,홍제동,서대문구 문화촌길 6-24,1,서대문구
19,,37.5798345171828,126.9510828131115,8.81772153521601,186.71855274818768,37.5805262287076,126.951453746795,37.579142805658,126.950711879428,145,1,홍제동,서대문구 통일로 321,1,서대문구
20,,37.5644685092839,126.962034595131,5.282096378345254,94.19416790756576,37.5641746634256,126.960537280267,37.5647623551422,126.963531909995,270,1,충정로2가,서대문구 경기대로9길 24,1,서대문구
21,,37.5843957380904,126.950188923072,6.335121296883913,160.64244899945925,37.5837175694624,126.949782981952,37.5850739067184,126.950594864192,200,1,홍제동,"서대문구 통일로28길 19-7 (홍제동, 현대빌라)",1,서대문구
22,,37.58456124738974,126.934509762926,4.762130662525139,139.72634879078532,37.5860620008518,126.933480151157,37.5830604939277,126.935539374695,400,1,홍은동,서대문구 연희로37안길 14-3,1,서대문구
23,,37.583153676200894,126.95149828763748,12.718405521757036,188.09446012341704,37.5832850061273,126.95064586122,37.5830223462745,126.952350714055,100,1,홍제동,"서대문구 통일로 348 (홍제동, 무악청구아파트)",1,서대문구
24,,37.586457012870255,126.9416021141115,10.42537770195281,228.5911466899328,37.5872374778163,126.942107938684,37.5856765479242,126.941096289539,370,1,홍제동,서대문구 통일로39다길 23-11,1,서대문구
25,,37.5865204878056,126.933277138457,16.411929497828112,344.48316641850204,37.5867691552474,126.934221910291,37.5862718203638,126.932332366623,300,1,홍은동,서대문구 연희로39길 41-13,1,서대문구
26,,37.5856728183119,126.926933829869,12.839227435406494,176.66579085097413,37.5857401586633,126.926191726203,37.5856054779605,126.927675933535,155,1,홍은동,서대문구 가좌로2길 60,1,서대문구
