열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.58772509634165,127.090087167444,0.1277434631391238,178.12017836837674,37.5873651888855,127.090154100874,37.5880850037978,127.090020234014,323,1,면목동,중랑구 면목동 1175-1,0,중랑구
2,,37.6055598449622,127.0900859707295,5.029815080789047,206.95353053290256,37.6058186173408,127.091609767692,37.6053010725836,127.088562173767,250,1,상봉동,중랑구 상봉동 13-1,0,중랑구
3,,37.595411573894495,127.0973722724095,1.8466621188007368,159.39969034159537,37.5955927717396,127.097416556471,37.5952303760494,127.097327988348,170,1,망우동,중랑구 망우동 534-48,0,중랑구
4,,37.596762773438,127.0973926040385,0.3232150937422211,84.33330753045209,37.5964051822607,127.09732329056,37.5971203646153,127.097461917517,60,1,망우동,중랑구 망우동 534-49,0,중랑구
5,,37.6020759463294,127.0889049337215,3.086629734768384,143.94025019706382,37.6019872038371,127.088718824976,37.6021646888217,127.089091042467,45,1,상봉동,중랑구 상봉동 237-12,0,중랑구
6,,37.57836050494885,127.0926266812905,9.927323216321865,282.3969254447406,37.5792046979236,127.092158706338,37.5775163119741,127.093094656243,200,1,면목동,중랑구 면목동 527-269,0,중랑구
7,,37.602581493321395,127.113068501754,3.0748219341174945,450.1784406127284,37.6004678960039,127.112843796305,37.6046950906389,127.113293207203,230,1,망우동,중랑구 망우동 산 47,0,중랑구
8,,37.598656406356795,127.082788237348,0.1335972403366134,124.91584336108431,37.5989176853414,127.082800133817,37.5983951273722,127.082776340879,50,1,중화동,중랑구 동일로124길 48,1,중랑구
9,,37.58096215008025,127.087455161825,0.2303319844527349,162.8646050464861,37.5809978555655,127.087176645624,37.580926444595,127.087733678026,10,1,면목동,중랑구 사가정로 385,1,중랑구
10,,37.5865134011026,127.095801581159,1.1362409654271068,138.36920097918485,37.5862583867691,127.095343221465,37.5867684154361,127.096259940853,50,1,면목동,중랑구 용마산로86길 7,1,중랑구
11,,37.6011552214036,127.107332528899,2.628547515963847,73.41576115437056,37.6011580222643,127.107175352319,37.6011524205429,127.107489705479,150,1,망우동,중랑구 용마산로118길 123,1,중랑구
12,,37.5812726990021,127.09291111808552,4.4631997344094625,114.35370347544396,37.5814013706902,127.093127570278,37.581144027314,127.092694665893,300,1,면목동,중랑구 용마산로 329-8,1,중랑구
13,,37.60610449102945,127.0832304639395,3.0077488155778767,282.5346129013641,37.6056993886468,127.083510702772,37.6065095934121,127.082950225107,268,1,중화동,"중랑구 동일로140길 99 (중화동, 힐 하우스)",1,중랑구
14,,37.5792548546221,127.0940211686625,7.35451133661343,282.6543435386991,37.5800711747193,127.093430676323,37.5784385345249,127.094611661002,412,1,면목동,중랑구 사가정로72길 26,1,중랑구
15,,37.57166423945475,127.0854405167755,8.85875331330392,118.14492111764476,37.5717969516252,127.085508813496,37.5715315272843,127.085372220055,85,1,면목동,중랑구 면목로22길 32-4 (면목동),1,중랑구
16,,37.576602542627896,127.0875957015835,7.557117780463749,189.50687920549657,37.5764629846627,127.08764829179,37.5767421005931,127.087543111377,277,1,면목동,중랑구 면목로30나길 19 (면목동),1,중랑구
17,,37.587347700367005,127.1009610820735,7.941594476658017,99.54552262660928,37.5876756237817,127.101110637829,37.5870197769523,127.100811526318,217,1,면목동,"중랑구 용마산로94길 82-12 (면목동, 도시공간)",1,중랑구
18,,37.59276383018185,127.097317756955,0.6333045971822316,134.64225545734593,37.5923630693449,127.097098928032,37.5931645910188,127.097536585878,112,1,망우동,중랑구 봉우재로64길 49,1,중랑구
19,,37.591966369257904,127.0972001482495,1.609608485742756,111.42260121748328,37.5918792308686,127.097434135039,37.5920535076472,127.09696616146,159,1,망우동,중랑구 용마산로99길 13,1,중랑구
20,,37.57447703147885,127.087744563575,6.635672463579944,143.8655987494078,37.5743022671596,127.08758485674,37.5746517957981,127.08790427041,130,1,면목동,중랑구 용마산로45길 60 (면목동),1,중랑구
21,,37.57165215800485,127.08723627361452,11.999510930332027,146.5813544196034,37.5716792334736,127.087784182747,37.5716250825361,127.086688364482,280,1,면목동,중랑구 용마산로40길 20,1,중랑구
22,,37.575755730700095,127.087185080243,8.05357722010359,192.42259420839147,37.5758457223916,127.08665997496,37.5756657390086,127.087710185526,256,1,면목동,중랑구 면목로30길 25-5,1,중랑구
23,,37.572022045815146,127.084973358802,6.131382170066187,93.14695920117356,37.5721473639983,127.084612002083,37.571896727632,127.085334715521,310,1,면목동,"중랑구 답십리로85길 18 (면목동, 삼우빌라)",1,중랑구
24,,37.582613028355354,127.088810758717,1.0618388363255271,224.8772322615573,37.5838758126745,127.093185449346,37.5813502440362,127.084436068088,140,1,면목동,중랑구 면목로 344,1,중랑구
25,,37.5924899632601,127.101292826085,2.9784891605683192,152.3105770431422,37.592700179021,127.101223531546,37.5922797474992,127.101362120624,110,1,망우동,중랑구 용마공원로10가길 11,1,중랑구
26,,37.59297233874375,127.095641145164,1.416759690358523,117.05208361895993,37.5925811122287,127.095772048043,37.5933635652588,127.095510242285,67,1,망우동,중랑구 봉우재로58길 38,1,중랑구
