id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,성안로,0,3차로,37.5353307,127.1343389,37.5352008,127.1342792,37.53526575,127.13430905,15.37356497347924,성내동,폭8-10m,소로2류,강동구
2,상암로,0,3차로,37.5471238,127.1346344,37.5467515,127.1355805,37.54693765,127.13510745,93.19057377793663,천호동,폭6-8m,소로3류,강동구
3,상암로,0,3차로,37.5471238,127.1346344,37.5474112,127.1338845,37.5472675,127.13425945,73.44456892401311,암사동,폭6-8m,소로3류,강동구
4,상일로11길,0,주거지 도로,37.5537325,127.172198,37.5536147,127.1700251,37.5536736,127.17111155,192.00624390040423,상일동,폭20-25m,중로1류,강동구
5,상일로12길,0,주거지 도로,37.5537325,127.172198,37.5571699,127.1732096,37.5554512,127.1727038,549.3316891031717,상일동,폭20-25m,중로1류,강동구
6,고덕로79길,0,주거지 도로,37.5565983,127.1654768,37.5578339,127.1651152,37.5572161,127.165296,141.09324060971102,고덕동,폭20-25m,중로1류,강동구
7,고덕로80길,0,주거지 도로,37.5565983,127.1654768,37.5559788,127.1655572,37.55628855,127.165517,69.27245171777962,상일동,폭20-25m,중로1류,강동구
8,여의대방로24길,0,,37.5554628,127.1763168,37.5522692,127.1777166,37.553866,127.1770167,376.0684437601188,상일동,폭10-12m,소로1류,강동구
9,여의대방로24길,0,,37.5685892,127.1694178,37.5722065,127.1680584,37.57039785,127.1687381,432.6467742071656,강일동,폭10-12m,소로1류,강동구
10,여의대방로24길,0,,37.5745318,127.163888,37.5711996,127.1601699,37.5728657,127.16202895,555.1820696090973,고덕동,폭10-12m,소로1류,강동구
11,"['선사로', '고덕로3길']",0,주거지 도로,37.5558804,127.1255983,37.5563172,127.126621,37.5560988,127.12610965,134.09526285033638,암사동,,,강동구
12,성내로6길,0,3차로,37.5270386,127.1214694,37.5275492,127.1217543,37.5272939,127.12161185,62.287168181851285,성내동,폭20-25m,중로1류,강동구
13,성내로14길,0,주거지 도로,37.5252346,127.1255235,37.5257497,127.1258921,37.52549215,127.1257078,65.85769393462743,성내동,폭8-10m,소로2류,강동구
14,고덕로55길,0,주거지 도로,37.5588261,127.1488077,37.5574523,127.1488436,37.5581392,127.14882565,152.79258101131765,고덕동,폭15-20m,중로2류,강동구
15,아리수로50길,0,주거지 도로,37.5588261,127.1488077,37.5587528,127.1515429,37.55878945,127.1501753,242.22936715802413,고덕동,폭20-25m,중로1류,강동구
16,아리수로50길,0,주거지 도로,37.5588261,127.1488077,37.5607111,127.1467913,37.5597686,127.1477995,282.07916429311973,고덕동,폭20-25m,중로1류,강동구
