id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,"['광장앞지하차도', '광장로']",0,3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,430.542185,광장동,,,광진구
2,워커힐로,0,주거지 도로,37.5455088,127.0977724,37.546539,127.0980531,37.5460239,127.0979128,117.3618397,광장동,폭15-20m,중로2류,광진구
3,워커힐로,0,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.0974903,177.2033417,광장동,폭15-20m,중로2류,광진구
4,자양번영로,0,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,70.34959027,자양동,폭10-12m,소로1류,광진구
5,자양번영로,0,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,68.5520968,자양동,폭10-12m,소로1류,광진구
6,가로공원로,0,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,13.89243982,자양동,6m미만,소로,광진구
7,자양번영로,0,3차로,37.5380336,127.0771393,37.5373994,127.0769243,37.5377165,127.0770318,73.03133474,자양동,폭10-12m,소로1류,광진구
8,구의로,0,3차로,37.5446885,127.09067,37.5439096,127.0904748,37.54429905,127.0905724,88.30643765,구의동,6m미만,소로,광진구
9,군자로,0,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.54804895,127.0704783,8.684211959,군자동,6m미만,소로,광진구
10,군자로,0,주거지 도로,37.5480112,127.0704657,37.5474811,127.0703611,37.54774615,127.0704134,59.66149099,화양동,6m미만,소로,광진구
11,군자로,0,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.0750724,10.27470935,군자동,6m미만,소로,광진구
12,면목로,0,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,11.02224532,군자동,6m미만,소로,광진구
13,군자로,0,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.0748966,26.60598492,군자동,6m미만,소로,광진구
14,긴고랑로46길,0,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.0950517,33.34658604,중곡동,6m미만,소로,광진구
15,긴고랑로44길,0,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.5596246,127.0949092,107.351868,중곡동,6m미만,소로,광진구
16,긴고랑로,0,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,43.61702999,중곡동,폭6-8m,소로3류,광진구
17,긴고랑로,0,주거지 도로,37.5601059,127.0948625,37.5620939,127.0960892,37.5610999,127.0954758,259.3622359,중곡동,폭6-8m,소로3류,광진구
18,긴고랑로45길,0,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,144.0394027,중곡동,6m미만,소로,광진구
19,면목로,0,3차로,37.56316,127.07976,37.5637864,127.0800965,37.5634732,127.0799282,75.70459978,중곡동,6m미만,소로,광진구
20,면목로,0,3차로,37.56316,127.07976,37.5626805,127.0794987,37.56292025,127.0796294,58.07986844,중곡동,6m미만,소로,광진구
21,자양로15길,0,주거지 도로,37.536232,127.0836367,37.5359673,127.0831829,37.53609965,127.0834098,49.88364234,자양동,6m미만,소로,광진구
22,자양로15길,0,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.0832476,108.3972812,구의동,6m미만,소로,광진구
23,자양로28길,0,주거지 도로,37.5425244,127.0842191,37.5423055,127.0850319,37.54241495,127.0846255,75.68415927,구의동,6m미만,소로,광진구
24,자양로,0,주거지 도로,37.54359,127.08468,37.5437685,127.0838934,37.54367925,127.0842867,72.13768812,구의동,6m미만,소로,광진구
25,자양로32길,0,주거지 도로,37.5444287,127.0850361,37.54428,127.0867504,37.54435435,127.0858932,152.0893802,구의동,6m미만,소로,광진구
26,자양로35길,0,주거지 도로,37.546813,127.0871807,37.5471237,127.0867403,37.54696835,127.0869605,51.97668035,구의동,6m미만,소로,광진구
27,자양로39길,0,주거지 도로,37.5485615,127.0891638,37.5489365,127.0886515,37.548749,127.0889076,61.47193219,구의동,6m미만,소로,광진구
