id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,사당로30길,0,주거지 도로,37.4811911,126.9808219,37.4817306,126.980846,37.48146085,126.98083395,60.02742765695256,사당동,6m미만,소로,동작구
2,사당로30길,0,주거지 도로,37.4811911,126.9808219,37.48059,126.980795,37.48089055,126.98080845,66.8814987669739,사당동,6m미만,소로,동작구
3,동작대로11길,0,주거지 도로,37.4811911,126.9808219,37.4812187,126.980061,37.4812049,126.98044145,67.21130584845065,사당동,6m미만,소로,동작구
4,대방동15다길,0,주거지 도로,37.504086,126.9226501,37.5029039,126.9221985,37.50349495,126.9224243,137.34784076415207,대방동,폭8-10m,소로2류,동작구
5,대방동23길,0,주거지 도로,37.504086,126.9226501,37.5040865,126.9231977,37.50408625,126.9229239,48.30501257943125,대방동,폭6-8m,소로3류,동작구
6,대방동23길,0,주거지 도로,37.504086,126.9226501,37.5040979,126.9222141,37.50409195,126.9224321,38.48325601080719,대방동,폭6-8m,소로3류,동작구
7,여의대방로36길,0,주거지 도로,37.504086,126.9226501,37.5053094,126.9239926,37.5046977,126.92332135,180.36092882360276,대방동,6m미만,소로,동작구
8,만양로,0,주거지 도로,37.5106099,126.9446495,37.5111969,126.944456,37.5109034,126.94455275,67.46606509911989,노량진동,6m미만,소로,동작구
9,만양로8길,0,주거지 도로,37.5106099,126.9446495,37.510389,126.9456687,37.51049945,126.9451591,93.19340892427026,노량진동,6m미만,소로,동작구
10,장승배기로16길,0,주거지 도로,37.5106099,126.9446495,37.510769,126.9442194,37.51068945,126.94443445,42.002317729639614,노량진동,6m미만,소로,동작구
11,만양로13길,0,주거지 도로,37.5106099,126.9446495,37.5099851,126.9446043,37.5102975,126.9446269,81.12913577493622,노량진동,6m미만,소로,동작구
12,만양로,0,주거지 도로,37.5106099,126.9446495,37.5096477,126.9455378,37.5101288,126.94509365,133.33712669372832,노량진동,6m미만,소로,동작구
13,등용로,0,주거지 도로,37.5131747,126.9318786,37.5129018,126.9318789,37.51303825,126.93187875,30.34514988420023,대방동,6m미만,소로,동작구
14,여의대방로22길,0,3차로,37.4975999,126.9196648,37.4976071,126.9200581,37.4976035,126.91986145,34.790990342961734,신대방동,폭8-10m,소로2류,동작구
15,국사봉길,0,3차로,37.4989724,126.9282041,37.4988741,126.9285802,37.49892325,126.92839215,34.932992751113616,신대방동,6m미만,소로,동작구
