id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,수색로2길,0,주거지 도로,37.5687258,126.9161036,37.5697084,126.9160619,37.5692171,126.91608275,109.4929341715247,남가좌동,폭8-10m,소로2류,서대문구
2,응암로1길,0,주거지 도로,37.5816561,126.9103948,37.5813646,126.910984,37.58151035,126.9106894,61.20768899254489,북가좌동,폭8-10m,소로2류,서대문구
3,응암로1길,0,주거지 도로,37.5816561,126.9103948,37.5820196,126.9096678,37.58183785,126.9100313,75.74858207703626,북가좌동,폭8-10m,소로2류,서대문구
4,거북골로22길,0,주거지 도로,37.5816561,126.9103948,37.5812354,126.9100606,37.58144575,126.9102277,55.277893189737696,북가좌동,6m미만,소로,서대문구
5,거북골로22길,0,주거지 도로,37.5816561,126.9103948,37.5821304,126.9107572,37.58189324999999,126.910576,61.6548232954826,북가좌동,6m미만,소로,서대문구
6,연희로,0,주거지 도로,37.5803,126.93616,37.5809098,126.9367224,37.5806049,126.9364412,89.27619185273596,홍은동,6m미만,소로,서대문구
7,가좌로,0,주거지 도로,37.58321,126.92524,37.5836412,126.9259491,37.5834256,126.92559455,78.76093393116987,홍은동,6m미만,소로,서대문구
8,거북골로,0,3차로,37.5778735,126.9096813,37.5781947,126.9092123,37.5780341,126.9094468,54.62446624153162,북가좌동,폭6-8m,소로3류,서대문구
9,거북골로12라길,0,주거지 도로,37.5751698,126.9165044,37.5766396,126.9161953,37.5759047,126.91634985,169.5639641627587,남가좌동,,,서대문구
10,거북골로,0,3차로,37.5789695,126.9231413,37.5793078,126.9236302,37.57913865,126.92338575,57.19486000512071,남가좌동,폭6-8m,소로3류,서대문구
11,거북골로,0,주거지 도로,37.5789695,126.9231413,37.5790905,126.9238292,37.57903,126.92348525,83.54975226094278,남가좌동,폭6-8m,소로3류,서대문구
12,거북골로,0,3차로,37.5789695,126.9231413,37.5786161,126.922657,37.5787928,126.92289915,58.01418394990058,남가좌동,폭6-8m,소로3류,서대문구
13,거북골로,0,3차로,37.5748658,126.9177041,37.5753551,126.918359,37.57511045,126.91803155,80.47927474517454,남가좌동,폭6-8m,소로3류,서대문구
14,수색로4가길,0,주거지 도로,37.5710537,126.9135184,37.5702191,126.9150356,37.5706364,126.914277,162.7650775218307,남가좌동,폭6-8m,소로3류,서대문구
15,수색로6길,0,주거지 도로,37.5710537,126.9135184,37.5712836,126.9119522,37.57116865,126.9127353,167.3168292775287,남가좌동,폭20-25m,중로1류,서대문구
16,연희맛로,0,3차로,37.5672372,126.9302418,37.5677794,126.9306736,37.5675083,126.9304577,71.29701479233107,연희동,6m미만,소로,서대문구
17,연희로11길,0,주거지 도로,37.5672372,126.9302418,37.5668519,126.9309257,37.567044550000006,126.93058375,73.97792953159741,연희동,6m미만,소로,서대문구
18,연희맛로,0,3차로,37.5672372,126.9302418,37.5666822,126.929555,37.5669597,126.9298984,86.44636279810075,연희동,6m미만,소로,서대문구
19,연희로11길,0,주거지 도로,37.5672372,126.9302418,37.567643,126.9298792,37.5674401,126.9300605,55.29422615816026,연희동,6m미만,소로,서대문구
20,연희맛로,0,3차로,37.5691072,126.9317414,37.5689342,126.9316021,37.5690207,126.93167175,22.82068398643969,연희동,6m미만,소로,서대문구
21,연희로25길,0,주거지 도로,37.5691072,126.9317414,37.5702535,126.932646,37.56968035,126.9321937,150.34358177113575,연희동,6m미만,소로,서대문구
22,연세로12길,0,주거지 도로,37.55904,126.9394,37.5590333,126.9391339,37.55903665,126.93926695,23.46779738134309,창천동,6m미만,소로,서대문구
23,명물길,0,주거지 도로,37.55904,126.9394,37.5587696,126.9395603,37.5589048,126.93948015,33.22184565613039,창천동,6m미만,소로,서대문구
24,명물길,0,3차로,37.55904,126.9394,37.558786,126.9390572,37.558913,126.9392286,41.36133374650093,창천동,6m미만,소로,서대문구
25,명물길,0,3차로,37.55904,126.9394,37.5591207,126.9399998,37.55908035,126.9396999,54.400039951499885,창천동,6m미만,소로,서대문구
26,명물길,0,3차로,37.5591266,126.9404251,37.5591207,126.9399998,37.55912365,126.94021245,37.49469875815738,창천동,6m미만,소로,서대문구
27,명물길,1,주거지 도로,37.5591266,126.9404251,37.5586029,126.9404562,37.55886475,126.94044065,58.29735665925904,창천동,6m미만,소로,서대문구
28,증가로4길,0,주거지 도로,37.57629,126.9271,37.5767681,126.9268171,37.576529050000005,126.92695855,58.71789922845161,홍은동,6m미만,소로,서대문구
29,모래내로,0,주거지 도로,37.5785377,126.9313804,37.5813579,126.9320113,37.5799478,126.93169585,517.0432851407515,홍은동,6m미만,소로,서대문구
30,모래내로26길,0,주거지 도로,37.58548,126.94567,37.5852467,126.9458384,37.58536335,126.9457542,39.84209629834079,홍제동,,,서대문구
31,북아현로18길,0,주거지 도로,37.56374,126.95419,37.5640867,126.9544905,37.56391335,126.95434025,46.77328388864185,북아현동,6m미만,소로,서대문구
32,북아현로,0,주거지 도로,37.56374,126.95419,37.56397,126.95389,37.563855,126.95404,36.786913868934825,북아현동,6m미만,소로,서대문구
33,북아현로,0,주거지 도로,37.56374,126.95419,37.5634511,126.9545665,37.56359555,126.95437825,46.18699043270863,북아현동,6m미만,소로,서대문구
34,북아현로,0,주거지 도로,37.56397,126.95389,37.5644943,126.9542185,37.56423215,126.95405425,65.09373863510308,북아현동,6m미만,소로,서대문구
35,북아현로,0,주거지 도로,37.56397,126.95389,37.5641804,126.953625,37.5640752,126.9537575,33.05928443289916,북아현동,6m미만,소로,서대문구
36,북아현로,0,주거지 도로,37.56397,126.95389,37.56374,126.95419,37.563855,126.95404,36.786913868934825,북아현동,6m미만,소로,서대문구
37,북아현로,0,주거지 도로,37.56424,126.95355,37.5645879,126.9536123,37.56441395,126.95358115,39.07255293507312,북아현동,6m미만,소로,서대문구
38,북아현로,0,주거지 도로,37.56424,126.95355,37.5641804,126.953625,37.5642102,126.9535875,9.360550959331066,북아현동,6m미만,소로,서대문구
39,북아현로,0,주거지 도로,37.56424,126.95355,37.5651332,126.9525931,37.5646866,126.95307155,130.38991288991627,북아현동,6m미만,소로,서대문구
40,불광천길,0,3차로,37.5766849,126.9033716,37.5767416,126.9034194,37.57671325,126.9033955,7.582521554034911,북가좌동,6m미만,소로,서대문구
41,수색로,0,3차로,37.5766849,126.9033716,37.5752742,126.9016053,37.57597955,126.90248845,221.42917243950177,북가좌동,6m미만,소로,서대문구
42,거북골로,0,3차로,37.5803974,126.9059228,37.5799067,126.9066542,37.58015205,126.9062885,84.55640588996985,북가좌동,폭6-8m,소로3류,서대문구
43,성산로18길,0,주거지 도로,37.5624454,126.9314189,37.5621733,126.930911,37.56230935,126.93116495,54.45559218575596,연희동,6m미만,소로,서대문구
44,성산로18길,0,주거지 도로,37.5613649,126.9415888,37.5609995,126.9420784,37.561182200000005,126.9418336,59.27276254080461,대신동,6m미만,소로,서대문구
