id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,고산자로4길,0,주거지 도로,37.5545755,127.0343753,37.5547786,127.0350128,37.55467705,127.03469405,60.58610647970072,행당동,폭15-20m,중로2류,성동구
2,독서당로,0,3차로,37.5545755,127.0343753,37.554288,127.0339864,37.55443175,127.03418085,46.87520310954151,응봉동,6m미만,소로,성동구
3,왕십리로,0,주거지 도로,37.5637208,127.0308463,37.5629748,127.0307278,37.5633478,127.03078705,86.00667563764438,하왕십리동,폭6-8m,소로3류,성동구
4,성수일로,0,3차로,37.5463546,127.0503732,37.5462424,127.0503281,37.5462985,127.05035065,13.094361255113007,성수동2가,폭15-20m,중로2류,성동구
5,성수일로,0,3차로,37.5463546,127.0503732,37.5468712,127.0505908,37.5466129,127.050482,60.5621073896636,성수동2가,폭15-20m,중로2류,성동구
6,성수일로,0,3차로,37.5508169,127.0521263,37.5495726,127.0516421,37.55019475,127.0518842,144.79499509576056,성수동1가,폭15-20m,중로2류,성동구
7,성수일로,0,3차로,37.5508169,127.0521263,37.5509161,127.0521649,37.5508665,127.0521456,11.543504891735369,성수동2가,폭15-20m,중로2류,성동구
8,난계로,0,주거지 도로,37.552364,127.0251668,37.5534124,127.0249753,37.5528882,127.02507105,127.22308526463738,금호동1가,6m미만,소로,성동구
9,난계로,0,주거지 도로,37.552364,127.0251668,37.551976,127.0258303,37.55217,127.02549855,74.62963613575864,금호동1가,6m미만,소로,성동구
10,금호로,0,3차로,37.552364,127.0251668,37.5524661,127.0249259,37.55241504999999,127.02504635,24.080741041043417,금호동1가,6m미만,소로,성동구
11,고산자로10길,0,3차로,37.5585272,127.0339937,37.5586748,127.0358246,37.558601,127.03490915,169.69293785933775,행당동,폭6-8m,소로3류,성동구
12,사근동길,0,3차로,37.5614146,127.0494156,37.5613255,127.0489887,37.56137005,127.04920215,38.91306701928521,사근동,6m미만,소로,성동구
13,성수이로20길,0,주거지 도로,37.5416308,127.063593,37.5418246,127.0629784,37.5417277,127.0632857,58.31591026544435,성수동2가,폭6-8m,소로3류,성동구
14,성수이로22길,0,주거지 도로,37.5427361,127.0642305,37.5429303,127.0635994,37.5428332,127.06391495,59.725703129330974,성수동2가,폭8-10m,소로2류,성동구
15,동일로57길,0,주거지 도로,37.5568912,127.0722518,37.5570609,127.0717658,37.55697605,127.0720088,46.8346204816025,송정동,6m미만,소로,성동구
16,가람길,0,3차로,37.5517778,127.0446965,37.5519658,127.0456924,37.5518718,127.04519445,90.26227440946906,성수동1가,폭10-12m,소로1류,성동구
17,가람길,0,3차로,37.5517778,127.0446965,37.5515828,127.0444749,37.5516803,127.0445857,32.07077798946618,성수동1가,폭10-12m,소로1류,성동구
18,가람길,0,3차로,37.5519658,127.0456924,37.5523738,127.0555193,37.5521698,127.05060585,969.9952242737554,용답동,폭10-12m,소로1류,성동구
19,가람길,0,3차로,37.5519658,127.0456924,37.5517778,127.0446965,37.5518718,127.04519445,90.26227440946906,성수동1가,폭10-12m,소로1류,성동구
20,가람길,0,3차로,37.5519658,127.0456924,37.551459,127.0423476,37.5517124,127.04402,304.401078548058,성수동1가,폭10-12m,소로1류,성동구
21,가람길,0,3차로,37.5521533,127.0561302,37.5523738,127.0555193,37.55226355,127.05582475,59.172736573949074,송정동,폭10-12m,소로1류,성동구
22,가람길,0,,37.5521533,127.0561302,37.5523738,127.0555193,37.55226355,127.05582475,78.56255937734127,송정동,폭10-12m,소로1류,성동구
23,가람길,0,3차로,37.5521533,127.0561302,37.5522848,127.063572,37.552219050000005,127.0598511,723.2436969035641,송정동,폭10-12m,소로1류,성동구
24,가람길,0,3차로,37.55978,127.07002,37.5601573,127.0704178,37.55996865,127.0702189,54.67769599488389,용답동,폭10-12m,소로1류,성동구
25,가람길,0,3차로,37.55978,127.07002,37.5579051,127.0681852,37.55884255,127.0691026,264.041767010562,용답동,폭10-12m,소로1류,성동구
26,가람길,0,3차로,37.55978,127.07002,37.5599385,127.0697836,37.55985925,127.0699018,27.29162477815097,용답동,폭10-12m,소로1류,성동구
27,장안벚꽃로,0,3차로,37.5603213,127.0705308,37.5607874,127.0708815,37.56055435,127.07070615,60.42801330628921,용답동,폭10-12m,소로1류,성동구
28,가람길,0,3차로,37.5603213,127.0705308,37.5601573,127.0704178,37.5602393,127.0704743,21.00286812062493,용답동,폭10-12m,소로1류,성동구
29,광나루로,0,주거지 도로,37.5481179,127.0652244,37.5472679,127.0652627,37.5476929,127.06524355,94.57611511853392,성수동2가,6m미만,소로,성동구
30,성수이로,0,3차로,37.548723,127.058292,37.5476552,127.0580148,37.5481891,127.0581534,121.22294685463008,성수동2가,폭15-20m,중로2류,성동구
31,광나루로4길,0,주거지 도로,37.5500871,127.0544969,37.5497254,127.0541065,37.54990625,127.0543017,53.21069778105292,성수동2가,6m미만,소로,성동구
32,성수일로12가길,0,주거지 도로,37.5506395,127.0528792,37.5503161,127.0527499,37.5504778,127.05281455,37.72384067848125,성수동2가,6m미만,소로,성동구
33,상원12길,0,주거지 도로,37.5511966,127.0503154,37.5507337,127.0502033,37.55096515,127.05025935,52.41229882240208,성수동1가,6m미만,소로,성동구
34,성덕정길,0,3차로,37.53719,127.05534,37.5372248,127.055273,37.5372074,127.0553065,7.0621074156477786,성수동2가,6m미만,소로,성동구
35,둘레15길,0,주거지 도로,37.53719,127.05534,37.5366593,127.0554845,37.53692465,127.05541225,60.37101707707646,성수동2가,폭6-8m,소로3류,성동구
36,성덕정길,0,3차로,37.53719,127.05534,37.5370727,127.0556983,37.53713135,127.05551915,34.17916754183488,성수동2가,6m미만,소로,성동구
37,성덕정19길,0,주거지 도로,37.53719,127.05534,37.5373649,127.0560079,37.537277450000005,127.05567395,62.85768516270463,성수동2가,6m미만,소로,성동구
38,성덕정길,0,3차로,37.53766,127.0538,37.5377163,127.0534901,37.53768815,127.05364505,28.03260870092361,성수동2가,6m미만,소로,성동구
39,성덕정길,0,3차로,37.53766,127.0538,37.5375978,127.0540982,37.5376289,127.0539491,27.18749446251707,성수동2가,6m미만,소로,성동구
40,성덕정15길,0,주거지 도로,37.53766,127.0538,37.5380036,127.0537993,37.537831800000006,127.05379965,38.20668062074433,성수동2가,6m미만,소로,성동구
41,성덕정11길,0,주거지 도로,37.53802,127.05158,37.5383949,127.0520431,37.53820745,127.05181155,58.35316546179015,성수동2가,6m미만,소로,성동구
42,성덕정길,0,3차로,37.53802,127.05158,37.5379857,127.050545,37.53800285,127.0510625,91.54110083928192,성수동1가,6m미만,소로,성동구
43,성덕정길,0,3차로,37.53802,127.05158,37.5379284,127.0521729,37.5379742,127.05187645,53.283584988187975,성수동2가,6m미만,소로,성동구
44,뚝섬로4길,0,주거지 도로,37.53802,127.05158,37.5386352,127.0510349,37.5383276,127.05130745,84.52271287047539,성수동1가,폭6-8m,소로3류,성동구
45,둘레9길,0,주거지 도로,37.53802,127.05158,37.5373839,127.0509176,37.53770195,127.0512488,93.36397805498848,성수동2가,6m미만,소로,성동구
46,성덕정길,0,3차로,37.5400704,127.0438243,37.5398109,127.0446365,37.53994065,127.0442304,77.20637751746715,성수동1가,6m미만,소로,성동구
47,서울숲길,0,3차로,37.5481488,127.044524,37.5481003,127.0438441,37.54812455,127.04418405,60.18217499213434,성수동1가,폭15-20m,중로2류,성동구
48,아차산로5길,0,주거지 도로,37.5458793,127.0519587,37.5459368,127.0519816,37.54590805,127.05197015,6.7049000701218,성수동2가,폭6-8m,소로3류,성동구
49,연무장5길,0,주거지 도로,37.5452991,127.0534019,37.5447934,127.0531656,37.54504625,127.05328375,59.96651492426462,성수동2가,6m미만,소로,성동구
50,금호로3가길,0,주거지 도로,37.54758,127.02561,37.5477681,127.0240452,37.54767405,127.0248276,140.62494960484298,금호동4가,6m미만,소로,성동구
51,금호로,0,주거지 도로,37.5529604,127.0236834,37.5509143,127.0230685,37.55193735,127.02337595,241.75240720436497,금호동2가,6m미만,소로,성동구
52,금호로,0,3차로,37.5529604,127.0236834,37.552517,127.0248057,37.552738700000006,127.02424455,110.55041300418556,금호동2가,6m미만,소로,성동구
53,금호로,0,3차로,37.5529604,127.0236834,37.5536839,127.0212103,37.55332215,127.02244685,233.6398348525509,금호동1가,6m미만,소로,성동구
54,금호로,0,3차로,37.554596,127.0199945,37.5547985,127.019999,37.55469725,127.01999675,22.52049841715554,금호동1가,6m미만,소로,성동구
55,금호산길,0,3차로,37.554596,127.0199945,37.5544846,127.0197517,37.5545403,127.0198731,24.729494403413312,금호동2가,6m미만,소로,성동구
56,무수막길,0,주거지 도로,37.554596,127.0199945,37.5543822,127.0200002,37.5544891,127.01999735,23.77881833063337,금호동2가,6m미만,소로,성동구
57,금호로,0,3차로,37.554596,127.0199945,37.5539152,127.0208843,37.5542556,127.0204394,109.04441642519686,금호동2가,6m미만,소로,성동구
58,금호로,0,3차로,37.5568336,127.0197294,37.5564741,127.0199135,37.55665385,127.01982145,43.14342667594296,금호동2가,6m미만,소로,성동구
59,매봉18길,0,주거지 도로,37.5568336,127.0197294,37.5567767,127.018332,37.55680515,127.0190307,127.6052781942674,금호동2가,6m미만,소로,성동구
60,장터길,0,3차로,37.54824,127.02173,37.548276,127.0212254,37.548258,127.0214777,44.66525143918027,금호동4가,6m미만,소로,성동구
61,독서당로,0,주거지 도로,37.54824,127.02173,37.547716,127.0217357,37.547978,127.02173285,62.60708962194723,금호동4가,6m미만,소로,성동구
62,독서당로,0,주거지 도로,37.54824,127.02173,37.5488466,127.021745,37.5485433,127.0217375,67.8140070282164,금호동3가,6m미만,소로,성동구
63,장터1길,0,주거지 도로,37.54845,127.01672,37.5485903,127.0167796,37.54852015,127.0167498,16.46173535738647,금호동3가,폭6-8m,소로3류,성동구
64,장터1길,0,주거지 도로,37.54845,127.01672,37.5488961,127.0158401,37.548673050000005,127.01628005,93.50079155228651,금호동3가,폭6-8m,소로3류,성동구
65,장터길,0,3차로,37.54845,127.01672,37.5483484,127.0180067,37.548399200000006,127.01736335,114.02210390531604,금호동3가,6m미만,소로,성동구
66,난계로,0,주거지 도로,37.5552536,127.0247613,37.5551395,127.0248586,37.555196550000005,127.02480995,15.31459517952991,금호동1가,6m미만,소로,성동구
67,행당로11길,0,주거지 도로,37.5579,127.03075,37.5581174,127.0306972,37.5580087,127.0307236,24.624131109627537,행당동,6m미만,소로,성동구
68,독서당로39길,0,주거지 도로,37.54062,127.01121,37.5406906,127.0110875,37.5406553,127.01114875,13.35227933248539,옥수동,6m미만,소로,성동구
69,한림말길,0,3차로,37.5411147,127.0111311,37.54118,127.0117957,37.54114735,127.0114634,60.70345105844291,옥수동,폭6-8m,소로3류,성동구
70,독서당로44길,0,주거지 도로,37.5464571,127.0186636,37.5450543,127.0185392,37.5457557,127.0186014,233.71645539411972,금호동4가,6m미만,소로,성동구
71,독서당로48길,0,주거지 도로,37.5482082,127.0222615,37.5476596,127.0222386,37.5479339,127.02225005,62.56892883350778,금호동4가,6m미만,소로,성동구
72,독서당로,0,주거지 도로,37.5482082,127.0222615,37.5489015,127.0223148,37.54855485,127.02228815,79.03238330535056,금호동3가,6m미만,소로,성동구
73,금호로1길,0,주거지 도로,37.54815,127.02408,37.5479119,127.0239353,37.54803095,127.02400765,29.88900041370348,금호동4가,폭6-8m,소로3류,성동구
74,성덕정길,0,3차로,37.5375521,127.0543176,37.5375978,127.0540982,37.53757495,127.0542079,20.001357838452837,성수동2가,6m미만,소로,성동구
75,성수이로,0,3차로,37.5375521,127.0543176,37.5379868,127.054506,37.53776945,127.0544118,51.111301249100926,성수동2가,폭15-20m,중로2류,성동구
76,성수이로,0,3차로,37.5375521,127.0543176,37.5370886,127.0541285,37.53732035,127.05422305,54.16886316721031,성수동2가,폭15-20m,중로2류,성동구
77,성덕정길,0,3차로,37.5375521,127.0543176,37.5373561,127.0549982,37.5374541,127.0546579,64.01505357079759,성수동2가,6m미만,소로,성동구
78,성수이로,0,3차로,37.53885,127.05488,37.5382722,127.0546296,37.5385611,127.0547548,67.93611493185558,성수동2가,폭15-20m,중로2류,성동구
79,성수이로,0,3차로,37.53885,127.05488,37.5393892,127.0551,37.5391196,127.05499,63.0161420190331,성수동2가,폭15-20m,중로2류,성동구
80,성덕정23길,0,주거지 도로,37.53759,127.05969,37.5364558,127.0593822,37.5370229,127.0595361,129.00457117765413,성수동2가,폭10-12m,소로1류,성동구
81,뚝섬로17길,0,주거지 도로,37.53759,127.05969,37.5380211,127.0597324,37.53780555,127.0597112,48.081761251688064,성수동2가,폭6-8m,소로3류,성동구
82,뚝섬로13길,0,주거지 도로,37.53817,127.0575,37.538746,127.0577337,37.538458000000006,127.05761685,67.28140786791855,성수동2가,폭6-8m,소로3류,성동구
83,뚝섬로13길,0,주거지 도로,37.5397162,127.0516805,37.5415452,127.0540328,37.5406307,127.05285665,290.4799145503737,성수동2가,폭6-8m,소로3류,성동구
84,성덕정9가길,0,주거지 도로,37.5397162,127.0516805,37.5391597,127.0510619,37.53943795,127.0513712,83.87223690234104,성수동2가,6m미만,소로,성동구
85,뚝섬로4길,0,주거지 도로,37.54023,127.04961,37.5398932,127.0496831,37.5400616,127.04964655,38.00106414165141,성수동1가,폭6-8m,소로3류,성동구
86,뚝섬로3길,0,주거지 도로,37.54023,127.04961,37.5417604,127.0493092,37.5409952,127.0494596,172.2271857204967,성수동1가,폭6-8m,소로3류,성동구
87,마장로35길,0,주거지 도로,37.5679613,127.045682,37.56839,127.0454825,37.56817565,127.04558225,50.82050090703305,마장동,6m미만,소로,성동구
88,마장로35나길,0,주거지 도로,37.566953,127.0441927,37.5672209,127.043537,37.56708695,127.04386485,66.23127196603664,마장동,폭6-8m,소로3류,성동구
89,마장로35나길,0,생활도로,37.5656559,127.0400606,37.566002,127.0400906,37.56582895,127.0400756,39.01448752927581,마장동,폭6-8m,소로3류,성동구
90,마장로35나길,0,주거지 도로,37.5656559,127.0400606,37.5651212,127.040014,37.56538855,127.0400373,59.9466786027037,마장동,폭6-8m,소로3류,성동구
91,마장로29길,0,주거지 도로,37.5661243,127.0357857,37.5666535,127.0359371,37.5663889,127.0358614,60.3597424009316,마장동,6m미만,소로,성동구
92,마장로25길,0,주거지 도로,37.5662428,127.034658,37.566873,127.0341281,37.5665579,127.03439305,86.6383214182941,홍익동,6m미만,소로,성동구
93,왕십리로24길,0,주거지 도로,37.5662428,127.034658,37.565784,127.0345718,37.5660134,127.0346149,51.579329819349816,홍익동,폭6-8m,소로3류,성동구
94,왕십리로28길,0,주거지 도로,37.5665667,127.0320637,37.5660797,127.0319808,37.5663232,127.03202225,54.64722341094559,홍익동,폭6-8m,소로3류,성동구
95,마장로23길,0,주거지 도로,37.5665667,127.0320637,37.5670371,127.0321532,37.5668019,127.03210845,52.89781623598774,홍익동,6m미만,소로,성동구
