id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,퇴계로34길,0,주거지 도로,37.5611279,126.9931877,37.5610059,126.9931987,37.5610669,126.9931932,13.6004060802823,필동2가,폭6-8m,소로3류,중구
2,세종대로18길,0,주거지 도로,37.5639602,126.9769721,37.5637834,126.9777133,37.5638718,126.9773427,68.22575803189746,태평로2가,폭10-12m,소로1류,중구
3,청구로,0,3차로,37.5568336,127.0197294,37.5580489,127.0190573,37.55744125,127.01939335,147.5518305902426,신당동,6m미만,소로,중구
4,다산로36길,0,주거지 도로,37.5580489,127.0190573,37.5597855,127.0199452,37.5589172,127.01950125,309.41709062614416,신당동,폭8-10m,소로2류,중구
5,청구로,0,3차로,37.5580489,127.0190573,37.5568336,127.0197294,37.55744125,127.01939335,147.5518305902426,신당동,6m미만,소로,중구
6,청구로,0,주거지 도로,37.5598375,127.014871,37.5595995,127.0147249,37.5597185,127.01479795,29.76381001542792,신당동,6m미만,소로,중구
7,청구로4길,0,주거지 도로,37.5598375,127.014871,37.5609404,127.0155135,37.56038895,127.01519225,135.08222117859214,신당동,폭8-10m,소로2류,중구
8,청구로,0,3차로,37.56091,127.0118134,37.5607925,127.0121788,37.56085125,127.0119961,34.75735143355053,신당동,6m미만,소로,중구
9,청구로,0,3차로,37.56091,127.0118134,37.5611698,127.011113,37.5610399,127.0114632,68.26723295380302,신당동,6m미만,소로,중구
10,청구로,0,주거지 도로,37.56091,127.0118134,37.5605939,127.0116085,37.56075195,127.01171095,40.66535872809795,신당동,6m미만,소로,중구
11,청구로14길,0,주거지 도로,37.56091,127.0118134,37.5615472,127.0122685,37.5612286,127.01204095,82.19913545003988,신당동,폭6-8m,소로3류,중구
12,청구로,0,3차로,37.5644369,127.0102134,37.563263,127.0103416,37.56384995,127.0102775,131.3618686475726,신당동,6m미만,소로,중구
13,남대문로5길,0,주거지 도로,37.5612297,126.9790615,37.5627454,126.9789775,37.56198755,126.9790195,171.00361245408513,북창동,6m미만,소로,중구
14,동호로17길,0,주거지 도로,37.547949,127.00692,37.5492355,127.0062059,37.54859225,127.00656295,186.75453658324795,신당동,6m미만,소로,중구
15,동호로11길,0,주거지 도로,37.5507793,127.0076435,37.5508757,127.0071668,37.5508275,127.00740515,44.37105402074146,신당동,6m미만,소로,중구
16,다산로,0,주거지 도로,37.55412,127.01025,37.5537355,127.0113208,37.55392775,127.0107854,103.62561313902502,신당동,6m미만,소로,중구
17,다산로29길,0,주거지 도로,37.5607451,127.0140985,37.5610027,127.0133248,37.5608739,127.01371165,73.96957600132319,신당동,6m미만,소로,중구
18,다산로40길,0,주거지 도로,37.56412,127.01599,37.5639572,127.016664,37.5640386,127.016327,62.104112815960754,신당동,폭6-8m,소로3류,중구
19,다산로39길,0,주거지 도로,37.56412,127.01599,37.5642589,127.0155433,37.56418945,127.01576665,42.39953954043213,무학동,6m미만,소로,중구
