id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,보문로26길,0,주거지 도로,37.5880546,127.0235409,37.5879704,127.0232909,37.588012500000005,127.0234159,23.935361470232703,안암동1가,6m미만,소로,성북구
2,고려대로17가길,0,주거지 도로,37.5880546,127.0235409,37.5882546,127.0234994,37.5881546,127.02352015,22.670334302973043,안암동2가,6m미만,소로,성북구
3,고려대로17가길,0,주거지 도로,37.5880546,127.0235409,37.587201,127.0246462,37.5876278,127.02409355,138.30133793188014,안암동2가,6m미만,소로,성북구
4,고려대로17가길,0,주거지 도로,37.5866237,127.0251995,37.5865641,127.0253029,37.5865939,127.0252512,11.266380756082112,안암동2가,6m미만,소로,성북구
5,고려대로7가길,0,주거지 도로,37.5866237,127.0251995,37.586698,127.024505,37.58666085,127.02485225,63.50127419189892,안암동2가,6m미만,소로,성북구
6,고려대로17길,0,3차로,37.5865641,127.0253029,37.587047,127.025399,37.586805549999994,127.02535095,54.608050493933824,안암동5가,폭8-10m,소로2류,성북구
7,고려대로17길,0,3차로,37.5865641,127.0253029,37.5862328,127.0252521,37.58639845,127.0252775,37.109884574043505,안암동5가,폭8-10m,소로2류,성북구
8,고려대로17길,0,3차로,37.5862328,127.0252521,37.5865641,127.0253029,37.58639845,127.0252775,37.109884574043505,안암동5가,폭8-10m,소로2류,성북구
9,동소문로26라길,0,주거지 도로,37.5957562,127.0209932,37.594916,127.020867,37.5953361,127.0209301,94.08541124711196,동선동3가,6m미만,소로,성북구
10,동소문로26라길,0,주거지 도로,37.5957562,127.0209932,37.595726,127.0213849,37.5957411,127.02118905,34.67323937848696,동선동3가,6m미만,소로,성북구
11,동소문로26라길,0,주거지 도로,37.5957562,127.0209932,37.5958371,127.0208539,37.59579665,127.02092355,15.216602799213918,동선동3가,6m미만,소로,성북구
12,동소문로26라길,0,주거지 도로,37.6141449,127.0670545,37.6137274,127.067584,37.61393615,127.06731925,65.80599213938797,석관동,6m미만,소로,성북구
13,한천로58길,0,3차로,37.6141449,127.0670545,37.613874,127.0666119,37.61400945,127.0668332,50.17353621646616,석관동,폭10-12m,소로1류,성북구
14,한천로58길,0,3차로,37.6141449,127.0670545,37.6129479,127.0701774,37.6135464,127.06861595,337.20638978510783,석관동,폭10-12m,소로1류,성북구
15,보문로30가길,0,주거지 도로,37.58942,127.01966,37.5893517,127.020195,37.58938585,127.0199275,47.74739852342078,동선동2가,6m미만,소로,성북구
16,보문로30길,0,주거지 도로,37.58942,127.01966,37.5894755,127.0193057,37.58944775,127.01948285,31.821947660243527,동선동2가,폭6-8m,소로3류,성북구
17,보문로30길,0,주거지 도로,37.58942,127.01966,37.5888102,127.0189258,37.5891151,127.0192929,93.72106393678776,동선동2가,폭6-8m,소로3류,성북구
18,보문로30길,0,주거지 도로,37.58942,127.01966,37.5901165,127.0197379,37.58976825,127.01969895,77.75098178271095,동선동2가,폭6-8m,소로3류,성북구
19,보문사길,0,3차로,37.5848405,127.0179555,37.5847849,127.0177717,37.5848127,127.0178636,17.335747723310387,보문동2가,폭8-10m,소로2류,성북구
20,보문로32길,0,주거지 도로,37.590501,127.0203554,37.5905509,127.0197876,37.59052595,127.0200715,50.33557418005179,동선동2가,6m미만,소로,성북구
21,보문로30나길,0,주거지 도로,37.590501,127.0203554,37.5913486,127.0204434,37.5909248,127.0203994,94.57446142185547,동선동2가,폭6-8m,소로3류,성북구
22,보문로30나길,0,주거지 도로,37.590501,127.0203554,37.59013,127.0203096,37.5903155,127.0203325,41.46419915750539,동선동2가,폭6-8m,소로3류,성북구
23,보문로32길,0,주거지 도로,37.590501,127.0203554,37.5904855,127.0206785,37.59049325,127.02051695,28.52208943468861,동선동2가,6m미만,소로,성북구
24,보문로30가길,0,주거지 도로,37.5890868,127.0221583,37.5891127,127.0219135,37.58909975,127.0220359,21.761138148595833,동선동2가,6m미만,소로,성북구
25,보문로30가길,0,주거지 도로,37.5890868,127.0221583,37.589064,127.0223455,37.5890754,127.0222519,16.688200228560998,동선동2가,6m미만,소로,성북구
26,보문로30길,0,주거지 도로,37.5890868,127.0221583,37.5896862,127.0222249,37.5893865,127.0221916,66.90844879792722,동선동2가,폭6-8m,소로3류,성북구
27,고려대로7다길,0,주거지 도로,37.5890868,127.0221583,37.588469,127.0224131,37.5887779,127.0222857,73.07460804972301,안암동1가,6m미만,소로,성북구
28,보문로32길,0,주거지 도로,37.5906303,127.0218199,37.5903999,127.0215764,37.590515100000005,127.02169815,33.41643751790865,동선동2가,6m미만,소로,성북구
29,"['보문로30길', '보문로32길']",0,주거지 도로,37.5906303,127.0218199,37.5896862,127.0222249,37.59015825,127.0220224,178.62851847672306,동선동2가,,,성북구
30,보문로32길,0,주거지 도로,37.5906303,127.0218199,37.5896912,127.0219811,37.590160749999995,127.0219005,106.845238372149,동선동2가,6m미만,소로,성북구
31,보문로30다길,0,주거지 도로,37.5903999,127.0215764,37.5900298,127.0217009,37.59021485,127.02163865,42.65674833742286,동선동2가,6m미만,소로,성북구
32,보문로32길,0,주거지 도로,37.5903999,127.0215764,37.5904289,127.0212989,37.5904144,127.02143765,24.66562487325033,동선동2가,6m미만,소로,성북구
33,보문로32길,0,주거지 도로,37.5903999,127.0215764,37.5906303,127.0218199,37.590515100000005,127.02169815,33.41643751790865,동선동2가,6m미만,소로,성북구
34,동소문로26가길,0,주거지 도로,37.5948601,127.021286,37.594916,127.020867,37.594888049999994,127.0210765,37.43554037722066,동선동3가,6m미만,소로,성북구
35,동소문로26마길,0,주거지 도로,37.5948601,127.021286,37.595726,127.0213849,37.595293049999995,127.02133545,96.67729772775957,동선동3가,6m미만,소로,성북구
36,동소문로26가길,0,주거지 도로,37.5948601,127.021286,37.5945228,127.0225326,37.59469145,127.0219093,194.6492069180364,돈암동,6m미만,소로,성북구
37,보문로34길,0,주거지 도로,37.591052,127.0188518,37.5911252,127.0190787,37.5910886,127.01896525,21.585432216496933,동선동1가,폭6-8m,소로3류,성북구
38,동소문로24길,0,주거지 도로,37.591052,127.0188518,37.591824,127.0187778,37.591438,127.0188148,94.172835608017,동선동1가,6m미만,소로,성북구
39,동소문로22길,0,주거지 도로,37.5916112,127.0180411,37.5912492,127.0182135,37.591430200000005,127.0181273,43.03188579131682,동선동1가,6m미만,소로,성북구
40,동소문로22길,0,주거지 도로,37.5916112,127.0180411,37.5919457,127.0178685,37.59177845,127.0179548,40.21338302933161,동선동1가,6m미만,소로,성북구
41,동소문로20길,0,주거지 도로,37.5916112,127.0180411,37.5912468,127.0167908,37.591429000000005,127.01741595,117.63903642295594,동선동1가,폭6-8m,소로3류,성북구
42,보문로34길,0,주거지 도로,37.5909058,127.0183954,37.591052,127.0188518,37.5909789,127.0186236,43.374838446746296,동선동1가,폭6-8m,소로3류,성북구
43,동소문로22길,0,주거지 도로,37.5909058,127.0183954,37.5905066,127.0185905,37.5907062,127.01849295,47.6014009228108,동선동2가,6m미만,소로,성북구
44,동소문로22길,0,주거지 도로,37.5909058,127.0183954,37.5912492,127.0182135,37.5910775,127.01830445,41.41153207592015,동선동1가,6m미만,소로,성북구
45,보문로34길,0,주거지 도로,37.5913749,127.0199029,37.5913486,127.0204434,37.59136175,127.02017315,47.71258996186107,동선동3가,폭6-8m,소로3류,성북구
46,보문로34가길,0,주거지 도로,37.5913749,127.0199029,37.5926062,127.0200412,37.59199055,127.01997205,137.45568449578948,동선동3가,폭10-12m,소로1류,성북구
47,보문로30길,0,주거지 도로,37.5913749,127.0199029,37.5909188,127.019835,37.59114685,127.01986895,51.06772180733725,동선동2가,폭6-8m,소로3류,성북구
48,동소문로24가길,0,주거지 도로,37.5913749,127.0199029,37.5918243,127.019202,37.591599599999995,127.01955245,79.87914528270402,동선동1가,6m미만,소로,성북구
49,보문로30가길,0,주거지 도로,37.589064,127.0223455,37.5890868,127.0221583,37.5890754,127.0222519,16.688200228560998,동선동2가,6m미만,소로,성북구
50,고려대로13길,0,주거지 도로,37.589064,127.0223455,37.5885421,127.0226269,37.58880305,127.0224862,63.10880176885769,안암동1가,폭6-8m,소로3류,성북구
51,고려대로17가길,0,주거지 도로,37.589064,127.0223455,37.588899,127.023094,37.5889815,127.02271975,68.72580676191421,안암동1가,6m미만,소로,성북구
52,보문로30나길,0,주거지 도로,37.5897258,127.0202542,37.59013,127.0203096,37.5899279,127.0202819,45.209348052833185,동선동2가,폭6-8m,소로3류,성북구
53,보문로30나길,0,주거지 도로,37.5897258,127.0202542,37.5893517,127.020195,37.58953875,127.0202246,41.992031240325886,동선동2가,폭6-8m,소로3류,성북구
54,보문로30나길,0,주거지 도로,37.5897258,127.0202542,37.5897251,127.020588,37.58972545,127.0204211,29.759718998577412,동선동2가,폭6-8m,소로3류,성북구
55,보문로30나길,0,주거지 도로,37.59013,127.0203096,37.5897258,127.0202542,37.5899279,127.0202819,45.209348052833185,동선동2가,폭6-8m,소로3류,성북구
56,보문로30나길,0,주거지 도로,37.59013,127.0203096,37.5901061,127.0206417,37.59011805,127.02047565,29.381901978617048,동선동2가,폭6-8m,소로3류,성북구
57,보문로30나길,0,주거지 도로,37.59013,127.0203096,37.590501,127.0203554,37.5903155,127.0203325,41.46419915750539,동선동2가,폭6-8m,소로3류,성북구
58,보문로30가길,0,주거지 도로,37.5893517,127.020195,37.58942,127.01966,37.58938585,127.0199275,47.74739852342078,동선동2가,6m미만,소로,성북구
59,보문로30가길,0,주거지 도로,37.5893517,127.020195,37.589301,127.0205305,37.58932635,127.02036275,30.094124403507895,동선동2가,6m미만,소로,성북구
60,보문로30나길,0,주거지 도로,37.5893517,127.020195,37.5897258,127.0202542,37.58953875,127.0202246,41.992031240325886,동선동2가,폭6-8m,소로3류,성북구
61,고려대로11길,0,주거지 도로,37.5893517,127.020195,37.5889158,127.0205454,37.58913375,127.0203702,63.87319418062916,안암동1가,폭6-8m,소로3류,성북구
62,고려대로13길,0,주거지 도로,37.5865012,127.0236985,37.5868807,127.0234726,37.586690950000005,127.02358555,46.6575574433122,안암동2가,폭6-8m,소로3류,성북구
63,고려대로14길,0,주거지 도로,37.5865012,127.0236985,37.585631,127.0235875,37.5860661,127.023643,97.62172373903267,안암동2가,폭6-8m,소로3류,성북구
64,보문로30가길,0,주거지 도로,37.5891447,127.0216101,37.5891852,127.0213115,37.58916495,127.0214608,26.6927390001252,안암동1가,6m미만,소로,성북구
65,보문로30가길,0,주거지 도로,37.5891447,127.0216101,37.5891127,127.0219135,37.5891287,127.0217618,26.96882103029765,동선동2가,6m미만,소로,성북구
66,보문로30다길,0,주거지 도로,37.5891447,127.0216101,37.5896695,127.0216682,37.5894071,127.02163915,58.5852689153576,동선동2가,6m미만,소로,성북구
67,고려대로7라길,0,주거지 도로,37.5891447,127.0216101,37.5887545,127.0215848,37.5889496,127.02159745,43.824049970318505,안암동1가,6m미만,소로,성북구
68,보문로34다길,0,주거지 도로,37.5913272,127.0209152,37.5925097,127.0210204,37.59191845,127.0209678,131.81467705585865,동선동3가,6m미만,소로,성북구
69,보문로34길,0,주거지 도로,37.5913272,127.0209152,37.5913486,127.0204434,37.5913379,127.0206793,41.63853526523689,동선동3가,폭6-8m,소로3류,성북구
70,보문로34길,0,주거지 도로,37.5913272,127.0209152,37.5904723,127.0208339,37.590899750000005,127.02087455,95.36361400268264,동선동2가,폭6-8m,소로3류,성북구
71,보문로32길,0,주거지 도로,37.5904723,127.0208339,37.5904855,127.0206785,37.5904789,127.0207562,13.770737807678811,동선동2가,6m미만,소로,성북구
72,보문로32길,0,주거지 도로,37.5904723,127.0208339,37.5904552,127.0209886,37.59046375,127.02091125,13.76260133753115,동선동2가,6m미만,소로,성북구
73,보문로34길,0,주거지 도로,37.5904723,127.0208339,37.5913272,127.0209152,37.590899750000005,127.02087455,95.36361400268264,동선동2가,폭6-8m,소로3류,성북구
74,보문로30다길,0,주거지 도로,37.5900298,127.0217009,37.5896695,127.0216682,37.589849650000005,127.02168455,40.167058278455926,동선동2가,6m미만,소로,성북구
75,보문로30나길,0,주거지 도로,37.5900298,127.0217009,37.5900517,127.0213967,37.59004075,127.0215488,26.913610488811365,동선동2가,폭6-8m,소로3류,성북구
76,보문로30다길,0,주거지 도로,37.5900298,127.0217009,37.5903999,127.0215764,37.59021485,127.02163865,42.65674833742286,동선동2가,6m미만,소로,성북구
77,동소문로20길,0,주거지 도로,37.5912492,127.0182135,37.5908396,127.0168643,37.5910444,127.0175389,127.30340011531791,동선동1가,폭6-8m,소로3류,성북구
78,동소문로22길,0,주거지 도로,37.5912492,127.0182135,37.5909058,127.0183954,37.5910775,127.01830445,41.41153207592015,동선동1가,6m미만,소로,성북구
79,동소문로22길,0,주거지 도로,37.5912492,127.0182135,37.5916112,127.0180411,37.591430200000005,127.0181273,43.03188579131682,동선동1가,6m미만,소로,성북구
80,보문로34길,0,주거지 도로,37.5913486,127.0204434,37.5913749,127.0199029,37.59136175,127.02017315,47.71258996186107,동선동3가,폭6-8m,소로3류,성북구
81,보문로30나길,0,주거지 도로,37.5913486,127.0204434,37.590501,127.0203554,37.5909248,127.0203994,94.57446142185546,동선동2가,폭6-8m,소로3류,성북구
82,보문로34길,0,주거지 도로,37.5913486,127.0204434,37.5913272,127.0209152,37.5913379,127.0206793,41.63853526523689,동선동3가,폭6-8m,소로3류,성북구
83,화랑로48길,0,3차로,37.6147981,127.0663577,37.6147541,127.0664435,37.6147761,127.0664006,9.002843336189622,석관동,폭20-25m,중로1류,성북구
84,화랑로,0,3차로,37.6147981,127.0663577,37.614481,127.0657486,37.61463955,127.06605315,66.73637453022829,석관동,6m미만,소로,성북구
85,동소문로26마길,0,주거지 도로,37.5966862,127.0214165,37.5965635,127.0214723,37.59662485,127.0214444,14.502316033844034,동선동3가,6m미만,소로,성북구
86,동소문로22길,0,주거지 도로,37.5929893,127.0173308,37.5926095,127.0175574,37.5927994,127.0174441,46.86356039514486,동선동1가,6m미만,소로,성북구
87,동소문로20가길,0,주거지 도로,37.5921551,127.0165741,37.5926095,127.0175574,37.5923823,127.01706575,100.29375194953556,동선동1가,폭6-8m,소로3류,성북구
88,보문로40길,0,주거지 도로,37.5921551,127.0165741,37.5920607,127.0158887,37.5921079,127.0162314,61.41849238125222,동소문동5가,폭8-10m,소로2류,성북구
89,동소문로20길,0,3차로,37.5921551,127.0165741,37.5919536,127.0166137,37.59205435,127.0165939,22.675848907504747,동소문동5가,폭6-8m,소로3류,성북구
90,동소문로20길,0,3차로,37.5921551,127.0165741,37.5926126,127.0164809,37.59238385,127.0165275,51.532745118010254,동소문동5가,폭6-8m,소로3류,성북구
91,보문로32길,0,주거지 도로,37.5905509,127.0197876,37.590501,127.0203554,37.59052595,127.0200715,50.33557418005179,동선동2가,6m미만,소로,성북구
92,보문로30길,0,주거지 도로,37.5905509,127.0197876,37.5901165,127.0197379,37.5903337,127.01976275,48.501237639388826,동선동2가,폭6-8m,소로3류,성북구
93,보문로32길,0,주거지 도로,37.5905509,127.0197876,37.5904189,127.0193861,37.5904849,127.01958685,38.3010524527003,동선동2가,6m미만,소로,성북구
94,보문로30길,0,주거지 도로,37.5905509,127.0197876,37.5909188,127.019835,37.59073485,127.0198113,41.12130465145632,동선동2가,폭6-8m,소로3류,성북구
95,보문로31길,0,주거지 도로,37.588913,127.0166395,37.588624,127.0162326,37.5887685,127.01643605,48.14669494606012,삼선동5가,6m미만,소로,성북구
96,보문로32길,0,주거지 도로,37.588913,127.0166395,37.5892676,127.0170878,37.589090299999995,127.01686365,55.81315868861476,삼선동5가,6m미만,소로,성북구
97,보문로32길,0,주거지 도로,37.5904189,127.0193861,37.5903218,127.0190824,37.59037035,127.01923425,28.855197948294737,동선동2가,6m미만,소로,성북구
98,보문로32길,0,주거지 도로,37.5904189,127.0193861,37.5900597,127.0195566,37.5902393,127.01947135,42.67305853306202,동선동2가,6m미만,소로,성북구
99,보문로32길,0,주거지 도로,37.5904189,127.0193861,37.5905509,127.0197876,37.5904849,127.01958685,38.3010524527003,동선동2가,6m미만,소로,성북구
100,보문로32길,0,주거지 도로,37.5903218,127.0190824,37.590215,127.0187426,37.5902684,127.0189125,32.20909500069886,동선동2가,6m미만,소로,성북구
101,보문로32길,0,주거지 도로,37.5903218,127.0190824,37.5904189,127.0193861,37.59037035,127.01923425,28.855197948294737,동선동2가,6m미만,소로,성북구
102,보문로32길,0,주거지 도로,37.5903218,127.0190824,37.5899655,127.0192556,37.59014365,127.019169,42.456324592003625,동선동2가,6m미만,소로,성북구
103,보문로32길,0,주거지 도로,37.590215,127.0187426,37.5903218,127.0190824,37.5902684,127.0189125,32.20909500069886,동선동2가,6m미만,소로,성북구
104,동소문로22길,0,주거지 도로,37.590215,127.0187426,37.5905066,127.0185905,37.5903608,127.01866655,35.08488087234128,동선동2가,6m미만,소로,성북구
105,동소문로22길,0,주거지 도로,37.590215,127.0187426,37.5898438,127.0189176,37.5900294,127.0188301,44.06168934299759,동선동2가,6m미만,소로,성북구
106,보문로32길,0,주거지 도로,37.590215,127.0187426,37.5897446,127.0176827,37.5899798,127.01821265,107.6000930079068,동선동2가,6m미만,소로,성북구
107,동소문로22길,0,주거지 도로,37.5905066,127.0185905,37.5909058,127.0183954,37.5907062,127.01849295,47.6014009228108,동선동2가,6m미만,소로,성북구
108,동소문로22길,0,주거지 도로,37.5905066,127.0185905,37.590215,127.0187426,37.5903608,127.01866655,35.08488087234128,동선동2가,6m미만,소로,성북구
109,동소문로22길,0,주거지 도로,37.5905066,127.0185905,37.5907458,127.0192761,37.5906262,127.0189333,66.00441908681955,동선동2가,6m미만,소로,성북구
110,동소문로22길,0,주거지 도로,37.5926095,127.0175574,37.5922404,127.0177344,37.59242495,127.0176459,43.90512845459468,동선동1가,6m미만,소로,성북구
111,동소문로20가길,0,주거지 도로,37.5926095,127.0175574,37.5929122,127.017945,37.592760850000005,127.0177512,47.94955962548902,동선동1가,폭6-8m,소로3류,성북구
112,동소문로20가길,0,주거지 도로,37.5926095,127.0175574,37.5921551,127.0165741,37.5923823,127.01706575,100.29375194953556,동선동1가,폭6-8m,소로3류,성북구
113,동소문로22길,0,주거지 도로,37.5926095,127.0175574,37.5929893,127.0173308,37.5927994,127.0174441,46.86356039514486,동선동1가,6m미만,소로,성북구
114,동소문로26길,0,주거지 도로,37.5941181,127.0193922,37.5939301,127.019614,37.5940241,127.0195031,28.61625265367072,동선동1가,6m미만,소로,성북구
115,동소문로26길,0,주거지 도로,37.5941181,127.0193922,37.5943861,127.0190412,37.594252100000006,127.0192167,42.94665032306731,동선동1가,6m미만,소로,성북구
116,동소문로26가길,0,주거지 도로,37.5941181,127.0193922,37.59494,127.02033,37.594529050000006,127.0198611,123.3249116538504,동선동3가,6m미만,소로,성북구
