id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,양산로,0,3차로,37.5227014,126.905115,37.5228026,126.9045003,37.522752,126.90480765,55.36608095702249,영등포동5가,6m미만,소로,영등포구
2,양산로,0,3차로,37.5227014,126.905115,37.5226169,126.9057718,37.52265915,126.9054434,58.68046764590002,영등포동5가,6m미만,소로,영등포구
3,도림로85길,0,주거지 도로,37.503039,126.9038452,37.5027008,126.9030713,37.5028699,126.90345825,77.94108924880445,신길동,6m미만,소로,영등포구
4,도림로86길,0,주거지 도로,37.503039,126.9038452,37.5032524,126.9043687,37.503145700000005,126.90410695,51.91942706898317,신길동,폭15-20m,중로2류,영등포구
5,고척로,0,주거지 도로,37.5131574,126.8972579,37.5127934,126.897284,37.5129754,126.89727095,41.618519246957405,문래동1가,6m미만,소로,영등포구
6,도신로19길,0,주거지 도로,37.50672,126.90138,37.5070325,126.9003713,37.506876250000005,126.90087565,95.52086053591847,도림동,6m미만,소로,영등포구
7,도림로139길,0,주거지 도로,37.5147608,126.8939216,37.5143377,126.8934227,37.51454925,126.89367215,64.41777535439583,문래동2가,6m미만,소로,영등포구
8,여의동로3길,0,3차로,37.5180073,126.9242979,37.5184109,126.9249488,37.5182091,126.92462335,72.86675286563035,여의도동,폭20-25m,중로1류,영등포구
9,63로,0,3차로,37.520983,126.9402944,37.5178563,126.9352939,37.51941965,126.93779415,561.5862787767244,여의도동,폭25-30m,대로3류,영등포구
10,바우뫼로,0,주거지 도로,37.5325825,126.9066231,37.5328758,126.9071829,37.532729149999994,126.906903,59.28426224787565,당산동,폭20-25m,중로1류,영등포구
11,당산로54길,0,3차로,37.5325825,126.9066231,37.5324192,126.9064324,37.53250085,126.90652775,24.794817836294175,영등포동8가,폭6-8m,소로3류,영등포구
12,신길로13길,0,주거지 도로,37.4973813,126.9082363,37.4972054,126.9070138,37.49729335,126.90762505,115.9687071237799,신길동,6m미만,소로,영등포구
13,가마산로32길,0,주거지 도로,37.49838,126.89483,37.498439,126.8964288,37.498409499999994,126.8956294,186.89367704806304,대림동,폭10-12m,소로1류,영등포구
14,가마산로32길,0,주거지 도로,37.50589,126.9094383,37.5055118,126.9094324,37.5057009,126.90943535,42.05720090623613,신길동,폭10-12m,소로1류,영등포구
15,선유서로,0,3차로,37.5156914,126.8840077,37.515903,126.883873,37.5157972,126.88394035,26.49004801777643,문래동5가,폭15-20m,중로2류,영등포구
16,선유서로,0,3차로,37.5229628,126.8856227,37.5238936,126.8858391,37.5234282,126.8857309,105.24516030097011,양평동1가,폭15-20m,중로2류,영등포구
17,선유서로,0,3차로,37.5229628,126.8856227,37.5222599,126.8854489,37.522611350000005,126.8855358,79.64775255074076,양평동1가,폭15-20m,중로2류,영등포구
18,디지털로64길,0,주거지 도로,37.49274,126.90365,37.492119,126.9045557,37.4924295,126.90410285,105.60873325693343,대림동,6m미만,소로,영등포구
19,디지털로,0,주거지 도로,37.49274,126.90365,37.4930034,126.9033203,37.492871699999995,126.90348515,41.96252161426051,대림동,6m미만,소로,영등포구
20,디지털로70길,0,주거지 도로,37.4937616,126.904788,37.4932339,126.9064628,37.49349775,126.9056254,158.98331381224318,대림동,폭6-8m,소로3류,영등포구
21,도림로54길,0,주거지 도로,37.4937616,126.904788,37.4941157,126.9043716,37.49393865,126.9045798,54.048471984866616,대림동,폭6-8m,소로3류,영등포구
22,디지털로77길,0,주거지 도로,37.49547,126.9067,37.496201,126.9055276,37.4958355,126.9061138,131.54874630475248,대림동,6m미만,소로,영등포구
23,경인로114길,0,주거지 도로,37.5186597,126.9131903,37.5185091,126.9142762,37.5185844,126.91373325,101.33141049159865,영등포동2가,6m미만,소로,영등포구
24,선유로43길,0,3차로,37.5328879,126.8953689,37.5335413,126.894073,37.5332146,126.89472095,135.41142736217995,양평동4가,폭20-25m,중로1류,영등포구
25,선유로44길,0,3차로,37.5328879,126.8953689,37.5323213,126.8965774,37.5326046,126.89597315,123.80758146304235,양평동4가,폭20-25m,중로1류,영등포구
26,양평로22길,0,3차로,37.5406219,126.8960384,37.5406263,126.8964613,37.5406241,126.89624985,38.09451377159918,당산동,폭8-10m,소로2류,영등포구
27,대림로12길,0,주거지 도로,37.4906782,126.9033783,37.4909401,126.9040403,37.49080915,126.9037093,68.92292422523197,대림동,6m미만,소로,영등포구
28,대림로27길,0,주거지 도로,37.4954836,126.8996324,37.4951182,126.8990563,37.4953009,126.89934435,65.0694533397094,대림동,폭15-20m,중로2류,영등포구
29,여의대방로7길,0,주거지 도로,37.49895,126.91272,37.496514,126.9129846,37.497732,126.9128523,271.87890287211314,신길동,폭8-10m,소로2류,영등포구
30,도림로58길,0,주거지 도로,37.496733,126.902964,37.4964329,126.9032482,37.49658295,126.9031061,58.27249942502743,대림동,6m미만,소로,영등포구
31,도림로112길,0,주거지 도로,37.5089328,126.8998134,37.5091984,126.9003567,37.5090656,126.90008505,56.29196967070981,도림동,6m미만,소로,영등포구
32,도림로113길,0,주거지 도로,37.5089328,126.8998134,37.5086491,126.899321,37.50879095,126.8995672,54.53471210944957,도림동,6m미만,소로,영등포구
33,도신로,0,주거지 도로,37.5095,126.90769,37.5087585,126.9076847,37.50912925,126.90768735,85.23307059172811,신길동,6m미만,소로,영등포구
34,도림로139길,0,주거지 도로,37.5131856,126.8919483,37.5138111,126.8927482,37.51349835,126.89234825,99.0714264189612,문래동2가,6m미만,소로,영등포구
35,경인로77길,0,3차로,37.5131856,126.8919483,37.5129487,126.8924484,37.51306715,126.89219835,51.37668314729824,문래동2가,폭20-25m,중로1류,영등포구
36,경인로77길,0,3차로,37.5131856,126.8919483,37.5134507,126.8913892,37.51331815,126.89166875,57.4521135186653,문래동2가,폭20-25m,중로1류,영등포구
37,버드나루로15길,0,주거지 도로,37.52641,126.90876,37.5261708,126.90814,37.5262904,126.90845,60.80157621282528,당산동,폭6-8m,소로3류,영등포구
38,버드나루로16길,0,주거지 도로,37.52641,126.90876,37.5266538,126.9094518,37.526531899999995,126.9091059,66.75889487738884,당산동,6m미만,소로,영등포구
39,양평로21길,0,3차로,37.5359002,126.8924298,37.5367275,126.8930601,37.53631385,126.89274495,107.47639883310651,양평동4가,폭20-25m,중로1류,영등포구
40,양평로21다길,0,주거지 도로,37.5359002,126.8924298,37.5367714,126.891951,37.5363358,126.8921904,105.67282286329797,양평동5가,폭8-10m,소로2류,영등포구
41,양평로21길,0,3차로,37.5359002,126.8924298,37.5353221,126.8919965,37.53561115,126.89221315,74.85729218920959,양평동4가,폭20-25m,중로1류,영등포구
42,선유로,0,주거지 도로,37.5289526,126.8923262,37.5283883,126.8935223,37.52867045,126.89292425,122.72889822449892,양평동3가,폭6-8m,소로3류,영등포구
43,선유로,0,주거지 도로,37.5289526,126.8923262,37.5292034,126.8917775,37.529078,126.89205185,55.8472168378273,양평동3가,폭6-8m,소로3류,영등포구
44,신길로42길,0,주거지 도로,37.5084994,126.9109633,37.5081893,126.9115252,37.50834435,126.91124425,60.37822140701882,신길동,6m미만,소로,영등포구
45,신길로54길,0,주거지 도로,37.5120063,126.9100057,37.5118915,126.9111482,37.5119489,126.91057695,105.7201077281238,신길동,6m미만,소로,영등포구
46,양산로,0,3차로,37.5249218,126.8906914,37.5251,126.88952,37.5250109,126.8901057,105.1859927657012,양평동1가,6m미만,소로,영등포구
47,양산로,0,3차로,37.5249218,126.8906914,37.524716,126.8920578,37.5248189,126.8913746,122.65330629949688,양평동1가,6m미만,소로,영등포구
48,양산로7길,0,주거지 도로,37.5254449,126.8873037,37.5262886,126.8875101,37.52586675,126.8874069,95.5646906780484,양평동3가,6m미만,소로,영등포구
49,영등포로9길,0,주거지 도로,37.5254449,126.8873037,37.5249991,126.8871934,37.525222,126.88724855,50.51610143933807,양평동1가,폭6-8m,소로3류,영등포구
50,양산로,0,3차로,37.5254449,126.8873037,37.52562,126.88624,37.52553245,126.88677185,95.8036586093368,양평동2가,6m미만,소로,영등포구
51,양산로,0,3차로,37.5254449,126.8873037,37.5252738,126.8884173,37.52535935,126.8878605,100.03101620113326,양평동3가,6m미만,소로,영등포구
52,선유서로,0,주거지 도로,37.52562,126.88624,37.5264516,126.8864411,37.5260358,126.88634055,94.15504956977716,양평동3가,폭15-20m,중로2류,영등포구
53,양산로,0,3차로,37.52562,126.88624,37.5254449,126.8873037,37.52553245,126.88677185,95.8036586093368,양평동2가,6m미만,소로,영등포구
54,선유서로,0,3차로,37.52562,126.88624,37.5251592,126.886133,37.5253896,126.8861865,52.100307681282395,양평동1가,폭15-20m,중로2류,영등포구
55,양산로,0,3차로,37.52562,126.88624,37.5258012,126.884999,37.5257106,126.8856195,111.27886385125248,양평동3가,6m미만,소로,영등포구
