열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.519593494089,127.026262089162,1.668615470808123,232.5495527925507,37.5195029758336,127.026318277671,37.5196840123444,127.026205900653,70,1,신사동,강남구 신사동 563-36,0,강남구
2,,37.52339947142505,127.054061441135,3.528110809870899,279.63181134803267,37.5234029603445,127.053525514351,37.5233959825056,127.054597367919,120,1,청담동,강남구 청담동 77-23,0,강남구
3,,37.51558328425355,127.029420385948,1.7738656423197257,246.2717744735441,37.5155562421702,127.029649316304,37.5156103263369,127.029191455592,60,1,논현동,강남구 논현동 279-77,0,강남구
4,,37.50340114364585,127.0347873232585,0.3745497928820449,164.29071935521134,37.5033220002485,127.034447606469,37.5034802870432,127.035127040048,100,1,역삼동,강남구 역삼동 800-39,0,강남구
5,,37.5059309119782,127.030493579002,0.0295569615422354,238.96627968391937,37.5060497681124,127.030615604146,37.505812055844,127.030371553858,55,1,역삼동,강남구 역삼동 604-12,0,강남구
6,,37.51916421043505,127.048795542334,3.402048843363184,250.48150405849873,37.5188741852518,127.049758274934,37.5194542356183,127.047832809734,50,1,청담동,강남구 청담동 46-10,0,강남구
7,,37.50613480313704,127.027774537111,5.468370945058148,197.5266453860748,37.5059164529797,127.028313428889,37.5063531532944,127.027235645333,100,1,논현동,강남구 논현동 279-194,0,강남구
8,,37.5017171578127,127.026867203797,5.848471157425623,318.15833266811507,37.5016428104731,127.026336096148,37.5017915051523,127.027398311446,130,1,역삼동,강남구 역삼동 619-31,0,강남구
9,,37.504137500600905,127.0287044719375,4.671067323221697,275.8267712429327,37.5034979062143,127.027841927694,37.5047770949875,127.029567016181,260,1,역삼동,강남구 역삼동 800-20,0,강남구
10,,37.514710932529994,127.0207159771605,7.8270706168950435,310.33761060203017,37.5145397044143,127.020415391742,37.5148821606457,127.021016562579,70,1,논현동,강남구 논현동 279-93,0,강남구
11,,37.50623646245445,127.0272818603695,7.625868404061218,206.42293781569597,37.5063531532944,127.027235645333,37.5061197716145,127.027328075406,40,1,논현동,강남구 봉은사로7길 11,1,강남구
12,,37.50167766854855,127.063379609273,4.363453181086735,197.38290253121627,37.5013575539498,127.063355872072,37.5019977831473,127.063403346474,65,1,대치동,강남구 도곡로93길 23,1,강남구
13,,37.504822810372104,127.0520323170235,1.0077743808418396,100.04189282341238,37.504996534161,127.051907408986,37.5046490865832,127.052157225061,40,1,대치동,강남구 테헤란로 416 (대치동),1,강남구
14,,37.516934844369445,127.044385939874,2.526653432948647,199.369456238148,37.5171510991381,127.04434885307,37.5167185896008,127.044423026678,35,1,삼성동,"강남구 학동로64길 14 (삼성동, 현대아파트 101동)",1,강남구
15,,37.4981922253025,127.049387760898,1.4271176611245604,170.12365728389648,37.4983251759455,127.050124948768,37.4980592746595,127.048650573028,30,1,역삼동,강남구 선릉로69길 20,1,강남구
16,,37.50020126181185,127.03275660909,4.457941781450524,212.34933335007184,37.5000818732753,127.032937953168,37.5003206503484,127.032575265012,45,1,역삼동,강남구 테헤란로 131,1,강남구
17,,37.492265960063904,127.042265939898,6.583520435064352,262.46981361544476,37.4924616496392,127.042417574623,37.4920702704886,127.042114305173,50,1,도곡동,강남구 도곡로 212,1,강남구
18,,37.505043172801294,127.028224772357,3.002420944506608,253.49438293942913,37.5052805568865,127.028919391781,37.5048057887161,127.027530152933,150,1,역삼동,강남구 봉은사로 120 (역삼동),1,강남구
19,,37.4720755864374,127.095150635482,3.687039094968143,120.8908989659224,37.4714960885035,127.094495808084,37.4726550843713,127.09580546288,90,1,자곡동,강남구 자곡로 106 (자곡동),1,강남구
