열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.50359556547195,126.85608116498,2.3533738371915356,69.62352301322046,37.5022332346246,126.856182625001,37.5049578963193,126.855979704959,260,1,고척동,구로구 고척동 308-1,0,구로구
2,,37.489981174175696,126.8517384917035,8.432937276255148,104.33336986386868,37.4899625347255,126.850814201729,37.4899998136259,126.852662781678,100,1,개봉동,구로구 개봉동 375-13,0,구로구
3,,37.50533389677415,126.853825607815,0.8193669167160181,121.7797216043039,37.5058423718922,126.854256988435,37.5048254216561,126.853394227195,125,1,고척동,구로구 고척동 산 21-7,0,구로구
4,,37.5001674190807,126.8564508206295,3.427505103241837,153.75929865668564,37.500268243892,126.855822470425,37.5000665942694,126.857079170834,209,1,고척동,구로구 고척동 98-79,0,구로구
5,,37.50104452912455,126.8848200877035,0.1868987599145522,127.28516178357695,37.5008478578996,126.884053349169,37.5012412003495,126.885586826238,180,1,구로동,구로구 구로동 551-230,0,구로구
6,,37.50840488750645,126.850092729956,3.537470316118278,202.9840148630924,37.5092844391893,126.850121565218,37.5075253358236,126.850063894694,70,1,고척동,구로구 중앙로15길 162,1,구로구
7,,37.486561918519655,126.8857379855535,0.0916740479114934,92.95477119577848,37.4879986620547,126.884849447076,37.4851251749846,126.886626524031,378,1,구로동,구로구 구로동로12길 4-22,1,구로구
8,,37.487601505925255,126.8864039814265,0.3988343979803224,98.9405308426358,37.4879986620547,126.884849447076,37.4872043497958,126.887958515777,332,1,구로동,구로구 구로동로18길 34-3,1,구로구
9,,37.4898233453401,126.83327327089548,0.9974151896577568,153.37159701015835,37.4909373844238,126.832435742194,37.4887093062564,126.834110799597,220,1,오류동,구로구 오리로13길 8-4 (오류동),1,구로구
10,,37.488569477355,126.839530663069,0.9816008011183552,70.93033522982591,37.4876744495507,126.8394882533,37.4894645051593,126.839573072838,240,1,오류동,구로구 오류로 41-1 (오류동),1,구로구
11,,37.48168839261585,126.890618902369,0.976499384308646,104.08007800976934,37.4818784751331,126.890148230983,37.4814983100986,126.891089573755,100,1,가리봉동,구로구 남부순환로105라길 25-10,1,구로구
