열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.6467004572187,127.03991448954052,0.3652259321222187,202.76344134197956,37.6466813936931,127.039138407737,37.6467195207443,127.040690571344,200,1,창동,도봉구 창동 산 107-223,0,도봉구
2,,37.64311005233295,127.039202366115,1.4103581834510637,45.2272560623483,37.6425124820806,127.03904421653,37.6437076225853,127.0393605157,125,1,창동,도봉구 창동 596-22,0,도봉구
3,,37.6884696241763,127.0424161547935,1.4854259428239798,346.70737928856977,37.6880579973954,127.042083050817,37.6888812509572,127.04274925877,110,1,도봉동,도봉구 도봉동 282-16,0,도봉구
4,,37.64898288126445,127.019769978905,0.5198515802864955,209.0786679596697,37.6492704434076,127.019690507903,37.6486953191213,127.019849449907,26,1,쌍문동,도봉구 쌍문동 414-294,0,도봉구
5,,37.649615245598895,127.030332963733,0.6255394374177718,182.9327730906194,37.6495855676262,127.030121107218,37.6496449235716,127.030544820248,20,1,쌍문동,도봉구 쌍문동 128-8,0,도봉구
6,,37.6466280437582,127.03984550097,0.5374671654702581,158.48894967007783,37.6464866260691,127.039603335284,37.6467694614473,127.040087666656,150,1,창동,도봉구 창동 산 107-223,0,도봉구
7,,37.65246973001305,127.02368663563352,8.87608802208147,227.30811764289632,37.6519659309551,127.023534682887,37.652973529071,127.02383858838,160,1,쌍문동,도봉구 쌍문동 460-17,0,도봉구
8,,37.648224501741495,127.028840902756,3.3880687387250137,222.8231677277926,37.6481775782946,127.028768137033,37.6482714251884,127.028913668479,63,1,쌍문동,도봉구 쌍문동 315-361,0,도봉구
9,,37.6502602511569,127.030013671835,0.6337870693176312,165.48387856671246,37.6502536076527,127.029920239231,37.6502668946611,127.030107104439,120,1,쌍문동,도봉구 쌍문동 139-33,0,도봉구
10,,37.65179885829185,127.032238523305,5.2550159349768775,144.03364280463197,37.6512847538218,127.032416722478,37.6523129627619,127.032060324132,225,1,쌍문동,도봉구 쌍문동 137-53,0,도봉구
11,,37.65362425990875,127.0229449711975,8.741283360304301,297.0570499478994,37.6530290227222,127.022497335373,37.6542194970953,127.023392607022,335,1,쌍문동,도봉구 쌍문동 460-17,0,도봉구
12,,37.6541017229972,127.0358247152885,3.0824443760892675,224.11205039998464,37.6539542633494,127.036760408402,37.654249182645,127.034889022175,65,1,쌍문동,"도봉구 도봉로127길 31-3 (쌍문동, 효성하이츠빌라)",1,도봉구
13,,37.65534825879,127.029897352676,3.142058833982091,238.51528067472472,37.6553041083788,127.02866209455,37.6553924092012,127.031132610802,65,1,쌍문동,"도봉구 시루봉로2길 22 (쌍문동, 쌍문6차한양아파트)",1,도봉구
14,,37.6514027281601,127.02629914532052,4.159334538340484,157.08270322058098,37.6509185306662,127.026138628446,37.651886925654,127.026459662195,140,1,쌍문동,도봉구 노해로45길 38-10,1,도봉구
