열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.51009194750835,126.9591275783405,11.008171549021723,115.67218968632824,37.5094733119223,126.960021952852,37.5107105830944,126.958233203829,70,1,흑석동,동작구 흑석동 341-11,0,동작구
2,,37.50160691290765,126.94780101047,10.827807677707204,181.0153480415328,37.5022455857879,126.947687586913,37.5009682400274,126.947914434027,130,1,상도동,동작구 상도동 159-11,0,동작구
3,,37.4958784647165,126.9298999405355,1.756967087184991,143.16958756604294,37.4959257252691,126.930208274749,37.4958312041639,126.929591606322,175,1,상도동,동작구 상도동 299-189,0,동작구
4,,37.51146381770795,126.94293060755852,1.4411548675026216,165.81413276204597,37.5117284395824,126.942924241754,37.5111991958335,126.942936973363,385,1,노량진동,동작구 노량진동 84-27,0,동작구
5,,37.5049547529421,126.952890030663,1.900649393808659,168.67283985899851,37.504770970912,126.952044123402,37.5051385349722,126.953735937924,220,1,상도1동,동작구 상도1동 495-1,0,동작구
6,,37.4941266456141,126.936865315157,16.77962804971295,227.5385866150712,37.4943458635665,126.936533690956,37.4939074276617,126.937196939358,320,1,상도동,동작구 상도동 283-60,0,동작구
7,,37.50972405852945,126.94470987386,9.4908052616497,104.75227002352496,37.5105066735435,126.944618926287,37.5089414435154,126.944800821433,72,1,노량진동,동작구 노량진동 221-138,0,동작구
8,,37.491096081763345,126.96351522989453,6.125867543897519,121.30168139637968,37.4902744845785,126.963617228474,37.4919176789482,126.963413231315,120,1,사당동,동작구 사당동 708-537,0,동작구
9,,37.49287250938825,126.93715624944,0.1817965966171699,273.4778922133168,37.4930073902976,126.937156532205,37.4927376284789,126.937155966675,190,1,상도동,동작구 상도동 산 77-14,0,동작구
10,,37.4937594751172,126.948653212882,2.7629332703208034,220.8744841391126,37.4927662360841,126.949035651603,37.4947527141503,126.948270774161,160,1,상도동,,False,동작구
11,,37.4980532899293,126.9365532279095,8.566146734317426,221.45320218299275,37.4979556007427,126.93609638388,37.4981509791159,126.937010071939,320,1,상도동,동작구 상도동 244-300,0,동작구
12,,37.4820190213753,126.9701326708705,5.164697442415614,159.9051281633098,37.4818772633173,126.970372928603,37.4821607794333,126.969892413138,70,1,사당동,동작구 사당동 278-31,0,동작구
13,,37.4976109626625,126.936596404309,8.247076536560938,210.28805965736385,37.4976402116746,126.935862112179,37.4975817136504,126.937330696439,130,1,상도동,동작구 상도동 259-4,0,동작구
14,,37.4805753231579,126.974111386222,1.264805499899606,73.63092589867348,37.4805207231933,126.975144833072,37.4806299231225,126.973077939372,240,1,사당동,동작구 사당동 316-42,0,동작구
15,,37.496093837540656,126.9368276961165,8.393344953323044,148.87681741139437,37.4965249703864,126.936240202321,37.4956627046949,126.937415189912,72,1,상도동,동작구 상도동 279-118,0,동작구
16,,37.4786530602425,126.976006830823,0.5911576111282121,223.1853628001948,37.4782261328386,126.976972477872,37.4790799876464,126.975041183774,175,1,사당동,동작구 사당동 419-158,0,동작구
17,,37.487120633284704,126.9679431835605,7.148886087138562,129.98811987554117,37.487412281918,126.967748860871,37.4868289846514,126.96813750625,180,1,사당동,"동작구 사당로 165 (사당동, 대아아파트)",1,동작구
18,,37.5054770787424,126.9332763251045,0.5601624524381896,107.02242012108808,37.5052397636547,126.933133919908,37.5057143938301,126.933418730301,130,1,대방동,"동작구 등용로 43 (대방동, 천록빌라)",1,동작구
19,,37.500598960012795,126.94542519505048,0.3835049170589024,123.25350169450527,37.4990533203303,126.944332904382,37.5021445996953,126.946517485719,405,1,상도동,동작구 양녕로 220,1,동작구
20,,37.4921266512741,126.96293051223,9.077307013909184,121.30168139637968,37.4923356236,126.962447793145,37.4919176789482,126.963413231315,50,1,사당동,동작구 사당로 90,1,동작구
21,,37.48748025743105,126.9758402872965,8.129085653449522,158.57512729498748,37.4876528247101,126.975958842932,37.487307690152,126.975721731661,290,1,사당동,동작구 사당로29길 86 (사당동),1,동작구
22,,37.48234114736515,126.970372462354,4.216400350341434,135.7337942672503,37.4822032162717,126.970605370059,37.4824790784586,126.970139554649,60,1,사당동,동작구 사당로14길 48-7,1,동작구
23,,37.47896342360495,126.973710474435,3.745439247441744,174.1076438849883,37.4789663103967,126.973928957832,37.4789605368132,126.973491991038,105,1,사당동,동작구 사당로20길 126,1,동작구
24,,37.49429676318135,126.9359583196015,7.982238929486303,205.51703983300496,37.4943529623367,126.935665335277,37.494240564026,126.936251303926,190,1,상도동,"동작구 국사봉1라길 10 (상도동, 상도빌라)",1,동작구
25,,37.5034119249337,126.953472644701,0.8619530444308072,223.0943566640611,37.503597138207,126.953616442845,37.5032267116604,126.953328846557,75,1,상도동,"동작구 상도로47바길 31 (상도동, 정호아파트)",1,동작구
26,,37.5068701828222,126.9569703205155,3.117831918552997,344.7407560896064,37.5066607164423,126.956894098261,37.5070796492021,126.95704654277,210,1,흑석동,동작구 흑석로5길 9 (흑석동),1,동작구
27,,37.48298368875185,126.971230986732,2.7219124082916113,93.38841052279317,37.4831131631281,126.971413648457,37.4828542143756,126.971048325007,340,1,사당동,동작구 사당로14길 30 (사당동),1,동작구
28,,37.4943654367482,126.9605864227915,1.1369800021613623,104.03618331569314,37.4945750939508,126.960565109906,37.4941557795456,126.960607735677,560,1,상도동,동작구 사당로2길 2-19 (상도동),1,동작구
29,,37.48298940762195,126.9677355575655,5.869233511951453,261.3292538785152,37.4834267898009,126.968184742249,37.482552025443,126.967286372882,690,1,사당동,동작구 사당로8길 59,1,동작구
30,,37.476800909839554,126.9721340052,0.3911179975640355,150.9581685458645,37.4763646501219,126.972363837707,37.4772371695572,126.971904172693,500,1,사당동,동작구 남부순환로259길 22,1,동작구
31,,37.4876397766658,126.9756002424465,4.264280853577597,144.16729472107588,37.4876942755847,126.975541823558,37.4875852777469,126.975658661335,210,1,사당동,동작구 사당로23나길 30 (사당동),1,동작구
32,,37.504142543493245,126.93382030581448,1.1309445874537944,139.2890657044589,37.5030453233318,126.934506691721,37.5052397636547,126.933133919908,40,1,상도동,동작구 상도로15바길 10-1 (상도동),1,동작구
33,,37.49280533764146,126.979094844811,4.823267617689077,174.24784147254135,37.49263841761,126.979047115553,37.4929722576729,126.979142574069,68,1,사당동,동작구 동작대로35자길 6,1,동작구
34,,37.5088614739564,126.95693692667253,4.563707578331574,195.3295112275053,37.5079446007369,126.958266526507,37.5097783471759,126.955607326838,56,1,흑석동,"동작구 흑석로5길 57 (흑석동, 에버그린II)",1,동작구
35,,37.500764427728654,126.937077369296,2.633936910729652,41.65128885029122,37.501152825953,126.936775939233,37.5003760295043,126.937378799359,84,1,상도동,동작구 성대로21길 66-3 (상도동),1,동작구
36,,37.51058944190185,126.9470077141175,6.704423568520483,149.55177613639768,37.5103821174002,126.946096399346,37.5107967664035,126.947919028889,45,1,노량진동,동작구 만양로8길 50,1,동작구
37,,37.49625786499075,126.929047271906,2.883741959903192,154.5973524645243,37.496264594976,126.928701341719,37.4962511350055,126.929393202093,120,1,신대방동,동작구 국사봉2라길 11-1 (신대방동),1,동작구
38,,37.4940189423319,126.93596686797552,8.017189214791264,209.03567561996996,37.4941422186555,126.935668682309,37.4938956660083,126.936265053642,85,1,상도동,동작구 국사봉1길 213,1,동작구
39,,37.49817650406465,126.9464783030165,12.209684055874996,129.8344735671506,37.498281174093,126.945722864641,37.4980718340363,126.947233741392,140,1,상도동,동작구 양녕로22라길 66,1,동작구
40,,37.48713499400935,126.970688347097,3.6444238935769304,173.58207155022836,37.4865223241048,126.97147747741,37.4877476639139,126.969899216784,300,1,사당동,동작구 사당로13길 77,1,동작구
41,,37.49031808759385,126.911218419785,9.882189834910134,142.01647244935526,37.490333625399,126.910912590091,37.4903025497887,126.911524249479,500,1,신대방동,동작구 신대방14길 23-4 (신대방동),1,동작구
42,,37.49875027952645,126.949791979257,0.9435911595299136,210.621943346959,37.4974371122083,126.950225871368,37.5000634468446,126.949358087146,250,1,상도동,동작구 상도로 320,1,동작구
43,,37.5005194510823,126.9365001934945,0.6038848459844887,78.78005163215389,37.5004965039022,126.936385539275,37.5005423982624,126.936614847714,170,1,상도동,동작구 성대로21길 57,1,동작구
44,,37.4988212353665,126.9459204943165,10.391737207178716,25.857052691129656,37.4984444507815,126.945168618879,37.4991980199515,126.946672369754,75,1,상도동,"동작구 양녕로30길 21 (상도동, 아림빌리지)",1,동작구
45,,37.5086525916135,126.945894568249,14.33610425333347,113.14493226278869,37.5089530613864,126.94615624059,37.5083521218406,126.945632895908,350,1,노량진동,동작구 만양로11길 8 (노량진동),1,동작구
