id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,봉은사로43길,0,주거지 도로,37.5099362,127.0398003,37.5103027,127.0396675,37.51011945,127.0397339,42.40301822727176,논현동,폭6-8m,소로3류,강남구
2,선릉로111길,0,주거지 도로,37.5099362,127.0398003,37.510125,127.0404932,37.5100306,127.04014675,64.62529462589967,논현동,폭6-8m,소로3류,강남구
3,봉은사로43길,0,주거지 도로,37.5099362,127.0398003,37.5091873,127.0401047,37.50956175,127.0399525,87.50064295216896,논현동,폭6-8m,소로3류,강남구
4,봉은사로29길,0,주거지 도로,37.5082323,127.0346951,37.5083386,127.0350572,37.50828545,127.03487615,34.056803638965896,논현동,6m미만,소로,강남구
5,봉은사로29길,0,주거지 도로,37.5082323,127.0346951,37.5076427,127.0349627,37.5079375,127.0348289,69.68041881085284,논현동,6m미만,소로,강남구
6,봉은사로29길,0,주거지 도로,37.5082323,127.0346951,37.5087397,127.0344307,37.508486000000005,127.0345629,61.05056851645943,논현동,6m미만,소로,강남구
7,역삼로63길,0,주거지 도로,37.5011442,127.0526662,37.5018081,127.0523554,37.50147615,127.0525108,78.74933263119979,대치동,폭6-8m,소로3류,강남구
8,역삼로64길,0,주거지 도로,37.5011442,127.0526662,37.5004967,127.052971,37.50082045,127.0528186,76.85575608179207,대치동,폭6-8m,소로3류,강남구
9,도곡로63길,0,주거지 도로,37.4968938,127.0546996,37.4976348,127.0543279,37.4972643,127.05451375,88.68093067795222,대치동,폭10-12m,소로1류,강남구
10,도곡로64길,0,주거지 도로,37.4968938,127.0546996,37.4963579,127.0549758,37.49662585,127.0548377,64.38309475370203,대치동,6m미만,소로,강남구
11,도곡로78길,0,주거지 도로,37.4982374,127.0588777,37.4976836,127.0591657,37.497960500000005,127.0590217,66.61532511310985,대치동,폭10-12m,소로1류,강남구
