id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,남부순환로151길,0,주거지 도로,37.4848041,126.9138807,37.4844535,126.9145075,37.4846288,126.9141941,67.68335616262105,신림동,6m미만,소로,관악구
2,관악로40길,0,3차로,37.4906979,126.9565426,37.4909803,126.9571318,37.4908391,126.9568372,61.05957609663821,봉천동,폭15-20m,중로2류,관악구
3,난곡로38길,0,주거지 도로,37.4745919,126.9169346,37.4746158,126.9178508,37.47460385,126.9173927,80.89555349816811,신림동,6m미만,소로,관악구
4,난곡로41길,0,주거지 도로,37.4756314,126.9164856,37.4755244,126.9153066,37.4755779,126.9158961,108.80172972769734,신림동,6m미만,소로,관악구
5,낙성대로,0,주거지 도로,37.4785347,126.9598922,37.4784187,126.9598148,37.4784767,126.9598535,14.596156085439585,봉천동,폭15-20m,중로2류,관악구
6,문성로,0,주거지 도로,37.4793583,126.9282721,37.4797715,126.9287034,37.4795649,126.92848775,59.84406308306011,신림동,6m미만,소로,관악구
7,문성로38길,0,주거지 도로,37.4786422,126.930651,37.4783238,126.9305044,37.478483,126.9305777,37.69387835227022,신림동,6m미만,소로,관악구
8,봉천로,0,주거지 도로,37.4822388,126.9519353,37.4820867,126.9519087,37.48216275,126.951922,17.074865571144194,봉천동,6m미만,소로,관악구
9,봉천로45길,0,주거지 도로,37.482511,126.9492377,37.4827036,126.9493122,37.4826073,126.94927495,22.940219641096306,봉천동,6m미만,소로,관악구
10,남부순환로,0,주거지 도로,37.482511,126.9492377,37.482356,126.9492131,37.4824335,126.9492254,17.37139224723293,봉천동,6m미만,소로,관악구
11,남부순환로,0,주거지 도로,37.4829393,126.945029,37.4827967,126.9450124,37.482868,126.9450207,15.9244366790221,봉천동,6m미만,소로,관악구
12,봉천로35길,0,주거지 도로,37.4829393,126.945029,37.4830957,126.945061,37.4830175,126.945045,17.61864111017838,봉천동,6m미만,소로,관악구
13,남부순환로,0,주거지 도로,37.4830878,126.9436536,37.4829053,126.9436083,37.48299655,126.94363095,20.69606584732027,봉천동,6m미만,소로,관악구
14,봉천로33길,0,주거지 도로,37.4830878,126.9436536,37.4832553,126.9436828,37.48317155,126.9436682,18.80261691083112,봉천동,6m미만,소로,관악구
15,남부순환로,0,주거지 도로,37.4832671,126.9422647,37.4830813,126.9422429,37.4831742,126.9422538,21.24604692121888,봉천동,6m미만,소로,관악구
16,남부순환로,0,주거지 도로,37.4848399,126.9383662,37.4846943,126.9382583,37.4847671,126.93831225,18.781831653764403,봉천동,6m미만,소로,관악구
17,신림로58길,0,주거지 도로,37.4822782,126.9298387,37.4824532,126.9316895,37.4823657,126.9307641,184.54877985770003,신림동,6m미만,소로,관악구
18,보라매로7길,0,주거지 도로,37.4944503,126.927259,37.4927769,126.9268703,37.4936136,126.92706465,225.37733595907332,봉천동,6m미만,소로,관악구
19,신원로,0,3차로,37.47935,126.92808,37.4801715,126.927908,37.47976075,126.927994,92.59905673143294,신림동,폭8-10m,소로2류,관악구
20,문성로30길,0,주거지 도로,37.47935,126.92808,37.4784364,126.9282331,37.4788932,126.92815655,102.49696913374986,신림동,6m미만,소로,관악구
21,참숯1길,0,주거지 도로,37.4781361,126.9395261,37.4780732,126.9395428,37.47810465,126.93953445,7.147732902989302,봉천동,6m미만,소로,관악구
22,장군봉5길,0,주거지 도로,37.4793545,126.9415725,37.479794,126.9412156,37.47957425,126.94139405,58.138932796750105,봉천동,6m미만,소로,관악구
23,쑥고개로,0,주거지 도로,37.4795491,126.9419538,37.4791509,126.9423765,37.47935,126.94216515,57.8946752726513,봉천동,6m미만,소로,관악구
24,쑥고개로,0,주거지 도로,37.4795491,126.9419538,37.4799734,126.9415297,37.47976125,126.94174175,60.21991058340279,봉천동,6m미만,소로,관악구
25,참숯길,0,주거지 도로,37.4796571,126.9424633,37.4791509,126.9423765,37.479404,126.9424199,56.80569059026704,봉천동,6m미만,소로,관악구
26,쑥고개로11길,0,주거지 도로,37.4796571,126.9424633,37.480238,126.9426165,37.47994755,126.9425399,65.99267898161469,봉천동,6m미만,소로,관악구
27,"['봉천로21나길', '봉천로23길']",0,주거지 도로,37.4863708,126.9349099,37.4888909,126.9342099,37.48763085,126.9345599,473.9179210121716,봉천동,,,관악구
28,은천로33길,0,주거지 도로,37.4863351,126.9522622,37.4877462,126.9519619,37.48704065,126.95211205,160.21941111544024,봉천동,폭20-25m,중로1류,관악구
29,호암로,0,생활도로,37.4643686,126.9315652,37.4654245,126.9316642,37.46489655,126.9316147,141.86005372546475,신림동,6m미만,소로,관악구
30,호암로18길,0,주거지 도로,37.4654033,126.9314337,37.4654245,126.9316642,37.4654139,126.93154895,20.47955632970832,신림동,6m미만,소로,관악구
31,성림길,0,주거지 도로,37.4654033,126.9314337,37.465471,126.9311988,37.46543715,126.93131625,22.056183480001284,신림동,6m미만,소로,관악구
32,호암로24길,0,주거지 도로,37.4701369,126.9331787,37.4699447,126.9337298,37.4700408,126.93345425,53.12436814919033,신림동,폭6-8m,소로3류,관악구
33,승방길,0,주거지 도로,37.4739644,126.9818427,37.4726487,126.9783098,37.47330655,126.98007625,348.10394801869404,남현동,폭6-8m,소로3류,관악구
34,승방길,0,주거지 도로,37.4718436,126.9777133,37.4712912,126.9774983,37.4715674,126.9776058,65.61106254018863,남현동,폭6-8m,소로3류,관악구
35,승방길,0,주거지 도로,37.4718436,126.9777133,37.4726487,126.9783098,37.47224615,126.97801155,105.34310474031324,남현동,폭6-8m,소로3류,관악구
36,승방길,0,주거지 도로,37.4718436,126.9777133,37.4731218,126.9763098,37.4724827,126.97701155,218.798160828384,남현동,폭6-8m,소로3류,관악구
37,남현1길,0,주거지 도로,37.4758856,126.9773802,37.4758721,126.9777317,37.47587885,126.97755595,31.05458905036656,남현동,6m미만,소로,관악구
38,남현길,0,3차로,37.4758856,126.9773802,37.4750594,126.9768527,37.4754725,126.97711645,102.98961761359074,남현동,폭6-8m,소로3류,관악구
39,남현길,0,3차로,37.4758856,126.9773802,37.4765589,126.9775977,37.47622225,126.97748895,78.9697706014529,남현동,폭6-8m,소로3류,관악구
40,남현2길,0,주거지 도로,37.4758856,126.9773802,37.4758224,126.9763289,37.475854,126.97685455,93.9621846248678,남현동,6m미만,소로,관악구
41,남현길,0,3차로,37.4748362,126.9767496,37.4750594,126.9768527,37.4749478,126.97680115,26.433835132207413,남현동,폭6-8m,소로3류,관악구
42,남현3길,0,주거지 도로,37.4748362,126.9767496,37.4747667,126.9769868,37.47480145,126.9768682,22.31315630250442,남현동,6m미만,소로,관악구
43,남현길,0,3차로,37.4748362,126.9767496,37.4744135,126.9761778,37.47462485,126.9764637,69.03620178390352,남현동,폭6-8m,소로3류,관악구
44,남현6길,0,주거지 도로,37.4744135,126.9761778,37.4742945,126.9753909,37.474354,126.97578435,70.69125203426832,남현동,6m미만,소로,관악구
45,남현길,0,3차로,37.4744135,126.9761778,37.4734876,126.975907,37.47395055,126.9760424,105.72187319748156,남현동,폭6-8m,소로3류,관악구
46,남현길,0,3차로,37.4744135,126.9761778,37.4748362,126.9767496,37.47462485,126.9764637,69.03620178390352,남현동,폭6-8m,소로3류,관악구
47,남현길,0,3차로,37.4725458,126.974794,37.4718058,126.9742266,37.4721758,126.9745103,96.32246994871193,남현동,폭6-8m,소로3류,관악구
