id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,범안로,0,3차로,37.4648791,126.8839395,37.4646829,126.8835933,37.464781,126.8837664,37.5450963601201,독산동,폭8-10m,소로2류,금천구
2,가산디지털2로,0,주거지 도로,37.4722607,126.882423,37.4718689,126.8811051,37.4720648,126.88176405,124.19657534154668,가산동,폭15-20m,중로2류,금천구
3,가산디지털1로,0,3차로,37.4722607,126.882423,37.472946,126.8848771,37.47260335,126.88365005,229.58764994114964,가산동,폭20-25m,중로1류,금천구
4,벚꽃로,0,3차로,37.474207,126.8861925,37.4735576,126.8864574,37.4738823,126.88632495,75.89976248085823,가산동,폭8-10m,소로2류,금천구
5,가산로9길,0,3차로,37.474207,126.8861925,37.4747543,126.8872817,37.47448065,126.8867371,113.7646780904854,가산동,폭10-12m,소로1류,금천구
6,벚꽃로,0,3차로,37.474207,126.8861925,37.4768996,126.8850109,37.4755533,126.8856017,317.04131124194885,가산동,폭8-10m,소로2류,금천구
7,디지털로9길,0,3차로,37.4779276,126.8880499,37.4812135,126.8854678,37.479570550000005,126.88675885,431.1934746986772,가산동,폭20-25m,중로1류,금천구
8,디지털로10길,0,3차로,37.4779276,126.8880499,37.4759407,126.8896425,37.476934150000005,126.8888462,261.845689933322,가산동,폭20-25m,중로1류,금천구
9,가산디지털1로,0,3차로,37.4829538,126.8777445,37.4836173,126.880144,37.48328555,126.87894425,224.21029706597272,가산동,폭20-25m,중로1류,금천구
10,가산디지털2로,0,3차로,37.4829538,126.8777445,37.4821847,126.8749264,37.48256925,126.87633545,262.95749934347106,가산동,폭15-20m,중로2류,금천구
11,탑골로,0,3차로,37.4506792,126.9097573,37.4512887,126.9104668,37.45098395,126.91011205,92.94875928872491,시흥동,6m미만,소로,금천구
12,독산로23길,0,주거지 도로,37.453738,126.9035336,37.4541175,126.9037156,37.453927750000005,126.9036246,48.58509563477562,시흥동,6m미만,소로,금천구
13,금하로11길,0,주거지 도로,37.4539604,126.903168,37.4542064,126.9032911,37.4540834,126.90322955,31.196201395057685,시흥동,6m미만,소로,금천구
14,디지털로11길,0,주거지 도로,37.4806047,126.8875498,37.4786335,126.8889287,37.4796191,126.88823925,252.27334737427543,가산동,폭15-20m,중로2류,금천구
15,독산로68길,0,주거지 도로,37.4654248,126.90227,37.4660816,126.902779,37.4657532,126.9025245,85.82283973898222,독산동,6m미만,소로,금천구
16,독산로67길,0,주거지 도로,37.4654248,126.90227,37.4648612,126.9013488,37.465143,126.9018094,102.77708719029816,독산동,6m미만,소로,금천구
17,독산로70길,0,주거지 도로,37.466486,126.9017404,37.4665603,126.9024137,37.46652315,126.90207705,60.270465106708414,독산동,6m미만,소로,금천구
18,벚꽃로,0,3차로,37.4666328,126.8895233,37.4664221,126.889616,37.46652745,126.88956965,24.81620105963741,독산동,폭8-10m,소로2류,금천구
19,벚꽃로,0,3차로,37.4666328,126.8895233,37.46755,126.8891198,37.4670914,126.88932155,108.02656657017764,독산동,폭8-10m,소로2류,금천구
20,두산로,0,3차로,37.47034,126.89291,37.4703518,126.8926233,37.4703459,126.89276665,25.335850937031207,독산동,폭20-25m,중로1류,금천구
21,두산로14길,0,주거지 도로,37.47034,126.89291,37.4686907,126.8932204,37.46951535,126.8930652,188.9536117926333,독산동,폭8-10m,소로2류,금천구
22,두산로,0,3차로,37.47034,126.89291,37.4702957,126.8936322,37.47031785,126.8932711,63.92570071444758,독산동,폭20-25m,중로1류,금천구
23,두산로,0,3차로,37.4705416,126.887794,37.4704802,126.8891382,37.4705109,126.8884661,118.8243998635392,독산동,폭20-25m,중로1류,금천구
24,벚꽃로,0,3차로,37.4705416,126.887794,37.4693216,126.8883347,37.4699316,126.88806435,143.80581807322704,독산동,폭8-10m,소로2류,금천구
25,벚꽃로,0,3차로,37.4705416,126.887794,37.4720171,126.8871412,37.47127935,126.8874676,173.8889207213418,독산동,폭8-10m,소로2류,금천구
26,디지털로9길,0,3차로,37.4812135,126.8854678,37.4779276,126.8880499,37.479570550000005,126.88675885,431.1934746986771,가산동,폭20-25m,중로1류,금천구
27,벚꽃로36길,0,3차로,37.4812135,126.8854678,37.4806066,126.8833902,37.480910050000006,126.884429,195.3537218172846,가산동,폭25-30m,대로3류,금천구
28,벚꽃로36길,0,3차로,37.4812135,126.8854678,37.4817074,126.8865468,37.48146045,126.8860073,109.97179005663708,가산동,폭25-30m,대로3류,금천구
29,가산디지털1로,0,3차로,37.4694111,126.8864339,37.4687803,126.8840122,37.4690957,126.88522305,224.93911299472143,가산동,폭20-25m,중로1류,금천구
30,가산디지털1로,0,3차로,37.472946,126.8848771,37.4722607,126.882423,37.47260335,126.88365005,229.58764994114964,가산동,폭20-25m,중로1류,금천구
31,가산로3길,0,주거지 도로,37.4720171,126.8871412,37.4720076,126.8879336,37.47201235,126.8875374,69.937314778146,독산동,6m미만,소로,금천구
32,벚꽃로,0,3차로,37.4720171,126.8871412,37.4735576,126.8864574,37.47278735,126.8867993,181.6144769773761,가산동,폭8-10m,소로2류,금천구
33,벚꽃로,0,3차로,37.4720171,126.8871412,37.4705416,126.887794,37.47127935,126.8874676,173.8889207213418,독산동,폭8-10m,소로2류,금천구
34,벚꽃로,0,3차로,37.4771329,126.8849089,37.4768996,126.8850109,37.477016250000005,126.8849599,27.458949383281997,가산동,폭8-10m,소로2류,금천구
35,벚꽃로,0,3차로,37.4771329,126.8849089,37.4806066,126.8833902,37.47886975,126.88414955,408.8459608675536,가산동,폭8-10m,소로2류,금천구
36,벚꽃로38길,0,주거지 도로,37.4816624,126.8830235,37.4822341,126.8844706,37.48194825,126.88374705,142.63878957152414,가산동,폭6-8m,소로3류,금천구
37,벚꽃로,0,3차로,37.4816624,126.8830235,37.4806066,126.8833902,37.4811345,126.88320685,121.77726978807206,가산동,폭8-10m,소로2류,금천구
38,벚꽃로,0,3차로,37.4816624,126.8830235,37.4824249,126.8826374,37.48204365,126.88283045,91.37499481263912,가산동,폭8-10m,소로2류,금천구
39,시루봉로,0,,37.4626153,126.8977047,37.4627934,126.8975977,37.46270435,126.8976512,21.94037558936567,독산동,6m미만,소로,금천구
40,가산디지털1로,0,3차로,37.4836173,126.880144,37.4829538,126.8777445,37.48328555,126.87894425,224.2102970659727,가산동,폭20-25m,중로1류,금천구
41,가산디지털1로,0,3차로,37.4687803,126.8840122,37.4694111,126.8864339,37.4690957,126.88522305,224.93911299472143,가산동,폭20-25m,중로1류,금천구
42,벚꽃로36길,0,3차로,37.4817074,126.8865468,37.4812135,126.8854678,37.48146045,126.8860073,109.97179005663708,가산동,폭25-30m,대로3류,금천구
43,가산로3길,0,생활도로,37.4727989,126.8879448,37.4723751,126.8879517,37.472587,126.88794825,47.17869908844486,가산동,6m미만,소로,금천구
44,벚꽃로24길,0,주거지 도로,37.4727989,126.8879448,37.4737657,126.8872337,37.4732823,126.88758925,124.48782815886446,가산동,폭10-12m,소로1류,금천구
45,가산로7길,0,주거지 도로,37.4727989,126.8879448,37.4732345,126.8886566,37.4730167,126.8883007,79.51626726232865,가산동,폭6-8m,소로3류,금천구
46,시흥대로73길,0,3차로,37.4559852,126.8947048,37.4561192,126.8952385,37.4560522,126.89497165,49.40933074477428,시흥동,폭20-25m,중로1류,금천구
47,벚꽃로,0,3차로,37.4559852,126.8947048,37.4563982,126.8945328,37.456191700000005,126.8946188,48.36813497232448,시흥동,폭8-10m,소로2류,금천구
48,시흥대로63길,0,주거지 도로,37.4548407,126.8997248,37.4552818,126.897192,37.45506125,126.8984584,228.88740500422645,시흥동,폭6-8m,소로3류,금천구
49,시흥대로63길,0,주거지 도로,37.4548407,126.8997248,37.454537,126.8999327,37.45468885,126.89982875,38.43692066409608,시흥동,폭6-8m,소로3류,금천구
50,벚꽃로18길,0,주거지 도로,37.46755,126.8891198,37.4678213,126.8900884,37.46768565,126.8896041,90.6507913362619,독산동,폭10-12m,소로1류,금천구
51,벚꽃로,0,3차로,37.46755,126.8891198,37.4693216,126.8883347,37.4684358,126.88872725,208.82339655544743,독산동,폭8-10m,소로2류,금천구
52,벚꽃로,0,3차로,37.46755,126.8891198,37.4666328,126.8895233,37.4670914,126.88932155,108.02656657017764,독산동,폭8-10m,소로2류,금천구
53,범안로15길,0,주거지 도로,37.4684964,126.8925047,37.4678859,126.8927718,37.46819115,126.89263825,71.8609439654133,독산동,폭6-8m,소로3류,금천구
54,벚꽃로18길,0,주거지 도로,37.4684964,126.8925047,37.4681349,126.8912102,37.46831565,126.89185745,121.11068122540895,독산동,폭10-12m,소로1류,금천구
55,벚꽃로18길,0,주거지 도로,37.4684964,126.8925047,37.4686907,126.8932204,37.46859355,126.89286255,66.75631725978945,독산동,폭10-12m,소로1류,금천구
56,범안로15길,0,주거지 도로,37.4684964,126.8925047,37.4703941,126.8916744,37.46944525,126.89208955,223.37578702723377,독산동,폭6-8m,소로3류,금천구
57,범안로15길,0,주거지 도로,37.4665288,126.8933656,37.4670101,126.893155,37.46676945,126.8932603,56.65390399130701,독산동,폭6-8m,소로3류,금천구
58,범안로14길,0,주거지 도로,37.4665288,126.8933656,37.4662025,126.8933344,37.46636565,126.89335,36.41993120728641,독산동,6m미만,소로,금천구
59,시흥대로,0,주거지 도로,37.4528299,126.9014573,37.4530003,126.9021566,37.4529151,126.90180695,64.57157509546988,시흥동,폭6-8m,소로3류,금천구
60,시흥대로52길,0,주거지 도로,37.4530003,126.9021566,37.4524927,126.9023547,37.4527465,126.90225565,59.08941875987414,시흥동,폭6-8m,소로3류,금천구
61,시흥대로,0,주거지 도로,37.4530003,126.9021566,37.4528299,126.9014573,37.4529151,126.90180695,64.57157509546988,시흥동,폭6-8m,소로3류,금천구
62,시흥대로47길,0,생활도로,37.4502829,126.9012156,37.4499366,126.9011543,37.45010975,126.90118495,42.40502271703008,시흥동,6m미만,소로,금천구
63,시흥대로41길,0,주거지 도로,37.4502829,126.9012156,37.4504752,126.9007717,37.45037905,126.90099365,44.640011062303394,시흥동,6m미만,소로,금천구
