id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,백제고분로,0,3차로,37.5024955,127.0987698,37.5025912,127.099363,37.50254335,127.0990664,53.39957387048207,석촌동,폭6-8m,소로3류,송파구
2,백제고분로34길,0,주거지 도로,37.5024955,127.0987698,37.5020296,127.0987661,37.50226255,127.09876795,51.80681768675692,석촌동,6m미만,소로,송파구
3,송이로32길,0,3차로,37.4899966,127.1283981,37.4895492,127.1282123,37.4897729,127.1283052,52.37996180532548,문정동,폭6-8m,소로3류,송파구
4,송이로32길,0,3차로,37.4899966,127.1283981,37.4932601,127.129573,37.49162835,127.12898555,382.2868815825913,문정동,폭6-8m,소로3류,송파구
5,감일남로,0,3차로,37.5069851,127.1397212,37.5068516,127.1402523,37.50691835,127.13998675,49.14346361408528,오금동,폭6-8m,소로3류,송파구
6,오금로27길,0,주거지 도로,37.508329,127.1197474,37.5087635,127.1186519,37.50854625,127.11919965,108.03587792082372,방이동,폭8-10m,소로2류,송파구
7,오금로27길,0,주거지 도로,37.508329,127.1197474,37.508255,127.1196997,37.508292,127.11972355,9.241757224869248,방이동,폭8-10m,소로2류,송파구
8,오금로27길,0,주거지 도로,37.508329,127.1197474,37.50915,127.12026,37.5087395,127.1200037,101.87584141014456,방이동,폭8-10m,소로2류,송파구
9,잠실로,0,3차로,37.5137637,127.1073759,37.5133583,127.1064862,37.513561,127.10693105,90.4985536202026,신천동,폭25-30m,대로3류,송파구
10,올림픽로33길,0,주거지 도로,37.5230555,127.1071754,37.5191676,127.1080684,37.52111155,127.1076219,439.4897274352796,신천동,폭20-25m,중로1류,송파구
11,올림픽로37길,0,주거지 도로,37.5230555,127.1071754,37.5230758,127.1147217,37.52306565,127.11094855,665.5138827086967,신천동,폭15-20m,중로2류,송파구
12,올림픽로37길,0,주거지 도로,37.5230555,127.1071754,37.5221105,127.1043323,37.522583,127.10575385,352.68739874432663,신천동,폭15-20m,중로2류,송파구
13,올림픽로43길,0,3차로,37.5247449,127.1110557,37.5247428,127.1115297,37.52474385,127.1112927,41.80164552714472,풍납동,폭20-25m,중로1류,송파구
14,강동대로2길,0,3차로,37.5247449,127.1110557,37.5249149,127.1112308,37.5248299,127.11114325,24.40849019071475,풍납동,폭20-25m,중로1류,송파구
15,올림픽로43길,0,3차로,37.5247449,127.1110557,37.5247655,127.1071526,37.5247552,127.10910415,344.3289225116638,풍납동,폭20-25m,중로1류,송파구
16,송파대로16길,0,주거지 도로,37.4844418,127.1234169,37.4846519,127.1239489,37.48454685,127.1236829,52.43337532449094,문정동,6m미만,소로,송파구
17,송파대로22길,0,주거지 도로,37.4872203,127.1219961,37.4876327,127.1228863,37.4874265,127.1224412,90.99603104819056,문정동,폭6-8m,소로3류,송파구
18,백제고분로34길,0,주거지 도로,37.4983552,127.0987956,37.4988045,127.0987864,37.49857985,127.098791,49.96654309922051,석촌동,6m미만,소로,송파구
19,가락로,0,3차로,37.4983552,127.0987956,37.4989293,127.1005484,37.49864225,127.099672,167.2885945690629,석촌동,폭6-8m,소로3류,송파구
20,가락로,0,3차로,37.4983552,127.0987956,37.4979443,127.0973751,37.49814975,127.09808535,133.38484264046107,석촌동,폭6-8m,소로3류,송파구
