id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,남부순환로,0,,37.5091839,126.8428949,37.509593,126.8428359,37.50938845,126.8428654,47.34991476692514,신정동,6m미만,소로,양천구
2,남부순환로,0,,37.5091839,126.8428949,37.5086756,126.842944,37.50892974999999,126.84291945,57.88824616976384,신정동,6m미만,소로,양천구
3,목동로3길,0,3차로,37.5099331,126.8581378,37.510896,126.860628,37.51041455,126.8593829,244.48077847062856,신정동,폭20-25m,중로1류,양천구
4,목동동로4길,0,주거지 도로,37.5150486,126.8623577,37.5120498,126.8640312,37.5135492,126.86319445,364.6732523516272,신정동,폭20-25m,중로1류,양천구
5,목동동로4길,0,주거지 도로,37.5153881,126.8633619,37.5168572,126.8625784,37.51612265,126.86297015,177.3714959004543,신정동,폭20-25m,중로1류,양천구
6,목동동로6길,0,주거지 도로,37.5163191,126.8660254,37.5133314,126.86769,37.51482525,126.8668577,363.2130065834513,신정동,폭20-25m,중로1류,양천구
7,목동동로6길,0,주거지 도로,37.51676,126.86729,37.5182274,126.8665404,37.5174937,126.8669152,176.10056827852566,신정동,폭20-25m,중로1류,양천구
8,63로,0,주거지 도로,37.522495,126.8654249,37.5239784,126.8686174,37.5232367,126.86702115,328.364196789696,신정동,폭25-30m,대로3류,양천구
9,가로공원로,0,3차로,37.5358944,126.8283252,37.5358831,126.8288682,37.53588875,126.8285967,48.643474551885376,신월동,6m미만,소로,양천구
10,가로공원로,0,3차로,37.5358944,126.8283252,37.5357424,126.826927,37.5358184,126.8276261,125.0229959077846,신월동,6m미만,소로,양천구
11,목동서로8길,0,3차로,37.5328971,126.8754127,37.5331096,126.8697386,37.53300335,126.87257565,513.5168289121233,목동,폭20-25m,중로1류,양천구
12,목동로8길,0,3차로,37.5132646,126.8754982,37.5149749,126.8724278,37.51411975,126.873963,330.9315496880462,신정동,폭20-25m,중로1류,양천구
13,목동로8길,0,3차로,37.5149749,126.8724278,37.5132646,126.8754982,37.51411975,126.873963,330.9315496880462,신정동,폭20-25m,중로1류,양천구
14,목동동로8길,0,3차로,37.5149749,126.8724278,37.515987,126.8717497,37.51548095,126.87208875,127.7187001204273,신정동,폭8-10m,소로2류,양천구
15,목동로8길,0,3차로,37.5149749,126.8724278,37.5140584,126.8697496,37.51451665,126.8710887,257.2691369740013,신정동,폭20-25m,중로1류,양천구
16,목동동로8길,0,3차로,37.5182148,126.870436,37.5173149,126.871027,37.517764850000006,126.8707315,113.29203972373416,신정동,폭8-10m,소로2류,양천구
17,목동동로8길,0,3차로,37.5182148,126.870436,37.5184931,126.8704781,37.518353950000005,126.87045705,31.23309072447343,신정동,폭8-10m,소로2류,양천구
18,신목로,0,3차로,37.5197867,126.8725015,37.5201111,126.8727348,37.5199489,126.87261815,41.52732510776801,신정동,폭6-8m,소로3류,양천구
19,신목로,0,3차로,37.5203307,126.8728927,37.5201111,126.8727348,37.5202209,126.87281375,28.11023067310753,신정동,폭6-8m,소로3류,양천구
20,목동중앙본로,0,3차로,37.5375437,126.8726139,37.538392,126.8711096,37.53796785,126.87186175,162.76211143048894,목동,6m미만,소로,양천구
21,목동중앙본로,0,3차로,37.54042,126.86882,37.5413716,126.8690069,37.5408958,126.86891345,107.10513146450523,목동,6m미만,소로,양천구
22,목동중앙본로,0,3차로,37.54042,126.86882,37.5397648,126.868679,37.5400924,126.8687495,73.90907612878783,목동,6m미만,소로,양천구
23,목동중앙본로,0,주거지 도로,37.54042,126.86882,37.540371,126.8693252,37.5403955,126.8690726,44.881200933326085,목동,6m미만,소로,양천구
24,목동중앙본로,0,3차로,37.54658,126.87161,37.5467,126.87168,37.54664,126.871645,14.70142536894678,목동,6m미만,소로,양천구
25,목동중앙본로,0,3차로,37.54658,126.87161,37.5454184,126.8711232,37.5459992,126.8713666,136.10771506508095,목동,6m미만,소로,양천구
26,목동중앙북로,0,주거지 도로,37.54658,126.87161,37.5465009,126.8721004,37.54654045,126.8718552,44.12023257539593,목동,폭6-8m,소로3류,양천구
27,목동중앙본로,0,3차로,37.5467,126.87168,37.54658,126.87161,37.54664,126.871645,14.70142536894678,목동,6m미만,소로,양천구
28,목동중앙본로,0,3차로,37.5467,126.87168,37.54677,126.87192,37.546735,126.8718,22.54508672758609,목동,6m미만,소로,양천구
29,목동중앙북로,0,3차로,37.5467,126.87168,37.5467147,126.8711611,37.546707350000005,126.87142055,46.03906565349475,목동,폭6-8m,소로3류,양천구
30,목동중앙본로,0,주거지 도로,37.54677,126.87192,37.5465691,126.8731156,37.54666955,126.8725178,107.74747524769816,목동,6m미만,소로,양천구
31,목동중앙본로,0,3차로,37.54677,126.87192,37.5467,126.87168,37.546735,126.8718,22.54508672758609,목동,6m미만,소로,양천구
32,목동중앙본로,0,3차로,37.54677,126.87192,37.5470416,126.8723973,37.546905800000005,126.87215865,53.07407248517652,목동,6m미만,소로,양천구
33,월정로,0,3차로,37.5200577,126.8444247,37.5203813,126.844222,37.5202195,126.84432335,40.17878367153765,신월동,폭10-12m,소로1류,양천구
34,신월로20길,0,주거지 도로,37.5200577,126.8444247,37.5194397,126.844796,37.5197487,126.84461035,76.12201479719081,신월동,폭20-25m,중로1류,양천구
35,신월로,0,3차로,37.5200577,126.8444247,37.5208195,126.8453116,37.520438600000006,126.84486815,115.29790462820549,신월동,6m미만,소로,양천구
36,신월로,0,3차로,37.5200577,126.8444247,37.519657,126.8439497,37.51985735,126.8441872,61.16848968875141,신월동,6m미만,소로,양천구
37,월정로,0,3차로,37.5222562,126.8430474,37.521146,126.8437367,37.5217011,126.84339205,137.60473005248136,신월동,폭10-12m,소로1류,양천구
38,월정로,0,3차로,37.5222562,126.8430474,37.5235508,126.8422714,37.5229035,126.8426594,159.3923223738943,신월동,폭10-12m,소로1류,양천구
39,목동로1길,0,주거지 도로,37.5107724,126.8714871,37.5067539,126.8710009,37.50876315,126.871244,475.44723103610096,신정동,6m미만,소로,양천구
40,목동중앙남로,0,주거지 도로,37.53492,126.86987,37.5352578,126.8691138,37.5350889,126.8694919,76.5302596028893,목동,폭6-8m,소로3류,양천구
41,공릉로,0,3차로,37.5274341,126.8761713,37.5277475,126.8743202,37.5275908,126.87524575,177.92500950381037,목동,폭6-8m,소로3류,양천구
42,공릉로,0,3차로,37.5357225,126.8807723,37.53717,126.88002,37.53644625,126.88039615,174.08806181977988,목동,폭6-8m,소로3류,양천구
43,목동동로18길,0,주거지 도로,37.5364671,126.8828939,37.5321264,126.883613,37.53429675,126.88325345,502.2387169224515,목동,폭15-20m,중로2류,양천구
44,목동동로18길,0,3차로,37.5364671,126.8828939,37.5371981,126.881349,37.5368326,126.88212145,222.1997156019714,목동,폭15-20m,중로2류,양천구
45,목동서로4길,0,3차로,37.53717,126.88002,37.5398827,126.8750147,37.53852635,126.87751735,550.9418711629064,목동,폭20-25m,중로1류,양천구
46,목동서로4길,0,주거지 도로,37.5175642,126.8646227,37.5160858,126.8653486,37.516825,126.86498565,176.42606435778734,신정동,폭20-25m,중로1류,양천구
47,목동서로12길,0,주거지 도로,37.5165145,126.8615875,37.5196371,126.8598982,37.5180758,126.86074285,377.84754671174255,신정동,폭20-25m,중로1류,양천구
48,목동서로12길,0,주거지 도로,37.5161943,126.8606618,37.5147344,126.8614284,37.51546435,126.8610451,175.85154978542295,신정동,폭20-25m,중로1류,양천구
49,목동서로12길,0,3차로,37.5192096,126.8681823,37.5185311,126.8699508,37.51887035,126.86906655,173.26119348421733,신정동,폭20-25m,중로1류,양천구
50,목동서로12길,0,3차로,37.5283944,126.8703766,37.5281789,126.8723294,37.52828665,126.871353,174.64028501573685,목동,폭20-25m,중로1류,양천구
51,오목로52길,0,주거지 도로,37.5239784,126.8686174,37.525516,126.8678393,37.5247472,126.86822835,303.3610935353595,목동,폭20-25m,중로1류,양천구
52,오목로52길,0,주거지 도로,37.5239784,126.8686174,37.5236094,126.8692764,37.5237939,126.8689469,71.22237582681825,신정동,폭20-25m,중로1류,양천구
53,오목로52길,0,주거지 도로,37.5239784,126.8686174,37.522495,126.8654249,37.5232367,126.86702115,328.36419678969605,신정동,폭20-25m,중로1류,양천구
54,목동서로10길,0,3차로,37.5177706,126.8652196,37.52116,126.86298,37.5194653,126.8640998,435.7768197990487,신정동,폭20-25m,중로1류,양천구
55,목동서로10길,0,3차로,37.52116,126.86298,37.5213024,126.8629584,37.5212312,126.8629692,15.948356328469885,신정동,폭20-25m,중로1류,양천구
56,목동서로10길,0,3차로,37.52116,126.86298,37.5177706,126.8652196,37.5194653,126.8640998,435.7768197990488,신정동,폭20-25m,중로1류,양천구
57,중앙로32길,0,3차로,37.52116,126.86298,37.5203467,126.861364,37.52075335,126.862172,168.79961809336413,신정동,폭8-10m,소로2류,양천구
58,신월로,0,3차로,37.516,126.83596,37.5162967,126.8369447,37.51614835,126.83645235,92.90373055464204,신월동,6m미만,소로,양천구
59,신월로,0,3차로,37.516,126.83596,37.5158608,126.8354859,37.5159304,126.83572295,44.58758677712849,신월동,6m미만,소로,양천구
60,남부순환로82길,0,주거지 도로,37.516,126.83596,37.515589,126.8366071,37.5157945,126.83628355,73.11594120201232,신월동,폭6-8m,소로3류,양천구
61,지양로,0,3차로,37.51671,126.83826,37.5172303,126.8380403,37.516970150000006,126.83815015,61.01345022071616,신월동,폭8-10m,소로2류,양천구
62,신월로,0,3차로,37.51671,126.83826,37.5162967,126.8369447,37.51650335,126.83760235,124.77767446861118,신월동,6m미만,소로,양천구
63,신월로,0,3차로,37.51671,126.83826,37.5170599,126.8394282,37.516884950000005,126.8388441,110.13316903155992,신월동,6m미만,소로,양천구
64,신월로17길,0,주거지 도로,37.518757,126.8427976,37.51986,126.8423123,37.5193085,126.84255495,129.90176894522102,신월동,폭6-8m,소로3류,양천구
65,신월로,0,3차로,37.518757,126.8427976,37.5191163,126.8432662,37.51893665,126.8430319,57.48214514340432,신월동,6m미만,소로,양천구
66,신월로,0,3차로,37.518757,126.8427976,37.5183734,126.8422714,37.5185652,126.8425345,63.032731425347095,신월동,6m미만,소로,양천구
67,신월로22길,0,주거지 도로,37.5208195,126.8453116,37.5203626,126.8458424,37.52059105,126.845577,69.0838394930857,신월동,6m미만,소로,양천구
68,신월로,0,3차로,37.5208195,126.8453116,37.5200577,126.8444247,37.520438600000006,126.84486815,115.29790462820549,신월동,6m미만,소로,양천구
69,신월로,0,3차로,37.5208195,126.8453116,37.5211789,126.8457281,37.520999200000006,126.84551985,54.280062982344944,신월동,6m미만,소로,양천구
70,목동서로10길,0,3차로,37.52224,126.86282,37.5213024,126.8629584,37.5217712,126.8628892,104.96914845991944,신정동,폭20-25m,중로1류,양천구
71,문성로30길,0,주거지 도로,37.5188481,126.8559065,37.5191054,126.8558769,37.51897675,126.8558917,28.729348160987865,신정동,6m미만,소로,양천구
72,중앙로32길,0,3차로,37.5188481,126.8559065,37.5183118,126.8542011,37.51857995,126.8550538,161.79845217098455,신정동,폭8-10m,소로2류,양천구
73,목동동로1길,0,3차로,37.5188481,126.8559065,37.5167809,126.856966,37.5178145,126.85643625,248.35721806453697,신정동,폭20-25m,중로1류,양천구
74,중앙로32길,0,3차로,37.5188481,126.8559065,37.5192033,126.8573149,37.5190257,126.8566107,130.63627863095286,신정동,폭8-10m,소로2류,양천구
75,목동서로12길,0,주거지 도로,37.5196371,126.8598982,37.5165145,126.8615875,37.5180758,126.86074285,377.84754671174255,신정동,폭20-25m,중로1류,양천구
76,중앙로32길,0,3차로,37.5196371,126.8598982,37.5197099,126.8600745,37.5196735,126.85998635,17.52959935817268,신정동,폭8-10m,소로2류,양천구
77,중앙로32길,0,3차로,37.5196371,126.8598982,37.5194028,126.8587075,37.51951995,126.85930285,108.30285037676296,신정동,폭8-10m,소로2류,양천구
78,목동서로6길,0,주거지 도로,37.5355365,126.8765065,37.5365882,126.8714953,37.53606235,126.8740009,487.48681278763655,목동,폭20-25m,중로1류,양천구
79,목동서로6길,0,주거지 도로,37.5365882,126.8714953,37.5355365,126.8765065,37.53606235,126.8740009,487.48681278763655,목동,폭20-25m,중로1류,양천구
80,오목로48길,0,주거지 도로,37.5259578,126.8628035,37.5253888,126.8628954,37.5256733,126.86284945,63.78694047367661,신정동,폭6-8m,소로3류,양천구
81,오목로29길,0,주거지 도로,37.5246506,126.8533908,37.5252239,126.8534486,37.52493725,126.8534197,63.95957707523811,신정동,6m미만,소로,양천구
82,오목로30길,0,주거지 도로,37.5246506,126.8533908,37.523358,126.8536742,37.5240043,126.8535325,158.43557890500378,신정동,6m미만,소로,양천구
83,목동동로16길,0,주거지 도로,37.5353735,126.8797781,37.5320099,126.8808154,37.5336917,126.88029675,387.498664732324,목동,폭20-25m,중로1류,양천구
84,목동서로4길,0,3차로,37.5398827,126.8750147,37.53717,126.88002,37.53852635,126.87751735,550.9418711629064,목동,폭20-25m,중로1류,양천구
85,목동서로2길,0,3차로,37.5383457,126.8831411,37.5421966,126.8799687,37.54027115,126.8815549,557.5594128869966,목동,폭15-20m,중로2류,양천구
86,목동동로2길,0,3차로,37.510896,126.860628,37.5107801,126.8606956,37.51083805,126.8606618,14.20001946184552,신정동,폭20-25m,중로1류,양천구
87,목동로3길,0,3차로,37.510896,126.860628,37.5099331,126.8581378,37.51041455,126.8593829,244.48077847062856,신정동,폭20-25m,중로1류,양천구
88,목동동로2길,0,3차로,37.510896,126.860628,37.5142263,126.8574638,37.51256115,126.8590459,466.0822755947937,신정동,폭20-25m,중로1류,양천구
89,목동로3길,0,3차로,37.510896,126.860628,37.5120498,126.8640312,37.5114729,126.8623296,326.46766221170014,신정동,폭20-25m,중로1류,양천구
90,곰달래로2길,0,주거지 도로,37.5278817,126.8345265,37.5284173,126.8341897,37.5281495,126.8343581,66.55098797285818,신월동,폭8-10m,소로2류,양천구
91,남부순환로65길,0,주거지 도로,37.5278817,126.8345265,37.527862,126.8338121,37.52787185,126.8341693,63.03675910785613,신월동,6m미만,소로,양천구
92,남부순환로65길,0,주거지 도로,37.5278817,126.8345265,37.5279111,126.8349752,37.5278964,126.83475085,39.70298989685217,신월동,6m미만,소로,양천구
93,곰달래로2길,0,주거지 도로,37.5278817,126.8345265,37.5268119,126.8359439,37.5273468,126.8352352,181.66728003627748,신월동,폭8-10m,소로2류,양천구
94,남부순환로65길,0,주거지 도로,37.5268119,126.8359439,37.5271976,126.8357205,37.52700475,126.8358322,47.19626301830774,신월동,6m미만,소로,양천구
95,곰달래로2길,0,주거지 도로,37.5268119,126.8359439,37.5266097,126.8368884,37.5267108,126.83641615,89.85070876677986,신월동,폭8-10m,소로2류,양천구
96,곰달래로2길,0,주거지 도로,37.5268119,126.8359439,37.5278817,126.8345265,37.5273468,126.8352352,181.66728003627748,신월동,폭8-10m,소로2류,양천구
97,월정로13길,0,주거지 도로,37.5266097,126.8368884,37.5267064,126.8375108,37.52665805,126.8371996,55.929971045211246,신월동,6m미만,소로,양천구
98,곰달래로6길,0,주거지 도로,37.5266097,126.8368884,37.5274356,126.8363609,37.52702265,126.83662465,102.94534077774873,신월동,폭10-12m,소로1류,양천구
99,곰달래로2길,0,주거지 도로,37.5266097,126.8368884,37.5268119,126.8359439,37.5267108,126.83641615,89.85070876677986,신월동,폭8-10m,소로2류,양천구
100,곰달래로6길,0,주거지 도로,37.5266097,126.8368884,37.5261142,126.8371854,37.52636195,126.8370369,61.01418323511784,신월동,폭10-12m,소로1류,양천구
101,곰달래로6길,0,,37.5261142,126.8371854,37.5262287,126.8359784,37.52617145,126.8365819,109.81259197017238,신월동,폭10-12m,소로1류,양천구
102,곰달래로6길,0,주거지 도로,37.5261142,126.8371854,37.5266097,126.8368884,37.52636195,126.8370369,61.01418323511784,신월동,폭10-12m,소로1류,양천구
103,곰달래로6길,0,주거지 도로,37.5284684,126.8357175,37.5284535,126.8352267,37.52846095,126.8354721,43.31209115592839,신월동,폭10-12m,소로1류,양천구
104,곰달래로6길,0,주거지 도로,37.5284684,126.8357175,37.5279524,126.8360401,37.5282104,126.8358788,64.04196126311837,신월동,폭10-12m,소로1류,양천구
105,곰달래로6길,0,주거지 도로,37.5284684,126.8357175,37.5289385,126.835417,37.52870345,126.83556725,58.60583751858416,신월동,폭10-12m,소로1류,양천구
106,곰달래로6길,0,주거지 도로,37.5235368,126.8364144,37.5236919,126.8363291,37.52361435,126.83637175,18.815559732184937,신월동,폭10-12m,소로1류,양천구
107,곰달래로6길,0,3차로,37.5235368,126.8364144,37.5235058,126.8363336,37.5235213,126.836374,7.915652306550148,신월동,폭10-12m,소로1류,양천구
108,곰달래로6길,0,,37.5255795,126.8367466,37.5258458,126.8374298,37.52571265,126.8370882,68.81783147080881,신월동,폭10-12m,소로1류,양천구
109,곰달래로6길,0,,37.5249972,126.8323783,37.5253258,126.8343444,37.5251615,126.83336135,177.1931787768802,신월동,폭10-12m,소로1류,양천구
110,곰달래로6길,0,,37.5249972,126.8323783,37.5236761,126.8358338,37.52433665,126.83410605,356.2110768758656,신월동,폭10-12m,소로1류,양천구
111,곰달래로6길,0,,37.5253258,126.8343444,37.525586,126.835774,37.5254559,126.8350592,129.3493961634087,신월동,폭10-12m,소로1류,양천구
112,중앙로55길,0,주거지 도로,37.526847,126.8492661,37.5266596,126.8482129,37.5267533,126.8487395,95.18575105011848,신월동,폭6-8m,소로3류,양천구
113,목동중앙서로8가길,0,주거지 도로,37.5315466,126.8639295,37.5316112,126.8644848,37.5315789,126.86420715,49.49024383274876,목동,6m미만,소로,양천구
114,곰달래로3길,0,주거지 도로,37.5297632,126.833878,37.5304649,126.8338006,37.53011405,126.8338393,78.32353822956458,신월동,6m미만,소로,양천구
115,곰달래로,0,3차로,37.5297632,126.833878,37.5297875,126.8342622,37.52977535,126.8340701,33.98702737516735,신월동,6m미만,소로,양천구
116,곰달래로,0,3차로,37.5297632,126.833878,37.5297334,126.8334061,37.5297483,126.83364205,41.74472906942748,신월동,6m미만,소로,양천구
117,곰달래로1길,0,주거지 도로,37.5306939,126.8327606,37.5304149,126.8329602,37.5305544,126.8328604,35.66854244116707,신월동,폭6-8m,소로3류,양천구
