id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,연서로35길,0,주거지 도로,37.6213875,126.926285,37.6220137,126.9257841,37.6217006,126.92603455,82.42929389268659,불광동,6m미만,소로,은평구
2,연서로37길,0,주거지 도로,37.6213875,126.926285,37.6220942,126.9261928,37.62174085,126.9262389,80.61038119845557,불광동,6m미만,소로,은평구
3,통일로80길,0,주거지 도로,37.6203,126.9224374,37.6205229,126.9228971,37.62041145,126.92266725,49.7597464422267,불광동,6m미만,소로,은평구
4,통일로80길,0,주거지 도로,37.6203,126.9224374,37.62026,126.9222744,37.62028,126.9223559,15.120144151871656,불광동,6m미만,소로,은평구
5,통일로80길,0,주거지 도로,37.6203,126.9224374,37.6211236,126.9233401,37.6207118,126.92288875,124.04163107020572,불광동,6m미만,소로,은평구
6,연서로33길,0,주거지 도로,37.6214211,126.924398,37.6212658,126.9245244,37.62134345,126.9244612,20.545962659259835,불광동,6m미만,소로,은평구
7,연서로33길,0,주거지 도로,37.6214211,126.924398,37.6212498,126.9240689,37.62133545,126.92423345,34.683483866292626,불광동,6m미만,소로,은평구
8,연서로33길,0,주거지 도로,37.6214211,126.924398,37.6215948,126.9242736,37.62150795,126.9243358,22.206970840497483,불광동,6m미만,소로,은평구
9,연서로33길,0,주거지 도로,37.6212658,126.9245244,37.6210424,126.9246916,37.6211541,126.924608,28.877793610373125,불광동,6m미만,소로,은평구
10,연서로33길,0,주거지 도로,37.6212658,126.9245244,37.6216225,126.9250801,37.62144415,126.92480225,62.99626194783396,불광동,6m미만,소로,은평구
11,연서로33길,0,주거지 도로,37.6212658,126.9245244,37.6214211,126.924398,37.62134345,126.9244612,20.545962659259835,불광동,6m미만,소로,은평구
12,불광로,0,주거지 도로,37.6177787,126.9331597,37.6180759,126.9336742,37.617927300000005,126.93341695,60.30919186435428,불광동,폭6-8m,소로3류,은평구
13,불광로10길,0,주거지 도로,37.6180759,126.9336742,37.6179261,126.9336934,37.618001,126.9336838,16.74264629631787,불광동,폭6-8m,소로3류,은평구
14,불광로,0,주거지 도로,37.6180759,126.9336742,37.6187218,126.93337,37.618398850000005,126.9335221,76.65577070739718,불광동,폭6-8m,소로3류,은평구
15,불광로,0,주거지 도로,37.6180759,126.9336742,37.6177787,126.9331597,37.617927300000005,126.93341695,60.30919186435427,불광동,폭6-8m,소로3류,은평구
16,진관길,0,주거지 도로,37.6423559,126.9386108,37.6420964,126.9394062,37.64222615,126.9390085,75.79236891845916,진관동,폭6-8m,소로3류,은평구
17,연서로13길,0,주거지 도로,37.6104919,126.9111565,37.6104282,126.9120338,37.61046005,126.91159515,77.60206583040298,구산동,폭6-8m,소로3류,은평구
18,연서로13길,0,주거지 도로,37.6104919,126.9111565,37.610568,126.9103537,37.61052995,126.9107551,71.22012206745308,구산동,폭6-8m,소로3류,은평구
19,연서로27길,0,주거지 도로,37.6189408,126.9158887,37.6191206,126.9154452,37.6190307,126.91566695,43.88095244407775,갈현동,6m미만,소로,은평구
20,연서로27길,0,주거지 도로,37.6189408,126.9158887,37.6188345,126.9160925,37.61888765,126.9159906,21.492191671759283,갈현동,6m미만,소로,은평구
21,연서로27길,0,주거지 도로,37.6189408,126.9158887,37.6199724,126.9166111,37.6194566,126.9162499,132.17715043452398,갈현동,6m미만,소로,은평구
22,갈현로33길,0,주거지 도로,37.6201772,126.9161307,37.6203213,126.9158112,37.62024925,126.91597095,32.38203122531902,갈현동,6m미만,소로,은평구
23,연서로29길,0,주거지 도로,37.6201772,126.9161307,37.6199724,126.9166111,37.6200748,126.9163709,48.05034757218807,갈현동,6m미만,소로,은평구
24,갈현로29길,0,주거지 도로,37.6206333,126.9127853,37.6215163,126.9135103,37.6210748,126.9131478,117.13570492461965,갈현동,6m미만,소로,은평구
25,갈현로29길,0,주거지 도로,37.6206333,126.9127853,37.622395,126.9113957,37.62151415,126.9120905,232.41424039464715,갈현동,6m미만,소로,은평구
26,갈현로29길,0,주거지 도로,37.6206333,126.9127853,37.620074,126.9134727,37.62035365,126.913129,87.1512821125726,갈현동,6m미만,소로,은평구
27,갈현로33길,0,주거지 도로,37.6225467,126.9114123,37.6226416,126.9116641,37.62259415,126.9115382,24.55914005945769,갈현동,6m미만,소로,은평구
28,갈현로29길,0,주거지 도로,37.6225467,126.9114123,37.622395,126.9113957,37.62247085,126.911404,16.931532240031597,갈현동,6m미만,소로,은평구
29,갈현로29길,0,주거지 도로,37.6225467,126.9114123,37.6235069,126.9103074,37.623026800000005,126.91085985,144.9566816363353,갈현동,6m미만,소로,은평구
30,갈현로33길,0,주거지 도로,37.6226416,126.9116641,37.6225467,126.9114123,37.62259415,126.9115382,24.55914005945769,갈현동,6m미만,소로,은평구
31,갈현로33길,0,주거지 도로,37.6226416,126.9116641,37.6221988,126.9120468,37.6224202,126.91185545,65.41471304624642,갈현동,6m미만,소로,은평구
32,갈현로33길,0,주거지 도로,37.6226416,126.9116641,37.6220588,126.9127628,37.6223502,126.91221345,147.95538383675031,갈현동,6m미만,소로,은평구
33,갈현로33길,0,주거지 도로,37.6217532,126.912508,37.6218224,126.9125626,37.6217878,126.9125353,9.07374108032566,갈현동,6m미만,소로,은평구
34,갈현로33길,0,주거지 도로,37.6217532,126.912508,37.6216705,126.9127892,37.62171185,126.9126486,26.418259125984623,갈현동,6m미만,소로,은평구
35,갈현로33길,0,주거지 도로,37.6217532,126.912508,37.6221988,126.9120468,37.621976,126.9122774,67.94602336844511,갈현동,6m미만,소로,은평구
36,갈현로33길,0,주거지 도로,37.6213267,126.9139437,37.6211504,126.9142774,37.62123855,126.91411055,35.328253458222655,갈현동,6m미만,소로,은평구
37,갈현로33길,0,주거지 도로,37.6213267,126.9139437,37.6214461,126.9137415,37.6213864,126.9138426,22.212857593534068,갈현동,6m미만,소로,은평구
38,갈현로39길,0,주거지 도로,37.6213267,126.9139437,37.6218602,126.9147833,37.62159345,126.9143635,108.1703730939428,갈현동,6m미만,소로,은평구
39,역말로9길,0,주거지 도로,37.6109795,126.9217541,37.6115184,126.9217677,37.61124895,126.9217609,59.9350040454487,대조동,6m미만,소로,은평구
40,역말로,0,3차로,37.6109795,126.9217541,37.61162,126.92238,37.61129975,126.92206705,90.76625622298944,대조동,6m미만,소로,은평구
41,역말로,0,3차로,37.6109795,126.9217541,37.6108216,126.9217272,37.61090055,126.92174065,17.73950201976762,대조동,6m미만,소로,은평구
42,역말로9길,0,주거지 도로,37.6119322,126.9217782,37.6116669,126.9217715,37.61179955,126.92177485,29.50595846492426,대조동,6m미만,소로,은평구
43,역말로9길,0,주거지 도로,37.6119322,126.9217782,37.6125211,126.9219237,37.61222665,126.92185095,66.72519406305183,대조동,6m미만,소로,은평구
