id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,새문안로3길,0,주거지 도로,37.5700513,126.972549,37.5701046,126.9725489,37.57007795,126.97254895,5.926704515523308,신문로1가,폭15-20m,중로2류,종로구
2,새문안로,0,주거지 도로,37.5700513,126.972549,37.5694325,126.9726944,37.5697419,126.9726217,69.99775968479476,신문로1가,폭8-10m,소로2류,종로구
3,사직로8길,0,3차로,37.5740414,126.9726915,37.5740805,126.9744778,37.57406095,126.97358465,157.50989215213713,적선동,폭15-20m,중로2류,종로구
4,사직로8길,0,3차로,37.5740414,126.9726915,37.5747429,126.9703843,37.57439215,126.9715379,219.5764982465891,내수동,폭15-20m,중로2류,종로구
5,새문안로3길,0,주거지 도로,37.5740414,126.9726915,37.575784,126.9726384,37.5749127,126.97266495,193.94681595128608,내자동,폭15-20m,중로2류,종로구
6,새문안로3길,0,주거지 도로,37.5740414,126.9726915,37.5716061,126.9725942,37.57282375,126.97264285,270.9343465958983,내수동,폭15-20m,중로2류,종로구
7,새문안로3길,0,주거지 도로,37.5701892,126.9725486,37.5716061,126.9725942,37.57089765,126.9725714,157.6035637335517,신문로1가,폭15-20m,중로2류,종로구
8,새문안로3길,0,주거지 도로,37.5701892,126.9725486,37.5701394,126.9725488,37.5701643,126.9725487,5.537543822638816,신문로1가,폭15-20m,중로2류,종로구
9,인사동길,0,주거지 도로,37.5729775,126.9862331,37.5712381,126.9875946,37.5721078,126.98691385,235.40773154036435,인사동,6m미만,소로,종로구
10,인사동5길,0,주거지 도로,37.5729775,126.9862331,37.5720235,126.9830546,37.5725005,126.98464385,302.22727773867393,관훈동,폭6-8m,소로3류,종로구
11,인사동5길,0,주거지 도로,37.5729775,126.9862331,37.5735175,126.9876248,37.5732475,126.98692895,136.63624496908318,인사동,폭6-8m,소로3류,종로구
12,장한로,0,주거지 도로,37.5756319,126.9829568,37.5758348,126.9830747,37.57573335,126.98301575,25.00818444874018,송현동,,,종로구
13,청와대로,0,3차로,37.5834636,126.9794804,37.5809707,126.9802116,37.582217150000005,126.979846,297.9167758288298,세종로,,,종로구
14,청와대로,0,3차로,37.5834636,126.9794804,37.5836013,126.973984,37.58353245,126.9767322,488.0817239079244,세종로,,,종로구
15,자하문로28길,0,3차로,37.585035,126.9702059,37.5850588,126.9705521,37.5850469,126.970379,30.620480116038884,청운동,폭6-8m,소로3류,종로구
16,자하문로,0,3차로,37.585035,126.9702059,37.5852959,126.97018,37.58516545,126.97019295,29.100427008382656,청운동,6m미만,소로,종로구
17,자하문로,0,3차로,37.585035,126.9702059,37.5842839,126.9703026,37.58465945,126.97025425,83.95817430842342,청운동,6m미만,소로,종로구
18,백석동길,0,3차로,37.5925276,126.9658575,37.5927687,126.9658085,37.59264815,126.965833,27.15452939455528,부암동,6m미만,소로,종로구
19,창의문로,0,3차로,37.5925276,126.9658575,37.5928,126.96462,37.5926638,126.96523875,113.3358625317305,부암동,6m미만,소로,종로구
20,창의문로,0,3차로,37.5925276,126.9658575,37.592209,126.9673697,37.5923683,126.9666136,138.29426553529427,부암동,6m미만,소로,종로구
21,굴레방로,0,,37.5701409,126.979338,37.5701995,126.9797933,37.5701702,126.97956565,40.653026760441975,종로1가,폭6-8m,소로3류,종로구
22,굴레방로,0,,37.5702599,126.9829675,37.5702323,126.9826313,37.570246100000006,126.9827994,29.81136560491259,종로1가,폭6-8m,소로3류,종로구
23,종로12길,0,주거지 도로,37.5701608,126.9857574,37.569559,126.9857526,37.5698599,126.985755,66.94610306145889,관철동,폭6-8m,소로3류,종로구
24,삼청로7길,0,3차로,37.5838596,126.9795458,37.5834636,126.9794804,37.5836616,126.9795131,46.14395413456559,팔판동,6m미만,소로,종로구
25,삼청로7길,0,주거지 도로,37.5838596,126.9795458,37.5849683,126.9793514,37.58441395,126.9794486,126.2556082314434,삼청동,6m미만,소로,종로구
26,종로1길,0,,37.5755553,126.9793889,37.5757574,126.9795255,37.57565635,126.9794572,25.647890783781232,중학동,폭8-10m,소로2류,종로구
27,종로1길,0,,37.5755553,126.9793889,37.57581,126.9800548,37.57568265,126.97972185,65.18952164392577,중학동,폭8-10m,소로2류,종로구
28,자하문로,0,3차로,37.5759481,126.9726159,37.5763145,126.9725345,37.5761313,126.9725752,41.3685905796653,적선동,6m미만,소로,종로구
29,새문안로3길,0,,37.5759481,126.9726159,37.575784,126.9726384,37.57586605,126.97262715,18.35453432137643,적선동,폭15-20m,중로2류,종로구
