도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부,행정동
화랑로51가길,주거지 도로,37.623787,127.0905894,37.6239621,127.0904446,37.62387455,127.090517,23.356620190841575,,,,82079134,,,,,공릉동
화랑로51가길,주거지 도로,37.6249957,127.0921995,37.6242461,127.0908975,37.6246209,127.0915485,141.76022808880623,,,,82079340,,2,,,공릉동
"['화랑로51가길', '화랑로51나길']",주거지 도로,37.6249957,127.0921995,37.6258008,127.0914785,37.62539825,127.091839,297.1911927553639,,,,"[183272424, 82079340]",,2,,,공릉동
화랑로51가길,주거지 도로,37.6249957,127.0921995,37.6258008,127.0914785,37.62539825,127.091839,109.7557597870069,,,,82083640,,,,,공릉동
화랑로51가길,주거지 도로,37.6249957,127.0921995,37.6248408,127.0923262,37.62491825,127.09226285,20.522657912307636,,,,82083640,,,,,공릉동
화랑로51길,주거지 도로,37.624958,127.086212,37.6252426,127.088182,37.6251003,127.087197,176.69467297482703,,,,551973533,,,,,공릉동
공릉로,주거지 도로,37.6255,127.07988,37.6255002,127.0794843,37.6255001,127.07968215,34.84871622597769,,,,414535771,,,,,공릉동
공릉로34길,주거지 도로,37.6255,127.07988,37.6256572,127.0805968,37.6255786,127.0802384,65.58029880362395,,,,381034871,,,,,공릉동
공릉로,3차로,37.6255,127.07988,37.626,127.07973,37.62575,127.079805,58.77766238042189,,,,519948361,,,,,공릉동
공릉로,3차로,37.6255,127.07988,37.6250568,127.0797952,37.6252784,127.0798376,49.875266088184446,,,,519948361,,,,,공릉동
수표로,3차로,37.5614453,126.9905714,37.5616186,126.9905342,37.56153195,126.9905528,19.54708878437452,,,,1205679418,,,,,충무로3가
수표로,3차로,37.5614453,126.9905714,37.5612357,126.9904169,37.5613405,126.99049415,27.4262678902241,,,,420361195,,,True,,충무로2가
수표로,3차로,37.5620709,126.9904613,37.5624239,126.9903663,37.5622474,126.9904138,40.13510221166196,,,,1205679418,,,,,충무로3가
수표로,3차로,37.5620709,126.9904613,37.5616186,126.9905342,37.561844750000006,126.99049775,50.70235963120819,,,,1205679418,,,,,충무로3가
수표로2길,주거지 도로,37.5620709,126.9904613,37.5621394,126.9914818,37.56210515,126.99097155,90.27630610220945,,,,420383143,,,,,충무로3가
수표로12길,주거지 도로,37.5640537,126.9901419,37.5641393,126.9911738,37.564096500000005,126.99065785,91.49116686682254,,,,228795472,,,True,,저동2가
수표로,3차로,37.5640537,126.9901419,37.5647897,126.9899629,37.5644217,126.9900524,83.34680087088059,,,,1205679418,,,,,저동2가
수표로,3차로,37.5640537,126.9901419,37.5635237,126.9902255,37.5637887,126.9901837,59.39717410742512,,,,1205679418,,,,,저동2가
수표로,주거지 도로,37.5654302,126.982557,37.5654042,126.9835397,37.5654172,126.98304835,86.66306787834507,,,,198691066,,,,,을지로2가
을지로17길,주거지 도로,37.5665218,126.99451,37.5677682,126.994615,37.567145,126.9945625,138.91993064380964,,,,170403804,,,,,입정동
을지로19길,주거지 도로,37.5665821,126.9957331,37.5668919,126.9957095,37.566737,126.9957213,34.51097901904701,yes,,,1283637457,,,True,,을지로4가
을지로39길,3차로,37.5666359,127.0044869,37.5683199,127.0053587,37.5674779,127.0049228,202.42304220804607,,,,420334155,30.0,5,,,을지로6가
을지로27길,주거지 도로,37.566751,126.9991609,37.5670056,126.9991457,37.5668783,126.9991533,28.341953629294327,,,,1283637469,,1,True,,을지로4가
을지로35길,주거지 도로,37.5668157,127.0004729,37.5679058,127.0011269,37.56736075,127.0007999,136.22604211574452,,,,"[420348540, 1283637471]",,,True,,을지로5가
수표로,주거지 도로,37.5675945,126.9896023,37.5676125,126.990282,37.5676035,126.98994215,59.94018640352889,,,,228795484,,,,,수표동
수표로,3차로,37.5675945,126.9896023,37.5680036,126.9895844,37.56779905,126.98959335,45.51725799468254,,,,329995230,,,,,수표동
수표로,3차로,37.5675945,126.9896023,37.5672074,126.989628,37.56740095,126.98961515,43.10317580237342,,,,329995230,,,,,수표동
종로10길,주거지 도로,37.5701601,126.9844582,37.5695645,126.9844468,37.5698623,126.9844525,66.29081650083435,,,,360113081,,,,,관철동
수표로,3차로,37.5702209,126.9894811,37.5698609,126.9894978,37.5700409,126.98948945,40.0587176445146,,,,215843535,,,,,종로3가
수표로,,37.570288,126.9876379,37.5702413,126.9873621,37.57026465,126.9875,24.855818412716516,,,,1205728392,,,True,,종로2가
동순라길,주거지 도로,37.5707088,126.9964319,37.573362,126.9966047,37.5720354,126.9965183,306.01226414952924,,,,"[184083131, 170403780]",,,,,인의동
언주로135길,주거지 도로,37.5170797,127.0353171,37.5169804,127.0344674,37.51703005,127.03489225,75.74994212654973,,,,184391024,,,,,논현동
동교로25길,주거지 도로,37.5598705,126.9195033,37.56024,126.9187185,37.560055250000005,126.9191109,89.77804148180762,,,,184432624,,,True,,연남동
연남로3길,주거지 도로,37.5598705,126.9195033,37.5606092,126.9207286,37.56023985,126.92011595,135.69454961127212,,,,184432626,,,True,,연남동
동교로23길,주거지 도로,37.5589845,126.9183552,37.5585717,126.9187276,37.5587781,126.9185414,56.43222089746784,,,,184432623,,,True,,연남동
월드컵북로8길,주거지 도로,37.5589845,126.9183552,37.5593658,126.9185642,37.55917515,126.9184597,46.53923062525201,,,,184436165,,,,,연남동
월드컵북로8길,주거지 도로,37.5589845,126.9183552,37.5585777,126.9178289,37.5587811,126.91809205,65.50859480075286,,,,184436165,,,,,연남동
연남로3길,주거지 도로,37.5606092,126.9207286,37.5612904,126.9218631,37.5609498,126.92129585,125.46446690396678,,,,184432626,,,True,,연남동
동교로27길,주거지 도로,37.5606092,126.9207286,37.5600724,126.92124,37.560340800000006,126.9209843,74.79866058667433,,,,184436160,,,True,,연남동
월드컵북로4길,주거지 도로,37.5578924,126.9214859,37.5589319,126.9225577,37.558412149999995,126.9220218,149.28645102178584,,,,184432622,,,True,,동교동
동교로25길,주거지 도로,37.5578924,126.9214859,37.5582429,126.9211034,37.55806765,126.92129465,51.536514229462014,,,,184432624,,,True,,동교동
성미산로,3차로,37.5606304,126.9168645,37.560934,126.9173682,37.560782200000006,126.91711635,55.77547149367515,,,,515592175,,,,,성산동
성미산로,3차로,37.5606304,126.9168645,37.5602966,126.9162967,37.5604635,126.9165806,62.31027229495092,,,,515592175,,,,,성산동
동교로23길,주거지 도로,37.5606304,126.9168645,37.559121,126.9182124,37.5598757,126.91753845,206.2147276141509,,,,184432623,,,True,,성산동
동교로23길,주거지 도로,37.5569183,126.9204896,37.5562392,126.9212742,37.55657875,126.9208819,102.39927366407484,,,,184432623,,,True,,동교동
월드컵북로4길,주거지 도로,37.5569183,126.9204896,37.5574217,126.921008,37.55717,126.9207488,72.2643388292052,,,,184432622,,,True,,동교동
연남로3길,주거지 도로,37.5593658,126.9185642,37.5598705,126.9195033,37.559618150000006,126.91903375,101.13533246469363,,,,184432626,,,True,,연남동
월드컵북로8길,주거지 도로,37.5593658,126.9185642,37.56024,126.9187185,37.5598029,126.91864135,98.41827239182224,,,,184436165,,,,,연남동
월드컵북로8길,주거지 도로,37.5593658,126.9185642,37.5589845,126.9183552,37.55917515,126.9184597,46.53923062525202,,,,184436165,,,,,연남동
동교로25길,주거지 도로,37.5582429,126.9211034,37.5587455,126.9205677,37.5584942,126.92083555,73.16524522960373,,,,184432624,,,True,,동교동
동교로23길,주거지 도로,37.5582429,126.9211034,37.5577837,126.9204369,37.5580133,126.92077015,77.83895317603574,,,,300746323,,,,,동교동
동교로23길,주거지 도로,37.5579076,126.91934,37.5574227,126.9198969,37.55766515,126.91961845,72.9180354768982,,,,184432623,,,True,,동교동
월드컵북로6길,주거지 도로,37.5579076,126.91934,37.5575284,126.9187818,37.557718,126.9190609,64.79967764936868,,,,184436172,,,,,동교동
월드컵북로6길,주거지 도로,37.5579076,126.91934,37.5582929,126.9199046,37.558100249999995,126.9196223,65.67059773814582,,,,184436172,,,,,동교동
동교로25길,주거지 도로,37.5587455,126.9205677,37.5593349,126.9200139,37.5590402,126.9202908,81.72207470927034,,,,184432624,,,True,,연남동
월드컵북로6길,주거지 도로,37.5587455,126.9205677,37.5595477,126.9217436,37.559146600000005,126.92115565,136.75023879872796,,,,184436172,,,,,동교동
월드컵북로6길,주거지 도로,37.5587455,126.9205677,37.5582929,126.9199046,37.5585192,126.92023615,77.13186983570503,,,,184436172,,,,,동교동
동교로27길,주거지 도로,37.5589319,126.9225577,37.5585351,126.9230761,37.5587335,126.9228169,63.53955957136918,,,,184436160,,,True,,동교동
월드컵북로4길,주거지 도로,37.5589319,126.9225577,37.5593384,126.9229654,37.55913515,126.92276155,57.74827332299557,,,,300746324,,,True,,동교동
월드컵북로8길,주거지 도로,37.5605699,126.9187344,37.5617068,126.9186731,37.56113835,126.91870375,127.38544657746542,,,,184436165,,,,,연남동
월드컵북로8길,주거지 도로,37.5605699,126.9187344,37.56024,126.9187185,37.56040495,126.91872645,36.768065616329885,,,,184436165,,,,,연남동
동교로25길,주거지 도로,37.5593349,126.9200139,37.5598705,126.9195033,37.5596027,126.9197586,74.65009962124849,,,,184432624,,,True,,연남동
연남로1길,주거지 도로,37.5593349,126.9200139,37.5585717,126.9187276,37.5589533,126.91937075,141.62892667842854,,,,184436177,,,True,,연남동
연남로,3차로,37.5616254,126.9224347,37.5610595,126.9228985,37.56134245,126.9226666,75.03920536744832,,,,37401914,,,,,연남동
연남로,3차로,37.5616254,126.9224347,37.5624066,126.9218075,37.562016,126.9221211,102.9714221400334,,,,37401914,,,,,연남동
동교로23길,주거지 도로,37.5585717,126.9187276,37.5579076,126.91934,37.55823965,126.9190338,91.47174874031094,,,,184432623,,,True,,연남동
동교로27길,주거지 도로,37.5600724,126.92124,37.5595477,126.9217436,37.55981005,126.9214918,73.31163736339195,,,,184436160,,,True,,연남동
연남로1길,주거지 도로,37.5600724,126.92124,37.5593349,126.9200139,37.55970365,126.92062695,135.66970057918394,,,,184436177,,,True,,연남동
