id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,양천로69길,0,주거지 도로,37.5559575,126.8727989,37.5548837,126.8720613,37.5554206,126.8724301,136.08248455027365,염창동,폭8-10m,소로2류,강서구
2,공항대로45길,0,3차로,37.5594768,126.8581629,37.5584716,126.8571354,37.558974199999994,126.85764915,143.86326140145667,등촌동,폭20-25m,중로1류,강서구
3,방화동로16길,0,주거지 도로,37.5734284,126.8114477,37.5715629,126.8124146,37.57249565,126.81193115,224.25541142272183,방화동,6m미만,소로,강서구
4,곰달래로,0,3차로,37.5306196,126.8474244,37.5307276,126.8491333,37.5306736,126.84827885,151.1698265179494,화곡동,6m미만,소로,강서구
5,곰달래로,0,3차로,37.5306196,126.8474244,37.5305598,126.8464783,37.5305897,126.84695135,83.69246565246169,화곡동,6m미만,소로,강서구
6,가로공원로,0,3차로,37.538617,126.8425272,37.5384808,126.8419316,37.5385489,126.8422294,54.98169011942121,화곡동,6m미만,소로,강서구
7,까치산로,0,3차로,37.5402487,126.8415179,37.540882,126.8419778,37.54056535,126.84174785,81.25990140492652,화곡동,폭6-8m,소로3류,강서구
8,강서로29길,0,3차로,37.5402487,126.8415179,37.5398376,126.8410165,37.54004315,126.8412672,63.59233633703386,화곡동,폭8-10m,소로2류,강서구
9,강서로45길,0,3차로,37.5479691,126.8333332,37.54797,126.8334029,37.547969550000005,126.83336805,6.145586897625049,내발산동,폭6-8m,소로3류,강서구
10,강서로45길,0,3차로,37.5479691,126.8333332,37.5493841,126.8321127,37.5486766,126.83272295,204.458282914059,내발산동,폭6-8m,소로3류,강서구
11,강서로45길,0,3차로,37.5479691,126.8333332,37.5474464,126.8332174,37.54770775,126.8332753,59.05577435582955,화곡동,폭6-8m,소로3류,강서구
12,강서로,0,3차로,37.5548203,126.8370417,37.5548925,126.8362891,37.554856400000006,126.8366654,66.83096893503173,내발산동,폭6-8m,소로3류,강서구
13,우장산로,0,3차로,37.5548203,126.8370417,37.5547295,126.8378686,37.5547749,126.83745515,73.5910350696908,내발산동,폭6-8m,소로3류,강서구
14,강서로62길,0,3차로,37.5632238,126.8397549,37.5630196,126.8407464,37.5631217,126.84025065,90.30273627140144,등촌동,폭20-25m,중로1류,강서구
15,마곡중앙10로,0,3차로,37.5632238,126.8397549,37.5633342,126.8389307,37.563279,126.8393428,73.67668344695127,마곡동,폭20-25m,중로1류,강서구
16,초원로,0,3차로,37.5677932,126.8117548,37.5677931,126.8112133,37.56779315,126.81148405,47.726098052122424,방화동,폭6-8m,소로3류,강서구
17,금낭화로,0,3차로,37.5677932,126.8117548,37.5684744,126.8117142,37.5681338,126.8117345,75.8305665275532,방화동,폭8-10m,소로2류,강서구
18,금낭화로,0,3차로,37.5677932,126.8117548,37.565504,126.8118643,37.56664859999999,126.81180955,254.73068074821893,방화동,폭8-10m,소로2류,강서구
