id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,"['광장앞지하차도', '광장로']",0,3차로,37.5455088,127.0977724,37.5467466,127.1020308,37.5461277,127.0999016,430.54218504196183,광장동,,,광진구
2,워커힐로,0,주거지 도로,37.5455088,127.0977724,37.546539,127.0980531,37.5460239,127.09791275,117.36183974184226,광장동,폭15-20m,중로2류,광진구
3,워커힐로,0,주거지 도로,37.5455088,127.0977724,37.5439809,127.0972081,37.54474485,127.09749025,177.20334168537653,광장동,폭15-20m,중로2류,광진구
4,자양번영로,0,3차로,37.5331998,127.0756803,37.5338156,127.0758633,37.5335077,127.0757718,70.3495902668054,자양동,폭10-12m,소로1류,광진구
5,자양번영로,0,3차로,37.5331998,127.0756803,37.532597,127.0755173,37.5328984,127.0755988,68.55209680436543,자양동,폭10-12m,소로1류,광진구
6,가로공원로,0,3차로,37.5380336,127.0771393,37.538158,127.0771247,37.5380958,127.077132,13.892439824331609,자양동,6m미만,소로,광진구
7,자양번영로,0,3차로,37.5380336,127.0771393,37.5373994,127.0769243,37.5377165,127.0770318,73.03133474145415,자양동,폭10-12m,소로1류,광진구
8,구의로,0,3차로,37.5446885,127.09067,37.5439096,127.0904748,37.54429905,127.0905724,88.30643765024925,구의동,6m미만,소로,광진구
9,군자로,0,3차로,37.5480112,127.0704657,37.5480867,127.0704909,37.548048949999995,127.0704783,8.684211958948088,군자동,6m미만,소로,광진구
10,군자로,0,주거지 도로,37.5480112,127.0704657,37.5474811,127.0703611,37.547746149999995,127.0704134,59.661490990463015,화양동,6m미만,소로,광진구
11,군자로,0,3차로,37.5542858,127.0750215,37.5543308,127.0751233,37.5543083,127.0750724,10.274709349783574,군자동,6m미만,소로,광진구
12,면목로,0,3차로,37.5542858,127.0750215,37.5543811,127.0750559,37.55433345,127.0750387,11.022245324602157,군자동,6m미만,소로,광진구
13,군자로,0,3차로,37.5542858,127.0750215,37.5541514,127.0747718,37.5542186,127.07489665,26.60598491549704,군자동,6m미만,소로,광진구
14,긴고랑로46길,0,주거지 도로,37.5601059,127.0948625,37.5601082,127.0952408,37.56010705,127.09505165,33.34658603550324,중곡동,6m미만,소로,광진구
15,긴고랑로44길,0,주거지 도로,37.5601059,127.0948625,37.5591433,127.0949558,37.55962460000001,127.09490915,107.35186804155556,중곡동,6m미만,소로,광진구
16,긴고랑로,0,주거지 도로,37.5601059,127.0948625,37.5597814,127.0945845,37.55994365,127.0947235,43.61702999121711,중곡동,폭6-8m,소로3류,광진구
17,긴고랑로,0,주거지 도로,37.5601059,127.0948625,37.5620939,127.0960892,37.5610999,127.09547585,259.3622358782486,중곡동,폭6-8m,소로3류,광진구
18,긴고랑로45길,0,주거지 도로,37.5601059,127.0948625,37.5610787,127.0955515,37.5605923,127.095207,144.03940273989323,중곡동,6m미만,소로,광진구
19,면목로,0,3차로,37.56316,127.07976,37.5637864,127.0800965,37.5634732,127.07992825,75.70459977924126,중곡동,6m미만,소로,광진구
20,면목로,0,3차로,37.56316,127.07976,37.5626805,127.0794987,37.562920250000005,127.07962935,58.079868439412216,중곡동,6m미만,소로,광진구
21,자양로15길,0,주거지 도로,37.536232,127.0836367,37.5359673,127.0831829,37.53609965,127.0834098,49.883642337169434,자양동,6m미만,소로,광진구
22,자양로15길,0,주거지 도로,37.5413994,127.0837515,37.541865,127.0827437,37.5416322,127.0832476,108.39728123958076,구의동,6m미만,소로,광진구
23,자양로28길,0,주거지 도로,37.5425244,127.0842191,37.5423055,127.0850319,37.542414949999994,127.0846255,75.68415927484246,구의동,6m미만,소로,광진구
24,자양로,0,주거지 도로,37.54359,127.08468,37.5437685,127.0838934,37.54367925,127.0842867,72.13768812008632,구의동,6m미만,소로,광진구
25,자양로32길,0,주거지 도로,37.5444287,127.0850361,37.54428,127.0867504,37.54435435,127.08589325,152.08938019922988,구의동,6m미만,소로,광진구
26,자양로35길,0,주거지 도로,37.546813,127.0871807,37.5471237,127.0867403,37.54696835,127.0869605,51.97668034932426,구의동,6m미만,소로,광진구
27,자양로39길,0,주거지 도로,37.5485615,127.0891638,37.5489365,127.0886515,37.548749,127.08890765,61.471932188182855,구의동,6m미만,소로,광진구
28,자양로40길,0,주거지 도로,37.5485615,127.0891638,37.5481493,127.0897315,37.5483554,127.08944765,67.86515636025018,구의동,6m미만,소로,광진구
29,자양로41길,0,주거지 도로,37.5495481,127.0902943,37.5500668,127.0895613,37.54980745,127.0899278,86.61983650134609,구의동,6m미만,소로,광진구
30,자양로42길,0,주거지 도로,37.5495481,127.0902943,37.5491494,127.0908483,37.54934875,127.0905713,66.0548415926319,구의동,6m미만,소로,광진구
31,천호대로132길,0,주거지 도로,37.5506271,127.0902166,37.5500668,127.0895613,37.550346950000005,127.08988895,84.96434894526595,구의동,6m미만,소로,광진구
32,천호대로127길,0,주거지 도로,37.5533477,127.0887981,37.5536919,127.0898116,37.5535198,127.08930485,97.35665516315323,중곡동,6m미만,소로,광진구
