id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,부일로,0,3차로,37.4932891,126.837728,37.493283,126.8372916,37.493286049999995,126.8375098,38.5073305737003,궁동,폭10-12m,소로1류,구로구
2,경인로15길,0,주거지 도로,37.4944506,126.8400961,37.4950041,126.8395657,37.494727350000005,126.8398309,77.31500290912126,오류동,6m미만,소로,구로구
3,오류로,0,3차로,37.4944506,126.8400961,37.4943996,126.8401256,37.4944251,126.84011085,6.23964494816932,오류동,폭8-10m,소로2류,구로구
4,고척로,0,3차로,37.4948916,126.8411252,37.4954927,126.8407102,37.49519215,126.8409177,76.21016048216907,오류동,6m미만,소로,구로구
5,부일로9길,0,주거지 도로,37.4931915,126.827146,37.4954724,126.8254343,37.49433195,126.82629015,313.4258375815128,온수동,폭8-10m,소로2류,구로구
6,부일로,0,3차로,37.4931915,126.827146,37.4932024,126.8304752,37.49319695,126.8288106,293.7230182039455,궁동,폭10-12m,소로1류,구로구
7,부일로,0,3차로,37.4932036,126.8315087,37.4932038,126.8312419,37.4932037,126.8313753,23.538445805464217,궁동,폭10-12m,소로1류,구로구
8,부일로,0,3차로,37.4932036,126.8315087,37.4932059,126.8317628,37.49320475,126.83163575,22.420122935815492,궁동,폭10-12m,소로1류,구로구
9,경인로,0,주거지 도로,37.4973034,126.8640682,37.4973462,126.8640144,37.4973248,126.8640413,6.72133456449819,고척동,폭6-8m,소로3류,구로구
10,디지털로26길,0,3차로,37.48143,126.89241,37.4805418,126.8941584,37.4809859,126.8932842,187.6205350768597,구로동,폭15-20m,중로2류,구로구
11,디지털로26길,0,3차로,37.48176,126.89736,37.4836769,126.8986068,37.48271845,126.8979834,239.94943893572403,구로동,폭15-20m,중로2류,구로구
12,디지털로26길,0,3차로,37.48176,126.89736,37.4805418,126.8941584,37.4811509,126.8957592,327.4861880806432,구로동,폭15-20m,중로2류,구로구
13,디지털로30길,0,주거지 도로,37.48176,126.89736,37.4829105,126.8952592,37.482335250000006,126.8963096,225.22908484137503,구로동,폭20-25m,중로1류,구로구
14,구로동로42길,0,주거지 도로,37.4990774,126.8839777,37.4992085,126.8840532,37.49914295,126.88401545,16.027175048577288,구로동,6m미만,소로,구로구
15,가마산로25길,0,주거지 도로,37.4962604,126.8907637,37.4968088,126.8903124,37.4965346,126.89053805,72.826189307258,구로동,폭10-12m,소로1류,구로구
16,경인로43길,0,주거지 도로,37.50053,126.8579,37.4991544,126.8596558,37.4998422,126.8587779,217.68829438233507,고척동,폭15-20m,중로2류,구로구
17,고척로60길,0,주거지 도로,37.50389,126.86063,37.5038984,126.8606482,37.5038942,126.8606391,1.857403504103996,고척동,폭6-8m,소로3류,구로구
18,디지털로19길,0,주거지 도로,37.4797896,126.8903678,37.4805754,126.8898745,37.4801825,126.89012115,99.94840361434429,가리봉동,6m미만,소로,구로구
19,디지털로21길,0,주거지 도로,37.4807224,126.8915291,37.4819276,126.89079,37.481325,126.89115955,151.47933460992112,가리봉동,6m미만,소로,구로구
20,디지털로30길,0,주거지 도로,37.48337,126.89442,37.4829105,126.8952592,37.483140250000005,126.8948396,89.96542940399432,구로동,폭20-25m,중로1류,구로구
21,디지털로34길,0,3차로,37.48579,126.89631,37.4836769,126.8986068,37.48473345,126.8974584,342.15203205204557,구로동,폭20-25m,중로1류,구로구
22,디지털로33길,0,주거지 도로,37.48579,126.89631,37.4866879,126.8944506,37.48623895,126.8953803,192.05316067297397,구로동,폭10-12m,소로1류,구로구
23,남부순환로105라길,0,주거지 도로,37.48027,126.8892,37.4798209,126.8888928,37.48004545,126.8890464,56.820697465796805,가리봉동,6m미만,소로,구로구
24,남부순환로105라길,0,주거지 도로,37.48027,126.8892,37.4805754,126.8898745,37.4804227,126.88953725,72.17313000320839,가리봉동,6m미만,소로,구로구
25,우마길,0,주거지 도로,37.48027,126.8892,37.4813768,126.8883312,37.4808234,126.8887656,144.99502130347298,가리봉동,6m미만,소로,구로구
26,구로동로,0,주거지 도로,37.4827989,126.8871753,37.482818,126.8857828,37.48280845,126.88647905,122.88879112451114,가리봉동,6m미만,소로,구로구
27,구로동로22길,0,주거지 도로,37.4894626,126.8843183,37.4894922,126.8848084,37.4894774,126.88456335,43.366322559794014,구로동,6m미만,소로,구로구
28,구로동로21길,0,주거지 도로,37.4894626,126.8843183,37.489435,126.8835802,37.489448800000005,126.88394925,66.01094366285365,구로동,6m미만,소로,구로구
29,구로중앙로19길,0,주거지 도로,37.49486,126.88915,37.4945811,126.8886244,37.49472055,126.8888872,55.78487369027962,구로동,6m미만,소로,구로구
30,구로동로18길,0,3차로,37.4870772,126.8881176,37.4871938,126.8878212,37.4871355,126.8879694,29.189525271204303,구로동,6m미만,소로,구로구
31,도림로12길,0,주거지 도로,37.4870772,126.8881176,37.4869168,126.8885103,37.486997,126.88831395,38.994697096860946,구로동,6m미만,소로,구로구
32,구로동로20길,0,주거지 도로,37.4875773,126.8885917,37.4878631,126.8879769,37.4877202,126.8882843,62.86835629256488,구로동,6m미만,소로,구로구
33,도림로14길,0,주거지 도로,37.4875773,126.8885917,37.4871892,126.889579,37.48738325,126.88908535,97.32890404661416,구로동,6m미만,소로,구로구
34,구로중앙로28나길,0,주거지 도로,37.49954,126.88761,37.4990095,126.8883291,37.49927475,126.88796955,88.11160796944651,구로동,6m미만,소로,구로구
35,구로중앙로28길,0,주거지 도로,37.49954,126.88761,37.5002614,126.8867663,37.4999007,126.88718815,110.46524450649106,구로동,폭6-8m,소로3류,구로구
36,오류로,0,주거지 도로,37.4903905,126.8404837,37.4888042,126.8410115,37.48959735,126.8407476,189.29176423977864,오류동,폭8-10m,소로2류,구로구
37,오류로8길,0,주거지 도로,37.4909839,126.8407738,37.4911821,126.8416575,37.491083,126.84121565,81.0216779460306,오류동,6m미만,소로,구로구
38,오리로13길,0,주거지 도로,37.4897675,126.8340377,37.4892742,126.8327612,37.48952085,126.83339945,125.27227983700472,오류동,6m미만,소로,구로구
39,디지털로27길,0,주거지 도로,37.4823218,126.8934877,37.4835112,126.8918246,37.4829165,126.89265615,197.64238969293103,구로동,6m미만,소로,구로구
40,디지털로27길,0,주거지 도로,37.4837817,126.8914548,37.4839029,126.8911031,37.4838423,126.89127895,33.83266680851015,구로동,6m미만,소로,구로구
41,디지털로27길,0,주거지 도로,37.4837817,126.8914548,37.4837188,126.8915542,37.48375025,126.8915045,11.217985428208296,구로동,6m미만,소로,구로구
42,디지털로27길,0,주거지 도로,37.48428,126.88956,37.4846247,126.8884158,37.48445235,126.8889879,108.00202462294077,가리봉동,6m미만,소로,구로구
43,디지털로27길,0,주거지 도로,37.48428,126.88956,37.4839998,126.8906588,37.4841399,126.8901094,101.85604574980636,가리봉동,6m미만,소로,구로구
44,우마1길,0,주거지 도로,37.48428,126.88956,37.4822676,126.887632,37.4832738,126.888596,287.42323858004676,가리봉동,6m미만,소로,구로구
45,디지털로27다길,0,주거지 도로,37.48428,126.88956,37.4847419,126.8895487,37.48451095,126.88955435,51.49441091707848,구로동,6m미만,소로,구로구
46,디지털로27길,0,주거지 도로,37.4847197,126.8880823,37.4846247,126.8884158,37.4846722,126.88824905,31.26502080554079,구로동,6m미만,소로,구로구
47,디지털로27길,0,주거지 도로,37.4847197,126.8880823,37.4849387,126.8867388,37.4848292,126.88741055,121.43614926795333,구로동,6m미만,소로,구로구
48,디지털로27라길,0,주거지 도로,37.4847197,126.8880823,37.485194,126.8883684,37.48495685,126.88822535,58.4700542923584,구로동,6m미만,소로,구로구
49,개봉로2길,0,주거지 도로,37.4860172,126.8565324,37.4861926,126.8576225,37.4861049,126.85707745,100.62198012503188,개봉동,폭10-12m,소로1류,구로구
50,개봉로1길,0,주거지 도로,37.4860172,126.8565324,37.4856879,126.855279,37.48585255,126.8559057,117.83708780540437,개봉동,폭6-8m,소로3류,구로구
51,개봉로2길,0,주거지 도로,37.488013,126.8592013,37.4876204,126.8588816,37.4878167,126.85904145,51.97540556071973,개봉동,폭10-12m,소로1류,구로구
52,개봉로12길,0,주거지 도로,37.488013,126.8592013,37.4882506,126.85854,37.488131800000005,126.85887065,64.70061680584818,개봉동,6m미만,소로,구로구
53,개봉로2길,0,주거지 도로,37.488013,126.8592013,37.4883905,126.8595236,37.48820175,126.85936245,50.75087203860582,개봉동,폭10-12m,소로1류,구로구
54,개봉로12길,0,주거지 도로,37.4882506,126.85854,37.4881688,126.8572147,37.4882097,126.85787735,117.2856663522708,개봉동,6m미만,소로,구로구
55,개봉로12길,0,주거지 도로,37.4882506,126.85854,37.4887367,126.8585083,37.488493649999995,126.85852415,54.12424466703038,개봉동,6m미만,소로,구로구
56,개봉로12길,0,주거지 도로,37.4882506,126.85854,37.488013,126.8592013,37.488131800000005,126.85887065,64.70061680584818,개봉동,6m미만,소로,구로구
57,개봉로12길,0,주거지 도로,37.4881178,126.8563506,37.4881402,126.8567294,37.488129,126.85654,33.51459199359281,개봉동,6m미만,소로,구로구
58,개봉로11길,0,주거지 도로,37.4881178,126.8563506,37.4880566,126.855526,37.488087199999995,126.8559383,73.0728997075454,개봉동,6m미만,소로,구로구
59,개봉로2길,0,주거지 도로,37.4928343,126.8651228,37.4913856,126.863604,37.49210995,126.8643634,225.95396604128848,개봉동,폭10-12m,소로1류,구로구
60,고척로22길,0,주거지 도로,37.4977206,126.8470431,37.4978562,126.8469813,37.497788400000005,126.8470122,17.34309447671275,개봉동,폭6-8m,소로3류,구로구
61,구일로2길,0,주거지 도로,37.4894961,126.8761876,37.4875122,126.8778725,37.48850415,126.87703005,354.3586573534711,구로동,폭10-12m,소로1류,구로구
62,디지털로26길,0,3차로,37.4836769,126.8986068,37.48176,126.89736,37.48271845,126.8979834,239.94943893572403,구로동,폭15-20m,중로2류,구로구
63,디지털로34길,0,3차로,37.4836769,126.8986068,37.48579,126.89631,37.48473345,126.8974584,342.15203205204557,구로동,폭20-25m,중로1류,구로구
64,디지털로26길,0,주거지 도로,37.479638,126.8950437,37.4805418,126.8941584,37.4800899,126.89460105,129.62680433525185,구로동,폭15-20m,중로2류,구로구
65,디지털로27다길,0,주거지 도로,37.4847419,126.8895487,37.4854373,126.8895394,37.4850896,126.88954405,77.32941514995224,구로동,6m미만,소로,구로구
66,디지털로27다길,0,주거지 도로,37.4847419,126.8895487,37.48428,126.88956,37.48451095,126.88955435,51.49441091707848,구로동,6m미만,소로,구로구
67,도림로6길,0,주거지 도로,37.4847419,126.8895487,37.485194,126.8883684,37.48496795,126.88895855,115.64197421874286,구로동,6m미만,소로,구로구
68,도림로6길,0,주거지 도로,37.4857287,126.8869723,37.485194,126.8883684,37.48546135,126.88767035,136.7817440696031,구로동,6m미만,소로,구로구
