id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,화랑로45길,0,3차로,37.6147981,127.0663577,37.6151797,127.0659363,37.6149889,127.066147,57.9926832824876,월계동,폭10-12m,소로1류,노원구
2,화랑로,0,3차로,37.6148791,127.0648444,37.6146595,127.0640351,37.614769300000006,127.06443975,75.35043333606274,월계동,6m미만,소로,노원구
3,동일로204길,0,3차로,37.6393895,127.0693259,37.639143,127.0684275,37.63926625,127.0688767,83.72012619978096,하계동,폭20-25m,중로1류,노원구
4,동일로205길,0,주거지 도로,37.64045,127.06352,37.639587,127.0606276,37.6400185,127.0620738,272.1587649923558,중계동,폭20-25m,중로1류,노원구
5,동일로207길,0,3차로,37.6429107,127.0624329,37.6432619,127.063666,37.6430863,127.06304945,115.38121347235028,중계동,폭15-20m,중로2류,노원구
6,동일로207길,0,3차로,37.6429107,127.0624329,37.639587,127.0606276,37.64124885,127.06153025,445.4295749011496,중계동,폭15-20m,중로2류,노원구
7,동일로173길,0,주거지 도로,37.6186286,127.0753032,37.6184751,127.0745692,37.61855185,127.0749362,66.8635792451273,공릉동,폭6-8m,소로3류,노원구
8,동일로174길,0,주거지 도로,37.6186286,127.0753032,37.6187915,127.0760752,37.61871005,127.0756892,70.3664623846133,공릉동,폭6-8m,소로3류,노원구
9,동일로242가길,0,주거지 도로,37.6782617,127.0553479,37.6772329,127.0558632,37.6777473,127.05560555,161.7009978752872,상계동,6m미만,소로,노원구
10,공릉로,0,3차로,37.6318502,127.0728617,37.63253,127.07257,37.6321901,127.07271585,79.83575149594157,하계동,폭6-8m,소로3류,노원구
11,공릉로55길,0,3차로,37.6318502,127.0728617,37.6317878,127.0702065,37.631819,127.0715341,246.58912165512064,하계동,폭15-20m,중로2류,노원구
12,공릉로,0,3차로,37.6318502,127.0728617,37.63003,127.07637,37.6309401,127.07461585,403.3449105132798,하계동,폭6-8m,소로3류,노원구
13,동일로173길,0,주거지 도로,37.61831,127.07378,37.618232,127.0733722,37.618271,127.0735761,36.95017243547876,공릉동,폭6-8m,소로3류,노원구
14,동일로173가길,0,주거지 도로,37.61831,127.07378,37.6185509,127.0737003,37.618430450000005,127.07374015,27.69141305189145,공릉동,폭8-10m,소로2류,노원구
15,화랑로,0,주거지 도로,37.61831,127.07378,37.617195,127.074165,37.6177525,127.0739725,128.55972600848492,공릉동,6m미만,소로,노원구
16,동일로173길,0,주거지 도로,37.61831,127.07378,37.6184751,127.0745692,37.61839255,127.0741746,71.8937538828073,공릉동,폭6-8m,소로3류,노원구
17,동일로173가길,0,주거지 도로,37.6250336,127.0715546,37.6249634,127.0715778,37.6249985,127.0715662,8.068870687485665,공릉동,폭8-10m,소로2류,노원구
18,동일로191가길,0,주거지 도로,37.6250336,127.0715546,37.6257632,127.0713123,37.6253984,127.07143345,83.88741816849824,공릉동,폭15-20m,중로2류,노원구
19,동일로176길,0,주거지 도로,37.6203997,127.0779874,37.6204414,127.0776906,37.62042055,127.077839,26.54857826646097,공릉동,6m미만,소로,노원구
20,공릉로,0,3차로,37.6203997,127.0779874,37.620897,127.0784714,37.62064835,127.0782294,69.93032043968863,공릉동,폭6-8m,소로3류,노원구
21,공릉로,0,3차로,37.6203997,127.0779874,37.619244,127.078255,37.61982185,127.0781212,133.49265749232254,공릉동,폭6-8m,소로3류,노원구
22,공릉로,0,3차로,37.6209779,127.078568,37.6222115,127.0792014,37.6215947,127.0788847,153.34125474678996,공릉동,폭6-8m,소로3류,노원구
23,공릉로,0,3차로,37.6209779,127.078568,37.620897,127.0784714,37.62093745,127.0785197,12.381736060017555,공릉동,폭6-8m,소로3류,노원구
24,공릉로27길,0,주거지 도로,37.6209779,127.078568,37.6217779,127.0780992,37.6213779,127.0783336,98.29688421981734,공릉동,6m미만,소로,노원구
25,공릉로34길,0,주거지 도로,37.6222115,127.0792014,37.6223833,127.0795344,37.6222974,127.0793679,35.00103952304893,공릉동,폭6-8m,소로3류,노원구
26,공릉로,0,3차로,37.6222115,127.0792014,37.6209779,127.078568,37.6215947,127.0788847,153.34125474678993,공릉동,폭6-8m,소로3류,노원구
27,공릉로32길,0,주거지 도로,37.6222115,127.0792014,37.6219424,127.0795792,37.62207695,127.0793903,44.82372125117154,공릉동,6m미만,소로,노원구
28,공릉로,0,3차로,37.6222115,127.0792014,37.6232705,127.0793956,37.622741,127.0792985,119.00235828559096,공릉동,폭6-8m,소로3류,노원구
29,공릉로,0,주거지 도로,37.626,127.07973,37.6258128,127.0794294,37.6259064,127.0795797,33.67680371000658,공릉동,폭6-8m,소로3류,노원구
30,공릉로,0,3차로,37.626,127.07973,37.6262116,127.0795595,37.6261058,127.07964475,27.911918190465276,공릉동,폭6-8m,소로3류,노원구
31,공릉로,0,3차로,37.626,127.07973,37.6255,127.07988,37.62575,127.079805,58.77766238042188,공릉동,폭6-8m,소로3류,노원구
32,공릉로46길,0,3차로,37.6268136,127.0790507,37.6269672,127.0792792,37.6268904,127.07916495,26.394276884697117,공릉동,폭15-20m,중로2류,노원구
33,공릉로,0,3차로,37.6268136,127.0790507,37.6266864,127.0791598,37.62675,127.07910525,17.0988005991421,공릉동,폭6-8m,소로3류,노원구
34,공릉로,0,3차로,37.6268136,127.0790507,37.62696,127.07891,37.626886799999994,127.07898035,20.458289970052338,공릉동,폭6-8m,소로3류,노원구
35,공릉로,0,주거지 도로,37.62696,127.07891,37.6267844,127.078639,37.626872199999994,127.0787745,30.83587235990787,공릉동,폭6-8m,소로3류,노원구
36,공릉로,0,3차로,37.62696,127.07891,37.6271241,127.0787283,37.62704205,127.07881915,24.269570710248864,공릉동,폭6-8m,소로3류,노원구
37,공릉로,0,3차로,37.62696,127.07891,37.6268136,127.0790507,37.626886799999994,127.07898035,20.458289970052338,공릉동,폭6-8m,소로3류,노원구
38,동일로192길,0,3차로,37.6276837,127.0780572,37.6276446,127.0779587,37.62766415,127.07800795,9.703072236421711,공릉동,폭20-25m,중로1류,노원구
39,공릉로,0,3차로,37.6276837,127.0780572,37.6290287,127.0770381,37.6283562,127.07754765,174.53217492868214,공릉동,폭6-8m,소로3류,노원구
40,공릉로,0,3차로,37.6276837,127.0780572,37.6271241,127.0787283,37.6274039,127.07839275,85.8358812313013,공릉동,폭6-8m,소로3류,노원구
41,공릉로,0,3차로,37.63253,127.07257,37.6328345,127.0724316,37.63268225,127.0725008,35.98556047596793,하계동,폭6-8m,소로3류,노원구
42,공릉로,0,3차로,37.63253,127.07257,37.6318502,127.0728617,37.6321901,127.07271585,79.83575149594157,하계동,폭6-8m,소로3류,노원구
