id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,오현로31길,0,3차로,37.63061,127.04161,37.6314822,127.0417614,37.6310461,127.0416857,98.76628404581174,창동,6m미만,소로,도봉구
2,도봉로110길,0,3차로,37.646601,127.039356,37.6465454,127.0390529,37.6465732,127.03920445,27.392791268675875,창동,6m미만,소로,도봉구
3,노해로62길,0,주거지 도로,37.646601,127.039356,37.64714,127.0390428,37.6468705,127.0391994,65.97340276702114,창동,폭6-8m,소로3류,도봉구
4,해등로3길,0,3차로,37.646601,127.039356,37.6480753,127.0437739,37.64733815,127.04156495,449.6192995968217,창동,폭20-25m,중로1류,도봉구
5,덕릉로63길,0,3차로,37.646601,127.039356,37.6459315,127.0397374,37.64626625,127.0395467,81.71191990388839,창동,6m미만,소로,도봉구
6,마들로,0,3차로,37.6627221,127.0466289,37.6642209,127.0465167,37.6634715,127.0465728,166.96452854488518,방학동,폭8-10m,소로2류,도봉구
7,방학로6길,0,3차로,37.6649027,127.0360506,37.6644024,127.036594,37.66465255,127.0363223,73.36635252205242,방학동,폭8-10m,소로2류,도봉구
8,도당로13길,0,3차로,37.6649027,127.0360506,37.6653509,127.0355612,37.6651268,127.0358059,65.87474304297908,방학동,폭8-10m,소로2류,도봉구
9,시루봉로15길,0,주거지 도로,37.6673381,127.0333821,37.6677749,127.032907,37.6675565,127.03314455,64.09183361069901,방학동,6m미만,소로,도봉구
10,도당로13길,0,3차로,37.6673381,127.0333821,37.6668785,127.0338774,37.6671083,127.03362975,67.19966534352828,방학동,폭8-10m,소로2류,도봉구
11,시루봉로,0,3차로,37.6673381,127.0333821,37.6681,127.03449,37.66771905,127.03393605,129.1899072973215,방학동,6m미만,소로,도봉구
12,시루봉로,0,3차로,37.6673381,127.0333821,37.6665011,127.0321619,37.6669196,127.032772,142.12227530963017,방학동,6m미만,소로,도봉구
13,도봉로187길,0,주거지 도로,37.6852907,127.0459765,37.6858956,127.0456017,37.68559315,127.0457891,98.98416659114642,도봉동,폭6-8m,소로3류,도봉구
14,한천로150길,0,주거지 도로,37.64487,127.0271,37.6452324,127.0277003,37.6450512,127.02740015,66.46323299730429,쌍문동,6m미만,소로,도봉구
15,노해로38길,0,주거지 도로,37.6452324,127.0277003,37.6453945,127.0271966,37.64531345,127.02744845,48.47317628306312,쌍문동,6m미만,소로,도봉구
16,한천로150길,0,주거지 도로,37.6452324,127.0277003,37.6450504,127.0281364,37.6451414,127.02791835,43.78901041644767,쌍문동,6m미만,소로,도봉구
17,한천로150길,0,주거지 도로,37.6452324,127.0277003,37.64487,127.0271,37.6450512,127.02740015,66.46323299730429,쌍문동,6m미만,소로,도봉구
18,우이천로,0,주거지 도로,37.6450504,127.0281364,37.6457385,127.0274384,37.64539445,127.0277874,98.3340860613225,쌍문동,6m미만,소로,도봉구
19,우이천로,0,주거지 도로,37.6450504,127.0281364,37.6445813,127.0288378,37.64481585,127.0284871,80.89984804947801,쌍문동,6m미만,소로,도봉구
20,한천로150길,0,주거지 도로,37.6450504,127.0281364,37.6452324,127.0277003,37.6451414,127.02791835,43.78901041644767,쌍문동,6m미만,소로,도봉구
21,노해로62길,0,주거지 도로,37.651422,127.0376745,37.6506745,127.0377509,37.65104825,127.0377127,83.41449155060911,창동,폭6-8m,소로3류,도봉구
22,노해로,0,주거지 도로,37.6514658,127.0382383,37.6520013,127.0384605,37.65173355,127.0383494,64.37734412773801,창동,6m미만,소로,도봉구
23,노해로,0,주거지 도로,37.6516118,127.0424958,37.6518748,127.0424309,37.6517433,127.04246335,31.287016852042413,창동,6m미만,소로,도봉구
24,노해로,0,주거지 도로,37.6513903,127.0438589,37.6516833,127.0438566,37.6515368,127.04385775,33.40586677970091,창동,6m미만,소로,도봉구
25,우이천로,0,주거지 도로,37.64373,127.03018,37.6435943,127.0303926,37.64366215,127.0302863,24.043215479326363,쌍문동,6m미만,소로,도봉구
26,우이천로,0,주거지 도로,37.64373,127.03018,37.644358,127.029188,37.644043999999994,127.029684,111.83794793356184,쌍문동,6m미만,소로,도봉구
27,우이천로,0,주거지 도로,37.64373,127.03018,37.6442137,127.0306593,37.64397185,127.03041965,68.36472767869739,쌍문동,6m미만,소로,도봉구
28,우이천로,0,3차로,37.64723,127.0257,37.6474029,127.0254734,37.647316450000005,127.0255867,27.74887698447062,쌍문동,6m미만,소로,도봉구
29,우이천로,0,주거지 도로,37.64723,127.0257,37.646278,127.0268189,37.646754,127.02625945,144.76171883296763,쌍문동,6m미만,소로,도봉구
30,도당로7길,0,주거지 도로,37.66193,127.03479,37.6617428,127.0332221,37.6618364,127.03400605,139.57599575658088,방학동,폭6-8m,소로3류,도봉구
31,도당로,0,주거지 도로,37.66193,127.03479,37.6621075,127.0362487,37.66201875,127.03551935,129.91046738092152,방학동,폭6-8m,소로3류,도봉구
