id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,마포대로1길,0,주거지 도로,37.5399001,126.9427088,37.5395696,126.9431743,37.53973485,126.94294155,55.09174700703811,마포동,폭8-10m,소로2류,마포구
2,마포대로1길,0,주거지 도로,37.5399001,126.9427088,37.5395575,126.9421979,37.5397288,126.94245335,62.1456815974133,마포동,폭8-10m,소로2류,마포구
3,마포대로1길,0,주거지 도로,37.5399001,126.9427088,37.5401881,126.9423186,37.5400441,126.9425137,47.049753439603734,용강동,폭8-10m,소로2류,마포구
4,방울내로,0,3차로,37.556104,126.8989548,37.556588,126.8986437,37.556346,126.89879925,60.955064505144286,망원동,폭6-8m,소로3류,마포구
5,희우정로,0,3차로,37.556104,126.8989548,37.5554552,126.8999146,37.555779599999994,126.8994347,111.2020190176736,망원동,6m미만,소로,마포구
6,망원로,0,3차로,37.556104,126.8989548,37.5558588,126.8977746,37.5559814,126.8983647,107.55000248632732,망원동,6m미만,소로,마포구
7,망원로,0,3차로,37.556104,126.8989548,37.5563945,126.9003339,37.55624925,126.89964435,125.78669664945986,망원동,6m미만,소로,마포구
8,월드컵로25길,0,주거지 도로,37.556588,126.8986437,37.5566693,126.899022,37.55662865,126.89883285,34.550798993888456,망원동,폭6-8m,소로3류,마포구
9,방울내로,0,3차로,37.556588,126.8986437,37.556104,126.8989548,37.556346,126.89879925,60.95506450514428,망원동,폭6-8m,소로3류,마포구
10,월드컵로25길,0,주거지 도로,37.556588,126.8986437,37.5557309,126.8970342,37.55615945,126.89783895,245.06755697708263,망원동,폭6-8m,소로3류,마포구
11,방울내로,0,3차로,37.556588,126.8986437,37.5580555,126.8985116,37.55732175,126.89857765,176.6641877780687,망원동,폭6-8m,소로3류,마포구
12,방울내로1길,0,주거지 도로,37.5580555,126.8985116,37.5590103,126.8981638,37.5585329,126.8983377,110.50688392101068,망원동,폭6-8m,소로3류,마포구
13,방울내로,0,3차로,37.5580555,126.8985116,37.5583454,126.8991477,37.55820045,126.89882965,64.67679957824313,망원동,폭6-8m,소로3류,마포구
14,방울내로,0,3차로,37.5580555,126.8985116,37.556588,126.8986437,37.55732175,126.89857765,176.66418777806874,망원동,폭6-8m,소로3류,마포구
15,월드컵로25길,0,주거지 도로,37.5580555,126.8985116,37.5566693,126.899022,37.5573624,126.8987668,160.57065888079563,망원동,폭6-8m,소로3류,마포구
16,방울내로11길,0,주거지 도로,37.562023,126.9012636,37.5615274,126.9000431,37.5617752,126.90065335,120.87313391533964,망원동,폭6-8m,소로3류,마포구
17,방울내로7길,0,주거지 도로,37.562023,126.9012636,37.5613923,126.9017034,37.56170765,126.9014835,80.1320205149395,망원동,폭6-8m,소로3류,마포구
