id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,보광로12길,0,주거지 도로,37.5266153,127.0007941,37.5267068,127.0010851,37.52666105,127.0009396,27.605332708393085,보광동,6m미만,소로,용산구
2,보광로12길,0,주거지 도로,37.5266153,127.0007941,37.5265,127.00062,37.52655765,127.00070705,20.002270968263385,보광동,6m미만,소로,용산구
3,보광로14길,0,주거지 도로,37.5266153,127.0007941,37.5271845,127.0004678,37.5268999,127.00063095,69.87754094464671,보광동,6m미만,소로,용산구
4,보광로7길,0,주거지 도로,37.5259639,126.9974225,37.525748,126.9981305,37.52585595,126.9977765,66.89238022793107,보광동,6m미만,소로,용산구
5,장문로,0,3차로,37.5259639,126.9974225,37.5259662,126.9971653,37.52596505,126.9972939,22.68295972297613,보광동,6m미만,소로,용산구
6,장문로,0,3차로,37.5259639,126.9974225,37.5259819,126.9975218,37.5259729,126.99747215,8.982724143921283,보광동,6m미만,소로,용산구
7,장문로41길,0,주거지 도로,37.5276961,127.0023753,37.5274027,127.0023771,37.5275494,127.0023762,32.62502370967913,보광동,6m미만,소로,용산구
8,장문로41길,0,주거지 도로,37.5276961,127.0023753,37.5280247,127.0022245,37.5278604,127.0022999,38.883388595566146,보광동,6m미만,소로,용산구
9,장문로41길,0,주거지 도로,37.5276961,127.0023753,37.5276792,127.0027525,37.52768765,127.0025639,33.31614676145868,보광동,6m미만,소로,용산구
10,동소문로24가길,0,주거지 도로,37.5318506,127.0081235,37.5316493,127.0074084,37.53174995,127.00776595,66.91208211091667,한남동,6m미만,소로,용산구
11,독서당로14길,0,주거지 도로,37.5318506,127.0081235,37.5310786,127.0086289,37.5314646,127.0083762,96.89995621807336,한남동,6m미만,소로,용산구
12,독서당로14길,0,주거지 도로,37.5318506,127.0081235,37.5321196,127.0078993,37.5319851,127.0080114,35.95967146071625,한남동,6m미만,소로,용산구
13,이태원로27길,0,주거지 도로,37.5364877,126.9951238,37.5363132,126.9953557,37.53640045,126.99523975,28.18864085585238,이태원동,6m미만,소로,용산구
14,이태원로27다길,0,주거지 도로,37.5364877,126.9951238,37.5364232,126.9926713,37.536455450000005,126.99389755,227.98947360057517,이태원동,폭6-8m,소로3류,용산구
