id,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,행정동,도로폭,도로규모,행정구역
1,봉우재로,0,3차로,37.59132,127.08011,37.5908992,127.0788198,37.5911096,127.0794649,122.93168076731077,면목동,6m미만,소로,중랑구
2,봉우재로,0,3차로,37.59132,127.08011,37.5915238,127.0810273,37.5914219,127.08056865,83.93917401871374,면목동,6m미만,소로,중랑구
3,신내로,0,3차로,37.5992248,127.0973073,37.5991947,127.097319,37.59920975,127.09731315,3.502099374860829,망우동,6m미만,소로,중랑구
4,신내로,0,3차로,37.5992248,127.0973073,37.5998089,127.0971048,37.59951685,127.09720605,67.36121642583349,망우동,6m미만,소로,중랑구
5,신내로19길,0,3차로,37.6163876,127.093422,37.6157797,127.0929797,37.61608365,127.09320085,78.01825323912367,신내동,폭20-25m,중로1류,중랑구
6,신내로19길,0,3차로,37.6163876,127.093422,37.6169076,127.0937405,37.6166476,127.09358125,64.35686461157445,신내동,폭20-25m,중로1류,중랑구
7,신내로,0,3차로,37.6163876,127.093422,37.6176506,127.0905949,37.6170191,127.09200845,285.8856250715375,신내동,6m미만,소로,중랑구
8,신내로,0,3차로,37.6163876,127.093422,37.6155935,127.0951078,37.61599055000001,127.0942649,172.8343533848524,신내동,6m미만,소로,중랑구
9,봉우재로,0,3차로,37.58912,127.07349,37.5893617,127.07421,37.58924085,127.07385,68.89830281150336,면목동,6m미만,소로,중랑구
10,봉우재로,0,3차로,37.5941259,127.0932879,37.5942116,127.0937088,37.59416875,127.09349835,38.288474111607954,망우동,6m미만,소로,중랑구
11,봉우재로,0,3차로,37.5941259,127.0932879,37.5941071,127.0931766,37.5941165,127.09323225,10.026508387840591,망우동,6m미만,소로,중랑구
12,신내로,0,3차로,37.6069013,127.095276,37.6055073,127.0954044,37.6062043,127.0953402,155.41816016012848,신내동,6m미만,소로,중랑구
13,신내로,0,3차로,37.6069013,127.095276,37.6101287,127.0960855,37.608515,127.09568075,373.158205905622,신내동,6m미만,소로,중랑구
14,신내로15길,0,3차로,37.6103292,127.0961204,37.6104836,127.0946824,37.6104064,127.0954014,127.82643754450685,신내동,폭10-12m,소로1류,중랑구
15,신내로,0,3차로,37.6103292,127.0961204,37.6138481,127.0961403,37.61208865,127.09613035,395.66067327811703,신내동,6m미만,소로,중랑구
16,신내로,0,3차로,37.6103292,127.0961204,37.6101287,127.0960855,37.61022895,127.09610295,22.505571900719705,신내동,6m미만,소로,중랑구
17,동일로163길,0,주거지 도로,37.6118736,127.0757893,37.6117731,127.0749594,37.61182335,127.07537435,73.95074428933047,묵동,6m미만,소로,중랑구
18,중랑역로,0,3차로,37.6118736,127.0757893,37.6110666,127.0759431,37.611470100000005,127.0758662,90.75132524373949,묵동,폭6-8m,소로3류,중랑구
19,중랑역로,0,3차로,37.6118736,127.0757893,37.612731,127.0756213,37.6123023,127.0757053,96.48243191809354,묵동,폭6-8m,소로3류,중랑구
20,동일로163길,0,주거지 도로,37.6118736,127.0757893,37.6120402,127.0774309,37.6119569,127.0766101,145.8641055306593,묵동,6m미만,소로,중랑구
21,신내로15길,0,3차로,37.6161388,127.0858677,37.6150998,127.0885722,37.615619300000006,127.08721995,264.7539159644009,묵동,폭10-12m,소로1류,중랑구
22,동일로91길,0,주거지 도로,37.58293,127.07973,37.5829334,127.07887,37.5829317,127.0793,75.78720837657985,면목동,6m미만,소로,중랑구
23,동일로95길,0,주거지 도로,37.58481,127.07983,37.5848129,127.0789685,37.58481145,127.07939925,75.91321785963797,면목동,6m미만,소로,중랑구
24,동일로96길,0,주거지 도로,37.58481,127.07983,37.5847927,127.0804695,37.58480135,127.08014975,56.385800939768785,면목동,6m미만,소로,중랑구
25,동일로101길,0,주거지 도로,37.58916,127.08001,37.5890649,127.0791253,37.58911245,127.07956765,78.66632100393258,면목동,6m미만,소로,중랑구
26,동일로121길,0,주거지 도로,37.5972386,127.0803161,37.5966361,127.0800412,37.59693735,127.08017865,75.09002808587142,중화동,6m미만,소로,중랑구
27,공릉로,0,3차로,37.6106628,127.0777339,37.6120493,127.0778172,37.61135605,127.07777555,154.34649159149615,묵동,폭6-8m,소로3류,중랑구
28,동일로160길,0,주거지 도로,37.6106628,127.0777339,37.6111753,127.081314,37.61091905,127.07952395,336.4598303593096,묵동,6m미만,소로,중랑구
29,봉화산로,0,3차로,37.608358,127.1010052,37.6085908,127.1020889,37.608474400000006,127.10154705,98.94030250992488,신내동,6m미만,소로,중랑구
30,봉화산로,0,주거지 도로,37.6107911,127.1011184,37.6130683,127.0999186,37.611929700000005,127.1005185,564.2297640875344,신내동,6m미만,소로,중랑구
31,용마산로136길,0,3차로,37.6129511,127.1013116,37.6117538,127.1050784,37.61235245,127.103195,357.94334504174003,망우동,폭10-12m,소로1류,중랑구
32,신내로16길,0,3차로,37.6129511,127.1013116,37.6130683,127.0999186,37.6130097,127.1006151,124.66574694062189,신내동,폭20-25m,중로1류,중랑구
33,신내역로,0,3차로,37.6137974,127.1014054,37.6130011,127.1048391,37.61339925,127.10312225,316.1288109371019,신내동,폭25-30m,대로3류,중랑구
34,신내로18길,0,3차로,37.6137974,127.1014054,37.6140423,127.1004371,37.61391985,127.10092125,89.73673896660375,신내동,폭15-20m,중로2류,중랑구
35,중랑역로,0,3차로,37.5941581,127.0773054,37.5942011,127.0772733,37.5941796,127.07728935,5.555207929319022,상봉동,폭6-8m,소로3류,중랑구
36,망우로36길,0,3차로,37.5941581,127.0773054,37.5938538,127.0778637,37.59400595,127.07758455,61.8687218035527,상봉동,폭8-10m,소로2류,중랑구
37,송림길,0,3차로,37.5988256,127.0953026,37.5992071,127.0954074,37.59901635,127.095355,43.42494558642893,망우동,6m미만,소로,중랑구
38,망우로75길,0,주거지 도로,37.6006149,127.1047589,37.6011392,127.1046764,37.600877049999994,127.10471765,58.75120647076613,망우동,폭8-10m,소로2류,중랑구
39,신내로19길,0,3차로,37.6169076,127.0937405,37.6163876,127.093422,37.6166476,127.09358125,64.26779109320832,신내동,폭20-25m,중로1류,중랑구
40,겸재로23길,0,주거지 도로,37.58711,127.08196,37.5875735,127.0817682,37.58734175,127.0818641,54.23907657965111,면목동,6m미만,소로,중랑구
41,겸재로24길,0,주거지 도로,37.58711,127.08196,37.586463,127.0820966,37.5867865,127.0820283,72.94314374768338,면목동,6m미만,소로,중랑구
42,면목로,0,3차로,37.588373,127.0875686,37.5882696,127.0876032,37.5883213,127.0875859,11.894901786574868,면목동,6m미만,소로,중랑구
43,답십리로,0,3차로,37.5712548,127.0840265,37.5713698,127.0834203,37.5713123,127.0837234,54.93504078854603,면목동,6m미만,소로,중랑구
44,답십리로,0,3차로,37.5712548,127.0840265,37.5711401,127.0846079,37.57119745,127.0843172,52.803849583258945,면목동,6m미만,소로,중랑구
45,답십리로83길,0,주거지 도로,37.5712548,127.0840265,37.5722877,127.0844846,37.57177125,127.08425555,123.19224996599652,면목동,6m미만,소로,중랑구
