,도로명,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,경사각,점수
4448,천호대로131길,37.5514333,127.090201,37.551606,127.0907819,37.55151965,127.0904915,2.785187685364074,0.96151114
4445,천호대로131길,37.551606,127.0907819,37.5514333,127.090201,37.55151965,127.0904915,2.785187685364074,0.96151114
1819,도봉로180길,37.5410483,127.0780455,37.5410685,127.0783429,37.5410584,127.0781942,3.998946541706701,0.9412807
5124,용마산로33길,37.5701344,127.0857168,37.5701655,127.08546,37.57014995,127.0855884,6.706317200639362,0.9411227
1820,도봉로180길,37.5410483,127.0780455,37.5413134,127.0783704,37.54118085,127.078208,1.458095264247624,0.83982265
1067,긴고랑로,37.5601059,127.0948625,37.5620939,127.0960892,37.5610999,127.0954758,2.9063614590680804,0.81582755
2584,초원로,37.5393053,127.0769282,37.5390847,127.0773582,37.539195,127.0771432,4.084000103974407,0.8154413
5141,용마산로36길,37.570813,127.0868313,37.5708155,127.0871844,37.57081425,127.0870079,19.88659198701802,0.79230475
2585,마조로,37.5393204,127.079333,37.5392987,127.0790842,37.53930955,127.0792086,9.71024783169587,0.7859365
2599,남부순환로186길,37.5392987,127.0790842,37.5393204,127.079333,37.53930955,127.0792086,9.71024783169587,0.7859365
