,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,도로폭,도로규모,행정구역,고도의_차이,경사각,최근접_시설들_거리,최근접_시설의_평균거리,2019_평균_온도,2020_평균_온도,2021_평균_온도,2022_평균_온도,2023_평균_온도,2024_평균_온도,종합_평균_기온,행정동,생활인구,최근접_시설들_최소거리,최근접_시설들_최대거리,점수
4448,천호대로131길,0,주거지 도로,37.5514333,127.090201,37.551606,127.0907819,37.55151965,127.0904915,54.69205777,폭6-8m,소로3류,광진구,2.660711288452152,2.785187685364074,"93.35128420620042 ,105.4510912411368 ,138.4400915181035 ,177.5565427006285 ,164.99099572535016",135.95800107828387,5.306823896000003,2.108810450000012,-1.985179971999992,-3.142521543999988,-3.808351839999972,-1.890842619999977,-0.568544,구의2동,457624.6836290909,93.35128420620042,177.5565427006285,0.96151114
4445,천호대로131길,0,주거지 도로,37.551606,127.0907819,37.5514333,127.090201,37.55151965,127.0904915,54.69205777,폭6-8m,소로3류,광진구,2.660711288452152,2.785187685364074,"93.35128420620042 ,105.4510912411368 ,138.4400915181035 ,177.5565427006285 ,164.99099572535016",135.95800107828387,5.306823896000003,2.108810450000012,-1.985179971999992,-3.142521543999988,-3.808351839999972,-1.890842619999977,-0.568544,구의2동,457624.6836290909,93.35128420620042,177.5565427006285,0.96151114
1819,도봉로180길,0,주거지 도로,37.5410483,127.0780455,37.5410685,127.0783429,37.5410584,127.0781942,26.31732758,폭10-12m,소로1류,광진구,1.8397979736328125,3.998946541706701,"207.23541557279287 ,286.0524531392644 ,370.80364119753267 ,309.01882649283004 ,338.6560298679801",302.35327325408,3.4275965000000155,0.0773672300000309,-3.2436949359999856,-3.301801275999992,-7.86041454999998,-3.142407609999988,-2.340559,화양동,933033.0985672728,207.23541557279287,370.8036411975326,0.9412807
5124,용마산로33길,0,주거지 도로,37.5701344,127.0857168,37.5701655,127.08546,37.57014995,127.0855884,22.89549329,6m미만,소로,광진구,2.6921577453613352,6.706317200639362,"143.96162238943532 ,181.83573626569725 ,148.05522370297814 ,185.68397992520678 ,219.68582452962843",175.8444773625892,4.024382792000017,0.8800322600000451,-4.307382759999984,-5.683477611999979,-8.637159594999979,-3.8972203599999777,-2.936804,중곡3동,353811.96346909093,143.96162238943532,219.68582452962843,0.9411227
1820,도봉로180길,0,주거지 도로,37.5410483,127.0780455,37.5413134,127.0783704,37.54118085,127.078208,41.65017934,폭10-12m,소로1류,광진구,1.0462589263916016,1.458095264247624,"193.82680482771093 ,275.0577725960684 ,304.85013035936015 ,383.77518122714406 ,345.29067060357403",300.5601119227715,3.68052998000004,0.3120712700000088,-2.896424103999982,-3.1746509319999747,-7.48785036999999,-2.8330767999999678,-2.066567,화양동,933033.0985672728,193.82680482771093,383.77518122714406,0.83982265
1067,긴고랑로,0,주거지 도로,37.5601059,127.0948625,37.5620939,127.0960892,37.5610999,127.0954758,259.3622359,폭6-8m,소로3류,광진구,12.49343490600586,2.9063614590680804,"367.61302910350616 ,332.7191043644049 ,410.6012007877659 ,462.5084541757262 ,563.1264644065537",427.3136505675914,4.84334038400001,3.135925460000029,-4.362071079999987,-5.176243443999977,-4.240389567999978,-2.641667679999974,-1.406851,중곡4동,571703.5397563636,332.7191043644049,563.1264644065537,0.81582755
2584,초원로,0,주거지 도로,37.5393053,127.0769282,37.5390847,127.0773582,37.539195,127.0771432,52.6988698,폭6-8m,소로3류,광진구,3.2241935729980504,4.084000103974407,"214.37323134053779 ,236.3399387910232 ,258.79282506656887 ,240.31487546603893 ,293.86068963921133",248.73631206067603,3.806996720000007,1.113027290000019,-3.4761202959999764,-3.044082567999987,-7.645079289999984,-2.643946359999992,-1.981534,화양동,933033.0985672728,214.3732313405378,293.86068963921133,0.8154413
5141,용마산로36길,0,주거지 도로,37.570813,127.0868313,37.5708155,127.0871844,37.57081425,127.0870079,31.12109613,6m미만,소로,광진구,11.257427215576186,19.88659198701802,"115.9546219801955 ,159.9645297018935 ,182.83062007166995 ,275.8038232872239 ,263.515325003893",199.6137840089752,4.000456652000025,0.3735956300000111,-5.060030763999976,-5.76140846799998,-5.314331451999965,-3.73771275999997,-2.583239,중곡4동,571703.5397563636,115.9546219801955,275.8038232872239,0.79230475
2585,마조로,0,주거지 도로,37.5393204,127.079333,37.5392987,127.0790842,37.53930955,127.0792086,22.0691334,6m미만,소로,광진구,3.776403427124031,9.71024783169587,"165.92775434209562 ,226.59608059396044 ,240.63022038699395 ,194.3703329364705 ,286.0415578811405",222.7131892281322,3.8261376320000298,0.7376147600000232,-3.614208303999965,-3.4316860359999737,-5.284936479999965,-2.963531229999982,-1.788435,화양동,933033.0985672728,165.92775434209562,286.0415578811405,0.7859365
2599,남부순환로186길,0,주거지 도로,37.5392987,127.0790842,37.5393204,127.079333,37.53930955,127.0792086,22.0691334,6m미만,소로,광진구,3.776403427124031,9.71024783169587,"165.92775434209562 ,226.59608059396044 ,240.63022038699395 ,194.3703329364705 ,286.0415578811405",222.7131892281322,3.8261376320000298,0.7376147600000232,-3.614208303999965,-3.4316860359999737,-5.284936479999965,-2.963531229999982,-1.788435,화양동,933033.0985672728,165.92775434209562,286.0415578811405,0.7859365
